"","No.","Player","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr."
"1",16,"David Archer",25,"qb",9,1,207,"6-2","Snow College (UT),Iowa St.","2/15/1962","3",0,""
"2",47,"Rick Badanjek",25,"rb",2,2,217,"5-8","Maryland","4/25/1962","1",1,"Washington Redskins / 7th / 186th pick / 1986"
"3",82,"Stacey Bailey",27,"WR",7,6,162,"6-0","San Jose St.","2/10/1960","5",2,"Atlanta Falcons / 3rd / 63rd pick / 1982"
"4",53,"Doug Barnett",27,"",10,0,250,"6-3","Azusa Pacific","4/12/1960","5",1,"Los Angeles Rams / 5th / 118th pick / 1982"
"5",84,"Milton Barney",24,"wr",3,3,156,"5-9","Alcorn St.","12/23/1963","Rook",1,""
"6",6,"Louis Berry",22,"",2,0,193,"6-0","Florida St.","7/21/1965","Rook",0,""
"7",75,"Dwight Bingham",26,"",3,0,265,"6-6","Mississippi","8/5/1961","Rook",0,""
"8",58,"Ken Bowen",25,"",1,0,220,"6-1","East Tennessee St.","11/15/1962","Rook",0,""
"9",26,"James Britt",27,"",12,0,185,"6-0","LSU","9/12/1960","4",1,"Atlanta Falcons / 2nd / 43rd pick / 1983"
"10",91,"Aaron Brown",31,"lb",6,1,235,"6-2","Ohio St.","1/13/1956","9",1,"Tampa Bay Buccaneers / 10th / 252nd pick / 1978"
"11",89,"Charlie Brown",29,"",6,0,182,"5-10","South Carolina St.","10/29/1958","5",1,"Washington Redskins / 8th / 201st pick / 1981"
"12",98,"Greg Brown",30,"lde",12,5,254,"6-5","Kansas St.,East. Illinois","1/5/1957","6",2,""
"13",77,"Rick Bryan",25,"RDE",9,9,265,"6-4","Oklahoma","3/20/1962","3",3,"Atlanta Falcons / 1st / 9th pick / 1984"
"14",23,"Bobby Butler",28,"LCB",12,12,174,"5-11","Florida St.","5/28/1959","6",4,"Atlanta Falcons / 1st / 25th pick / 1981"
"15",39,"Jerry Butler",26,"",1,0,193,"5-11","East Tennessee St.","12/7/1961","Rook",0,""
"16",88,"Sylvester Byrd",24,"te",3,2,225,"6-2","Kansas","5/1/1963","Rook",1,""
"17",10,"Scott Campbell",25,"QB",12,9,196,"6-0","Purdue","4/15/1962","3",4,"Pittsburgh Steelers / 7th / 191st pick / 1984"
"18",25,"Scott Case",25,"RCB",11,10,188,"6-1","NE Oklahoma A&M,Oklahoma","5/17/1962","3",3,"Atlanta Falcons / 2nd / 32nd pick / 1984"
"19",75,"Tony Casillas",24,"NT",9,9,278,"6-3","Oklahoma","10/26/1963","1",3,"Atlanta Falcons / 1st / 2nd pick / 1986"
"20",20,"Wendell Cason",24,"db",3,2,191,"5-11","Oregon","1/22/1963","2",1,""
"21",28,"Bret Clark",26,"db",1,1,198,"6-3","Nebraska","2/24/1961","1",0,"Los Angeles Raiders / 7th / 191st pick / 1985"
"22",66,"Randy Clark",30,"c",3,3,260,"6-3","Northern Illinois","7/27/1957","7",1,"Chicago Bears / 8th / 215th pick / 1980"
"23",56,"Joe Costello",27,"de",9,4,245,"6-3","Central Connecticut St.","6/1/1960","1",2,""
"24",88,"Arthur Cox",26,"TE",12,10,262,"6-3","Texas Southern","2/5/1961","4",1,""
"25",30,"David Croudip",28,"db",12,2,183,"5-8","San Diego St.","1/25/1959","3",1,""
"26",50,"Buddy Curry",29,"LILB",4,4,224,"6-4","North Carolina","6/4/1958","7",1,"Atlanta Falcons / 2nd / 36th pick / 1980"
"27",5,"Greg Davis",22,"",3,0,202,"6-0","The Citadel","10/29/1965","Rook",1,"Tampa Bay Buccaneers / 9th / 246th pick / 1987"
"28",86,"Floyd Dixon",23,"WR",12,12,170,"5-9","S.F. Austin","4/9/1964","1",4,"Atlanta Falcons / 6th / 154th pick / 1986"
"29",3,"Rick Donnelly",25,"P",12,0,195,"6-0","Wyoming","5/17/1962","2",3,""
"30",64,"Jamie Dukes",23,"",4,0,285,"6-1","Florida St.","6/14/1964","1",0,""
"31",24,"Larry Emery",23,"",5,0,195,"5-9","Wisconsin","7/13/1964","Rook",0,"Atlanta Falcons / 12th / 320th pick / 1987"
"32",87,"John Evans",23,"te",1,1,243,"6-2","S.F. Austin","6/13/1964","Rook",0,""
"33",39,"Major Everett",27,"",7,0,215,"5-10","Mississippi Col.","1/4/1960","4",0,""
"34",48,"Kenny Flowers",23,"rb",8,1,210,"6-0","Clemson","3/14/1964","Rook",1,"Atlanta Falcons / 2nd / 31st pick / 1987"
"35",79,"Bill Fralic*+",25,"RG",12,12,280,"6-5","Pittsburgh","10/31/1962","2",8,"Atlanta Falcons / 1st / 2nd pick / 1985"
"36",76,"Mike Gann",24,"LDE",12,12,271,"6-5","Notre Dame","10/19/1963","2",4,"Atlanta Falcons / 2nd / 45th pick / 1985"
"37",89,"Leon Gonzalez",24,"",2,0,162,"5-10","Bethune-Cookman","9/21/1963","2",0,"Dallas Cowboys / 8th / 216th pick / 1985"
"38",41,"Tim Gordon",22,"FS",11,8,188,"6-0","Tulsa","5/7/1965","Rook",3,""
"39",32,"Norm Granger",26,"rb",3,1,225,"5-9","Iowa","9/14/1961","3",0,"Dallas Cowboys / 5th / 137th pick / 1984"
"40",59,"Paul Gray",25,"",2,0,231,"6-2","West. Kentucky","6/20/1962","Rook",0,"New Orleans Saints / 10th / 264th pick / 1984"
"41",99,"Tim Green",24,"LOLB",9,5,249,"6-2","Syracuse","12/16/1963","1",2,"Atlanta Falcons / 1st / 17th pick / 1986"
"42",32,"Steve Griffin",24,"",4,0,185,"5-10","Clemson","12/17/1963","Rook",0,""
