"","No.","Player.","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr."
"1",64,"Martin Bibla",24,"lg",10,2,306,"6-3","Miami (FL)","10/4/1979","1",1,"Atlanta Falcons / 4th / 116th pick / 2002"
"2",21,"Juran Bolden",29,"LCB",8,8,207,"6-2","Mississippi Delta CC","6/27/1974","7",3,"Atlanta Falcons / 4th / 127th pick / 1996"
"3",89,"Sean Brewer",26,"",9,0,255,"6-4","San Jose St.","10/5/1977","1",0,"Cincinnati Bengals / 3rd / 66th pick / 2001"
"4",56,"Keith Brooking*",28,"LB",16,16,245,"6-2","Georgia Tech","10/30/1975","5",9,"Atlanta Falcons / 1st / 12th pick / 1998"
"5",34,"Ray Buchanan",32,"lcb",15,8,186,"5-9","Louisville","9/29/1971","10",3,"Indianapolis Colts / 3rd / 65th pick / 1993"
"6",29,"Keion Carpenter",26,"fs",15,8,205,"5-11","Virginia Tech","10/31/1977","4",3,""
"7",71,"Travis Claridge",25,"lg",6,6,300,"6-5","USC","3/23/1978","3",3,"Atlanta Falcons / 2nd / 37th pick / 2000"
"8",83,"Alge Crumpler*",26,"TE",16,16,262,"6-2","North Carolina","12/23/1977","2",6,"Atlanta Falcons / 2nd / 35th pick / 2001"
"9",30,"Woodrow Dantzler",24,"",9,0,209,"5-10","Clemson","10/4/1979","1",1,""
"10",54,"Chris Draft",27,"LB",16,16,232,"5-11","Stanford","2/26/1976","5",7,"Chicago Bears / 6th / 157th pick / 1998"
"11",45,"T.J. Duckett",22,"RB",16,10,254,"6-0","Michigan St.","2/17/1981","1",6,"Atlanta Falcons / 1st / 18th pick / 2002"
"12",82,"LaTarence Dunbar",23,"",5,0,196,"5-11","TCU","8/15/1980","Rook",0,"Atlanta Falcons / 6th / 196th pick / 2003"
"13",28,"Warrick Dunn",28,"rb",11,6,180,"5-9","Florida St.","1/5/1975","6",8,"Tampa Bay Buccaneers / 1st / 12th pick / 1997"
"14",80,"Terrence Edwards",24,"",6,0,176,"6-0","Georgia","4/29/1979","Rook",0,""
"15",87,"Jimmy Farris",25,"",16,0,200,"6-0","Montana","4/13/1978","Rook",1,""
"16",4,"Jay Feely",27,"",16,0,206,"5-10","Michigan","5/23/1976","2",2,""
"17",86,"Brian Finneran",27,"WR",12,10,210,"6-5","Villanova","1/31/1976","4",4,""
"18",65,"Kynan Forney",25,"RG",16,16,307,"6-3","Hawaii","9/8/1978","2",7,"Atlanta Falcons / 7th / 219th pick / 2001"
"19",63,"Roberto Garza",24,"lg",14,8,296,"6-2","Texas A&M-Kingsville","3/26/1979","2",4,"Atlanta Falcons / 4th / 99th pick / 2001"
"20",33,"Justin Griffith",23,"FB",16,11,232,"5-11","Mississippi St.","7/21/1980","Rook",2,"Atlanta Falcons / 4th / 121st pick / 2003"
"21",27,"Cory Hall",27,"FS",11,10,213,"6-0","Fresno St.","12/5/1976","4",3,"Cincinnati Bengals / 3rd / 65th pick / 1999"
"22",98,"Travis Hall",31,"de",15,2,295,"6-5","BYU","8/3/1972","8",2,"Atlanta Falcons / 6th / 181st pick / 1995"
"23",95,"Ed Jasper",30,"NT",14,14,293,"6-2","Texas A&M","1/18/1973","6",6,"Philadelphia Eagles / 6th / 198th pick / 1997"
"24",36,"Travis Jervey",31,"",15,0,222,"6-0","The Citadel","5/5/1972","8",0,"Green Bay Packers / 5th / 170th pick / 1995"
"25",11,"Doug Johnson",26,"QB",10,8,225,"6-2","Florida","10/27/1977","3",5,""
"26",61,"Ellis Johnson",30,"nt",16,3,288,"6-2","Florida","10/30/1973","8",3,"Indianapolis Colts / 1st / 15th pick / 1995"
"27",97,"Patrick Kerney",27,"DE",16,16,273,"6-5","Virginia","12/30/1976","4",7,"Atlanta Falcons / 1st / 30th pick / 1999"
"28",15,"Kurt Kittner",23,"qb",7,4,221,"6-2","Illinois","1/23/1980","Rook",1,"Atlanta Falcons / 5th / 158th pick / 2002"
"29",85,"Brian Kozlowski",33,"TE",16,9,250,"6-3","Connecticut","10/4/1970","9",1,""
"30",38,"George Layne",25,"",3,0,250,"5-11","TCU","10/9/1978","2",0,"Kansas City Chiefs / 4th / 108th pick / 2001"
"31",23,"Kevin Mathis",29,"cb",14,3,185,"5-9","Texas A&M-Commerce","4/29/1974","6",2,""
"32",32,"Tod McBride",27,"RCB",12,9,208,"6-1","UCLA","1/26/1976","4",4,""
"33",22,"Gerald McBurrows",30,"ss",13,2,208,"5-11","Kansas","10/7/1973","8",1,"St. Louis Rams / 7th / 214th pick / 1995"
"34",47,"Kevin McCadam",24,"ss",12,3,219,"6-1","Virginia Tech,Colorado St.","3/6/1979","1",1,"Atlanta Falcons / 5th / 148th pick / 2002"
"35",62,"Todd McClure",26,"C",16,16,286,"6-1","LSU","2/16/1977","3",7,"Atlanta Falcons / 7th / 237th pick / 1999"
"36",88,"Quentin McCord",25,"wr",9,2,188,"5-10","Kentucky","6/26/1978","2",1,"Atlanta Falcons / 7th / 236th pick / 2001"
"37",13,"Chris Mohr",37,"",16,0,215,"6-5","Alabama","5/11/1966","14",2,"Tampa Bay Buccaneers / 6th / 146th pick / 1989"
"38",67,"Michael Moore",27,"",2,0,318,"6-2","Alabama,Troy","11/1/1976","3",0,"Washington Redskins / 4th / 129th pick / 2000"
"39",73,"Dwayne Morgan",33,"",5,0,300,"6-4","Clemson","5/3/1970","Rook",0,""
"40",53,"Keith Newman",26,"LB",12,11,248,"6-2","North Carolina","1/19/1977","4",4,"Buffalo Bills / 4th / 119th pick / 1999"
"41",90,"Will Overstreet",24,"lb",4,2,259,"6-2","Tennessee","10/7/1979","1",1,"Atlanta Falcons / 3rd / 80th pick / 2002"
"42",81,"Peerless Price",27,"WR",16,15,190,"5-11","Tennessee","10/27/1976","4",9,"Buffalo Bills / 2nd / 53rd pick / 1999"
"43",48,"Derek Rackley",26,"te",16,1,250,"6-4","Minnesota","7/18/1977","3",0,""
"44",51,"Karon Riley",25,"",16,0,268,"6-2","SMU,Minnesota","8/23/1978","2",1,"Chicago Bears / 4th / 103rd pick / 2001"
"45",92,"Terrence Robinson",23,"ss",1,0,240,"6-0","Oklahoma St.","3/12/1980","Rook",1,""
"46",25,"Travaris Robinson",22,"",5,1,193,"5-10","Auburn","9/1/1981","Rook",0,""
"47",59,"Sam Rogers",33,"lb",2,2,245,"6-3","Colorado","5/30/1970","9",1,"Buffalo Bills / 2nd / 64th pick / 1994"
"48",25,"Derek Ross",23,"",2,0,197,"5-10","Ohio St.","1/5/1980","1",0,"Dallas Cowboys / 3rd / 75th pick / 2002"
"49",20,"Allen Rossum",28,"",16,0,178,"5-8","Notre Dame","10/22/1975","5",2,"Philadelphia Eagles / 3rd / 85th pick / 1998"
"50",55,"Twan Russell",29,"",16,0,230,"6-1","Miami (FL)","4/25/1974","6",1,"Washington Redskins / 5th / 148th pick / 1997"
"51",24,"Bryan Scott",22,"ss",15,6,219,"6-1","Penn St.","4/13/1981","Rook",3,"Atlanta Falcons / 2nd / 55th pick / 2003"
"52",39,"Siddeeq Shabazz",22,"",7,0,200,"5-11","New Mexico St.","2/5/1981","Rook",1,"Oakland Raiders / 7th / 246th pick / 2003"
"53",76,"Kevin Shaffer",23,"lt",16,8,290,"6-5","Tulsa","3/2/1980","1",4,"Atlanta Falcons / 7th / 244th pick / 2002"
"54",91,"Brady Smith",30,"DE",16,14,274,"6-5","Colorado St.","6/5/1973","7",5,"New Orleans Saints / 3rd / 70th pick / 1996"
"55",52,"Matt Stewart",24,"LB",16,16,232,"6-3","Vanderbilt","8/31/1979","2",6,"Atlanta Falcons / 4th / 102nd pick / 2001"
"56",50,"Artie Ulmer",30,"",16,0,247,"6-3","Georgia Southern,Valdosta St.","7/30/1973","4",1,"Minnesota Vikings / 7th / 220th pick / 1997"
"57",99,"Demetrin Veal",22,"",3,0,288,"6-2","Tennessee","8/11/1981","Rook",0,"Atlanta Falcons / 7th / 238th pick / 2003"
"58",7,"Michael Vick",23,"qb",5,4,215,"6-0","Virginia Tech","6/26/1980","2",4,"Atlanta Falcons / 1st / 1st pick / 2001"
"59",74,"Todd Weiner",28,"RT",16,16,297,"6-4","Kansas St.","9/16/1975","5",7,"Seattle Seahawks / 2nd / 47th pick / 1998"
"60",70,"Bob Whitfield",32,"LT",8,8,310,"6-5","Stanford","10/18/1971","11",4,"Atlanta Falcons / 1st / 8th pick / 1992"
"61",37,"Tyrone Williams",30,"rcb",6,6,193,"5-11","Nebraska","5/31/1973","7",2,"Green Bay Packers / 3rd / 93rd pick / 1996"
"62",NA,"Team Total",26.7,"",16,NA,239.1,"6-1.2","","","3.7",NA,""
