"","No.","Player.","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr.","Cap.Hit"
"1",20,"Phillip Adams",27,"cb",13,3,193,"6-0","South Carolina St.","7/20/1988","5",2,"San Francisco 49ers / 7th / 224th pick / 2010","$745,000"
"2",23,"Robert Alford",27,"CB",15,15,188,"5-10","SE Louisiana","11/1/1988","2",6,"Atlanta Falcons / 2nd / 60th pick / 2013","$714,218"
"3",37,"Ricardo Allen",24,"S",15,14,187,"5-9","Purdue","12/18/1991","1",6,"Atlanta Falcons / 5th / 147th pick / 2014","$435,000"
"4",95,"Jonathan Babineaux",34,"dt",16,4,281,"6-2","Iowa","10/12/1981","10",3,"Atlanta Falcons / 2nd / 59th pick / 2005","$2,250,000"
"5",59,"Joplo Bartu",25,"lb",6,1,230,"6-2","Texas St.","10/3/1990","2",1,"","$585,000"
"6",44,"Vic Beasley",23,"DE",16,16,235,"6-2","Clemson","7/8/1992","Rook",7,"Atlanta Falcons / 1st / 8th pick / 2015","$435,000"
"7",71,"Kroy Biermann",30,"",16,0,242,"6-3","Montana","9/12/1985","7",2,"Atlanta Falcons / 5th / 154th pick / 2008","$1,100,000"
"8",5,"Matthew Bosher",28,"",16,0,208,"6-1","Miami (FL)","10/18/1987","4",2,"Atlanta Falcons / 6th / 192nd pick / 2011","$1,105,000"
"9",53,"Allen Bradford",27,"",6,0,235,"5-11","USC","8/31/1988","4",0,"Tampa Bay Buccaneers / 6th / 187th pick / 2011","$660,000"
"10",3,"Matt Bryant",40,"",11,0,200,"5-9","Baylor","5/29/1975","13",1,"","$1,350,000"
"11",65,"Chris Chester",32,"RG",16,16,300,"6-3","Oklahoma","1/12/1983","9",7,"Baltimore Ravens / 2nd / 56th pick / 2006","$1,550,000"
"12",99,"Adrian Clayborn",27,"de",16,5,281,"6-3","Iowa","7/6/1988","4",3,"Tampa Bay Buccaneers / 1st / 20th pick / 2011","$1,000,000"
"13",26,"Tevin Coleman",22,"rb",12,3,210,"6-0","Indiana","4/16/1993","Rook",3,"Atlanta Falcons / 3rd / 73rd pick / 2015","$435,000"
"14",32,"Jalen Collins",22,"cb",16,2,198,"6-2","LSU","3/20/1993","Rook",1,"Atlanta Falcons / 2nd / 42nd pick / 2015","$435,000"
"15",42,"Patrick DiMarco*",26,"fb",16,8,240,"6-1","South Carolina","4/30/1989","3",1,"","$660,000"
"16",52,"Justin Durant",30,"LB",13,12,230,"6-4","Hampton","9/21/1985","8",6,"Jacksonville Jaguars / 2nd / 48th pick / 2007","$1,400,000"
"17",24,"Devonta Freeman*",23,"RB",15,13,206,"5-8","Florida St.","3/15/1992","1",11,"Atlanta Falcons / 4th / 103rd pick / 2014","$510,000"
"18",30,"Charles Godfrey",30,"",8,0,207,"6-0","Iowa","11/15/1985","7",0,"Carolina Panthers / 3rd / 67th pick / 2008",""
"19",93,"Malliciah Goodman",25,"",4,0,276,"6-4","Clemson","1/4/1990","2",0,"Atlanta Falcons / 4th / 127th pick / 2013","$585,000"
"20",66,"Gino Gradkowski",27,"c",4,1,300,"6-3","Delaware","11/5/1988","3",1,"Baltimore Ravens / 4th / 98th pick / 2012","$1,542,000"
"21",6,"Shayne Graham",38,"",5,0,197,"6-0","Virginia Tech","12/9/1977","14",1,"",""
"22",77,"Ra'Shede Hageman",25,"DT",16,11,310,"6-6","Minnesota","8/8/1990","1",5,"Atlanta Falcons / 2nd / 37th pick / 2014","$662,538"
"23",85,"Leonard Hankerson",26,"",8,0,205,"6-1","Miami (FL)","1/30/1989","4",3,"Washington Redskins / 3rd / 79th pick / 2011","$745,000"
"24",16,"Justin Hardy",24,"wr",9,1,190,"5-11","East Carolina","12/18/1991","Rook",2,"Atlanta Falcons / 4th / 107th pick / 2015","$435,000"
"25",72,"Bryce Harris",26,"",2,0,300,"6-6","Fresno St.","1/16/1989","3",0,"","$660,000"
"26",47,"Josh Harris",26,"",16,0,224,"6-1","Auburn","4/27/1989","3",1,"","$660,000"
"27",17,"Devin Hester",33,"",5,0,185,"5-10","Miami (FL)","11/4/1982","9",0,"Chicago Bears / 2nd / 57th pick / 2006","$2,875,000"
"28",36,"Kemal Ishmael",24,"s",16,5,206,"6-0","Central Florida","5/6/1991","2",3,"Atlanta Falcons / 7th / 243rd pick / 2013","$585,000"
"29",94,"Tyson Jackson",29,"DE",16,12,295,"6-4","LSU","6/6/1986","6",5,"Kansas City Chiefs / 1st / 3rd pick / 2009","$2,250,000"
"30",97,"Grady Jarrett",22,"nt",15,2,288,"6-1","Clemson","4/28/1993","Rook",2,"Atlanta Falcons / 5th / 137th pick / 2015","$435,000"
"31",11,"Julio Jones*+",26,"WR",16,16,220,"6-4","Alabama","2/3/1989","4",16,"Atlanta Falcons / 1st / 6th pick / 2011","$2,500,000"
"32",28,"Akeem King",23,"",5,0,212,"6-3","San Jose St.","10/29/1992","Rook",0,"Atlanta Falcons / 7th / 249th pick / 2015",""
"33",67,"Andy Levitre",29,"LG",16,16,306,"6-2","Oregon St.","5/15/1986","6",7,"Buffalo Bills / 2nd / 51st pick / 2009","$1,500,000"
"34",75,"Jake Long",30,"",4,0,315,"6-7","Michigan","5/9/1985","7",0,"Miami Dolphins / 1st / 1st pick / 2008",""
"35",70,"Jake Matthews",23,"LT",16,16,308,"6-6","Texas A&M","2/11/1992","1",8,"Atlanta Falcons / 1st / 6th pick / 2014","$510,000"
"36",74,"Joey Mbu",22,"",2,0,310,"6-3","Houston","3/28/1993","Rook",0,"",""
"37",81,"Tony Moeaki",28,"",10,0,250,"6-4","Iowa","6/8/1987","5",0,"Kansas City Chiefs / 3rd / 93rd pick / 2010",""
"38",25,"William Moore",30,"S",11,11,223,"6-0","Missouri","5/18/1985","6",4,"Atlanta Falcons / 2nd / 55th pick / 2009","$3,500,000"
"39",68,"Michael Person",27,"C",14,14,299,"6-5","Montana St.,Montana St.","6/17/1988","4",6,"San Francisco 49ers / 7th / 239th pick / 2011","$745,000"
"40",76,"Tyler Polumbus",30,"",3,0,302,"6-7","Colorado","4/10/1985","7",0,"","$870,000"
"41",56,"Brooks Reed",28,"lb",13,5,255,"6-3","Arizona","2/28/1987","4",3,"Houston Texans / 2nd / 42nd pick / 2011","$2,200,000"
"42",12,"Sean Renfree",25,"",2,0,219,"6-3","Duke","4/28/1990","2",0,"Atlanta Falcons / 7th / 249th pick / 2013","$585,000"
"43",2,"Matt Ryan",30,"QB",16,16,224,"6-5","Boston Col.","5/17/1985","7",13,"Atlanta Falcons / 1st / 3rd pick / 2008","$11,500,000"
"44",50,"O'Brien Schofield",28,"LB",16,11,238,"6-2","Wisconsin","4/3/1987","5",5,"Arizona Cardinals / 4th / 130th pick / 2010","$745,000"
"45",73,"Ryan Schraeder",27,"RT",16,16,300,"6-7","Valdosta St.","5/4/1988","2",8,"","$585,000"
"46",82,"Mickey Shuler",29,"",1,0,242,"6-4","Penn St.","10/9/1986","5",0,"Minnesota Vikings / 7th / 214th pick / 2010",""
"47",96,"Paul Soliai",32,"NT",14,10,344,"6-4","Utah","12/30/1983","8",5,"Miami Dolphins / 4th / 108th pick / 2007","$3,000,000"
"48",22,"Dezmen Southward",25,"",3,0,211,"6-0","Wisconsin","10/1/1990","1",0,"Atlanta Falcons / 3rd / 68th pick / 2014","$564,665"
"49",41,"Tyler Starr",24,"",1,0,250,"6-4","South Dakota","1/25/1991","1",0,"Atlanta Falcons / 7th / 255th pick / 2014",""
"50",62,"James Stone",23,"c",7,1,306,"6-4","Tennessee","4/26/1992","1",1,"","$510,000"
"51",54,"Nathan Stupar",27,"lb",16,3,241,"6-2","Penn St.","3/14/1988","3",3,"Oakland Raiders / 7th / 230th pick / 2012","$585,000"
"52",83,"Jacob Tamme",30,"TE",15,8,234,"6-4","Kentucky","3/15/1985","7",5,"Indianapolis Colts / 4th / 127th pick / 2008","$1,000,000"
"53",27,"Robenson Therezie",24,"s",13,2,208,"5-9","Auburn","8/5/1991","Rook",2,"","$435,000"
"54",80,"Levine Toilolo",24,"TE",16,15,260,"6-8","Stanford","7/30/1991","2",0,"Atlanta Falcons / 4th / 133rd pick / 2013","$585,000"
"55",21,"Desmond Trufant*",25,"CB",16,16,190,"6-0","Washington","9/10/1990","2",9,"Atlanta Falcons / 1st / 22nd pick / 2013","$1,147,372"
"56",33,"Terron Ward",23,"",13,0,201,"5-7","Oregon St.","2/15/1992","Rook",1,"","$435,000"
"57",14,"Eric Weems",30,"",16,0,182,"5-8","Bethune-Cookman","7/4/1985","8",0,"","$870,000"
"58",51,"Philip Wheeler",31,"lb",9,2,245,"6-2","Georgia Tech","12/12/1984","7",2,"Indianapolis Colts / 3rd / 93rd pick / 2008",""
"59",84,"Roddy White",34,"WR",16,16,201,"6-1","Ala-Birmingham","11/2/1981","10",4,"Atlanta Falcons / 1st / 27th pick / 2005","$2,200,000"
"60",15,"Nick Williams",25,"",14,0,184,"5-10","Connecticut","11/23/1990","2",1,"","$510,000"
"61",55,"Paul Worrilow",25,"LB",15,14,232,"6-1","Delaware","5/1/1990","2",7,"","$585,000"
