"","No.","Player","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr.","Cap.Hit"
"1",23,"Robert Alford",28,"CB",14,14,188,"5-10","SE Louisiana","11/1/1988","3",NA,"Atlanta Falcons / 2nd / 60th pick / 2013","$1,082,263"
"2",37,"Ricardo Allen",25,"CB",14,14,187,"5-9","Purdue","12/18/1991","2",NA,"Atlanta Falcons / 5th / 147th pick / 2014","$525,000"
"3",95,"Jonathan Babineaux",35,"DE",14,6,281,"6-2","Iowa","10/12/1981","11",NA,"Atlanta Falcons / 2nd / 59th pick / 2005","$2,666,668"
"4",44,"Vic Beasley",24,"OLB",14,10,235,"6-2","Clemson","7/8/1992","1",NA,"Atlanta Falcons / 1st / 8th pick / 2015","$3,294,370"
"5",5,"Matthew Bosher",29,"K",13,0,208,"6-1","Miami (FL)","10/18/1987","5",NA,"Atlanta Falcons / 6th / 192nd pick / 2011","$2,700,000"
"6",3,"Matt Bryant",41,"K",14,0,200,"5-9","Baylor","5/29/1975","14",NA,"","$3,183,333"
"7",59,"De'Vondre Campbell",23,"OLB",10,9,234,"6-4","Minnesota","7/1/1993","Rook",NA,"Atlanta Falcons / 4th / 115th pick / 2016","$591,382"
"8",65,"Chris Chester",33,"G",14,14,300,"6-3","Oklahoma","1/12/1983","10",NA,"Baltimore Ravens / 2nd / 56th pick / 2006","$2,600,000"
"9",99,"Adrian Clayborn",28,"DL",11,5,281,"6-3","Iowa","7/6/1988","5",NA,"Tampa Bay Buccaneers / 1st / 20th pick / 2011","$3,000,000"
"10",26,"Tevin Coleman",23,"RB",11,0,210,"6-0","Indiana","4/16/1993","1",NA,"Atlanta Falcons / 3rd / 73rd pick / 2015","$753,811"
"11",32,"Jalen Collins",23,"CB",6,4,198,"6-2","LSU","3/20/1993","1",NA,"Atlanta Falcons / 2nd / 42nd pick / 2015","$521,315"
"12",76,"Tom Compton",27,"T",14,0,314,"6-5","South Dakota","5/10/1989","4",NA,"Washington Redskins / 6th / 193rd pick / 2012","$625,000"
"13",42,"Patrick DiMarco",27,"FB",14,8,240,"6-1","South Carolina","4/30/1989","4",NA,"","$897,500"
"14",24,"Devonta Freeman",24,"RB",14,14,206,"5-8","Florida St.","3/15/1992","2",NA,"Atlanta Falcons / 4th / 103rd pick / 2014","$721,106"
"15",93,"Dwight Freeney",36,"DE",13,1,268,"6-1","Syracuse","2/19/1980","14",NA,"Indianapolis Colts / 1st / 11th pick / 2002","$1,000,000"
"16",87,"Devin Fuller",22,"WR",NA,NA,194,"6-0","UCLA","1/29/1994","Rook",NA,"Atlanta Falcons / 7th / 238th pick / 2016","$351,446"
"17",18,"Taylor Gabriel",25,"WR",12,3,167,"5-8","Abilene Christian","2/17/1991","2",NA,"","$600,000"
"18",63,"Ben Garland",28,"DL",14,0,275,"6-5","Air Force","4/6/1988","5",NA,"","$600,000"
"19",38,"Dashon Goldson",32,"DB",4,0,205,"6-2","Washington","9/18/1984","9",NA,"San Francisco 49ers / 4th / 126th pick / 2007","$1,468,750"
"20",54,"Malliciah Goodman",26,"DE",2,0,276,"6-4","Clemson","1/4/1990","3",NA,"Atlanta Falcons / 4th / 127th pick / 2013","$141,176"
"21",29,"C.J. Goodwin",26,"WR",12,1,190,"6-3","California (PA)","2/4/1990","2",NA,"","$450,000"
"22",77,"Ra'Shede Hageman",26,"DT",10,4,310,"6-6","Minnesota","8/8/1990","2",NA,"Atlanta Falcons / 2nd / 37th pick / 2014","$1,455,230"
"23",16,"Justin Hardy",25,"WR",14,2,190,"5-11","East Carolina","12/18/1991","1",NA,"Atlanta Falcons / 4th / 107th pick / 2015","$660,205"
"24",47,"Josh Harris",27,"LS",14,0,224,"6-1","Auburn","4/27/1989","4",NA,"","$860,000"
"25",81,"Austin Hooper",22,"TE",14,3,248,"6-3","Stanford","11/4/1994","Rook",NA,"Atlanta Falcons / 3rd / 81st pick / 2016","$643,357"
"26",36,"Kemal Ishmael",25,"DB",13,4,206,"6-0","Central Florida","5/6/1991","3",NA,"Atlanta Falcons / 7th / 243rd pick / 2013","$1,682,474"
"27",94,"Tyson Jackson",30,"DE",14,7,295,"6-4","LSU","6/6/1986","7",NA,"Kansas City Chiefs / 1st / 3rd pick / 2009","$6,350,000"
"28",97,"Grady Jarrett",23,"DT",14,12,288,"6-1","Clemson","4/28/1993","1",NA,"Atlanta Falcons / 5th / 137th pick / 2015","$586,963"
"29",45,"Deion Jones",22,"OLB",13,11,222,"6-1","LSU","11/4/1994","Rook",NA,"Atlanta Falcons / 2nd / 52nd pick / 2016","$826,479"
"30",11,"Julio Jones",27,"WR",12,12,220,"6-4","Alabama","2/3/1989","5",NA,"Atlanta Falcons / 1st / 6th pick / 2011","$15,900,000"
"31",25,"Akeem King",24,"DB",NA,NA,212,"6-3","San Jose St.","10/29/1992","1",NA,"Atlanta Falcons / 7th / 249th pick / 2015","$525,000"
"32",67,"Andy Levitre",30,"G",14,14,306,"6-2","Oregon St.","5/15/1986","7",NA,"Buffalo Bills / 2nd / 51st pick / 2009","$5,375,000"
"33",51,"Alex Mack",31,"C",14,14,312,"6-4","California","11/19/1985","7",NA,"Cleveland Browns / 1st / 21st pick / 2009","$4,050,000"
