"","No.","Player.","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr."
"1",NA,"Andre' Anderson",22,"",2,0,205,"5-11","Tulane","5/1/1988","Rook",0,""
"2",50,"Akin Ayodele",31,"mlb",15,10,251,"6-2","Purdue","9/17/1979","8",4,"Jacksonville Jaguars / 3rd / 89th pick / 2002"
"3",NA,"Mike Balogun",27,"",2,0,240,"6-0","Central Oklahoma","9/28/1983","Rook",0,""
"4",77,"Demetress Bell",26,"LT",16,16,301,"6-5","NW State (LA)","5/3/1984","2",7,"Buffalo Bills / 7th / 219th pick / 2008"
"5",4,"Brian Brohm",25,"qb",1,1,227,"6-3","Louisville","9/23/1985","2",0,"Green Bay Packers / 2nd / 56th pick / 2008"
"6",10,"Levi Brown",23,"",1,0,229,"6-3","Troy","3/11/1987","Rook",0,"Buffalo Bills / 7th / 209th pick / 2010"
"7",31,"Jairus Byrd",24,"FS",16,14,205,"6-0","Oregon","10/7/1986","1",5,"Buffalo Bills / 2nd / 42nd pick / 2009"
"8",92,"Alex Carrington",23,"",9,0,284,"6-5","Arkansas St.","6/19/1987","Rook",1,"Buffalo Bills / 3rd / 72nd pick / 2010"
"9",30,"Jehuu Caulcrick",27,"",2,0,255,"6-0","Michigan St.","8/6/1983","Rook",0,""
"10",84,"Scott Chandler",25,"te",4,1,270,"6-7","Iowa","7/23/1985","3",0,"San Diego Chargers / 4th / 129th pick / 2007"
"11",59,"Antonio Coleman",24,"",8,0,255,"6-2","Auburn","9/1/1986","Rook",0,""
"12",27,"Reggie Corner",27,"cb",16,2,175,"5-10","Akron","11/17/1983","2",1,"Buffalo Bills / 4th / 114th pick / 2008"
"13",33,"Jon Corto",26,"",11,0,208,"6-0","Sacred Heart","9/13/1984","2",1,""
"14",54,"Andra Davis",32,"mlb",6,4,255,"6-1","Florida","12/23/1978","8",2,"Cleveland Browns / 5th / 141st pick / 2002"
"15",98,"Dwan Edwards",29,"DE",11,11,315,"6-3","Oregon St.","5/16/1981","6",5,"Baltimore Ravens / 2nd / 51st pick / 2004"
"16",5,"Trent Edwards",27,"qb",2,2,231,"6-4","Stanford","10/30/1983","3",1,"Buffalo Bills / 3rd / 92nd pick / 2007"
"17",90,"Chris Ellis",25,"lb",5,1,260,"6-4","Virginia Tech","2/11/1985","2",1,"Buffalo Bills / 3rd / 72nd pick / 2008"
"18",56,"Keith Ellison",26,"lb",8,2,229,"6-1","San Diego St.,Oregon St.","2/6/1984","4",1,"Buffalo Bills / 6th / 178th pick / 2006"
"19",83,"Lee Evans",29,"WR",13,13,202,"5-10","Wisconsin","3/11/1981","6",5,"Buffalo Bills / 1st / 13th pick / 2004"
"20",14,"Ryan Fitzpatrick",28,"QB",13,13,221,"6-2","Harvard","11/24/1982","5",9,"St. Louis Rams / 7th / 250th pick / 2005"
"21",29,"Drayton Florence",30,"RCB",16,16,195,"6-0","Tenn-Chattanooga,Tuskegee","12/19/1980","7",6,"San Diego Chargers / 2nd / 46th pick / 2003"
"22",25,"Quinton Ganther",26,"",8,0,215,"5-10","Utah","7/15/1984","4",0,"Tennessee Titans / 7th / 246th pick / 2006"
"23",74,"Cornell Green",34,"rt",5,5,315,"6-6","Central Florida","8/25/1976","8",2,""
"24",NA,"Geoff Hangartner",28,"C",12,12,301,"6-5","Texas A&M","4/22/1982","5",5,"Carolina Panthers / 5th / 169th pick / 2005"
"25",33,"Cary Harris",23,"",2,0,188,"5-11","USC","3/22/1987","1",0,"Buffalo Bills / 6th / 183rd pick / 2009"
"26",NA,"Cordaro Howard",23,"rt",10,4,314,"6-4","Georgia Tech","7/2/1987","Rook",2,""
"27",17,"Paul Hubbard",25,"wr",1,1,214,"6-3","Wisconsin","6/12/1985","2",0,"Cleveland Browns / 6th / 191st pick / 2008"
"28",22,"Fred Jackson",29,"RB",16,13,215,"6-1","Coe College","2/20/1981","3",7,""
"29",91,"Spencer Johnson",29,"de",14,6,286,"6-3","Auburn","12/12/1981","6",4,""
"30",13,"Steve Johnson",24,"WR",16,13,210,"6-2","Kentucky","7/22/1986","2",8,"Buffalo Bills / 7th / 224th pick / 2008"
"31",19,"Donald Jones",23,"wr",15,5,214,"6-0","Youngstown St.","12/17/1987","Rook",2,""
"32",90,"Chris Kelsay",31,"LB",16,16,275,"6-4","Nebraska","10/31/1979","7",6,"Buffalo Bills / 2nd / 48th pick / 2003"
"33",67,"Andy Levitre",24,"LG",16,16,306,"6-2","Oregon St.","5/15/1986","1",7,"Buffalo Bills / 2nd / 51st pick / 2009"
"34",9,"Rian Lindell",33,"",16,0,235,"6-3","Washington St.","1/20/1977","10",2,""
"35",23,"Marshawn Lynch",24,"rb",4,3,215,"5-11","California","4/22/1986","3",1,"Buffalo Bills / 1st / 12th pick / 2007"
"36",80,"David Martin",31,"TE",16,9,260,"6-4","Tennessee","3/13/1979","9",0,"Green Bay Packers / 6th / 198th pick / 2001"
"37",58,"Aaron Maybin",22,"lb",11,1,245,"6-4","Penn St.","4/6/1988","1",1,"Buffalo Bills / 1st / 11th pick / 2009"
"38",97,"John McCargo",27,"",1,0,295,"6-2","North Carolina St.","8/19/1983","4",0,"Buffalo Bills / 1st / 26th pick / 2006"
"39",24,"Terrence McGee",30,"lcb",9,3,195,"5-9","NW State (LA)","10/14/1980","7",1,"Buffalo Bills / 4th / 111th pick / 2003"
"40",38,"Corey McIntyre",31,"fb",16,7,245,"6-0","West Virginia","1/25/1979","5",0,""
"41",28,"Leodis McKelvin",25,"LCB",16,14,190,"5-11","Troy","9/1/1985","2",4,"Buffalo Bills / 1st / 11th pick / 2008"
"42",NA,"Jamon Meredith",24,"",2,0,289,"6-4","South Carolina","5/11/1986","1",0,"Green Bay Packers / 5th / 162nd pick / 2009"
"43",52,"Arthur Moats",22,"lb",15,4,246,"6-0","James Madison","3/14/1988","Rook",2,"Buffalo Bills / 6th / 178th pick / 2010"
"44",8,"Brian Moorman",34,"",16,0,175,"6-0","Pittsburg St.","2/5/1976","9",2,""
"45",86,"David Nelson",24,"wr",15,3,217,"6-5","Florida","11/7/1986","Rook",3,""
"46",89,"Shawn Nelson",25,"te",5,1,238,"6-4","Southern Miss","10/5/1985","1",0,"Buffalo Bills / 4th / 121st pick / 2009"
"47",11,"Roscoe Parrish",28,"wr",8,6,168,"5-10","Miami (FL)","7/16/1982","5",3,"Buffalo Bills / 2nd / 55th pick / 2005"
"48",NA,"Erik Pears",28,"rt",2,1,305,"6-8","Colorado St.","6/25/1982","4",0,""
"49",51,"Paul Posluszny",26,"LB",14,14,238,"6-2","Penn St.","10/10/1984","3",6,"Buffalo Bills / 2nd / 34th pick / 2007"
"50",NA,"Chad Rinehart",25,"rg",4,3,320,"6-5","Northern Iowa","5/4/1985","2",1,"Washington Redskins / 3rd / 96th pick / 2008"
"51",18,"Naaman Roosevelt",23,"wr",6,1,189,"6-0","Buffalo","12/24/1987","Rook",1,""
