"","No.","Player.","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr.","Cap.Hit"
"1",90,"T.J. Barnes",25,"dt",4,1,364,"6-7","Georgia Tech","6/14/1990","2",1,"",""
"2",53,"Nigel Bradham",26,"LB",11,11,241,"6-2","Florida St.","9/4/1989","3",5,"Buffalo Bills / 4th / 105th pick / 2012","$1,656,356"
"3",33,"Ron Brooks",27,"",12,0,190,"5-10","LSU","10/16/1988","3",1,"Buffalo Bills / 4th / 124th pick / 2012","$760,135"
"4",52,"Preston Brown",23,"MLB",16,16,251,"6-1","Louisville","10/27/1992","1",9,"Buffalo Bills / 3rd / 73rd pick / 2014","$702,000"
"5",97,"Corbin Bryant",27,"DT",16,10,300,"6-4","Northwestern","1/4/1988","4",6,"","$585,000"
"6",39,"Mario Butler",27,"lcb",13,1,180,"6-0","Georgia Tech","10/20/1988","4",1,"","$585,000"
"7",2,"Dan Carpenter",30,"",16,0,216,"6-2","Montana","11/25/1985","7",3,"","$2,362,500"
"8",98,"Alex Carrington",28,"de",7,1,284,"6-5","Arkansas St.","6/19/1987","5",1,"Buffalo Bills / 3rd / 72nd pick / 2010","$665,000"
"9",16,"Matt Cassel",33,"qb",1,1,230,"6-5","USC","5/17/1982","10",0,"New England Patriots / 7th / 230th pick / 2005","$2,000,000"
"10",96,"Stefan Charles",27,"dt",13,1,302,"6-5","Regina","6/9/1988","2",2,"","$585,000"
"11",85,"Charles Clay",26,"TE",13,13,245,"6-3","Tulsa","2/13/1989","4",5,"Miami Dolphins / 6th / 174th pick / 2011","$5,000,000"
"12",NA,"Billy Cundiff",35,"",1,0,201,"6-1","Drake","3/30/1980","13",0,"",""
"13",28,"Ronald Darby",21,"LCB",15,15,195,"5-11","Florida St.","1/2/1994","Rook",6,"Buffalo Bills / 2nd / 50th pick / 2015","$830,853"
"14",99,"Marcell Dareus",25,"DT",15,15,319,"6-3","Alabama","3/13/1990","4",8,"Buffalo Bills / 1st / 3rd pick / 2011","$7,823,530"
"15",26,"Anthony Dixon",28,"rb",16,1,239,"6-1","Mississippi St.","9/24/1987","5",1,"San Francisco 49ers / 6th / 173rd pick / 2010","$1,266,666"
"16",81,"Marcus Easley",28,"",13,0,225,"6-2","Connecticut","11/2/1987","4",1,"Buffalo Bills / 4th / 107th pick / 2010","$1,350,000"
"17",75,"IK Enemkpali",24,"",11,0,261,"6-1","Louisiana Tech","7/3/1991","1",1,"New York Jets / 6th / 210th pick / 2014","$390,000"
"18",42,"Jerome Felton",29,"FB",16,8,246,"6-0","Furman","7/3/1986","7",0,"Detroit Lions / 5th / 146th pick / 2008","$1,750,000"
"19",4,"Jordan Gay",25,"",14,0,210,"6-1","Centre","3/29/1990","1",0,"","$510,000"
"20",35,"Mike Gillislee",25,"rb",5,1,208,"5-11","Florida","11/1/1990","2",2,"Miami Dolphins / 5th / 164th pick / 2013",""
"21",24,"Stephon Gilmore",25,"RCB",12,12,190,"6-0","South Carolina","9/19/1990","3",5,"Buffalo Bills / 1st / 10th pick / 2012","$3,844,959"
"22",77,"Cordy Glenn",26,"LT",16,16,345,"6-5","Georgia","9/18/1989","3",9,"Buffalo Bills / 2nd / 41st pick / 2012","$1,548,012"
"23",88,"Marquise Goodwin",25,"",2,0,183,"5-9","Texas","11/19/1990","2",0,"Buffalo Bills / 3rd / 78th pick / 2013","$764,719"
"24",89,"Chris Gragg",25,"te",13,4,244,"6-3","Arkansas","6/30/1990","2",1,"Buffalo Bills / 7th / 222nd pick / 2013","$599,793"
