"","No.","Player","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr."
"1",54,"Carlton Bailey",31,"RILB",16,14,242,"6-3","North Carolina","12/15/1964","7",9,"Buffalo Bills / 9th / 235th pick / 1988"
"2",23,"Randy Baldwin",28,"rb",7,2,220,"5-10","Mississippi","8/19/1967","4",0,"Minnesota Vikings / 4th / 92nd pick / 1991"
"3",6,"Tommy Barnhardt",32,"P",16,0,228,"6-2","East Carolina,North Carolina","6/11/1963","8",2,"Tampa Bay Buccaneers / 9th / 223rd pick / 1986"
"4",82,"Don Beebe",31,"wr",14,1,185,"5-11","West. Illinois,Aurora,Chadron St.","12/18/1964","6",1,"Buffalo Bills / 3rd / 82nd pick / 1989"
"5",78,"Blake Brockermeyer",22,"LT",16,16,295,"6-4","Texas","4/11/1973","Rook",6,"Carolina Panthers / 1st / 29th pick / 1995"
"6",53,"Paul Butcher",32,"",16,0,230,"6-0","Wayne State (MI)","11/8/1963","9",1,""
"7",33,"Butler By'not'e",23,"KR",7,0,190,"5-9","Ohio St.","9/29/1972","1",0,"Denver Broncos / 7th / 212th pick / 1994"
"8",87,"Matt Campbell",23,"g",10,2,284,"6-4","South Carolina","7/14/1972","Rook",1,""
"9",83,"Mark Carrier",30,"WR",16,14,186,"6-0","Nicholls St.","10/28/1965","8",7,"Tampa Bay Buccaneers / 3rd / 57th pick / 1987"
"10",44,"Bob Christian",27,"FB",14,12,226,"5-11","Northwestern","11/14/1968","3",3,"Atlanta Falcons / 12th / 310th pick / 1991"
"11",12,"Kerry Collins",23,"QB",15,13,248,"6-5","Penn St.","12/30/1972","Rook",5,"Carolina Panthers / 1st / 5th pick / 1995"
"12",56,"Darion Conner",28,"ROLB",16,16,250,"6-2","Jackson St.","9/28/1967","5",9,"Atlanta Falcons / 2nd / 27th pick / 1990"
"13",37,"Chad Cota",24,"",16,0,198,"6-1","Oregon","8/8/1971","Rook",2,"Carolina Panthers / 7th / 209th pick / 1995"
"14",62,"Mark Dennis",30,"RT",12,9,300,"6-6","Illinois","4/15/1965","8",3,"Miami Dolphins / 8th / 212th pick / 1987"
"15",52,"Matt Elliott",27,"RG",15,14,288,"6-3","Michigan","10/1/1968","3",5,"Washington Redskins / 12th / 336th pick / 1992"
"16",55,"Brett Faryniarz",30,"lb",15,1,230,"6-3","San Diego St.","7/23/1965","7",2,""
"17",97,"Jeff Fields",28,"",2,0,320,"6-3","Arkansas St.","7/3/1967","Rook",0,"Los Angeles Rams / 9th / 228th pick / 1991"
"18",93,"Mike Fox",28,"LDE",16,16,285,"6-8","West Virginia","8/5/1967","5",10,"New York Giants / 2nd / 51st pick / 1990"
"19",65,"Frank Garcia",23,"LG",15,14,302,"6-2","Washington","1/28/1972","Rook",5,"Carolina Panthers / 4th / 132nd pick / 1995"
"20",74,"Derrick Graham",28,"rt",11,7,310,"6-4","Appalachian St.","3/18/1967","5",3,"Kansas City Chiefs / 5th / 124th pick / 1990"
"21",86,"Willie Green",29,"wr",16,7,185,"6-4","Mississippi","4/2/1966","4",6,"Detroit Lions / 8th / 194th pick / 1990"
"22",30,"Howard Griffith",28,"fb",15,7,230,"6-0","Illinois","11/17/1967","2",1,"Indianapolis Colts / 9th / 236th pick / 1991"
"23",84,"Eric Guliford",26,"PR",14,9,170,"5-8","Arizona St.","10/25/1969","2",4,""
"24",24,"Alan Haller",25,"",2,0,186,"5-11","Michigan St.","8/9/1970","3",0,"Pittsburgh Steelers / 5th / 123rd pick / 1992"
"25",59,"Travis Hill",26,"",3,0,240,"6-2","Nebraska","10/3/1969","1",0,"Cleveland Browns / 7th / 180th pick / 1993"
"26",23,"Anthony Johnson",28,"",7,0,225,"6-0","Notre Dame","10/25/1967","5",1,"Indianapolis Colts / 2nd / 36th pick / 1990"
"27",81,"Reggie Jones",24,"",1,0,175,"6-0","LSU","5/8/1971","Rook",0,""
"28",4,"John Kasay",26,"K",16,0,198,"5-10","Georgia","10/27/1969","4",3,"Seattle Seahawks / 4th / 98th pick / 1991"
"29",96,"Shawn King",23,"",14,0,288,"6-3","LSU,La-Monroe","6/24/1972","Rook",1,"Carolina Panthers / 2nd / 36th pick / 1995"
"30",71,"Greg Kragen",33,"NT",16,14,263,"6-3","Utah St.","3/4/1962","10",10,""
"31",57,"Lamar Lathon",28,"LOLB",15,15,260,"6-3","Houston","12/23/1967","5",9,"Houston Oilers / 1st / 15th pick / 1990"
"32",29,"Steve Lofton",27,"db",10,2,180,"5-9","Texas A&M","11/26/1968","4",2,""
"33",79,"Sean Love",27,"g",11,1,304,"6-3","Penn St.","9/6/1968","2",1,"Dallas Cowboys / 10th / 264th pick / 1991"
"34",78,"Emerson Martin",25,"g",2,1,302,"6-3","Catawba,Hampton","5/6/1970","Rook",0,""
"35",39,"Brett Maxie",33,"SS",16,16,194,"6-2","Texas Southern","1/13/1962","10",10,""
"36",25,"Bubba McDowell",29,"db",16,3,206,"6-1","Miami (FL)","11/4/1966","6",3,"Houston Oilers / 3rd / 77th pick / 1989"
"37",22,"Tim McKyer",32,"LCB",16,16,174,"6-0","Texas-Arlington","9/5/1963","9",10,"San Francisco 49ers / 3rd / 64th pick / 1986"
"38",88,"Pete Metzelaars",35,"TE",14,14,254,"6-7","Wabash","5/24/1960","13",1,"Seattle Seahawks / 3rd / 75th pick / 1982"
"39",51,"Sam Mills",36,"LILB",16,16,229,"5-9","Montclair St.","6/3/1959","9",13,""
"40",20,"Derrick Moore",28,"RB",13,10,229,"6-0","Troy,NE State (OK)","10/13/1967","2",4,"Atlanta Falcons / 8th / 216th pick / 1992"
"41",60,"Andrew Peterson",23,"t",4,2,308,"6-5","Washington","6/11/1972","Rook",1,"Carolina Panthers / 5th / 171st pick / 1995"
"42",34,"Dino Philyaw",25,"",1,0,205,"5-10","Oregon","10/30/1970","Rook",0,"New England Patriots / 6th / 195th pick / 1995"
"43",38,"Tyrone Poole",23,"LCB",16,13,188,"5-8","Fort Valley St.","2/3/1972","Rook",7,"Carolina Panthers / 1st / 22nd pick / 1995"
"44",92,"Shawn Price",25,"",16,0,290,"6-4","Pacific","3/28/1970","2",2,""
"45",89,"Walter Rasby",23,"te",9,2,252,"6-3","Wake Forest","9/7/1972","1",0,""
"46",45,"Michael Reed",23,"",1,0,180,"5-9","Boston Col.","8/16/1972","Rook",0,"Carolina Panthers / 7th / 249th pick / 1995"
"47",14,"Frank Reich",34,"qb",3,3,210,"6-4","Maryland","12/4/1961","10",1,"Buffalo Bills / 3rd / 57th pick / 1985"
"48",63,"Mark Rodenhauser",34,"",16,0,270,"6-5","Illinois St.","6/1/1961","8",1,""
"49",58,"Andre Royal",23,"",12,0,232,"6-2","Alabama","12/1/1972","Rook",1,""
"50",21,"Rod Smith",25,"rcb",16,5,187,"5-11","Notre Dame","3/12/1970","3",3,"New England Patriots / 2nd / 35th pick / 1992"
"51",80,"Dwight Stone",31,"",16,0,191,"6-0","Middle Tenn. St.","1/28/1964","8",0,""
"52",40,"Pat Terrell",27,"FS",16,13,204,"6-1","Notre Dame","3/18/1968","5",8,"Los Angeles Rams / 2nd / 49th pick / 1990"
"53",31,"Blair Thomas",28,"",7,0,198,"5-10","Penn St.","10/7/1967","5",1,"New York Jets / 1st / 2nd pick / 1990"
"54",95,"Mark Thomas",26,"",10,0,272,"6-5","North Carolina St.","5/6/1969","2",1,"San Francisco 49ers / 4th / 89th pick / 1992"
"55",85,"Lawyer Tillman",29,"",5,0,230,"6-5","Auburn","5/20/1966","6",0,"Cleveland Browns / 2nd / 31st pick / 1989"
"56",10,"Jack Trudeau",33,"",1,0,227,"6-3","Illinois","9/9/1962","9",0,"Indianapolis Colts / 2nd / 47th pick / 1986"
"57",32,"Nate Turner",26,"",2,0,255,"6-1","Nebraska","5/28/1969","2",0,"Buffalo Bills / 6th / 167th pick / 1992"
"58",64,"Curtis Whitley",26,"C",16,16,295,"6-1","Chowan,Clemson","5/10/1969","3",6,"San Diego Chargers / 5th / 117th pick / 1992"
"59",98,"Gerald Williams",32,"RDE",16,16,290,"6-3","Auburn","9/8/1963","9",9,"Pittsburgh Steelers / 2nd / 36th pick / 1986"
"60",34,"Vince Workman",27,"",9,0,215,"5-10","Ohio St.","5/9/1968","6",1,"Green Bay Packers / 5th / 127th pick / 1989"
"61",90,"Jeff Zgonina",25,"",2,0,285,"6-2","Purdue","5/24/1970","2",0,"Pittsburgh Steelers / 7th / 185th pick / 1993"
"62",NA,"Team Total",27.6,"",16,NA,237.6,"6-1.5","","","4.1",NA,""
