"","No.","Player.","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr."
"1",86,"Darvin Adams",21,"",2,0,185,"6-3","Auburn","1/5/1990","Rook",0,""
"2",19,"Seyi Ajirotutu",24,"",14,0,211,"6-3","Fresno St.","6/12/1987","1",0,""
"3",3,"Derek Anderson",28,"",2,0,229,"6-6","Oregon St.","6/15/1983","5",0,"Baltimore Ravens / 6th / 213th pick / 2005"
"4",50,"James Anderson",28,"LB",16,16,220,"6-3","Virginia Tech","9/26/1983","5",6,"Carolina Panthers / 3rd / 88th pick / 2006"
"5",93,"Antwan Applewhite",26,"de",12,1,246,"6-3","San Diego St.","12/31/1985","3",1,""
"6",7,"Jason Baker",33,"",16,0,201,"6-1","Iowa","5/17/1978","10",1,""
"7",52,"Jon Beason",26,"mlb",1,1,237,"6-0","Miami (FL)","1/14/1985","4",0,"Carolina Panthers / 1st / 25th pick / 2007"
"8",77,"Byron Bell",22,"RT",16,12,340,"6-5","New Mexico","1/17/1989","Rook",7,""
"9",73,"Mackenzy Bernadeau",25,"lg",15,1,292,"6-4","Bentley College","1/3/1986","3",2,"Carolina Panthers / 7th / 250th pick / 2008"
"10",47,"Richie Brockel",25,"fb",11,2,251,"6-1","Boise St.","7/24/1986","Rook",0,""
"11",60,"Bryant Browning",23,"",1,0,319,"6-4","Ohio St.","6/26/1988","Rook",0,""
"12",27,"Darius Butler",25,"cb",13,6,180,"5-10","Connecticut","3/18/1986","2",2,"New England Patriots / 2nd / 41st pick / 2009"
"13",55,"Dan Connor",26,"MLB",15,11,233,"6-3","Penn St.","11/2/1985","3",4,"Carolina Panthers / 3rd / 74th pick / 2008"
"14",37,"Sean Considine",30,"",4,0,206,"6-1","Iowa","10/28/1981","6",0,"Philadelphia Eagles / 4th / 102nd pick / 2005"
"15",58,"Thomas Davis",28,"lb",2,2,231,"6-1","Georgia","3/22/1983","6",1,"Carolina Panthers / 1st / 14th pick / 2005"
"16",14,"Armanti Edwards",23,"",16,0,191,"5-11","Appalachian St.","3/8/1988","1",0,"Carolina Panthers / 3rd / 89th pick / 2010"
"17",45,"Jerome Felton",25,"fb",9,1,246,"6-0","Furman","7/3/1986","3",0,"Detroit Lions / 5th / 146th pick / 2008"
"18",91,"Ronald Fields",30,"",6,0,310,"6-2","Mississippi St.","9/13/1981","6",0,"San Francisco 49ers / 5th / 137th pick / 2005"
"19",94,"Sione Fua",23,"NT",11,11,307,"6-1","Stanford","6/15/1988","Rook",3,"Carolina Panthers / 3rd / 97th pick / 2011"
"20",59,"Omar Gaither",27,"lb",10,4,235,"6-2","Tennessee","3/18/1984","5",2,"Philadelphia Eagles / 5th / 168th pick / 2006"
"21",20,"Chris Gamble",28,"LCB",15,15,200,"6-1","Ohio St.","3/11/1983","7",5,"Carolina Panthers / 1st / 28th pick / 2004"
"22",30,"Charles Godfrey",26,"SS",14,14,207,"6-0","Iowa","11/15/1985","3",4,"Carolina Panthers / 3rd / 67th pick / 2008"
"23",33,"Mike Goodson",24,"",4,0,195,"5-11","Texas A&M","5/23/1987","2",0,"Carolina Panthers / 4th / 111th pick / 2009"
"24",69,"Jordan Gross",31,"LT",15,15,300,"6-4","Utah","7/20/1980","8",9,"Carolina Panthers / 1st / 8th pick / 2003"
"25",63,"Geoff Hangartner",29,"RG",16,16,301,"6-5","Texas A&M","4/22/1982","6",9,"Carolina Panthers / 5th / 169th pick / 2005"
"26",76,"Greg Hardy",23,"DE",16,16,279,"6-4","Mississippi","7/28/1988","1",5,"Carolina Panthers / 6th / 175th pick / 2010"
"27",84,"Ben Hartsock",31,"te",15,2,264,"6-4","Ohio St.","7/5/1980","7",0,"Indianapolis Colts / 3rd / 68th pick / 2004"
"28",36,"Jermale Hines",24,"",5,0,214,"6-1","Ohio St.","11/11/1987","Rook",0,"St. Louis Rams / 5th / 158th pick / 2011"
"29",21,"Brandon Hogan",23,"",3,0,192,"5-10","West Virginia","4/1/1988","Rook",0,"Carolina Panthers / 4th / 98th pick / 2011"
"30",44,"J.J. Jansen",25,"",16,0,254,"6-2","Notre Dame","1/20/1986","2",1,""
"31",95,"Charles Johnson",25,"DE",15,15,270,"6-2","Georgia","7/10/1986","4",5,"Carolina Panthers / 3rd / 83rd pick / 2007"
"32",67,"Ryan Kalil*",26,"C",16,16,299,"6-3","USC","3/29/1985","4",15,"Carolina Panthers / 2nd / 59th pick / 2007"
"33",99,"Frank Kearse",23,"dt",6,4,315,"6-4","Alabama A&M","10/28/1988","Rook",1,"Miami Dolphins / 7th / 231st pick / 2011"
"34",61,"Thomas Keiser",22,"",8,0,244,"6-4","Stanford","3/28/1989","Rook",1,""
