"","No.","Player.","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr.","Cap.Hit"
"1",97,"Mario Addison",29,"DE",12,0,239,"6-2","Troy","9/6/1987","5",NA,"","$1,620,000"
"2",65,"Chas Alecxih",27,"DT",NA,NA,296,"6-3","Pittsburgh","2/10/1989","4",NA,"","$458,500"
"3",3,"Derek Anderson",33,"QB",5,2,229,"6-6","Oregon St.","6/15/1983","10",NA,"Baltimore Ravens / 6th / 213th pick / 2005","$1,950,000"
"4",34,"Cameron Artis-Payne",26,"RB",3,3,212,"5-10","Auburn","6/23/1990","1",NA,"Carolina Panthers / 5th / 174th pick / 2015","$566,563"
"5",13,"Kelvin Benjamin",25,"WR",14,11,240,"6-5","Florida St.","2/5/1991","2",NA,"Carolina Panthers / 1st / 28th pick / 2014","$2,090,250"
"6",11,"Brenton Bersin",26,"WR",9,0,211,"6-3","Wofford","5/9/1990","3",NA,"","$600,000"
"7",33,"Tre Boston",24,"FS",14,9,204,"6-0","North Carolina","6/25/1992","2",NA,"Carolina Panthers / 4th / 128th pick / 2014","$701,367"
"8",24,"James Bradberry",23,"CB",11,11,211,"6-1","Samford,Arkansas St.","8/4/1993","Rook",NA,"Carolina Panthers / 2nd / 62nd pick / 2016","$720,152"
"9",10,"Corey Brown",25,"WR",14,6,190,"6-0","Ohio St.","12/16/1991","2",NA,"","$605,000"
"10",92,"Vernon Butler",22,"DT",8,0,323,"6-4","Louisiana Tech","6/14/1994","Rook",NA,"Carolina Panthers / 1st / 30th pick / 2016","$1,526,639"
"11",86,"LaRon Byrd",27,"WR",NA,NA,220,"6-4","Miami (FL)","8/18/1989","4",NA,"","$600,000"
"12",57,"Jeremy Cash",24,"LB",8,0,215,"6-0","","12/6/1992","Rook",NA,"","$456,666"
"13",20,"Kurt Coleman",28,"LB",13,13,195,"5-11","Ohio St.","7/1/1988","6",NA,"Philadelphia Eagles / 7th / 244th pick / 2010","$2,184,375"
"14",58,"Thomas Davis",33,"LB",14,14,231,"6-1","Georgia","3/22/1983","11",NA,"Carolina Panthers / 1st / 14th pick / 2005","$7,500,000"
"15",91,"Ryan Delaire",24,"DE",6,0,265,"6-4","Towson","1/17/1992","1",NA,"","$525,000"
"16",84,"Ed Dickson",29,"TE",14,8,244,"6-4","Oregon","7/25/1987","6",NA,"Baltimore Ravens / 3rd / 70th pick / 2010","$2,566,666"
"17",94,"Kony Ealy",25,"DE",14,6,273,"6-4","Missouri","12/21/1991","2",NA,"Carolina Panthers / 2nd / 60th pick / 2014","$967,317"
"18",71,"Dan France",25,"T",NA,NA,300,"6-6","Michigan St.","4/1/1991","2",NA,"","$132,350"
"19",17,"Devin Funchess",22,"WR",14,7,230,"6-5","Michigan","5/21/1994","1",NA,"Carolina Panthers / 2nd / 41st pick / 2015","$1,254,747"
"20",9,"Graham Gano",29,"P",14,0,192,"6-0","Florida St.","4/9/1987","7",NA,"","$3,850,000"
"21",19,"Ted Ginn",31,"WR",14,6,178,"5-11","Ohio St.","4/12/1985","9",NA,"Miami Dolphins / 1st / 9th pick / 2007","$2,775,000"
"22",66,"Gino Gradkowski",28,"G",9,3,300,"6-3","Delaware","11/5/1988","4",NA,"Baltimore Ravens / 4th / 98th pick / 2012","$950,000"
"23",22,"Michael Griffin",31,"DB",11,5,202,"6-0","Texas","1/4/1985","9",NA,"Tennessee Titans / 1st / 19th pick / 2007","$3,000,000"
"24",96,"Wes Horton",26,"DE",9,8,261,"6-5","USC","1/18/1990","3",NA,"","$675,000"
"25",53,"Ben Jacobs",28,"LB",1,0,243,"6-4","Fresno St.","4/17/1988","5",NA,"","$158,824"
"26",44,"J.J. Jansen",30,"C",14,0,254,"6-2","Notre Dame","1/20/1986","7",NA,"","$1,025,000"
"27",95,"Charles Johnson",30,"DE",12,12,270,"6-2","Georgia","7/10/1986","9",NA,"Carolina Panthers / 3rd / 83rd pick / 2007","$2,562,500"
"28",47,"Devon Johnson",23,"FB",NA,NA,245,"6-0","","7/28/1993","Rook",NA,"","$450,000"
"29",23,"Leonard Johnson",26,"CB",8,0,198,"5-10","Iowa St.","3/10/1990","4",NA,"","$760,000"
"30",42,"Colin Jones",29,"DB",12,1,200,"5-11","TCU","10/27/1987","5",NA,"San Francisco 49ers / 6th / 190th pick / 2011","$885,000"
"31",67,"Ryan Kalil",31,"C",8,8,299,"6-3","USC","3/29/1985","9",NA,"Carolina Panthers / 2nd / 59th pick / 2007","$11,829,000"
"32",56,"A.J. Klein",25,"ILB",13,5,250,"6-1","Iowa St.","7/30/1991","3",NA,"Carolina Panthers / 5th / 148th pick / 2013","$722,825"
"33",59,"Luke Kuechly",25,"ILB",10,10,242,"6-3","Boston Col.","4/20/1991","4",NA,"Carolina Panthers / 1st / 9th pick / 2012","$6,000,000"
"34",69,"Tyler Larsen",25,"C",6,3,313,"6-4","Utah St.","7/8/1991","Rook",NA,"","$450,000"
"35",8,"Andy Lee",34,"P",9,0,205,"6-0","Pittsburgh","8/11/1982","12",NA,"San Francisco 49ers / 6th / 188th pick / 2004","$2,833,000"
"36",98,"Star Lotulelei",27,"DT",14,14,311,"6-3","Utah","12/20/1989","3",NA,"Carolina Panthers / 1st / 14th pick / 2013","$3,055,977"
"37",93,"Kyle Love",30,"DT",9,1,301,"6-1","Mississippi St.","11/18/1986","6",NA,"","$625,882"
"38",82,"Chris Manhertz",24,"TE",2,0,255,"6-6","Canisius","4/10/1992","2",NA,"","$450,000"
"39",29,"Dean Marlowe",NA,"S",1,0,205,"6-1","James Madison","","1",NA,"","$530,000"
"40",55,"David Mayo",23,"ILB",13,0,240,"6-1","Texas St.","8/18/1993","1",NA,"Carolina Panthers / 5th / 169th pick / 2015","$566,563"
"41",1,"Cam Newton",27,"QB",13,12,260,"6-6","Auburn","5/11/1989","5",NA,"Carolina Panthers / 1st / 1st pick / 2011","$19,500,000"
"42",52,"Jared Norris",23,"LB",12,0,240,"6-1","","7/19/1993","Rook",NA,"","$450,000"
