"","No.","Player","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr."
"1",20,"James Allen",24,"rb",12,3,212,"5-10","Oklahoma","3/28/1975","1",1,""
"2",84,"John Allred",25,"te",16,5,249,"6-4","USC","9/9/1974","2",1,"Chicago Bears / 2nd / 38th pick / 1997"
"3",70,"Ken Anderson",24,"",2,0,310,"6-3","Arkansas","10/4/1975","Rook",0,""
"4",36,"Raymond Austin",25,"",15,0,190,"5-11","Tennessee","12/21/1974","2",0,"New York Jets / 5th / 145th pick / 1997"
"5",23,"Jerry Azumah",22,"rcb",16,2,195,"5-10","New Hampshire","9/1/1977","Rook",0,"Chicago Bears / 5th / 147th pick / 1999"
"6",87,"D'Wayne Bates",24,"wr",7,1,212,"6-2","Northwestern","12/4/1975","Rook",0,"Chicago Bears / 3rd / 71st pick / 1999"
"7",32,"Edgar Bennett",30,"rb",16,2,217,"6-0","Florida St.","2/15/1969","7",1,"Green Bay Packers / 4th / 103rd pick / 1992"
"8",18,"Chris Boniol",28,"",10,0,169,"5-11","Louisiana Tech","12/9/1971","5",0,""
"9",86,"Marty Booker",23,"wr",9,4,212,"6-0","La-Monroe","7/31/1976","Rook",1,"Chicago Bears / 3rd / 78th pick / 1999"
"10",78,"Blake Brockermeyer",26,"LT",15,15,295,"6-4","Texas","4/11/1973","4",7,"Carolina Panthers / 1st / 29th pick / 1995"
"11",83,"Macey Brooks",24,"wr",9,2,212,"6-5","James Madison","2/2/1975","Rook",1,"Dallas Cowboys / 4th / 127th pick / 1997"
"12",52,"Keith Burns",27,"",15,0,235,"6-2","Oklahoma St.","5/16/1972","5",0,"Denver Broncos / 7th / 210th pick / 1994"
"13",94,"Shane Burton",25,"",15,0,305,"6-6","Tennessee","1/18/1974","3",0,"Miami Dolphins / 5th / 150th pick / 1996"
"14",25,"Tom Carter",27,"rcb",12,6,185,"6-0","Notre Dame","9/5/1972","6",4,"Washington Redskins / 1st / 17th pick / 1993"
