"","No.","Player.","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr."
"1",27,"Rabih Abdullah",28,"",15,0,220,"6-0","Lehigh","4/27/1975","4",1,""
"2",23,"Jerry Azumah*",26,"RCB",16,13,195,"5-10","New Hampshire","9/1/1977","4",13,"Chicago Bears / 5th / 147th pick / 1999"
"3",86,"Marty Booker",27,"WR",13,13,212,"6-0","La-Monroe","7/31/1976","4",6,"Chicago Bears / 3rd / 78th pick / 1999"
"4",70,"Alfonso Boone",27,"ldt",16,6,318,"6-4","Mount San Antonio JC","1/11/1976","2",4,"Detroit Lions / 7th / 253rd pick / 2000"
"5",55,"Lance Briggs",23,"LB",16,13,238,"6-1","Arizona","11/12/1980","Rook",6,"Chicago Bears / 3rd / 68th pick / 2003"
"6",96,"Alex Brown",24,"DE",16,16,262,"6-3","Florida","6/4/1979","1",8,"Chicago Bears / 4th / 104th pick / 2002"
"7",30,"Mike Brown",25,"FS",16,16,212,"5-10","Nebraska","2/13/1978","3",6,"Chicago Bears / 2nd / 39th pick / 2000"
"8",12,"Chris Chandler",38,"qb",8,6,224,"6-4","Washington","10/12/1965","15",1,"Indianapolis Colts / 3rd / 76th pick / 1988"
"9",88,"Desmond Clark",26,"TE",15,15,255,"6-3","Wake Forest","4/20/1977","4",4,"Denver Broncos / 6th / 179th pick / 1999"
"10",93,"Phillip Daniels",30,"DE",16,16,290,"6-3","Georgia","3/4/1973","7",7,"Seattle Seahawks / 4th / 99th pick / 1996"
"11",2,"Paul Edinger",25,"",16,0,175,"5-8","Michigan St.","1/17/1978","3",2,"Chicago Bears / 6th / 174th pick / 2000"
"12",79,"Steve Edwards",24,"LG",16,16,330,"6-5","Tennessee St.,Central Florida","2/20/1979","1",6,""
"13",44,"Brock Forsey",23,"rb",9,2,203,"5-11","Boise St.","2/11/1980","Rook",2,"Chicago Bears / 6th / 206th pick / 2003"
"14",87,"Justin Gage",22,"wr",10,3,208,"6-4","Missouri","1/24/1981","Rook",3,"Chicago Bears / 5th / 143rd pick / 2003"
"15",69,"Mike Gandy",24,"LT",14,14,310,"6-4","Notre Dame","1/3/1979","1",6,"Chicago Bears / 3rd / 68th pick / 2001"
"16",78,"Aaron Gibson",26,"RT",16,16,375,"6-6","Wisconsin","9/27/1977","3",6,"Detroit Lions / 1st / 27th pick / 1999"
"17",85,"John Gilmore",24,"te",15,1,260,"6-4","Penn St.","9/21/1979","1",0,"New Orleans Saints / 6th / 196th pick / 2002"
"18",25,"Bobby Gray",25,"ss",16,9,212,"6-0","Louisiana Tech","4/30/1978","1",4,"Chicago Bears / 5th / 140th pick / 2002"
"19",43,"Michael Green",27,"SS",10,8,195,"6-0","NW State (LA)","12/6/1976","3",3,"Chicago Bears / 7th / 254th pick / 2000"
"20",8,"Rex Grossman",23,"qb",3,3,222,"6-1","Florida","8/23/1980","Rook",1,"Chicago Bears / 1st / 22nd pick / 2003"
"21",97,"Michael Haynes",23,"",16,0,274,"6-3","Penn St.","9/13/1980","Rook",2,"Chicago Bears / 1st / 14th pick / 2003"
"22",92,"Hunter Hillenmeyer",23,"",13,0,238,"6-4","Vanderbilt","10/28/1980","Rook",1,"Green Bay Packers / 5th / 166th pick / 2003"
"23",53,"Warrick Holdman",28,"LB",13,13,234,"6-1","Texas A&M","11/22/1975","4",6,"Chicago Bears / 4th / 106th pick / 1999"
"24",52,"Bobbie Howard",26,"",3,0,232,"5-10","Notre Dame","6/14/1977","2",0,""
"25",82,"Robert Johnson",23,"",1,0,270,"6-6","Auburn","6/20/1980","Rook",0,""
"26",90,"Bryan Knight",24,"lb",16,2,238,"6-2","Pittsburgh","1/22/1979","1",4,"Chicago Bears / 5th / 165th pick / 2002"
"27",57,"Olin Kreutz*",26,"C",16,16,292,"6-2","Washington","6/9/1977","5",8,"Chicago Bears / 3rd / 64th pick / 1998"
"28",63,"Corbin Lacina",33,"rg",8,1,302,"6-4","Augustana (SD)","11/2/1970","9",1,"Buffalo Bills / 6th / 167th pick / 1993"
"29",73,"Tron LaFavor",24,"",4,0,290,"6-2","Florida","11/27/1979","Rook",0,"Chicago Bears / 5th / 171st pick / 2003"
"30",89,"Dustin Lyman",27,"te",9,1,245,"6-4","Wake Forest","8/5/1976","3",1,"Chicago Bears / 3rd / 87th pick / 2000"
"31",65,"Patrick Mannelly",28,"",16,0,265,"6-5","Duke","4/18/1975","5",1,"Chicago Bears / 6th / 189th pick / 1998"
"32",4,"Brad Maynard",29,"",16,0,186,"6-1","Ball St.","2/9/1974","6",2,"New York Giants / 3rd / 95th pick / 1997"
"33",37,"Jason McKie",23,"",6,0,240,"5-11","Temple","5/22/1980","1",0,""
"34",26,"Todd McMillon",30,"",13,0,190,"5-11","Northern Arizona","9/26/1973","3",1,""
"35",21,"R.W. McQuarters",27,"lcb",16,6,198,"5-10","Oklahoma St.","12/21/1976","5",4,"San Francisco 49ers / 1st / 28th pick / 1998"
"36",81,"Ahmad Merritt",26,"wr",15,1,195,"5-10","Wisconsin","2/5/1977","2",0,""
"37",60,"Terrence Metcalf",25,"rg",9,2,325,"6-3","Mississippi","1/28/1978","1",1,"Chicago Bears / 3rd / 93rd pick / 2002"
"38",72,"Qasim Mitchell",24,"lt",2,2,355,"6-6","North Carolina A&T","12/3/1979","Rook",1,""
"39",59,"Joe Odom",24,"lb",10,3,238,"6-1","Purdue","12/14/1979","Rook",2,"Chicago Bears / 6th / 191st pick / 2003"
"40",29,"Adrian Peterson",24,"rb",6,1,210,"5-10","Georgia Southern","7/1/1979","1",0,"Chicago Bears / 6th / 199th pick / 2002"
"41",36,"Stanley Pritchett",30,"FB",16,11,250,"6-2","South Carolina","12/22/1973","7",1,"Miami Dolphins / 4th / 118th pick / 1996"
"42",48,"Gabe Reid",26,"",1,0,260,"6-4","BYU","5/28/1977","Rook",0,""
"43",98,"Bryan Robinson",29,"RDT",16,16,305,"6-4","Fresno St.","6/22/1974","6",6,""
"44",74,"Scott Sanderson",29,"",1,0,295,"6-6","Washington St.","7/25/1974","6",0,"Tennessee Oilers / 3rd / 81st pick / 1997"
"45",95,"Ian Scott",22,"",6,0,305,"6-2","Florida","11/8/1981","Rook",0,"Chicago Bears / 4th / 116th pick / 2003"
"46",10,"Kordell Stewart",31,"qb",9,7,218,"6-1","Colorado","10/16/1972","8",3,"Pittsburgh Steelers / 2nd / 60th pick / 1995"
"47",99,"Joe Tafoya",25,"",16,0,278,"6-4","Arizona","9/6/1978","2",1,"Tampa Bay Buccaneers / 7th / 234th pick / 2001"
"48",83,"David Terrell",24,"wr",16,7,215,"6-3","Michigan","3/13/1979","2",3,"Chicago Bears / 1st / 8th pick / 2001"
"49",35,"Anthony Thomas",26,"RB",13,13,228,"6-2","Michigan","11/7/1977","2",7,"Chicago Bears / 2nd / 38th pick / 2001"
"50",33,"Charles Tillman",22,"LCB",16,13,196,"6-1","La-Lafayette","2/23/1981","Rook",5,"Chicago Bears / 2nd / 35th pick / 2003"
"51",94,"Keith Traylor",34,"LDT",10,10,340,"6-2","Oklahoma,Central Oklahoma","9/3/1969","12",4,"Denver Broncos / 3rd / 61st pick / 1991"
"52",54,"Brian Urlacher*",25,"MLB",16,16,258,"6-4","New Mexico","5/25/1978","3",9,"Chicago Bears / 1st / 9th pick / 2000"
"53",58,"Chris Villarrial",30,"RG",13,13,318,"6-3","Indiana (PA)","6/9/1973","7",5,"Chicago Bears / 5th / 152nd pick / 1996"
"54",84,"Bobby Wade",22,"wr",12,1,193,"5-10","Arizona","2/26/1981","Rook",1,"Chicago Bears / 5th / 139th pick / 2003"
"55",67,"Josh Warner",24,"",10,0,320,"6-5","Brockport St.","5/15/1979","Rook",1,""
"56",80,"Dez White",24,"WR",15,11,215,"6-1","Georgia Tech","8/23/1979","3",5,"Chicago Bears / 3rd / 69th pick / 2000"
"57",22,"Brock Williams",24,"",10,0,195,"5-10","Notre Dame","8/11/1979","Rook",1,"New England Patriots / 3rd / 86th pick / 2001"
"58",24,"Cameron Worrell",24,"",14,0,199,"5-11","Fresno St.","12/14/1979","Rook",1,""
"59",NA,"Team Total",25.9,"",16,NA,250.4,"6-1.8","","","2.8",NA,""
