"","No.","Player.","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr.","Cap.Hit"
"1",49,"Sam Acho",27,"lb",15,7,257,"6-1","Texas","9/6/1988","4",4,"Arizona Cardinals / 4th / 103rd pick / 2011","$550,588"
"2",69,"Jared Allen",33,"lb",3,3,265,"6-6","Idaho St.","4/3/1982","11",1,"Kansas City Chiefs / 4th / 126th pick / 2004","$12,500,000"
"3",38,"Adrian Amos",22,"S",16,16,214,"6-1","Penn St.","4/29/1993","Rook",6,"Chicago Bears / 5th / 142nd pick / 2015","$493,070"
"4",58,"Jonathan Anderson",24,"lb",11,3,227,"6-3","TCU","10/27/1991","Rook",2,"",""
"5",24,"Alan Ball",30,"cb",15,3,176,"6-1","Illinois","3/29/1985","8",2,"Dallas Cowboys / 7th / 237th pick / 2007","$3,000,000"
"6",57,"Lamin Barrow",25,"",16,0,237,"6-1","LSU","11/29/1990","1",1,"Denver Broncos / 5th / 156th pick / 2014","$510,000"
"7",71,"Nick Becton",25,"",5,0,323,"6-5","Virginia Tech","2/11/1990","2",0,"",""
"8",11,"Josh Bellamy",26,"wr",16,3,206,"6-0","Louisville","5/18/1989","3",2,"","$660,000"
"9",83,"Martellus Bennett",28,"TE",11,11,248,"6-7","Texas A&M","3/10/1987","7",4,"Dallas Cowboys / 2nd / 61st pick / 2008","$6,125,000"
"10",74,"Jermon Bushrod",31,"lt",12,4,315,"6-4","Towson","8/19/1984","8",3,"New Orleans Saints / 4th / 125th pick / 2007","$8,050,000"
"11",37,"Bryce Callahan",24,"cb",9,3,184,"5-10","Rice","10/23/1991","Rook",1,"","$437,500"
"12",25,"Ka'Deem Carey",23,"rb",10,1,207,"5-9","Arizona","10/30/1992","1",1,"Chicago Bears / 4th / 117th pick / 2014","$620,845"
"13",8,"Jimmy Clausen",28,"qb",2,1,217,"6-3","Notre Dame","9/21/1987","5",1,"Carolina Panthers / 2nd / 48th pick / 2010","$1,125,000"
"14",6,"Jay Cutler",32,"QB",15,15,225,"6-3","Vanderbilt","4/29/1983","9",12,"Denver Broncos / 1st / 11th pick / 2006","$16,500,000"
"15",62,"Vlad Ducasse",28,"RG",15,11,326,"6-5","Massachusetts","10/15/1987","5",6,"New York Jets / 2nd / 61st pick / 2010","$665,000"
"16",98,"Brandon Dunn",23,"",1,0,300,"6-2","Louisville","9/5/1992","1",0,"",""
"17",76,"Lavar Edwards",25,"",1,0,277,"6-4","LSU","3/29/1990","2",0,"Tennessee Titans / 5th / 142nd pick / 2013","$550,588"
"18",73,"Tayo Fabuluje",24,"",4,0,353,"6-7","TCU","7/17/1991","Rook",0,"Chicago Bears / 6th / 183rd pick / 2015","$467,841"
"19",95,"Ego Ferguson",24,"de",4,1,315,"6-3","LSU","9/22/1991","1",1,"Chicago Bears / 2nd / 51st pick / 2014","$934,819"
"20",22,"Matt Forte",30,"RB",13,13,221,"6-1","Tulane","12/10/1985","7",9,"Chicago Bears / 2nd / 44th pick / 2008","$9,200,000"
"21",23,"Kyle Fuller",23,"CB",16,16,194,"6-0","Virginia Tech","2/16/1992","1",6,"Chicago Bears / 1st / 14th pick / 2014","$2,201,591"
"22",43,"Thomas Gafford",32,"",11,0,252,"6-2","Houston","1/29/1983","7",1,"","$665,000"
"23",76,"Bruce Gaston",24,"",7,0,308,"6-2","Purdue","11/29/1991","1",1,"",""
"24",39,"Jacoby Glenn",22,"",1,0,180,"6-0","Central Florida","8/8/1993","Rook",0,"",""
"25",76,"Eddie Goldman",21,"NT",15,12,320,"6-3","Florida St.","1/6/1994","Rook",6,"Chicago Bears / 2nd / 39th pick / 2015","$1,033,875"
"26",9,"Robbie Gould",34,"",16,0,181,"6-1","Penn St.","12/6/1981","10",3,"","$3,600,000"
"27",55,"Hroniss Grasu",24,"C",8,8,297,"6-3","Oregon","8/12/1991","Rook",4,"Chicago Bears / 3rd / 71st pick / 2015","$625,479"
"28",90,"Evander Hood",28,"",2,0,298,"6-3","Missouri","2/16/1987","6",0,"Pittsburgh Steelers / 1st / 32nd pick / 2009",""
"29",88,"Rob Housler",27,"",4,0,238,"6-5","Florida Atlantic","3/17/1988","4",0,"Arizona Cardinals / 3rd / 69th pick / 2011",""
"30",99,"Lamarr Houston",28,"lb",16,2,302,"6-3","Texas","6/24/1987","5",3,"Oakland Raiders / 2nd / 44th pick / 2010","$6,990,000"
"31",30,"Demontre Hurst",24,"cb",7,1,200,"5-9","Oklahoma","3/24/1991","2",1,"","$510,000"
"32",17,"Alshon Jeffery",25,"WR",9,8,230,"6-4","South Carolina","2/14/1990","3",7,"Chicago Bears / 2nd / 45th pick / 2012","$1,447,036"
"33",96,"Jarvis Jenkins",27,"DE",15,15,309,"6-4","Clemson","4/24/1988","4",7,"Washington Redskins / 2nd / 41st pick / 2011","$825,000"
"34",59,"Christian Jones",24,"LB",15,13,240,"6-3","Florida St.","2/18/1991","1",6,"","$512,333"
"35",44,"Harold Jones-Quartey",22,"s",13,4,215,"5-11","Findlay","8/6/1993","Rook",2,"","$435,000"
"36",36,"Jeremy Langford",24,"rb",16,2,211,"6-0","Michigan St.","12/6/1991","Rook",6,"Chicago Bears / 4th / 106th pick / 2015","$570,906"
"37",NA,"Spencer Lanning",27,"",1,0,200,"5-11","South Carolina","5/21/1988","2",0,"",""
"38",82,"Khari Lee",23,"te",16,7,235,"6-4","Bowie St.","1/16/1992","Rook",0,"","$435,000"
"39",72,"Charles Leno",24,"LT",16,13,303,"6-4","Boise St.","10/9/1991","1",8,"Chicago Bears / 7th / 246th pick / 2014","$521,628"
"40",75,"Kyle Long*",27,"RT",16,16,313,"6-6","Oregon","12/5/1988","2",10,"Chicago Bears / 1st / 20th pick / 2013","$2,263,896"
"41",80,"Marc Mariani",28,"wr",16,5,190,"6-1","Montana","5/2/1987","5",2,"Tennessee Titans / 7th / 222nd pick / 2010","$660,000"
"42",36,"Sherrod Martin",31,"",11,0,197,"6-0","Troy","10/12/1984","6",1,"Carolina Panthers / 2nd / 59th pick / 2009",""
"43",50,"Shea McClellin",26,"LB",12,11,260,"6-3","Boise St.","8/1/1989","3",5,"Chicago Bears / 1st / 19th pick / 2012","$2,629,263"
"44",27,"Sherrick McManis",28,"cb",16,4,189,"5-11","Northwestern","12/19/1987","5",2,"Houston Texans / 5th / 144th pick / 2010","$665,000"
"45",92,"Pernell McPhee",27,"LB",14,12,274,"6-2","Mississippi St.","12/17/1988","4",6,"Baltimore Ravens / 5th / 165th pick / 2011","$6,675,000"
"46",81,"Cameron Meredith",23,"",11,0,200,"6-3","Illinois St.","9/21/1992","Rook",1,"","$437,000"
"47",86,"Zach Miller",31,"TE",15,14,233,"6-4","Nebraska-Omaha","10/4/1984","6",4,"Jacksonville Jaguars / 6th / 180th pick / 2009","$660,000"
"48",20,"Terrance Mitchell",23,"",5,0,192,"5-11","Oregon","5/17/1992","1",0,"Dallas Cowboys / 7th / 254th pick / 2014","$510,000"
"49",64,"Will Montgomery",32,"c",4,4,300,"6-3","Virginia Tech","2/13/1983","9",2,"Carolina Panthers / 7th / 234th pick / 2006","$665,000"
"50",16,"Pat O'Donnell",24,"",15,0,220,"6-4","Miami (FL)","2/22/1991","1",1,"Chicago Bears / 6th / 191st pick / 2014","$536,327"
"51",65,"Patrick Omameh",26,"RG",14,9,305,"6-4","Michigan","12/29/1989","2",5,"","$585,000"
"52",21,"Tracy Porter",29,"CB",14,13,185,"5-11","Indiana","8/11/1986","7",5,"New Orleans Saints / 2nd / 40th pick / 2008","$585,000"
"53",31,"Chris Prosinski",28,"s",13,5,201,"6-1","Wyoming","4/28/1987","4",3,"Jacksonville Jaguars / 4th / 121st pick / 2011",""
"54",90,"Jay Ratliff",34,"nt",2,2,293,"6-4","Auburn","8/29/1981","10",1,"Dallas Cowboys / 7th / 224th pick / 2005","$1,859,375"
"55",52,"LaRoy Reynolds",25,"lb",13,1,243,"6-1","Virginia","11/3/1990","2",1,"",""
"56",35,"Jacquizz Rodgers",25,"",5,0,190,"5-7","Oregon St.","2/6/1990","4",0,"Atlanta Falcons / 5th / 145th pick / 2011","$625,000"
"57",31,"Antrel Rolle",33,"s",7,7,202,"6-0","Miami (FL)","12/16/1982","10",3,"Arizona Cardinals / 1st / 8th pick / 2005","$5,000,000"
"58",19,"Eddie Royal",29,"WR",9,9,182,"5-10","Virginia Tech","5/21/1986","7",2,"Denver Broncos / 2nd / 42nd pick / 2008","$5,500,000"
"59",48,"Patrick Scales",27,"",5,0,244,"6-3","Utah St.","2/11/1988","1",0,"",""
"60",90,"Greg Scruggs",25,"",1,0,284,"6-3","Louisville","8/17/1990","3",0,"Seattle Seahawks / 7th / 232nd pick / 2012",""
"61",68,"Matt Slauson",29,"LG",16,16,320,"6-5","Nebraska","2/18/1986","6",8,"New York Jets / 6th / 193rd pick / 2009","$3,267,500"
"62",44,"Antone Smith",30,"",5,0,190,"5-9","Florida St.","9/17/1985","5",0,"",""
"63",70,"D'Anthony Smith",27,"",2,0,300,"6-2","Louisiana Tech","6/9/1988","4",0,"Jacksonville Jaguars / 3rd / 74th pick / 2010",""
"64",93,"Will Sutton",24,"de",13,7,303,"6-1","Arizona St.","10/3/1991","1",4,"Chicago Bears / 3rd / 82nd pick / 2014","$671,517"
"65",14,"Deonte Thompson",26,"",7,0,200,"6-0","Florida","2/14/1989","3",1,"",""
"66",53,"John Timu",23,"lb",7,3,241,"6-0","Washington","8/27/1992","Rook",2,"","$436,666"
"67",98,"Mitch Unrein",28,"de",14,4,270,"6-4","Wyoming","3/25/1987","4",3,"",""
"68",45,"Brock Vereen",23,"",3,0,199,"6-0","Minnesota","8/17/1992","1",0,"Chicago Bears / 4th / 131st pick / 2014","$607,875"
"69",94,"Cornelius Washington",26,"",1,0,265,"6-4","Georgia","9/10/1989","2",0,"Chicago Bears / 6th / 188th pick / 2013","$387,887"
"70",10,"Marquess Wilson",23,"wr",11,6,194,"6-3","Washington St.","9/14/1992","2",4,"Chicago Bears / 7th / 236th pick / 2013","$596,787"
"71",97,"Willie Young",30,"lb",15,8,251,"6-5","North Carolina St.","9/19/1985","5",5,"Detroit Lions / 7th / 213th pick / 2010","$3,166,666"
"72",NA,"Team Total",26.5,"",16,NA,245.6,"6-2.0","","","3.5",NA,"",""
