"","No.","Player","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr."
"1",65,"Mike Arthur",23,"c",7,3,280,"6-3","Texas A&M","5/7/1968","Rook",2,"Cincinnati Bengals / 5th / 130th pick / 1991"
"2",42,"Eric Ball",25,"KR",6,4,218,"6-2","UCLA","7/1/1966","2",0,"Cincinnati Bengals / 2nd / 35th pick / 1989"
"3",86,"Michael Barber",24,"wr",15,2,172,"5-10","Marshall","6/19/1967","2",2,"San Francisco 49ers / 4th / 112th pick / 1989"
"4",53,"Leo Barker",32,"LILB",16,11,226,"6-2","New Mexico St.","11/7/1959","7",4,"Cincinnati Bengals / 7th / 177th pick / 1984"
"5",35,"Antoine Bennett",24,"",3,0,185,"5-11","Florida A&M","11/29/1967","Rook",0,"Cincinnati Bengals / 12th / 322nd pick / 1991"
"6",24,"Lewis Billups",28,"lcb",13,7,190,"5-11","North Alabama","10/10/1963","5",3,"Cincinnati Bengals / 2nd / 38th pick / 1986"
"7",74,"Brian Blados",29,"t",6,3,300,"6-5","North Carolina","1/11/1962","7",2,"Cincinnati Bengals / 1st / 28th pick / 1984"
"8",55,"Ed Brady",29,"",16,0,238,"6-2","Illinois","6/17/1962","7",1,"Los Angeles Rams / 8th / 215th pick / 1984"
"9",3,"Jim Breech",35,"K",16,0,161,"5-6","California","4/11/1956","12",4,"Detroit Lions / 8th / 206th pick / 1978"
"10",60,"Mike Brennan",24,"",3,0,274,"6-5","Notre Dame","3/22/1967","1",0,"Cincinnati Bengals / 4th / 91st pick / 1990"
"11",21,"James Brooks",33,"RB",15,12,180,"5-10","Auburn","12/28/1958","10",6,"San Diego Chargers / 1st / 24th pick / 1981"
"12",81,"Eddie Brown",29,"WR",13,12,185,"6-0","Miami (FL)","12/17/1962","6",7,"Cincinnati Bengals / 1st / 13th pick / 1985"
"13",27,"Barney Bussey",29,"fs",12,7,215,"6-0","South Carolina St.","5/20/1962","5",3,"Cincinnati Bengals / 5th / 119th pick / 1984"
"14",57,"Bernard Clark",24,"",12,0,248,"6-2","Miami (FL)","1/12/1967","1",1,"Cincinnati Bengals / 3rd / 65th pick / 1990"
"15",38,"Mike Dingle",22,"",8,0,240,"6-2","South Carolina","1/30/1969","Rook",1,"Cincinnati Bengals / 8th / 211th pick / 1991"
"16",29,"Rickey Dixon",25,"FS",15,9,183,"5-11","Oklahoma","12/26/1966","3",3,"Cincinnati Bengals / 1st / 5th pick / 1988"
"17",7,"Boomer Esiason",30,"QB",14,14,224,"6-5","Maryland","4/17/1961","7",8,"Cincinnati Bengals / 2nd / 38th pick / 1984"
"18",31,"Richard Fain",23,"db",6,2,183,"5-10","Florida","2/29/1968","Rook",1,"Cincinnati Bengals / 6th / 157th pick / 1991"
"19",50,"James Francis",23,"LOLB",16,16,253,"6-5","Baylor","8/4/1968","1",6,"Cincinnati Bengals / 1st / 12th pick / 1990"
"20",33,"David Fulcher",27,"SS",16,16,236,"6-3","Arizona St.","9/28/1964","5",6,"Cincinnati Bengals / 3rd / 78th pick / 1986"
"21",89,"Shane Garrett",24,"",4,0,185,"5-11","Texas A&M","11/16/1967","Rook",0,"Cincinnati Bengals / 9th / 241st pick / 1991"
"22",58,"Alex Gordon",27,"lb",14,1,246,"6-5","Cincinnati","9/14/1964","4",1,"New York Jets / 2nd / 42nd pick / 1987"
"23",98,"David Grant",26,"RDE",13,13,277,"6-4","West Virginia","9/17/1965","3",4,"Cincinnati Bengals / 4th / 84th pick / 1988"
"24",28,"Harold Green",23,"FB",14,10,222,"6-2","South Carolina","1/29/1968","1",5,"Cincinnati Bengals / 2nd / 38th pick / 1990"
"25",45,"Wayne Haddix",26,"LCB",7,7,203,"6-1","Liberty","7/23/1965","4",2,""
"26",12,"Donald Hollas",24,"qb",8,1,215,"6-3","Rice","11/22/1967","Rook",1,"Cincinnati Bengals / 4th / 99th pick / 1991"
"27",82,"Rodney Holman",31,"TE",16,15,238,"6-3","Tulane","4/20/1960","9",4,"Cincinnati Bengals / 3rd / 82nd pick / 1982"
"28",80,"Lynn James",26,"wr",10,1,191,"6-0","SMU,Arizona St.","1/25/1965","1",1,"Cincinnati Bengals / 5th / 122nd pick / 1990"
"29",68,"Paul Jetton",27,"RG",8,8,295,"6-4","Texas","10/6/1964","2",3,"Cincinnati Bengals / 6th / 141st pick / 1988"
"30",11,"Lee Johnson",30,"P",16,0,200,"6-2","BYU","11/27/1961","6",3,"Houston Oilers / 5th / 138th pick / 1985"
"31",25,"Rod Jones",27,"db",4,2,185,"6-0","SMU","3/31/1964","5",1,"Tampa Bay Buccaneers / 1st / 25th pick / 1986"
"32",70,"Scott Jones",25,"",2,0,281,"6-5","Washington","3/20/1966","2",0,"Cincinnati Bengals / 12th / 334th pick / 1989"
"33",84,"Eric Kattus",28,"te",16,2,240,"6-5","Michigan","3/4/1963","5",1,"Cincinnati Bengals / 4th / 91st pick / 1986"
"34",41,"Joe King",23,"",6,0,195,"6-2","Oklahoma St.","5/7/1968","Rook",0,""
"35",64,"Bruce Kozerski",29,"C",16,16,287,"6-4","Holy Cross","4/2/1962","7",7,"Cincinnati Bengals / 9th / 231st pick / 1984"
"36",69,"Tim Krumrie",31,"NT",16,16,270,"6-2","Wisconsin","5/20/1960","8",6,"Cincinnati Bengals / 10th / 276th pick / 1983"
"37",72,"Skip McClendon",27,"",5,0,282,"6-6","Northwestern,Arizona St.","4/9/1964","4",0,"Cincinnati Bengals / 3rd / 77th pick / 1987"
"38",85,"Tim McGee",27,"WR",16,16,183,"5-10","Tennessee","8/7/1964","5",6,"Cincinnati Bengals / 1st / 21st pick / 1986"
"39",99,"Alonzo Mitz",28,"LDE",15,13,275,"6-3","Florida","6/5/1963","5",5,"Seattle Seahawks / 8th / 211th pick / 1986"
"40",73,"Ken Moyer",25,"RG",15,10,297,"6-7","Toledo","11/19/1966","2",5,""
"41",78,"Anthony Munoz*",33,"LT",13,13,278,"6-6","USC","8/19/1958","11",9,"Cincinnati Bengals / 1st / 3rd pick / 1980"
"42",32,"Mitchell Price",24,"PR",13,2,181,"5-9","SMU,Tulane","5/10/1967","1",1,"Cincinnati Bengals / 9th / 234th pick / 1990"
"43",75,"Bruce Reimers",31,"LG",10,8,285,"6-7","Iowa St.","9/28/1960","7",4,"Cincinnati Bengals / 8th / 204th pick / 1984"
"44",88,"Reggie Rembert",25,"",16,0,200,"6-5","West Virginia","12/25/1966","Rook",1,"New York Jets / 2nd / 28th pick / 1990"
"45",87,"Jim Riggs",28,"te",16,1,245,"6-5","Clemson","9/29/1963","4",0,"Cincinnati Bengals / 4th / 103rd pick / 1987"
"46",79,"Lamar Rogers",24,"de",11,3,290,"6-4","Auburn","11/5/1967","Rook",1,"Cincinnati Bengals / 2nd / 52nd pick / 1991"
"47",70,"Rod Saddler",26,"",2,0,276,"6-5","Texas A&M","9/26/1965","4",0,"St. Louis Cardinals / 4th / 90th pick / 1987"
"48",76,"Kirk Scrafford",24,"lt",9,5,270,"6-6","Montana","3/15/1967","1",2,""
"49",67,"Danny Stubbs",26,"",7,0,265,"6-4","Miami (FL)","1/3/1965","3",1,"San Francisco 49ers / 2nd / 33rd pick / 1988"
"50",71,"Ralph Tamm",25,"",1,0,280,"6-4","West Chester","3/11/1966","1",0,"New York Jets / 9th / 230th pick / 1988"
"51",20,"Craig Taylor",25,"rb",12,3,224,"5-11","West Virginia","1/3/1966","2",2,"Cincinnati Bengals / 6th / 166th pick / 1989"
"52",22,"Eric Thomas",27,"RCB",16,16,184,"5-11","Tulane","9/11/1964","4",5,"Cincinnati Bengals / 2nd / 49th pick / 1987"
"53",96,"Natu Tuatagaloa",25,"de",16,4,273,"6-4","California","5/25/1966","2",2,"Cincinnati Bengals / 5th / 138th pick / 1989"
"54",34,"Fernandus Vinson",23,"",13,0,197,"5-10","North Carolina St.","11/3/1968","Rook",1,"Cincinnati Bengals / 7th / 184th pick / 1991"
"55",59,"Kevin Walker",26,"lb",5,4,238,"6-2","Maryland","12/24/1965","3",1,"Cincinnati Bengals / 3rd / 57th pick / 1988"
"56",63,"Joe Walter",28,"RT",15,14,292,"6-7","Texas Tech","6/18/1963","6",6,"Cincinnati Bengals / 7th / 181st pick / 1985"
"57",51,"Leon White",28,"",16,0,240,"6-3","BYU","10/4/1963","5",1,"Cincinnati Bengals / 5th / 123rd pick / 1986"
"58",4,"Erik Wilhelm",26,"qb",4,1,217,"6-3","Oregon St.","11/19/1965","2",1,"Cincinnati Bengals / 3rd / 83rd pick / 1989"
"59",94,"Alfred Williams",23,"ROLB",16,15,260,"6-6","Colorado","11/6/1968","Rook",5,"Cincinnati Bengals / 1st / 18th pick / 1991"
"60",60,"Mike Withycombe",27,"",3,0,300,"6-5","Fresno St.","11/18/1964","3",0,"New York Jets / 5th / 119th pick / 1988"
"61",30,"Ickey Woods",25,"rb",9,2,231,"6-2","UNLV","2/28/1966","3",1,"Cincinnati Bengals / 2nd / 31st pick / 1988"
"62",91,"Carl Zander",28,"RILB",14,12,235,"6-2","Tennessee","4/12/1963","6",5,"Cincinnati Bengals / 2nd / 43rd pick / 1985"
"63",NA,"Team Total",26.6,"",16,NA,235.8,"6-2.4","","","3.6",NA,""
