"","No.","Player.","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr."
"1",71,"Willie Anderson",26,"RT",16,16,340,"6-5","Auburn","7/11/1975","5",5,"Cincinnati Bengals / 1st / 10th pick / 1996"
"2",33,"JoJuan Armour",25,"SS",16,11,220,"5-11","Miami (OH)","7/10/1976","2",5,"Oakland Raiders / 7th / 224th pick / 1999"
"3",89,"Marco Battaglia",28,"te",8,1,250,"6-3","Rutgers","1/25/1973","5",1,"Cincinnati Bengals / 2nd / 39th pick / 1996"
"4",23,"Robert Bean",23,"rcb",15,4,178,"5-11","Mississippi St.","1/6/1978","1",3,"Cincinnati Bengals / 5th / 133rd pick / 2000"
"5",36,"Brandon Bennett",28,"rb",16,1,220,"5-11","South Carolina","2/3/1973","3",2,""
"6",96,"Vaughn Booker",33,"DE",14,13,290,"6-5","Cincinnati","2/24/1968","7",6,""
"7",74,"Rich Braham",31,"C",16,16,305,"6-4","West Virginia","11/6/1970","7",5,"Arizona Cardinals / 3rd / 76th pick / 1994"
"8",42,"Chris Carter",27,"fs",16,4,201,"6-1","Texas","9/27/1974","4",3,"New England Patriots / 3rd / 89th pick / 1997"
"9",21,"Tom Carter",29,"",6,0,185,"6-0","Notre Dame","9/5/1972","8",0,"Washington Redskins / 1st / 17th pick / 1993"
"10",91,"Randy Chevrier",25,"",5,0,291,"6-2","McGill","6/6/1976","Rook",0,"Jacksonville Jaguars / 7th / 241st pick / 2001"
"11",98,"Canute Curtis",27,"lb",16,4,250,"6-2","West Virginia","8/4/1974","4",3,"Cincinnati Bengals / 6th / 176th pick / 1997"
"12",28,"Corey Dillon*",27,"RB",16,16,225,"6-1","Washington","10/24/1974","4",8,"Cincinnati Bengals / 2nd / 43rd pick / 1997"
"13",81,"Ron Dugans",24,"wr",16,3,205,"6-2","Florida St.","4/27/1977","1",2,"Cincinnati Bengals / 3rd / 66th pick / 2000"
"14",83,"Danny Farmer",24,"wr",12,1,217,"6-3","UCLA","5/21/1977","1",2,"Pittsburgh Steelers / 4th / 103rd pick / 2000"
"15",95,"Steve Foley",26,"LB",12,12,265,"6-4","La-Monroe","9/11/1975","3",5,"Cincinnati Bengals / 3rd / 75th pick / 1998"
"16",99,"Oliver Gibson",29,"LDT",16,16,304,"6-2","Notre Dame","3/15/1972","6",8,"Pittsburgh Steelers / 4th / 120th pick / 1995"
"17",63,"Mike Goff",25,"RG",16,16,306,"6-5","Iowa","1/6/1976","3",5,"Cincinnati Bengals / 3rd / 78th pick / 1998"
"18",62,"Brock Gutierrez",28,"",15,0,304,"6-3","Central Michigan","9/25/1973","4",1,""
"19",26,"Cory Hall",25,"FS",16,15,213,"6-0","Fresno St.","12/5/1976","2",6,"Cincinnati Bengals / 3rd / 65th pick / 1999"
"20",8,"Nick Harris",23,"",16,0,218,"6-2","California","7/23/1978","Rook",1,"Denver Broncos / 4th / 120th pick / 2001"
"21",27,"Artrell Hawkins",25,"RCB",14,13,190,"5-10","Cincinnati","11/24/1976","3",6,"Cincinnati Bengals / 2nd / 43rd pick / 1998"
"22",22,"Rodney Heath",27,"lcb",5,5,175,"5-10","Minnesota","10/29/1974","2",2,""
"23",84,"T.J. Houshmandzadeh",24,"wr",12,1,197,"6-1","Oregon St.","9/26/1977","Rook",2,"Cincinnati Bengals / 7th / 204th pick / 2001"
"24",65,"John Jackson",36,"",11,0,297,"6-6","East. Kentucky","1/4/1965","13",1,"Pittsburgh Steelers / 10th / 252nd pick / 1988"
"25",25,"Ligarius Jennings",24,"",9,0,202,"5-8","Tennessee St.","11/3/1977","Rook",1,""
"26",85,"Chad Johnson",23,"wr",12,3,192,"6-1","Langston,Oregon St.","1/9/1978","Rook",2,"Cincinnati Bengals / 2nd / 36th pick / 2001"
"27",50,"Riall Johnson",23,"",7,0,243,"6-3","Stanford","4/20/1978","Rook",0,"Cincinnati Bengals / 6th / 168th pick / 2001"
"28",32,"Rudi Johnson",22,"",2,0,220,"5-10","Auburn","10/1/1979","Rook",0,"Cincinnati Bengals / 4th / 100th pick / 2001"
"29",34,"Kevin Kaesviharn",25,"lcb",10,3,194,"6-1","Augustana (SD)","8/29/1976","Rook",3,""
"30",29,"Curtis Keaton",25,"",13,0,220,"5-10","West Virginia,James Madison","10/18/1976","1",0,"Cincinnati Bengals / 4th / 97th pick / 2000"
"31",3,"Jon Kitna",29,"QB",16,15,220,"6-2","Central Washington","9/21/1972","4",6,""
"32",58,"Jevon Langford",27,"",3,0,290,"6-3","Oklahoma St.","2/16/1974","5",0,"Cincinnati Bengals / 4th / 108th pick / 1996"
"33",30,"Nick Luchey",24,"fb",4,2,270,"6-2","Miami (FL)","3/30/1977","2",0,"Cincinnati Bengals / 5th / 135th pick / 1999"
"34",82,"Tony McGee",30,"TE",11,9,247,"6-3","Michigan","4/21/1971","8",1,"Cincinnati Bengals / 2nd / 37th pick / 1993"
"35",43,"Kirk McMullen",24,"te",7,2,255,"6-4","Pittsburgh","7/19/1977","Rook",0,""
"36",19,"Scott Mitchell",33,"",1,0,240,"6-6","Utah","1/2/1968","10",0,"Miami Dolphins / 4th / 93rd pick / 1990"
"37",93,"Mario Monds",25,"",2,0,325,"6-3","Cincinnati","11/10/1976","Rook",0,"Washington Redskins / 6th / 186th pick / 2001"
"38",41,"Lorenzo Neal",31,"FB",16,10,255,"5-11","Fresno St.","12/27/1970","8",1,"New Orleans Saints / 4th / 89th pick / 1993"
"39",72,"Matt O'Dwyer",29,"LG",12,12,305,"6-5","Northwestern","9/1/1972","6",4,"New York Jets / 2nd / 33rd pick / 1995"
"40",5,"Neil Rackers",25,"",16,0,205,"6-0","Illinois","8/16/1976","1",0,"Cincinnati Bengals / 6th / 169th pick / 2000"
"41",79,"Scott Rehberg",28,"lg",14,4,325,"6-8","Central Michigan","11/17/1973","4",2,"New England Patriots / 7th / 230th pick / 1997"
"42",20,"Mark Roman",24,"lcb",13,8,200,"5-11","LSU","3/26/1977","1",4,"Cincinnati Bengals / 2nd / 34th pick / 2000"
"43",57,"Adrian Ross",26,"lb",16,1,245,"6-2","Colorado St.","2/19/1975","3",2,""
"44",86,"Darnay Scott",29,"WR",16,15,200,"6-1","San Diego St.","7/7/1972","7",6,"Cincinnati Bengals / 2nd / 30th pick / 1994"
"45",56,"Brian Simmons",26,"MLB",16,16,244,"6-3","North Carolina","6/21/1975","3",8,"Cincinnati Bengals / 1st / 17th pick / 1998"
"46",11,"Akili Smith",26,"qb",2,1,220,"6-3","Oregon","8/21/1975","2",0,"Cincinnati Bengals / 1st / 3rd pick / 1999"
"47",90,"Justin Smith",22,"DE",15,11,270,"6-4","Missouri","9/30/1979","Rook",7,"Cincinnati Bengals / 1st / 4th pick / 2001"
"48",51,"Takeo Spikes",25,"LB",15,15,242,"6-2","Auburn","12/17/1976","3",8,"Cincinnati Bengals / 1st / 13th pick / 1998"
"49",48,"Brad St. Louis",25,"",11,0,247,"6-3","SW Missouri St.","8/19/1976","1",1,"Cincinnati Bengals / 7th / 210th pick / 2000"
"50",70,"Glen Steele",27,"rdt",16,1,300,"6-4","Michigan","10/4/1974","3",2,"Cincinnati Bengals / 4th / 105th pick / 1998"
"51",75,"Jamain Stephens",27,"te",9,2,336,"6-6","North Carolina A&T","1/9/1974","4",1,"Pittsburgh Steelers / 1st / 29th pick / 1996"
"52",80,"Peter Warrick",24,"WR",16,14,192,"5-11","Florida St.","6/19/1977","1",5,"Cincinnati Bengals / 1st / 4th pick / 2000"
"53",73,"Richmond Webb",34,"LT",16,16,325,"6-6","Texas A&M","1/11/1967","11",5,"Miami Dolphins / 1st / 9th pick / 1990"
"54",97,"Bernard Whittington",30,"de",16,5,290,"6-5","Indiana","8/20/1971","7",3,""
"55",31,"Darryl Williams",31,"fs",15,1,198,"6-0","Miami (FL)","1/8/1970","9",2,"Cincinnati Bengals / 1st / 28th pick / 1992"
"56",94,"Tony Williams",26,"RDT",13,13,296,"6-2","Memphis","7/9/1975","4",6,"Minnesota Vikings / 5th / 151st pick / 1997"
"57",55,"Reinard Wilson",28,"de",16,5,270,"6-2","Florida St.","12/17/1973","4",5,"Cincinnati Bengals / 1st / 14th pick / 1997"
"58",NA,"Team Total",26.7,"",16,NA,247.9,"6-2.1","","","3.5",NA,""
