"","No.","Player.","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr.","Cap.Hit"
"1",97,"Geno Atkins",28,"DT",14,14,286,"6-1","Georgia","3/28/1988","6",NA,"Cincinnati Bengals / 4th / 120th pick / 2010","$9,600,000"
"2",25,"Giovani Bernard",25,"RB",10,2,202,"5-9","North Carolina","11/22/1991","3",NA,"Cincinnati Bengals / 2nd / 37th pick / 2013","$4,621,517"
"3",75,"Andrew Billings",20,"DT",NA,NA,310,"6-1","Baylor","3/6/1996","Rook",NA,"Cincinnati Bengals / 4th / 122nd pick / 2016","$466,961"
"4",61,"Russell Bodine",24,"OG",14,14,310,"6-3","North Carolina","6/30/1992","2",NA,"Cincinnati Bengals / 4th / 111th pick / 2014","$714,114"
"5",65,"Clint Boling",27,"OL",14,14,310,"6-4","Georgia","5/9/1989","5",NA,"Cincinnati Bengals / 4th / 101st pick / 2011","$4,750,000"
"6",83,"Tyler Boyd",22,"WR",14,1,197,"6-1","Pittsburgh","11/15/1994","Rook",NA,"Cincinnati Bengals / 2nd / 55th pick / 2016","$774,358"
"7",23,"Chykie Brown",30,"DB",5,0,185,"6-0","Texas","12/26/1986","5",NA,"Baltimore Ravens / 5th / 164th pick / 2011","$600,000"
"8",4,"Randy Bullock",27,"K",1,0,205,"5-9","Texas A&M","12/16/1989","4",NA,"Houston Texans / 5th / 161st pick / 2012","$134,117"
"9",55,"Vontaze Burfict",26,"LB",11,11,245,"6-3","Arizona St.","9/24/1990","4",NA,"","$3,322,059"
"10",33,"Rex Burkhead",26,"RB",14,0,214,"5-10","Nebraska","7/2/1990","3",NA,"Cincinnati Bengals / 6th / 190th pick / 2013","$675,000"
"11",93,"Will Clarke",25,"DE",14,0,271,"6-6","West Virginia","5/4/1991","2",NA,"Cincinnati Bengals / 3rd / 88th pick / 2014","$756,345"
"12",16,"Cody Core",22,"WR",6,2,207,"6-3","Mississippi","4/17/1994","Rook",NA,"Cincinnati Bengals / 6th / 199th pick / 2016","$481,983"
"13",14,"Andy Dalton",29,"QB",14,14,215,"6-2","TCU","10/29/1987","5",NA,"Cincinnati Bengals / 2nd / 35th pick / 2011","$13,100,000"
"14",56,"Karlos Dansby",35,"LB",14,5,243,"6-4","Auburn","11/3/1981","12",NA,"Arizona Cardinals / 2nd / 33rd pick / 2004","$2,000,000"
"15",21,"Darqueze Dennard",25,"CB",13,2,199,"5-11","Michigan St.","10/10/1991","2",NA,"Cincinnati Bengals / 1st / 24th pick / 2014","$2,176,063"
"16",6,"Jeff Driskel",23,"QB",NA,NA,230,"6-4","Louisiana Tech","4/23/1993","Rook",NA,"San Francisco 49ers / 6th / 207th pick / 2016","$450,000"
"17",96,"Carlos Dunlap",27,"DE",14,14,290,"6-6","Florida","2/28/1989","6",NA,"Cincinnati Bengals / 2nd / 54th pick / 2010","$5,950,000"
"18",85,"Tyler Eifert",26,"TE",8,2,250,"6-6","Notre Dame","9/8/1990","3",NA,"Cincinnati Bengals / 1st / 21st pick / 2013","$2,626,909"
"19",12,"Alex Erickson",24,"WR",14,0,195,"6-0","Wisconsin","11/6/1992","Rook",NA,"","$450,000"
"20",42,"Clayton Fejedelem",23,"FS",14,0,200,"6-0","Illinois","6/2/1993","Rook",NA,"Cincinnati Bengals / 7th / 245th pick / 2016","$465,887"
"21",74,"Jake Fisher",23,"OT",13,1,299,"6-6","Oregon","4/23/1993","1",NA,"Cincinnati Bengals / 2nd / 53rd pick / 2015","$968,073"
"22",53,"Marquis Flowers",24,"OLB",14,0,231,"6-3","Arizona","2/16/1992","2",NA,"Cincinnati Bengals / 6th / 212th pick / 2014","$619,670"
"23",95,"Wallace Gilberry",32,"DE",3,0,267,"6-3","Alabama","12/5/1984","8",NA,"","$885,000"
"24",18,"A.J. Green",28,"WR",10,10,205,"6-4","Georgia","7/31/1988","5",NA,"Cincinnati Bengals / 1st / 4th pick / 2011","$13,000,000"
"25",91,"Marcus Hardison",24,"DT",NA,NA,311,"6-3","Arizona St.","2/14/1992","Rook",NA,"Cincinnati Bengals / 4th / 135th pick / 2015","$434,423"
"26",46,"Clark Harris",32,"TE",11,0,257,"6-5","Rutgers","7/10/1984","8",NA,"Green Bay Packers / 7th / 243rd pick / 2007","$950,000"
"27",89,"Ryan Hewitt",25,"FB",14,10,246,"6-4","Stanford","1/24/1991","2",NA,"","$978,334"
"28",32,"Jeremy Hill",24,"RB",14,12,233,"6-1","LSU","10/20/1992","2",NA,"Cincinnati Bengals / 2nd / 55th pick / 2014","$1,023,710"
"29",10,"Kevin Huber",31,"P",14,0,221,"6-0","Cincinnati","7/16/1985","7",NA,"Cincinnati Bengals / 5th / 142nd pick / 2009","$3,020,000"
"30",99,"Margus Hunt",29,"DE",13,0,277,"6-8","SMU","7/14/1987","3",NA,"Cincinnati Bengals / 2nd / 53rd pick / 2013","$1,168,077"
"31",43,"George Iloka",26,"FS",14,14,225,"6-4","Boise St.","3/31/1990","4",NA,"Cincinnati Bengals / 5th / 167th pick / 2012","$5,075,000"
"32",22,"William Jackson",24,"CB",NA,NA,187,"6-0","","10/27/1992","Rook",NA,"","$1,764,662"
"33",90,"Michael Johnson",29,"DE",14,14,260,"6-7","Georgia Tech","2/7/1987","7",NA,"Cincinnati Bengals / 3rd / 70th pick / 2009","$6,125,000"
