"","No.","Player","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr."
"1",61,"Mike Baab",32,"C",16,16,270,"6-4","Texas","12/6/1959","9",9,"Cleveland Browns / 5th / 115th pick / 1982"
"2",37,"Harlon Barnett",24,"SS",16,10,200,"5-11","Michigan St.","1/2/1967","1",4,"Cleveland Browns / 4th / 101st pick / 1990"
"3",42,"Latin Berry",24,"",15,0,196,"5-10","Oregon","1/13/1967","1",1,"Los Angeles Rams / 3rd / 78th pick / 1990"
"4",24,"Anthony Blaylock",26,"db",5,1,190,"5-10","Winston-Salem St.","2/21/1965","3",1,"Cleveland Browns / 4th / 103rd pick / 1988"
"5",36,"Stephen Braggs",26,"RCB",16,10,178,"5-9","Texas","8/29/1965","4",5,"Cleveland Browns / 6th / 165th pick / 1987"
"6",58,"David Brandon",26,"LLB",16,8,234,"6-4","Memphis","2/9/1965","4",5,"Buffalo Bills / 3rd / 60th pick / 1987"
"7",86,"Brian Brennan",29,"wr",15,3,178,"5-9","Boston Col.","2/15/1962","7",3,"Cleveland Browns / 4th / 104th pick / 1984"
"8",52,"Richard Brown",26,"MLB",16,12,240,"6-3","San Diego St.","9/21/1965","4",6,""
"9",90,"Rob Burnett",24,"LDE",13,8,265,"6-4","Syracuse","8/27/1967","1",4,"Cleveland Browns / 5th / 129th pick / 1990"
"10",26,"Raymond Clayborn",36,"db",1,1,186,"6-0","Texas","1/2/1955","14",0,"New England Patriots / 1st / 16th pick / 1977"
"11",94,"Frank Conover",23,"dt",4,1,317,"6-5","Syracuse","4/6/1968","Rook",1,"Cleveland Browns / 8th / 197th pick / 1991"
"12",99,"Johnie Cooks",33,"",2,0,247,"6-4","Mississippi St.","11/23/1958","9",0,"Baltimore Colts / 1st / 2nd pick / 1982"
"13",83,"Arthur Cox",30,"",3,0,262,"6-3","Texas Southern","2/5/1961","8",0,""
"14",27,"Derrick Douglas",23,"",2,0,222,"5-10","Louisiana Tech","8/10/1968","Rook",0,"Tampa Bay Buccaneers / 6th / 141st pick / 1990"
"15",74,"Paul Farren",31,"",13,0,272,"6-5","Boston Univ.","12/24/1960","8",1,"Cleveland Browns / 12th / 316th pick / 1983"
"16",53,"Cedric Figaro",25,"",12,0,255,"6-2","Notre Dame","8/17/1966","3",1,"San Diego Chargers / 6th / 152nd pick / 1988"
"17",69,"Dan Fike",30,"RT",16,16,280,"6-7","Florida","6/16/1961","6",9,"New York Jets / 10th / 274th pick / 1983"
"18",25,"Anthony Florence",25,"",6,0,185,"6-0","Bethune-Cookman","12/11/1966","Rook",0,"Tampa Bay Buccaneers / 4th / 90th pick / 1989"
"19",81,"Scott Galbraith",24,"TE",16,13,258,"6-2","USC","1/7/1967","1",3,"Cleveland Browns / 7th / 178th pick / 1990"
"20",11,"Brian Hansen",31,"P",16,0,215,"6-4","Sioux Falls","10/26/1960","7",3,"New Orleans Saints / 9th / 237th pick / 1984"
"21",38,"Odie Harris",25,"",16,0,190,"6-0","Sam Houston St.","4/1/1966","3",1,""
"22",39,"Randy Hilliard",24,"RCB",14,10,165,"5-11","NW State (LA)","2/6/1967","1",4,"Cleveland Browns / 6th / 157th pick / 1990"
"23",33,"Leroy Hoard",23,"RB",16,9,225,"5-11","Michigan","5/15/1968","1",7,"Cleveland Browns / 2nd / 45th pick / 1990"
"24",83,"Darryl Ingram",25,"",2,0,240,"6-3","California","5/2/1966","2",0,"Minnesota Vikings / 4th / 108th pick / 1989"
"25",41,"Alfred Jackson",24,"wr",6,1,183,"6-0","San Diego St.","7/10/1967","2",0,"Los Angeles Rams / 5th / 135th pick / 1989"
"26",1,"Michael Jackson",22,"wr",16,7,195,"6-4","Southern Miss","4/12/1969","Rook",3,"Cleveland Browns / 6th / 141st pick / 1991"
"27",40,"Lynn James",26,"",4,0,191,"6-0","SMU,Arizona St.","1/25/1965","1",0,"Cincinnati Bengals / 5th / 122nd pick / 1990"
"28",59,"Mike Johnson",29,"lb",5,4,230,"6-1","Virginia Tech","11/26/1962","5",2,"Cleveland Browns / 1st / 18th pick / 1984 Supp"
"29",96,"James Jones",22,"LDT",16,16,290,"6-2","Northern Iowa","2/6/1969","Rook",8,"Cleveland Browns / 3rd / 57th pick / 1991"
"30",55,"Jock Jones",23,"",9,0,235,"6-2","Virginia Tech","3/13/1968","1",1,"Cleveland Browns / 8th / 212th pick / 1990"
"31",66,"Tony Jones",25,"LT",16,16,290,"6-5","West. Carolina","5/24/1966","3",9,""
"32",48,"Brian Kinchen",26,"",14,0,240,"6-2","LSU","8/6/1965","3",0,"Miami Dolphins / 12th / 320th pick / 1988"
"33",68,"Ed King",22,"RG",16,15,300,"6-4","Auburn","12/3/1969","Rook",8,"Cleveland Browns / 2nd / 29th pick / 1991"
"34",43,"Joe King",23,"",7,0,195,"6-2","Oklahoma St.","5/7/1968","Rook",0,""
"35",54,"Randy Kirk",27,"",2,0,232,"6-2","San Diego St.","12/27/1964","4",0,""
"36",19,"Bernie Kosar",28,"QB",16,16,210,"6-5","Miami (FL)","11/25/1963","6",13,"Cleveland Browns / 1st / 1st pick / 1985 Supp"
"37",88,"Reggie Langhorne",28,"WR",14,9,200,"6-2","Elizabeth City St.","4/7/1963","6",5,"Cleveland Browns / 7th / 175th pick / 1985"
"38",97,"Ernie Logan",23,"rde",15,5,290,"6-3","East Carolina","5/18/1968","Rook",3,"Atlanta Falcons / 9th / 226th pick / 1991"
"39",34,"Kevin Mack",29,"FB",14,11,224,"6-0","Clemson","8/9/1962","6",8,"Cleveland Browns / 1st / 11th pick / 1984 Supp"
"40",57,"Clay Matthews",35,"RLB",15,15,245,"6-2","USC","3/15/1956","13",7,"Cleveland Browns / 1st / 12th pick / 1978"
"41",49,"Bruce McGonnigal",23,"",2,0,229,"6-4","Virginia","5/1/1968","Rook",0,"Pittsburgh Steelers / 9th / 238th pick / 1991"
"42",21,"Eric Metcalf",23,"KR",8,3,188,"5-10","Texas","1/23/1968","2",4,"Cleveland Browns / 1st / 13th pick / 1989"
"43",31,"Frank Minnifield",31,"LCB",14,11,180,"5-9","Louisville","1/1/1960","7",4,""
"44",20,"Joe Morris",31,"rb",16,4,195,"5-7","Syracuse","9/15/1960","9",3,"New York Giants / 2nd / 45th pick / 1982"
"45",22,"Vince Newsome",30,"FS",15,15,180,"6-1","Washington","1/22/1961","8",7,"Los Angeles Rams / 4th / 97th pick / 1983"
"46",89,"Mike Oliphant",28,"",4,0,183,"5-10","Puget Sound","5/19/1963","3",0,"Washington Redskins / 3rd / 66th pick / 1988"
"47",80,"Danny Peebles",25,"wr",7,1,180,"5-11","North Carolina St.","4/30/1966","2",0,"Tampa Bay Buccaneers / 2nd / 33rd pick / 1989"
"48",92,"Michael Dean Perry*",26,"RDT",16,15,285,"6-1","Clemson","8/27/1965","3",12,"Cleveland Browns / 2nd / 50th pick / 1988"
"49",17,"Todd Philcox",25,"",4,0,218,"6-4","Syracuse","9/25/1966","1",0,""
"50",98,"Anthony Pleasant",23,"RDE",16,7,280,"6-5","Tennessee St.","1/27/1968","1",4,"Cleveland Browns / 3rd / 73rd pick / 1990"
"51",70,"John Rienstra",28,"LG",16,16,273,"6-5","Temple","3/22/1963","5",9,"Pittsburgh Steelers / 1st / 9th pick / 1986"
"52",44,"Lee Rouson",29,"rb",16,3,220,"6-1","Colorado","10/18/1962","6",0,"New York Giants / 8th / 213th pick / 1985"
"53",75,"Pio Sagapolutele",22,"LDE",15,8,297,"6-6","San Diego St.","11/28/1969","Rook",4,"Cleveland Browns / 4th / 85th pick / 1991"
"54",28,"Tyrone Shavers",23,"",1,0,210,"6-3","Lamar","2/9/1968","Rook",0,"Phoenix Cardinals / 6th / 142nd pick / 1990"
"55",84,"Webster Slaughter",27,"PR",16,16,175,"6-1","San Diego St.","10/19/1964","5",9,"Cleveland Browns / 2nd / 43rd pick / 1986"
"56",3,"Matt Stover",23,"K",16,0,178,"5-11","Louisiana Tech","1/27/1968","Rook",3,"New York Giants / 12th / 329th pick / 1990"
"57",87,"John Talley",27,"wr",3,1,245,"6-5","West Virginia","12/19/1964","1",0,""
"58",65,"Ralph Tamm",25,"",1,0,280,"6-4","West Chester","3/11/1966","1",0,"New York Jets / 9th / 230th pick / 1988"
"59",67,"Chris Thome",22,"",8,0,278,"6-4","Minnesota","1/15/1969","Rook",1,"Minnesota Vikings / 5th / 119th pick / 1991"
"60",91,"John Thornton",22,"",5,0,303,"6-3","Cincinnati","6/28/1969","Rook",0,""
"61",29,"Eric Turner",23,"ss",8,7,208,"6-1","UCLA","9/20/1968","Rook",4,"Cleveland Browns / 1st / 2nd pick / 1991"
"62",50,"Van Waiters",26,"LLB",16,9,240,"6-4","Indiana","2/27/1965","3",4,"Cleveland Browns / 3rd / 77th pick / 1988"
"63",93,"Mike Wise",27,"de",3,2,271,"6-7","California-Davis","6/5/1964","5",1,"Los Angeles Raiders / 4th / 85th pick / 1986"
"64",78,"Rob Woods",26,"t",2,1,295,"6-5","East. Washington,California-Santa Barbara,Arizona","10/3/1965","Rook",1,"Cincinnati Bengals / 4th / 111th pick / 1989"
"65",NA,"Team Total",26.1,"",16,NA,231.4,"6-1.9","","","3.3",NA,""
