"","No.","Player.","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr."
"1",NA,"Hamza Abdullah",25,"",1,0,213,"6-2","Washington St.","8/20/1983","3",0,"Tampa Bay Buccaneers / 7th / 231st pick / 2005"
"2",20,"Mike Adams",27,"ss",14,5,195,"5-10","Delaware","3/24/1981","4",3,""
"3",41,"Charles Ali",24,"fb",15,4,260,"6-2","Ark-Pine Bluff","8/23/1984","1",0,""
"4",3,"Derek Anderson",25,"QB",10,9,229,"6-6","Oregon St.","6/15/1983","2",3,"Baltimore Ravens / 6th / 213th pick / 2005"
"5",58,"Beau Bell",22,"",5,0,243,"6-2","UNLV","5/26/1986","Rook",0,"Cleveland Browns / 4th / 104th pick / 2008"
"6",59,"Titus Brown",22,"",4,0,305,"6-4","Mississippi St.","3/27/1986","Rook",0,""
"7",88,"Brad Cieslak",26,"",1,0,262,"6-3","Northern Illinois","7/1/1982","3",0,""
"8",25,"Terry Cousin",33,"",16,0,181,"5-9","South Carolina","4/11/1975","11",1,""
"9",16,"Josh Cribbs",25,"wr",15,2,192,"6-1","Kent St.","6/9/1983","3",2,""
"10",23,"Travis Daniels",26,"rcb",7,1,194,"6-1","LSU","9/8/1982","3",1,"Miami Dolphins / 4th / 104th pick / 2005"
"11",54,"Andra Davis",30,"MLB",16,16,255,"6-1","Florida","12/23/1978","6",8,"Cleveland Browns / 5th / 141st pick / 2002"
"12",4,"Phil Dawson",33,"",16,0,195,"5-11","Texas","1/23/1975","9",3,""
"13",87,"Darnell Dinkins",31,"te",14,2,255,"6-3","Pittsburgh","1/20/1977","6",0,""
"14",11,"Ken Dorsey",27,"qb",4,3,218,"6-4","Miami (FL)","4/22/1981","4",1,"San Francisco 49ers / 7th / 241st pick / 2003"
"15",17,"Braylon Edwards",25,"WR",16,16,211,"6-3","Michigan","2/21/1983","3",7,"Cleveland Browns / 1st / 3rd pick / 2005"
"16",66,"Hank Fraley",31,"C",16,16,300,"6-2","Robert Morris","9/21/1977","7",6,""
"17",7,"Bruce Gradkowski",25,"qb",2,1,220,"6-1","Toledo","1/27/1983","2",0,"Tampa Bay Buccaneers / 6th / 194th pick / 2006"
"18",53,"Kris Griffin",27,"",10,0,232,"6-3","Geneva,Indiana (PA)","5/27/1981","3",1,""
