"","No.","Player.","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr.","Cap.Hit"
"1",24,"Johnson Bademosi",25,"",16,0,200,"6-0","Stanford","7/23/1990","3",1,"","$1,542,000"
"2",82,"Gary Barnidge*",30,"TE",16,13,240,"6-5","Louisville","9/22/1985","7",7,"Carolina Panthers / 5th / 141st pick / 2008","$1,200,000"
"3",11,"Travis Benjamin",26,"WR",16,15,172,"5-10","Miami (FL)","12/29/1989","3",7,"Cleveland Browns / 4th / 100th pick / 2012","$779,250"
"4",88,"E.J. Bibbs",24,"",7,0,261,"6-3","Iowa St.","8/28/1991","Rook",0,"","$435,000"
"5",75,"Joel Bitonio",24,"LG",10,10,302,"6-4","Nevada","10/11/1991","1",4,"Cleveland Browns / 2nd / 35th pick / 2014","$1,241,295"
"6",80,"Dwayne Bowe",31,"",7,0,221,"6-2","LSU","9/21/1984","8",0,"Kansas City Chiefs / 1st / 23rd pick / 2007","$4,500,000"
"7",95,"Armonty Bryant",25,"lb",14,2,265,"6-4","East Central (OK)","5/20/1990","2",3,"Cleveland Browns / 7th / 217th pick / 2013","$601,375"
"8",92,"Desmond Bryant",30,"DE",14,14,290,"6-5","Harvard","12/15/1985","6",6,"","$7,000,000"
"9",30,"Ibraheim Campbell",23,"ss",15,1,210,"6-0","Northwestern","5/13/1992","Rook",1,"Cleveland Browns / 4th / 115th pick / 2015","$563,002"
"10",59,"Tank Carder",26,"",16,0,236,"6-2","TCU","1/18/1989","3",1,"Buffalo Bills / 5th / 147th pick / 2012","$660,000"
"11",6,"Travis Coons",23,"",16,0,199,"6-2","Washington","2/6/1992","Rook",3,"","$435,000"
"12",96,"Xavier Cooper",24,"",14,0,298,"6-4","Washington St.","11/30/1991","Rook",1,"Cleveland Browns / 3rd / 96th pick / 2015","$583,071"
"13",34,"Isaiah Crowell",22,"RB",16,9,190,"5-11","Alabama St.","1/8/1993","1",5,"","$513,333"
"14",56,"Karlos Dansby",34,"MLB",16,16,243,"6-4","Auburn","11/3/1981","11",7,"Arizona Cardinals / 2nd / 33rd pick / 2004","$5,500,000"
"15",7,"Austin Davis",26,"qb",3,2,221,"6-2","Southern Miss","6/2/1989","3",1,"",""
"16",26,"Pierre Desir",25,"lcb",14,6,198,"6-1","Lindenwood","9/8/1990","1",2,"Cleveland Browns / 4th / 127th pick / 2014","$611,903"
"17",50,"Jayson DiManche",25,"",1,0,232,"6-1","Southern Illinois","9/22/1990","2",0,"",""
"18",20,"Shaun Draughn",28,"",5,0,205,"6-0","North Carolina","12/7/1987","4",0,"","$660,000"
"19",81,"Jim Dray",29,"TE",16,10,253,"6-5","Stanford","12/31/1986","5",0,"Arizona Cardinals / 7th / 233rd pick / 2010","$1,900,000"
"20",74,"Cameron Erving",23,"lg",16,4,308,"6-5","Florida St.","8/23/1992","Rook",2,"Cleveland Browns / 1st / 19th pick / 2015","$1,714,375"
"21",18,"Taylor Gabriel",24,"wr",13,4,167,"5-8","Abilene Christian","2/17/1991","1",2,"","$510,000"
"22",43,"Charles Gaines",23,"lcb",6,4,175,"5-11","Louisville","10/3/1992","Rook",1,"Cleveland Browns / 6th / 189th pick / 2015","$410,475"
"23",21,"Justin Gilbert",24,"lcb",9,1,202,"6-0","Oklahoma St.","11/7/1991","1",1,"Cleveland Browns / 1st / 8th pick / 2014","$2,916,705"
"24",39,"Tashaun Gipson",25,"FS",13,13,206,"5-11","Wyoming","8/7/1990","3",4,"","$2,356,000"
"25",77,"John Greco",30,"RG",14,14,320,"6-5","Toledo","3/24/1985","7",5,"St. Louis Rams / 3rd / 65th pick / 2008","$2,825,000"
"26",23,"Joe Haden",26,"lcb",5,5,190,"5-11","Florida","4/14/1989","5",2,"Cleveland Browns / 1st / 7th pick / 2010","$11,700,000"
"27",85,"Rannell Hall",NA,"",1,0,200,"6-1","","","Rook",0,"",""
"28",83,"Brian Hartline",29,"wr",12,4,180,"6-2","Ohio St.","11/22/1986","6",3,"Miami Dolphins / 4th / 108th pick / 2009","$2,250,000"
"29",16,"Andrew Hawkins",29,"WR",8,8,175,"5-7","Toledo","3/10/1986","4",2,"","$5,000,000"
"30",84,"Rob Housler",27,"",6,0,238,"6-5","Florida Atlantic","3/17/1988","4",0,"Arizona Cardinals / 3rd / 69th pick / 2011","$1,760,000"
"31",93,"John Hughes",27,"de",16,3,304,"6-2","Cincinnati","4/27/1988","3",2,"Cleveland Browns / 3rd / 87th pick / 2012","$1,496,035"
"32",47,"Charley Hughlett",25,"",16,0,251,"6-4","Central Florida","5/16/1990","1",1,"","$435,000"
"33",10,"Darius Jennings",23,"wr",4,1,169,"5-10","Virginia","6/28/1992","Rook",1,"",""
