"","No.","Player","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr."
"1",51,"Trev Alberts",25,"lb",15,3,245,"6-4","Nebraska","8/8/1970","1",2,"Indianapolis Colts / 1st / 5th pick / 1994"
"2",33,"Ashley Ambrose",25,"",16,0,190,"5-11","Miss. Valley St.","9/17/1970","3",2,"Indianapolis Colts / 2nd / 29th pick / 1992"
"3",84,"Flipper Anderson",30,"wr",2,2,175,"6-0","UCLA","3/7/1965","7",1,"Los Angeles Rams / 2nd / 46th pick / 1988"
"4",81,"Charles Arbuckle",27,"te",3,3,248,"6-3","UCLA","9/13/1968","3",0,"New Orleans Saints / 5th / 125th pick / 1990"
"5",80,"Aaron Bailey",24,"KR",15,3,185,"5-10","Louisville","10/24/1971","1",5,""
"6",83,"Bradford Banta",25,"te",16,2,253,"6-6","USC","12/14/1970","1",0,"Indianapolis Colts / 4th / 106th pick / 1994"
"7",29,"Jason Belser",25,"FS",16,16,188,"5-9","Oklahoma","5/28/1970","3",7,"Indianapolis Colts / 8th / 197th pick / 1992"
"8",56,"Tony Bennett",28,"RDE",16,16,250,"6-2","Mississippi","7/1/1967","5",9,"Green Bay Packers / 1st / 18th pick / 1990"
"9",14,"Cary Blanchard",27,"K",12,0,227,"6-1","Oklahoma St.","11/5/1968","3",3,""
"10",18,"Ben Bronson",23,"",9,0,159,"5-9","Baylor","9/9/1972","Rook",0,""
"11",34,"Ray Buchanan",24,"LCB",16,16,186,"5-9","Louisville","9/29/1971","2",8,"Indianapolis Colts / 3rd / 65th pick / 1993"
"12",35,"Conrad Clarks",26,"",6,0,200,"5-10","La-Monroe","4/21/1969","Rook",0,""
"13",3,"Mike Cofer",31,"",4,0,195,"6-1","North Carolina St.","2/19/1964","8",-1,""
"14",55,"Quentin Coryatt",25,"RLB",16,16,250,"6-3","Texas A&M","8/1/1970","3",9,"Indianapolis Colts / 1st / 2nd pick / 1992"
"15",32,"Zack Crockett",23,"",16,0,240,"6-2","Florida St.","12/2/1972","Rook",0,"Indianapolis Colts / 3rd / 79th pick / 1995"
"16",38,"Eugene Daniel",34,"RCB",16,16,178,"5-11","LSU","5/4/1961","11",8,"Indianapolis Colts / 8th / 205th pick / 1984"
"17",87,"Sean Dawkins",24,"WR",16,13,215,"6-4","California","2/3/1971","2",8,"Indianapolis Colts / 1st / 16th pick / 1993"
"18",85,"Ken Dilger",24,"TE",16,13,250,"6-5","Illinois","2/2/1971","Rook",7,"Indianapolis Colts / 2nd / 48th pick / 1995"
"19",69,"Randy Dixon",30,"LG",12,9,305,"6-3","Pittsburgh","3/12/1965","8",5,"Indianapolis Colts / 4th / 85th pick / 1987"
"20",7,"Craig Erickson",26,"qb",6,3,209,"6-2","Miami (FL)","5/17/1969","3",2,"Tampa Bay Buccaneers / 4th / 86th pick / 1992, Philadelphia Eagles / 5th / 131st pick / 1991"
"21",28,"Marshall Faulk*",22,"RB",16,16,211,"5-10","San Diego St.","2/26/1973","1",13,"Indianapolis Colts / 1st / 2nd pick / 1994"
"22",17,"Chris Gardocki",25,"P",16,0,192,"6-1","Clemson","2/7/1970","4",2,"Chicago Bears / 3rd / 78th pick / 1991"
"23",59,"Steve Grant",26,"LLB",15,15,240,"6-0","West Virginia","12/23/1969","3",8,"Indianapolis Colts / 10th / 253rd pick / 1992"
"24",30,"Derwin Gray",24,"",16,0,198,"5-11","BYU","4/9/1971","2",2,"Indianapolis Colts / 4th / 92nd pick / 1993"
"25",27,"Clif Groce",23,"",1,0,245,"5-11","Texas A&M","7/30/1972","Rook",0,""
"26",4,"Jim Harbaugh*",32,"QB",15,12,215,"6-3","Michigan","12/23/1963","8",12,"Chicago Bears / 1st / 26th pick / 1987"
"27",75,"Shawn Harper",27,"",8,0,290,"6-3","Indiana","7/9/1968","Rook",1,"Los Angeles Rams / 4th / 87th pick / 1992"
"28",54,"Jeff Herrod",29,"MLB",16,16,249,"6-0","Mississippi","7/29/1966","7",8,"Indianapolis Colts / 9th / 243rd pick / 1988"
"29",25,"Ronald Humphrey",26,"",11,0,211,"5-10","Miss. Valley St.","3/3/1969","1",0,"Indianapolis Colts / 8th / 212th pick / 1992"
"30",62,"Ellis Johnson",22,"dt",16,2,288,"6-2","Florida","10/30/1973","Rook",2,"Indianapolis Colts / 1st / 15th pick / 1995"
"31",11,"Paul Justin",27,"qb",3,1,211,"6-4","Arizona St.","5/19/1968","Rook",1,"Chicago Bears / 7th / 190th pick / 1991"
"32",63,"Kirk Lowdermilk",32,"C",16,16,269,"6-3","Ohio St.","4/10/1963","10",8,"Minnesota Vikings / 3rd / 59th pick / 1985"
"33",65,"Eric Mahlum",25,"rg",7,7,284,"6-4","California","12/6/1970","1",4,"Indianapolis Colts / 2nd / 32nd pick / 1994"
"34",74,"Jason Mathews",24,"RT",16,16,285,"6-5","BYU,Texas A&M","2/9/1971","1",8,"Indianapolis Colts / 3rd / 67th pick / 1994"
"35",61,"Tony McCoy",26,"LDT",16,16,289,"6-1","Florida","6/10/1969","3",8,"Indianapolis Colts / 4th / 105th pick / 1992"
"36",57,"Devon McDonald",26,"",15,0,240,"6-2","Notre Dame","11/8/1969","2",1,"Indianapolis Colts / 4th / 107th pick / 1993"
"37",40,"Ray McElroy",23,"",16,0,196,"5-11","East. Illinois","7/31/1972","Rook",1,"Indianapolis Colts / 4th / 114th pick / 1995"
"38",81,"Thomas McLemore",25,"",1,0,245,"6-5","Southern","3/14/1970","3",0,"Detroit Lions / 3rd / 81st pick / 1992"
"39",92,"Steve Morrison",24,"",10,0,246,"6-3","Michigan","12/28/1971","Rook",1,""
"40",93,"Freddie Joe Nunn",33,"de",10,1,262,"6-5","Mississippi","4/9/1962","10",1,"St. Louis Cardinals / 1st / 18th pick / 1985"
"41",16,"Bobby Olive",26,"",1,0,167,"6-0","Ohio St.","4/22/1969","Rook",0,"Kansas City Chiefs / 11th / 300th pick / 1991"
"42",64,"Garin Patrick",24,"",5,0,269,"6-3","Louisville","8/31/1971","Rook",0,""
"43",81,"Marcus Pollard",23,"",8,0,247,"6-3","Bradley","2/8/1972","Rook",0,""
"44",42,"Roosevelt Potts",24,"FB",15,15,250,"6-0","La-Monroe","1/8/1971","2",5,"Indianapolis Colts / 2nd / 49th pick / 1993"
"45",97,"Scott Radecic",33,"",13,0,243,"6-3","Penn St.","6/14/1962","11",1,"Kansas City Chiefs / 2nd / 34th pick / 1984"
"46",58,"Glenell Sanders",29,"",9,0,240,"6-1","Louisiana Tech","11/4/1966","5",1,""
"47",98,"Tony Siragusa",28,"RDT",14,14,330,"6-3","Pittsburgh","5/14/1967","5",7,""
"48",86,"Brian Stablein",25,"",15,0,193,"6-1","Ohio St.","4/14/1970","Rook",1,"Denver Broncos / 8th / 210th pick / 1993"
"49",79,"Joe Staysniak",29,"LG",16,16,292,"6-4","Ohio St.","12/8/1966","4",8,"San Diego Chargers / 7th / 185th pick / 1990"
"50",49,"David Tate",31,"SS",16,16,197,"6-1","Colorado","11/22/1964","7",7,"Chicago Bears / 8th / 208th pick / 1988"
"51",88,"Floyd Turner",29,"WR",14,12,192,"5-11","NW State (LA)","5/29/1966","6",5,"New Orleans Saints / 6th / 159th pick / 1989"
"52",71,"Kipp Vickers",26,"",9,0,300,"6-2","Miami (FL)","8/27/1969","Rook",1,""
"53",21,"Lamont Warren",22,"rb",12,1,202,"5-11","Colorado","1/4/1973","1",3,"Indianapolis Colts / 6th / 164th pick / 1994"
"54",36,"Damon Watts",23,"",13,0,180,"5-10","Indiana","4/8/1972","1",1,""
"55",72,"Derek West",23,"",3,0,309,"6-8","Colorado","3/28/1972","Rook",0,"Indianapolis Colts / 5th / 149th pick / 1995"
"56",95,"Bernard Whittington",24,"LDE",16,13,290,"6-5","Indiana","8/20/1971","1",7,""
"57",96,"Trevor Wilmot",23,"",7,0,215,"6-2","Indiana","10/30/1972","Rook",0,""
"58",67,"Will Wolford*",31,"LT",16,16,294,"6-5","Vanderbilt","5/18/1964","9",11,"Buffalo Bills / 1st / 20th pick / 1986"
"59",46,"Vince Workman",27,"",1,0,215,"5-10","Ohio St.","5/9/1968","6",0,"Green Bay Packers / 5th / 127th pick / 1989"
"60",NA,"Team Total",26.2,"",16,NA,234.6,"6-1.5","","","3.0",NA,""
