"","No.","Player.","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr."
"1",58,"Gary Brackett",25,"MLB",16,16,235,"5-11","Rutgers","5/23/1980","2",8,""
"2",79,"Raheem Brock",27,"DE",16,16,274,"6-4","Temple","6/10/1978","3",7,"Philadelphia Eagles / 7th / 238th pick / 2002"
"3",35,"Ran Carthon",24,"",6,0,218,"6-0","Florida","2/10/1981","Rook",0,""
"4",31,"Kory Chapman",25,"",3,0,202,"6-1","Jacksonville St.","7/13/1980","Rook",0,""
"5",44,"Dallas Clark",26,"TE",15,14,257,"6-3","Iowa","6/12/1979","2",6,"Indianapolis Colts / 1st / 24th pick / 2003"
"6",6,"Jose Cortez",30,"",2,0,200,"5-11","Oregon St.","5/27/1975","6",0,""
"7",42,"Jason David",23,"RCB",16,16,165,"5-8","Washington St.","6/12/1982","1",7,"Indianapolis Colts / 4th / 125th pick / 2004"
"8",71,"Ryan Diem",26,"RT",14,14,331,"6-6","Northern Illinois","7/1/1979","4",8,"Indianapolis Colts / 4th / 118th pick / 2001"
"9",20,"Mike Doss",24,"SS",15,14,207,"5-10","Ohio St.","3/24/1981","2",6,"Indianapolis Colts / 2nd / 58th pick / 2003"
"10",81,"Bryan Fletcher",26,"TE",16,12,238,"6-5","UCLA","3/23/1979","Rook",3,"Chicago Bears / 6th / 210th pick / 2002"
"11",93,"Dwight Freeney*+",25,"DE",16,13,268,"6-1","Syracuse","2/19/1980","3",13,"Indianapolis Colts / 1st / 11th pick / 2002"
"12",57,"Dylan Gandy",23,"rg",16,2,300,"6-3","Texas Tech","3/8/1982","Rook",3,"Indianapolis Colts / 4th / 129th pick / 2005"
"13",51,"Gilbert Gardner",23,"lb",11,3,228,"6-1","Purdue","5/9/1982","1",2,"Indianapolis Colts / 3rd / 69th pick / 2004"
"14",43,"Matt Giordano",23,"",15,0,194,"5-11","California","10/16/1982","Rook",1,"Indianapolis Colts / 4th / 135th pick / 2005"
"15",78,"Tarik Glenn*",29,"LT",16,16,332,"6-5","California","5/25/1976","8",12,"Indianapolis Colts / 1st / 19th pick / 1997"
"16",55,"Jonathan Goddard",24,"",1,0,242,"6-0","Marshall","5/11/1981","Rook",0,"Detroit Lions / 6th / 206th pick / 2005"
"17",74,"Joaquin Gonzalez",26,"",5,0,310,"6-5","Miami (FL)","9/7/1979","3",0,"Cleveland Browns / 7th / 227th pick / 2002"
"18",25,"Nick Harper",31,"LCB",15,15,182,"5-10","Fort Valley St.","9/10/1974","4",6,""
"19",88,"Marvin Harrison*",33,"WR",15,15,175,"6-0","Syracuse","8/25/1972","9",15,"Indianapolis Colts / 1st / 19th pick / 1996"
"20",80,"Ben Hartsock",25,"",7,0,264,"6-4","Ohio St.","7/5/1980","1",0,"Indianapolis Colts / 3rd / 68th pick / 2004"
"21",26,"Kelvin Hayden",22,"",16,0,198,"5-10","Illinois","7/23/1983","Rook",1,"Indianapolis Colts / 2nd / 60th pick / 2005"
"22",27,"Von Hutchins",24,"",3,0,181,"5-9","Mississippi","2/14/1981","1",0,"Indianapolis Colts / 6th / 173rd pick / 2004"
"23",28,"Marlin Jackson",22,"lcb",15,1,196,"6-0","Michigan","6/30/1983","Rook",1,"Indianapolis Colts / 1st / 29th pick / 2005"
"24",32,"Edgerrin James*",27,"RB",15,15,214,"6-0","Miami (FL)","8/1/1978","6",19,"Indianapolis Colts / 1st / 4th pick / 1999"
"25",29,"Joe Jefferson",25,"ss",4,2,202,"6-1","West. Kentucky","2/15/1980","3",1,"Indianapolis Colts / 3rd / 74th pick / 2002"
"26",59,"Cato June*",26,"LB",13,13,227,"6-0","Michigan","11/18/1979","2",12,"Indianapolis Colts / 6th / 198th pick / 2003"
"27",92,"Mike Labinjo",25,"",2,0,241,"6-0","Michigan St.","7/8/1980","1",0,""
"28",65,"Ryan Lilja",24,"LG",16,16,285,"6-2","Kansas St.","10/15/1981","1",9,""
"29",18,"Peyton Manning*+",29,"QB",16,16,230,"6-5","Tennessee","3/24/1976","7",18,"Indianapolis Colts / 1st / 1st pick / 1998"
"30",98,"Robert Mathis",24,"",13,0,235,"6-2","Alabama A&M","2/26/1981","2",3,"Indianapolis Colts / 5th / 138th pick / 2003"
"31",85,"Aaron Moorehead",25,"",2,0,200,"6-3","Illinois","11/5/1980","2",1,""
"32",94,"Rob Morris",30,"",14,0,243,"6-2","BYU","1/18/1975","5",1,"Indianapolis Colts / 1st / 28th pick / 2000"
"33",23,"James Mungro",27,"",12,0,214,"5-9","Syracuse","2/13/1978","3",1,""
"34",53,"Keith O'Neil",25,"",11,0,230,"6-0","Northern Arizona","8/26/1980","2",1,""
"35",16,"Dave Rayner",23,"",14,0,209,"6-2","Michigan St.","10/26/1982","Rook",0,"Indianapolis Colts / 6th / 202nd pick / 2005"
"36",90,"Montae Reagor",28,"RDT",13,12,285,"6-3","Texas Tech","6/29/1977","6",14,"Denver Broncos / 2nd / 58th pick / 1999"
"37",95,"Darrell Reid",23,"de",8,1,288,"6-2","Minnesota","6/20/1982","Rook",2,""
"38",36,"Dexter Reid",24,"",16,0,200,"5-11","North Carolina","3/18/1981","1",1,"New England Patriots / 4th / 113th pick / 2004"
"39",33,"Dominic Rhodes",26,"rb",13,1,203,"5-9","Midwestern St.","1/17/1979","4",2,""
"40",21,"Bob Sanders*+",24,"FS",14,14,200,"5-8","Iowa","2/24/1981","1",12,"Indianapolis Colts / 2nd / 44th pick / 2004"
"41",38,"Gerome Sapp",24,"fs",16,2,216,"6-1","Notre Dame","2/8/1981","2",2,"Baltimore Ravens / 6th / 182nd pick / 2003"
