"","No.","Player.","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr.","Cap.Hit"
"1",29,"Mike Adams",35,"DB",13,13,195,"5-10","Delaware","3/24/1981","12",NA,"","$2,209,375"
"2",83,"Dwayne Allen",26,"TE",12,12,255,"6-3","Clemson","2/24/1990","4",NA,"Indianapolis Colts / 3rd / 64th pick / 2012","$8,906,250"
"3",96,"Henry Anderson",25,"DE",9,0,287,"6-6","Stanford","8/3/1991","1",NA,"Indianapolis Colts / 3rd / 93rd pick / 2015","$692,919"
"4",56,"Akeem Ayers",27,"LB",14,0,255,"6-3","UCLA","7/10/1989","5",NA,"Tennessee Titans / 2nd / 39th pick / 2011","$1,100,000"
"5",63,"Austin Blythe",24,"C",8,1,291,"6-2","Iowa","6/16/1992","Rook",NA,"Indianapolis Colts / 7th / 248th pick / 2016","$465,497"
"6",11,"Quan Bray",23,"WR",6,0,186,"5-10","Auburn","4/28/1993","1",NA,"","$525,000"
"7",20,"Darius Butler",30,"DB",11,6,180,"5-10","Connecticut","3/18/1986","7",NA,"New England Patriots / 2nd / 41st pick / 2009","$3,000,000"
"8",60,"Isiah Cage",23,"T",NA,NA,312,"6-5","","8/26/1993","Rook",NA,"","$334,333"
"9",43,"Chris Carter",27,"DL",8,0,245,"6-1","Fresno St.","4/6/1989","5",NA,"Pittsburgh Steelers / 5th / 162nd pick / 2011","$1,000,000"
"10",74,"Anthony Castonzo",28,"OL",14,14,305,"6-7","Boston Col.","8/9/1988","5",NA,"Indianapolis Colts / 1st / 22nd pick / 2011","$9,800,000"
"11",62,"Le'Raven Clark",23,"OT",6,1,312,"6-6","Texas Tech","4/22/1993","Rook",NA,"Indianapolis Colts / 3rd / 82nd pick / 2016","$633,433"
"12",58,"Trent Cole",34,"DE",5,3,270,"6-3","Cincinnati","10/5/1982","11",NA,"Philadelphia Eagles / 5th / 146th pick / 2005","$5,093,750"
"13",21,"Vontae Davis",28,"DB",12,12,205,"6-0","Illinois","5/27/1988","7",NA,"Miami Dolphins / 1st / 25th pick / 2009","$8,375,000"
"14",15,"Phillip Dorsett",23,"WR",13,6,183,"5-10","Miami (FL)","1/5/1993","1",NA,"Indianapolis Colts / 1st / 29th pick / 2015","$1,848,958"
"15",84,"Jack Doyle",26,"TE",14,12,254,"6-5","West. Kentucky","5/5/1990","3",NA,"","$1,671,000"
"16",41,"Matthias Farley",24,"DB",14,0,210,"5-11","","7/15/1992","Rook",NA,"","$450,000"
"17",34,"Josh Ferguson",23,"RB",14,0,200,"5-10","","5/23/1993","Rook",NA,"","$453,333"
"18",26,"Clayton Geathers",24,"SS",9,9,212,"6-1","Central Florida","6/1/1992","1",NA,"Indianapolis Colts / 4th / 109th pick / 2015","$658,482"
"19",71,"Denzell Goode",25,"OT",10,10,320,"6-7","Mars Hill","3/8/1991","1",NA,"Indianapolis Colts / 7th / 255th pick / 2015","$538,196"
"20",23,"Frank Gore",33,"RB",14,14,215,"5-9","Miami (FL)","5/14/1983","11",NA,"San Francisco 49ers / 3rd / 65th pick / 2005","$4,000,000"
"21",32,"T.J. Green",21,"FS",13,3,209,"6-2","Clemson","3/15/1995","Rook",NA,"Indianapolis Colts / 2nd / 57th pick / 2016","$757,679"
"22",73,"Joe Haeg",23,"OT",13,12,304,"6-6","North Dakota St.","3/11/1993","Rook",NA,"Indianapolis Colts / 5th / 155th pick / 2016","$510,602"
"23",72,"Jonotthan Harrison",25,"C",11,2,304,"6-4","Florida","8/25/1991","2",NA,"","$602,500"
"24",13,"T.Y. Hilton",27,"WR",14,14,183,"5-10","Florida International","11/14/1989","4",NA,"Indianapolis Colts / 3rd / 92nd pick / 2012","$11,000,000"
"25",52,"D'Qwell Jackson",33,"LB",12,12,230,"6-0","Maryland","9/26/1983","10",NA,"Cleveland Browns / 2nd / 34th pick / 2006","$5,750,000"
"26",53,"Edwin Jackson",25,"LB",14,6,230,"6-0","","12/19/1991","Rook",NA,"","$450,000"
"27",38,"Charles James",26,"CB",NA,NA,179,"5-9","Charleston Southern","5/14/1990","3",NA,"","$105,882"
"28",97,"Arthur Jones",30,"DT",8,8,301,"6-3","Syracuse","6/3/1986","6",NA,"Baltimore Ravens / 5th / 157th pick / 2010","$3,011,764"
"29",78,"Ryan Kelly",23,"C",14,14,311,"6-4","Alabama","5/30/1993","Rook",NA,"Indianapolis Colts / 1st / 18th pick / 2016","$1,900,178"
"30",94,"Zach Kerr",26,"NT",10,4,310,"6-2","Delaware","8/29/1990","2",NA,"","$602,000"
"31",50,"Deon King",23,"LB",2,0,220,"6-0","","7/2/1993","Rook",NA,"","$450,000"
"32",90,"Kendall Langford",30,"DE",7,7,275,"6-5","Hampton","1/27/1986","8",NA,"Miami Dolphins / 3rd / 66th pick / 2008","$4,250,000"
"33",12,"Andrew Luck",27,"QB",13,13,235,"6-3","Stanford","9/12/1989","4",NA,"Indianapolis Colts / 1st / 1st pick / 2012","$18,400,000"
"34",92,"Curt Maggitt",23,"LB",9,0,250,"6-3","","2/4/1993","Rook",NA,"","$450,000"
"35",98,"Robert Mathis",35,"DE",12,11,235,"6-2","Alabama A&M","2/26/1981","13",NA,"Indianapolis Colts / 5th / 138th pick / 2003","$5,000,000"
"36",1,"Pat McAfee",29,"K",14,0,228,"5-11","West Virginia","5/2/1987","7",NA,"Indianapolis Colts / 7th / 222nd pick / 2009","$2,700,000"
"37",99,"T.Y. McGill",24,"DT",11,0,299,"6-0","North Carolina St.","11/23/1992","1",NA,"","$525,000"
"38",57,"Josh McNary",28,"LB",14,3,251,"6-0","Army","4/10/1988","3",NA,"","$675,000"
"39",30,"Rashaan Melvin",27,"CB",14,8,193,"6-2","Northern Illinois","10/2/1989","3",NA,"","$675,000"
"40",75,"Jack Mewhort",25,"OT",10,10,309,"6-6","Ohio St.","9/30/1991","2",NA,"Indianapolis Colts / 2nd / 59th pick / 2014","$974,673"
"41",40,"Christopher Milton",24,"CB",4,0,190,"5-11","","9/15/1992","Rook",NA,"","$450,000"
"42",10,"Donte Moncrief",23,"WR",8,6,221,"6-2","Mississippi","8/6/1993","2",NA,"Indianapolis Colts / 3rd / 90th pick / 2014","$750,880"
"43",35,"Darryl Morris",26,"CB",10,1,188,"5-10","Texas St.","9/4/1990","3",NA,"","$675,000"
"44",44,"Antonio Morrison",22,"ILB",14,2,235,"6-1","Florida","12/6/1994","Rook",NA,"Indianapolis Colts / 4th / 125th pick / 2016","$579,976"
"45",48,"Deiontrez Mount",23,"OLB",NA,NA,243,"6-5","Louisville","2/26/1993","1",NA,"Tennessee Titans / 6th / 177th pick / 2015","$92,646"
"46",45,"Matt Overton",31,"LS",14,0,254,"6-0","West. Washington","7/6/1985","4",NA,"","$800,000"
"47",54,"David Parry",24,"NT",14,14,308,"6-1","Stanford","3/7/1992","1",NA,"Indianapolis Colts / 5th / 151st pick / 2015","$580,002"
