"","No.","Player","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr."
"1",67,"Bill Acker",24,"nt",16,4,255,"6-3","Texas","11/7/1956","Rook",3,"St. Louis Cardinals / 6th / 142nd pick / 1980"
"2",27,"Carl Allen",25,"LCB",16,10,185,"6-0","Southern Miss","12/21/1955","3",6,"Cincinnati Bengals / 11th / 299th pick / 1977"
"3",32,"Ottis Anderson*",23,"RB",16,16,220,"6-2","Miami (FL)","1/19/1957","1",11,"St. Louis Cardinals / 1st / 8th pick / 1979"
"4",57,"Mark Arneson",31,"ROLB",16,15,220,"6-2","Arizona","9/9/1949","8",8,"St. Louis Cardinals / 2nd / 32nd pick / 1972"
"5",52,"Charles Baker",23,"lb",16,1,226,"6-2","New Mexico","9/26/1957","Rook",2,"St. Louis Cardinals / 3rd / 81st pick / 1980"
"6",54,"Tom Banks",32,"rg",6,6,245,"6-1","Auburn","8/20/1948","9",2,"St. Louis Cardinals / 8th / 189th pick / 1970"
"7",58,"John Barefield",25,"",6,0,224,"6-2","Texas A&M-Kingsville","3/23/1955","2",0,"St. Louis Cardinals / 2nd / 42nd pick / 1978"
"8",81,"Mark Bell",23,"PR",11,0,175,"5-9","Colorado St.","6/14/1957","Rook",1,"St. Louis Cardinals / 5th / 130th pick / 1979"
"9",71,"Joe Bostic",23,"LG",16,15,265,"6-3","Clemson","4/20/1957","1",6,"St. Louis Cardinals / 3rd / 64th pick / 1979"
"10",51,"Tom Brahaney",29,"C",16,16,245,"6-2","Oklahoma","10/23/1951","7",6,"St. Louis Cardinals / 5th / 109th pick / 1973"
"11",65,"Jon Brooks",23,"",1,0,215,"6-2","Clemson","6/22/1957","1",0,"Detroit Lions / 4th / 92nd pick / 1979"
"12",69,"Rush Brown",26,"NT",16,10,257,"6-2","Ball St.","6/27/1954","Rook",6,"St. Louis Cardinals / 10th / 255th pick / 1980"
"13",33,"Theotis Brown",23,"",16,0,225,"6-2","UCLA","4/20/1957","1",4,"St. Louis Cardinals / 2nd / 35th pick / 1979"
"14",64,"Randy Clark",23,"",8,0,260,"6-3","Northern Illinois","7/27/1957","Rook",1,"Chicago Bears / 8th / 215th pick / 1980"
"15",61,"Ron Coder",26,"g",11,2,250,"6-4","Penn St.","5/24/1954","4",1,"Pittsburgh Steelers / 3rd / 70th pick / 1976"
"16",44,"Tim Collier",26,"db",12,5,172,"6-0","Texas A&M-Commerce","5/31/1954","4",3,"Kansas City Chiefs / 9th / 249th pick / 1976"
"17",66,"George Collins",25,"LT",16,9,257,"6-2","Georgia","12/9/1955","2",4,"St. Louis Cardinals / 4th / 96th pick / 1978"
"18",80,"Chris Combs",22,"",16,0,238,"6-4","New Mexico","3/17/1958","Rook",0,"Houston Oilers / 4th / 106th pick / 1980"
"19",60,"Barney Cotton",24,"LG",16,9,264,"6-5","Nebraska","9/30/1956","1",4,"Cincinnati Bengals / 3rd / 59th pick / 1979"
"20",63,"Kirby Criswell",23,"",4,0,238,"6-5","Kansas","8/31/1957","Rook",0,"Cincinnati Bengals / 2nd / 31st pick / 1980"
"21",73,"Mike Dawson",27,"dt",4,4,270,"6-4","Arizona","10/16/1953","4",2,"St. Louis Cardinals / 1st / 22nd pick / 1976"
"22",72,"Dan Dierdorf*",31,"RT",16,16,275,"6-3","Michigan","6/29/1949","9",10,"St. Louis Cardinals / 2nd / 43rd pick / 1971"
"23",59,"Calvin Favron",23,"lilb",16,7,225,"6-1","SE Louisiana","7/3/1957","1",4,"St. Louis Cardinals / 2nd / 46th pick / 1979"
"24",70,"Mark Goodspeed",24,"",3,0,270,"6-5","Nebraska","12/1/1956","Rook",0,"Miami Dolphins / 9th / 239th pick / 1980"
"25",85,"Mel Gray",32,"WR",16,16,175,"5-9","Missouri","9/28/1948","9",6,"St. Louis Cardinals / 6th / 147th pick / 1971"
"26",25,"Roy Green",23,"fs",15,6,195,"6-0","Henderson St.","6/30/1957","1",4,"St. Louis Cardinals / 4th / 89th pick / 1979"
"27",37,"Ken Greene",24,"SS",12,8,203,"6-3","Washington St.","5/8/1956","2",5,"St. Louis Cardinals / 1st / 19th pick / 1978"
"28",75,"Curtis Greer",23,"de",11,2,255,"6-4","Michigan","11/10/1957","Rook",2,"St. Louis Cardinals / 1st / 6th pick / 1980"
"29",39,"Willard Harrell",28,"",16,0,162,"5-8","Pacific","9/16/1952","5",1,"Green Bay Packers / 3rd / 58th pick / 1975"
"30",17,"Jim Hart",36,"QB",15,15,215,"6-1","Southern Illinois","4/29/1944","14",9,""
"31",56,"Tim Kearney",30,"RILB",13,12,227,"6-2","Northern Michigan","11/5/1950","8",6,"Dallas Cowboys / 4th / 83rd pick / 1972"
"32",46,"Jeff Lee",25,"",4,0,195,"6-2","Nebraska","5/23/1955","Rook",0,""
"33",74,"Oudious Lee",24,"",1,0,253,"6-1","Nebraska","6/14/1956","Rook",0,""
"34",16,"Rusty Lisch",24,"",2,0,213,"6-3","Notre Dame","12/21/1956","Rook",0,"St. Louis Cardinals / 4th / 89th pick / 1980"
"35",12,"Steve Little",24,"",6,0,180,"6-0","Arkansas","2/19/1956","2",0,"St. Louis Cardinals / 1st / 15th pick / 1978"
"36",40,"Randy Love",24,"",16,0,208,"6-1","Houston","9/30/1956","1",0,"New England Patriots / 8th / 216th pick / 1979"
"37",14,"Mike Loyd",24,"qb",5,1,216,"6-2","Kansas,Tulsa,Missouri Southern","5/6/1956","Rook",0,""
"38",87,"Doug Marsh",22,"TE",16,16,236,"6-3","Michigan","6/18/1958","Rook",2,"St. Louis Cardinals / 2nd / 33rd pick / 1980"
"39",76,"Stafford Mays",22,"",16,0,252,"6-2","Washington","3/13/1958","Rook",1,"St. Louis Cardinals / 9th / 225th pick / 1980"
"40",50,"Jeff McIntyre",26,"lb",10,2,232,"6-3","Arizona St.","9/20/1954","1",2,"Denver Broncos / 6th / 148th pick / 1979"
"41",24,"Wayne Morris",26,"FB",16,16,207,"6-0","SMU","5/3/1954","4",4,"St. Louis Cardinals / 5th / 141st pick / 1976"
"42",53,"Steve Neils",29,"LOLB",14,14,217,"6-2","Minnesota","5/2/1951","6",7,"St. Louis Cardinals / 5th / 111th pick / 1974"
"43",38,"Lee Nelson",26,"SS",16,10,185,"5-10","Florida St.","1/30/1954","4",5,"St. Louis Cardinals / 15th / 420th pick / 1976"
"44",11,"Neil O'Donoghue",27,"K",10,0,208,"6-6","St. Bernard,Auburn","6/18/1953","3",3,"Buffalo Bills / 5th / 127th pick / 1977"
"45",65,"Brad Oates",27,"lt",10,5,274,"6-6","Duke,BYU","9/30/1953","4",2,"St. Louis Cardinals / 3rd / 83rd pick / 1976"
"46",89,"Gary Parris",30,"",1,0,226,"6-2","Florida St.","6/13/1950","7",0,"San Diego Chargers / 15th / 372nd pick / 1973"
"47",36,"Rod Phillips",28,"",16,0,220,"6-0","Cincinnati,Jackson St.","12/23/1952","5",0,""
"48",82,"Bob Pollard",32,"LDE",16,16,250,"6-3","Texas Southern,Weber St.","12/30/1948","9",8,"New Orleans Saints / 11th / 262nd pick / 1971"
"49",58,"Tom Seabron",23,"",2,0,215,"6-3","Michigan","5/24/1957","1",0,"San Francisco 49ers / 5th / 111th pick / 1979"
"50",21,"Dave Stief",24,"wr",16,2,195,"6-3","Portland St.","1/29/1956","2",1,"St. Louis Cardinals / 7th / 181st pick / 1978"
"51",23,"Ken Stone",30,"FS",16,9,179,"6-1","Vanderbilt","9/14/1950","7",7,"Washington Redskins / 10th / 245th pick / 1973"
"52",10,"Larry Swider",25,"P",16,0,195,"6-2","Pittsburgh","2/1/1955","1",3,"Denver Broncos / 7th / 185th pick / 1977"
"53",83,"Pat Tilley*",27,"WR",14,14,178,"5-10","Louisiana Tech","2/15/1953","4",8,"St. Louis Cardinals / 4th / 114th pick / 1976"
"54",22,"Roger Wehrli",33,"RCB",16,16,190,"6-0","Missouri","11/26/1947","11",7,"St. Louis Cardinals / 1st / 19th pick / 1969"
"55",55,"Eric Williams",25,"LILB",12,12,227,"6-2","USC","6/17/1955","3",7,"St. Louis Cardinals / 8th / 216th pick / 1977"
"56",29,"Gerard Williams",28,"",4,0,184,"6-1","Langston","5/25/1952","4",0,""
"57",62,"Keith Wortman",30,"t",2,2,260,"6-2","Nebraska","7/20/1950","8",1,"Green Bay Packers / 10th / 242nd pick / 1972"
"58",78,"Ron Yankowski",34,"RDE",14,13,244,"6-5","Kansas St.","10/23/1946","9",7,"St. Louis Cardinals / 8th / 199th pick / 1971"
"59",NA,"Team Total",26.2,"",16,NA,223.2,"6-1.9","","","3.3",NA,""
