"","No.","Player.","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr."
"1",55,"John Abraham*",35,"LB",16,13,256,"6-4","South Carolina","5/6/1978","13",9,"New York Jets / 1st / 13th pick / 2000"
"2",94,"Sam Acho",25,"lb",3,2,257,"6-1","Texas","9/6/1988","2",1,"Arizona Cardinals / 4th / 103rd pick / 2011"
"3",97,"Lorenzo Alexander",30,"lb",3,3,300,"6-1","California","5/31/1983","6",1,""
"4",35,"Javier Arenas",26,"",16,0,195,"5-9","Alabama","10/28/1987","3",1,"Kansas City Chiefs / 2nd / 50th pick / 2010"
"5",86,"Jake Ballard",26,"te",8,3,256,"6-6","Ohio St.","12/2/1987","3",1,""
"6",37,"Yeremiah Bell",35,"SS",16,16,200,"6-1","East. Kentucky","3/3/1978","9",6,"Miami Dolphins / 6th / 213th pick / 2003"
"7",59,"Marcus Benard",28,"lb",12,1,256,"6-2","Jackson St.","7/26/1985","4",2,""
"8",31,"Justin Bethel*",23,"",16,0,200,"6-0","Presbyterian","6/17/1990","1",3,"Arizona Cardinals / 6th / 177th pick / 2012"
"9",52,"Jasper Brinkley",28,"lb",15,3,275,"6-2","South Carolina","7/12/1985","4",2,"Minnesota Vikings / 5th / 150th pick / 2009"
"10",13,"Jaron Brown",23,"",16,0,205,"6-2","Clemson","1/8/1990","Rook",1,""
"11",75,"Levi Brown",29,"lt",4,4,323,"6-6","Penn St.","3/16/1984","6",2,"Arizona Cardinals / 1st / 5th pick / 2007"
"12",93,"Calais Campbell",27,"DE",16,16,282,"6-8","Miami (FL)","9/1/1986","5",9,"Arizona Cardinals / 2nd / 50th pick / 2008"
"13",20,"Antoine Cason",27,"",16,0,190,"6-0","Arizona","7/9/1986","5",2,"San Diego Chargers / 1st / 27th pick / 2008"
"14",71,"Daryn Colledge",31,"LG",16,16,300,"6-4","Boise St.","2/11/1982","7",7,"Green Bay Packers / 2nd / 47th pick / 2006"
"15",56,"Karlos Dansby",32,"LB",16,16,243,"6-4","Auburn","11/3/1981","9",16,"Arizona Cardinals / 2nd / 33rd pick / 2004"
"16",45,"Kenny Demens",23,"",2,0,242,"6-1","Michigan","2/4/1990","Rook",0,""
"17",90,"Darnell Dockett",32,"DT",16,16,293,"6-4","Florida St.","5/27/1981","9",8,"Arizona Cardinals / 3rd / 64th pick / 2004"
"18",81,"Jim Dray",27,"TE",16,15,253,"6-5","Stanford","12/31/1986","3",2,"Arizona Cardinals / 7th / 233rd pick / 2010"
"19",38,"Andre Ellington",24,"rb",15,1,199,"5-10","Clemson","2/3/1989","Rook",7,"Arizona Cardinals / 6th / 187th pick / 2013"
"20",74,"Paul Fanaika",27,"RG",16,16,333,"6-6","Arizona St.","4/9/1986","4",7,"Philadelphia Eagles / 7th / 213th pick / 2009"
"21",4,"Jay Feely",37,"",16,0,206,"5-10","Michigan","5/23/1976","12",2,""
