"","No.","Player.","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr.","Cap.Hit"
"1",28,"Justin Bethel*",25,"rcb",16,4,200,"6-0","Presbyterian","6/17/1990","3",4,"Arizona Cardinals / 6th / 177th pick / 2012","$688,556"
"2",35,"Cariel Brooks",24,"",3,0,200,"5-10","Adams St.","4/24/1991","Rook",0,"",""
"3",13,"Jaron Brown",25,"",16,0,205,"6-2","Clemson","1/8/1990","2",1,"","$588,000"
"4",12,"John Brown",25,"WR",15,11,179,"0-0","Pittsburg St.","4/3/1990","1",10,"Arizona Cardinals / 3rd / 91st pick / 2014","$657,725"
"5",71,"Red Bryant",31,"",6,0,326,"6-5","Texas A&M","4/18/1984","7",1,"Seattle Seahawks / 4th / 121st pick / 2008",""
"6",20,"Deone Bucannon",23,"LB",16,16,220,"6-1","Washington St.","8/30/1992","1",5,"Arizona Cardinals / 1st / 27th pick / 2014","$1,752,091"
"7",2,"Drew Butler",26,"",16,0,199,"6-1","Georgia","5/10/1989","3",1,"","$585,000"
"8",93,"Calais Campbell*",29,"DT",16,16,282,"6-8","Miami (FL)","9/1/1986","7",13,"Arizona Cardinals / 2nd / 50th pick / 2008","$14,750,000"
"9",7,"Chandler Catanzaro",24,"",16,0,200,"6-3","Clemson","2/26/1991","1",3,"","$510,500"
"10",29,"Chris Clemons",30,"",7,0,210,"6-1","Clemson","9/15/1985","6",0,"Miami Dolphins / 5th / 165th pick / 2009","$745,000"
"11",61,"Jonathan Cooper",25,"RG",14,9,311,"6-2","North Carolina","1/19/1990","2",5,"Arizona Cardinals / 1st / 7th pick / 2013","$3,967,910"
"12",54,"Kenny Demens",25,"",5,0,242,"6-1","Michigan","2/4/1990","2",0,"","$585,000"
"13",38,"Andre Ellington",26,"rb",10,3,199,"5-10","Clemson","2/3/1989","2",3,"Arizona Cardinals / 6th / 187th pick / 2013","$610,966"
"14",85,"Darren Fells",29,"TE",14,12,281,"6-7","UC Irvine","4/22/1986","2",3,"","$510,000"
"15",11,"Larry Fitzgerald*",32,"WR",16,16,225,"6-3","Pittsburgh","8/31/1983","11",11,"Arizona Cardinals / 1st / 3rd pick / 2004","$10,850,000"
"16",15,"Michael Floyd",26,"wr",15,6,220,"6-3","Notre Dame","11/27/1989","3",8,"Arizona Cardinals / 1st / 13th pick / 2012","$3,172,750"
"17",54,"Dwight Freeney",35,"",11,0,268,"6-1","Syracuse","2/19/1980","13",2,"Indianapolis Colts / 1st / 11th pick / 2002","$684,705"
"18",59,"Alani Fua",23,"",16,0,228,"6-5","BYU","1/1/1992","Rook",2,"","$440,666"
"19",10,"Brittan Golden",27,"",16,0,186,"5-11","West Texas A&M","7/20/1988","3",0,"","$510,000"
"20",44,"Markus Golden",24,"lb",15,6,255,"6-2","Missouri","3/13/1991","Rook",4,"Arizona Cardinals / 2nd / 58th pick / 2015","$712,424"
"21",84,"Jermaine Gresham",27,"TE",15,12,261,"6-5","Oklahoma","6/16/1988","5",2,"Cincinnati Bengals / 1st / 21st pick / 2010","$3,109,375"
"22",95,"Rodney Gunter",23,"NT",16,11,305,"6-5","Delaware St.","1/19/1992","Rook",6,"Arizona Cardinals / 4th / 116th pick / 2015","$562,479"
"23",76,"Mike Iupati*",28,"LG",13,13,329,"6-5","Idaho","5/12/1987","5",12,"San Francisco 49ers / 1st / 17th pick / 2010","$6,700,000"
"24",22,"Tony Jefferson",23,"db",16,7,213,"5-11","Oklahoma","1/27/1992","2",3,"","$588,368"
"25",27,"Chris Johnson",30,"RB",11,9,195,"5-11","East Carolina","9/23/1985","7",6,"Tennessee Titans / 1st / 24th pick / 2008","$585,000"
"26",31,"David Johnson",24,"rb",16,5,224,"6-1","Northern Iowa","12/16/1991","Rook",9,"Arizona Cardinals / 3rd / 86th pick / 2015","$594,843"
"27",26,"Rashad Johnson",29,"SS",14,14,195,"6-0","Alabama","1/2/1986","6",5,"Arizona Cardinals / 3rd / 95th pick / 2009","$2,233,334"
"28",62,"Ted Larsen",28,"rg",10,10,307,"6-2","North Carolina St.","6/13/1987","5",6,"New England Patriots / 6th / 205th pick / 2010","$2,435,000"
"29",82,"Mike Leach",39,"",16,0,245,"6-2","Boston Univ.,William & Mary","10/18/1976","15",1,"","$665,000"
"30",96,"Kareem Martin",23,"lb",16,2,272,"6-6","North Carolina","2/19/1992","1",2,"Arizona Cardinals / 3rd / 84th pick / 2014","$669,890"
"31",70,"Bobby Massie",26,"RT",14,14,316,"6-6","Mississippi","8/1/1989","3",9,"Arizona Cardinals / 4th / 112th pick / 2012","$1,471,433"
"32",32,"Tyrann Mathieu*+",23,"FS",14,14,186,"5-9","LSU","5/13/1992","2",10,"Arizona Cardinals / 3rd / 69th pick / 2013","$855,937"
"33",73,"Josh Mauro",24,"nt",14,4,271,"6-6","Stanford","2/17/1991","1",4,"","$510,000"
"34",51,"Kevin Minter",25,"LB",16,16,246,"6-0","LSU","12/3/1990","2",9,"Arizona Cardinals / 2nd / 45th pick / 2013","$1,197,354"
"35",14,"JJ Nelson",23,"wr",11,2,156,"5-10","Ala-Birmingham","4/24/1992","Rook",3,"Arizona Cardinals / 5th / 159th pick / 2015","$487,450"
"36",87,"Troy Niklas",23,"te",16,3,270,"6-7","Notre Dame","9/18/1992","1",0,"Arizona Cardinals / 2nd / 52nd pick / 2014","$914,386"
"37",57,"Alex Okafor",24,"LB",13,13,264,"6-5","Texas","2/8/1991","2",7,"Arizona Cardinals / 4th / 103rd pick / 2013","$703,607"
"38",3,"Carson Palmer*",36,"QB",16,16,230,"6-5","USC","12/27/1979","11",16,"Cincinnati Bengals / 1st / 1st pick / 2003","$7,375,000"
