"","No.","Player","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr."
"1",76,"Flozell Adams",23,"RG",16,12,335,"6-7","Michigan St.","5/18/1975","Rook",6,"Dallas Cowboys / 2nd / 38th pick / 1998"
"2",8,"Troy Aikman",32,"QB",11,11,219,"6-4","Oklahoma,UCLA","11/21/1966","9",9,"Dallas Cowboys / 1st / 1st pick / 1989"
"3",73,"Larry Allen*+",27,"LT",16,16,325,"6-3","Butte JC (CA),Sonoma St.","11/27/1971","4",15,"Dallas Cowboys / 2nd / 46th pick / 1994"
"4",96,"Antonio Anderson",25,"",5,0,311,"6-6","Syracuse","6/4/1973","1",0,"Dallas Cowboys / 4th / 101st pick / 1997"
"5",29,"Terry Billups",23,"",1,0,180,"5-9","North Carolina","2/9/1975","Rook",0,""
"6",86,"Eric Bjornson",27,"te",16,4,236,"6-4","Washington","12/15/1971","3",2,"Dallas Cowboys / 4th / 110th pick / 1995"
"7",34,"Larry Brown",29,"",4,0,186,"5-11","TCU","11/30/1969","7",0,"Dallas Cowboys / 12th / 320th pick / 1991"
"8",83,"Hayward Clay",25,"te",3,2,260,"6-3","Texas A&M","7/25/1973","2",0,"St. Louis Rams / 6th / 201st pick / 1996"
"9",52,"Dexter Coakley",26,"RLB",16,16,236,"5-10","Appalachian St.","10/20/1972","1",8,"Dallas Cowboys / 3rd / 65th pick / 1997"
"10",3,"Richie Cunningham",28,"K",16,0,167,"5-10","La-Lafayette","8/18/1970","1",4,""
"11",87,"Billy Davis",26,"WR",16,11,205,"6-1","Pittsburgh","7/6/1972","3",7,""
"12",98,"Greg Ellis",23,"RDE",16,16,271,"6-6","North Carolina","8/14/1975","Rook",8,"Dallas Cowboys / 1st / 8th pick / 1998"
"13",17,"Jason Garrett",32,"qb",8,5,200,"6-2","Princeton,Columbia","3/28/1966","5",5,""
"14",56,"Randall Godfrey",25,"LLB",16,16,245,"6-2","Georgia","4/6/1973","2",9,"Dallas Cowboys / 2nd / 49th pick / 1996"
