"","No.","Player.","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr."
"1",76,"Flozell Adams*",33,"LT",16,16,335,"6-7","Michigan St.","5/18/1975","10",10,"Dallas Cowboys / 2nd / 38th pick / 1998"
"2",34,"Deon Anderson",25,"fb",14,5,248,"5-10","Connecticut","1/27/1983","1",0,"Dallas Cowboys / 6th / 195th pick / 2007"
"3",19,"Miles Austin",24,"",12,0,215,"6-3","Monmouth","6/30/1984","2",2,""
"4",20,"Alan Ball",23,"",10,0,176,"6-1","Illinois","3/29/1985","1",1,"Dallas Cowboys / 7th / 237th pick / 2007"
"5",24,"Marion Barber",25,"RB",15,13,221,"5-11","Minnesota","6/10/1983","3",8,"Dallas Cowboys / 4th / 109th pick / 2005"
"6",35,"Tra Battle",23,"",5,0,177,"5-10","Georgia","1/5/1985","Rook",0,""
"7",80,"Martellus Bennett",21,"te",16,7,248,"6-7","Texas A&M","3/10/1987","Rook",2,"Dallas Cowboys / 2nd / 61st pick / 2008"
"8",67,"Joe Berger",26,"",3,0,303,"6-5","Michigan Tech","5/25/1982","3",0,"Carolina Panthers / 6th / 207th pick / 2005"
"9",5,"Brooks Bollinger",29,"",2,0,205,"6-1","Wisconsin","11/15/1979","4",0,"New York Jets / 6th / 200th pick / 2003"
"10",72,"Stephen Bowen",24,"",14,0,300,"6-5","Hofstra","3/28/1984","2",1,""
"11",27,"Courtney Brown",24,"s",9,1,205,"6-1","Cal Poly-San Luis Obispo","2/10/1984","1",1,"Dallas Cowboys / 7th / 212th pick / 2007"
"12",57,"Kevin Burnett",26,"lb",16,2,237,"6-3","Tennessee","12/24/1982","3",2,"Dallas Cowboys / 2nd / 42nd pick / 2005"
"13",99,"Chris Canty",26,"DE",16,16,286,"6-7","Virginia","11/10/1982","3",7,"Dallas Cowboys / 4th / 132nd pick / 2005"
"14",54,"Bobby Carpenter",25,"",13,0,255,"6-3","Ohio St.","8/1/1983","2",1,"Dallas Cowboys / 1st / 18th pick / 2006"
"15",23,"Tashard Choice",24,"rb",16,3,210,"5-9","Oklahoma,Georgia Tech","11/20/1984","Rook",4,"Dallas Cowboys / 4th / 122nd pick / 2008"
"16",30,"Alonzo Coleman",24,"",1,0,204,"5-10","Hampton","1/27/1984","Rook",0,""
"17",75,"Marc Colombo",30,"RT",16,16,320,"6-7","Boston Col.","10/8/1978","6",7,"Chicago Bears / 1st / 29th pick / 2002"
"18",84,"Patrick Crayton",29,"wr",16,7,205,"6-0","NW Oklahoma St.","4/7/1979","4",5,"Dallas Cowboys / 7th / 216th pick / 2004"
"19",89,"Tony Curtis",25,"te",16,6,265,"6-5","Portland St.","2/11/1983","2",0,""
"20",29,"Keith Davis",30,"SS",16,9,193,"5-10","Sam Houston St.","12/30/1978","6",4,""
"21",70,"Leonard Davis*",30,"RG",16,16,375,"6-6","Texas","9/5/1978","7",10,"Arizona Cardinals / 1st / 2nd pick / 2001"
"22",98,"Greg Ellis",33,"LB",16,16,271,"6-6","North Carolina","8/14/1975","10",7,"Dallas Cowboys / 1st / 8th pick / 1998"
"23",6,"Nick Folk",24,"",16,0,211,"6-2","Arizona","11/5/1984","1",5,"Dallas Cowboys / 6th / 178th pick / 2007"
"24",65,"Andre Gurode*",30,"C",16,16,314,"6-4","Colorado","3/5/1978","6",10,"Dallas Cowboys / 2nd / 37th pick / 2002"
"25",26,"Ken Hamlin",27,"FS",16,16,209,"6-2","Arkansas","1/20/1981","5",7,"Seattle Seahawks / 2nd / 42nd pick / 2003"
"26",97,"Jason Hatcher",26,"",16,0,285,"6-7","Grambling St.","7/13/1982","2",1,"Dallas Cowboys / 3rd / 92nd pick / 2006"
"27",42,"Anthony Henry",32,"RCB",16,15,205,"6-1","South Florida","11/3/1976","7",7,"Cleveland Browns / 4th / 97th pick / 2001"
"28",64,"Montrae Holland",28,"lg",7,2,322,"6-2","Florida St.","5/21/1980","5",1,"New Orleans Saints / 4th / 102nd pick / 2003"
"29",17,"Sam Hurd",23,"",3,0,187,"6-2","Northern Illinois","4/24/1985","2",0,""
"30",56,"Bradie James",27,"LB",16,16,243,"6-2","LSU","1/17/1981","5",8,"Dallas Cowboys / 4th / 103rd pick / 2003"
"31",31,"Mike Jenkins",23,"lcb",14,3,200,"6-0","South Florida","3/22/1985","Rook",2,"Dallas Cowboys / 1st / 25th pick / 2008"
"32",14,"Brad Johnson",40,"qb",16,3,226,"6-5","Florida St.","9/13/1968","14",1,"Minnesota Vikings / 9th / 227th pick / 1992"
"33",95,"Tank Johnson",27,"nt",16,1,300,"6-3","Washington","12/7/1981","4",2,"Chicago Bears / 2nd / 47th pick / 2004"
"34",21,"Adam Jones",25,"lcb",9,6,187,"5-11","West Virginia","9/30/1983","3",3,"Tennessee Titans / 1st / 6th pick / 2005"
"35",28,"Felix Jones",21,"",6,0,200,"6-0","Arkansas","5/8/1987","Rook",3,"Dallas Cowboys / 1st / 22nd pick / 2008"
"36",63,"Kyle Kosier",30,"lg",3,3,305,"6-5","Arizona St.","1/27/1978","6",1,"San Francisco 49ers / 7th / 248th pick / 2002"
"37",91,"L.P. Ladouceur",27,"",16,0,257,"6-4","California","3/13/1981","3",1,""
"38",1,"Mat McBriar",29,"",6,0,210,"6-1","Hawaii","7/8/1979","4",1,""
"39",77,"Pat McQuistan",25,"",16,0,315,"6-6","Weber St.","4/30/1983","2",1,"Dallas Cowboys / 7th / 211th pick / 2006"
"40",41,"Terence Newman",30,"LCB",10,10,188,"5-11","Kansas St.","9/4/1978","5",5,"Dallas Cowboys / 1st / 5th pick / 2003"
"41",53,"Steve Octavien",24,"",2,0,238,"6-0","Nebraska","11/25/1984","Rook",0,""
"42",81,"Terrell Owens",35,"WR",16,16,226,"6-3","Tenn-Chattanooga","12/7/1973","12",9,"San Francisco 49ers / 3rd / 89th pick / 1996"
"43",2,"Sam Paulescu",24,"",10,0,194,"6-0","Oregon St.","4/18/1984","1",1,""
"44",52,"Carlos Polk",31,"",10,0,250,"6-2","Nebraska","2/22/1977","7",1,"San Diego Chargers / 4th / 112th pick / 2001"
"45",71,"Cory Procter",26,"LG",16,11,305,"6-4","Montana","10/18/1982","1",5,""
"46",90,"Jay Ratliff*",27,"NT",16,16,293,"6-4","Auburn","8/29/1981","3",10,"Dallas Cowboys / 7th / 224th pick / 2005"
"47",50,"Justin Rogers",25,"",15,0,252,"6-3","SMU","8/31/1983","1",1,"New England Patriots / 6th / 180th pick / 2007"
"48",9,"Tony Romo",28,"QB",13,13,219,"6-2","East. Illinois","4/21/1980","4",10,""
"49",32,"Orlando Scandrick",21,"cb",16,2,192,"5-10","Boise St.","2/10/1987","Rook",2,"Dallas Cowboys / 5th / 143rd pick / 2008"
