"","No.","Player.","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr.","Cap.Hit"
"1",5,"Dan Bailey",28,"K",14,0,198,"6-0","Oklahoma St.","1/26/1988","5",NA,"","$2,500,000"
"2",11,"Cole Beasley",27,"WR",14,5,174,"5-8","SMU","4/26/1989","4",NA,"","$2,356,000"
"3",30,"Anthony Brown",23,"CB",14,8,192,"5-11","Purdue","12/15/1993","Rook",NA,"Dallas Cowboys / 6th / 189th pick / 2016","$450,000"
"4",88,"Dez Bryant",28,"WR",11,11,225,"6-2","Oklahoma St.","11/4/1988","6",NA,"Dallas Cowboys / 1st / 24th pick / 2010","$9,000,000"
"5",19,"Brice Butler",26,"WR",14,3,215,"6-3","San Diego St.","1/29/1990","3",NA,"Oakland Raiders / 7th / 209th pick / 2013","$675,000"
"6",39,"Brandon Carr",30,"DB",14,14,207,"6-0","Grand Valley St.","5/19/1986","8",NA,"Kansas City Chiefs / 5th / 140th pick / 2008","$4,250,000"
"7",42,"Barry Church",28,"DB",10,10,222,"6-1","Toledo","2/11/1988","6",NA,"","$4,250,000"
"8",24,"Morris Claiborne",26,"CB",7,7,188,"5-11","LSU","2/7/1990","4",NA,"Dallas Cowboys / 1st / 6th pick / 2012","$1,250,000"
"9",63,"Emmett Cleary",26,"T",11,0,313,"6-7","Boston Col.","4/27/1990","3",NA,"","$432,348"
"10",71,"La'el Collins",23,"OT",3,3,308,"6-5","LSU","7/26/1993","1",NA,"","$526,750"
"11",96,"Maliek Collins",21,"DT",14,12,300,"6-2","Nebraska","4/8/1995","Rook",NA,"Dallas Cowboys / 3rd / 67th pick / 2016","$450,000"
"12",58,"Jack Crawford",28,"DE",14,10,274,"6-5","Penn St.","9/7/1988","4",NA,"Oakland Raiders / 5th / 158th pick / 2012","$860,000"
"13",98,"Tyrone Crawford",27,"DE",14,13,275,"6-4","Boise St.","11/22/1989","4",NA,"Dallas Cowboys / 3rd / 81st pick / 2012","$1,250,000"
"14",75,"Ryan Davis",27,"DE",8,0,260,"6-2","Bethune-Cookman","2/24/1989","4",NA,"","$675,000"
"15",25,"Lance Dunbar",26,"RB",11,0,191,"5-8","North Texas","1/25/1990","4",NA,"","$800,000"
"16",56,"Justin Durant",31,"LB",13,0,230,"6-4","Hampton","9/21/1985","9",NA,"Jacksonville Jaguars / 2nd / 48th pick / 2007","$885,000"
"17",21,"Ezekiel Elliott",21,"RB",14,14,225,"6-0","Ohio St.","7/22/1995","Rook",NA,"Dallas Cowboys / 1st / 4th pick / 2016","$450,000"
"18",89,"Gavin Escobar",25,"TE",14,1,254,"6-6","San Diego St.","2/3/1991","3",NA,"Dallas Cowboys / 2nd / 47th pick / 2013","$979,158"
"19",35,"Kavon Frazier",23,"FS",7,0,218,"6-0","Central Michigan","9/16/1993","Rook",NA,"Dallas Cowboys / 6th / 212th pick / 2016","$450,000"
"20",72,"Travis Frederick",25,"C",14,14,312,"6-4","Wisconsin","3/18/1991","3",NA,"Dallas Cowboys / 1st / 31st pick / 2013","$691,882"
"21",68,"Doug Free",32,"T",14,14,324,"6-6","Northern Illinois","1/6/1984","9",NA,"Dallas Cowboys / 4th / 122nd pick / 2007","$4,000,000"
"22",52,"Andrew Gachkar",28,"OLB",14,0,224,"6-2","Missouri","11/4/1988","5",NA,"San Diego Chargers / 7th / 234th pick / 2011","$1,300,000"
"23",79,"Chaz Green",24,"OT",4,2,300,"6-5","Florida","4/8/1992","Rook",NA,"Dallas Cowboys / 3rd / 91st pick / 2015","$540,375"
"24",94,"Randy Gregory",24,"DE",NA,NA,245,"6-6","Nebraska","11/23/1992","1",NA,"Dallas Cowboys / 2nd / 60th pick / 2015","$465,252"
"25",84,"James Hanna",27,"TE",NA,NA,252,"6-4","Oklahoma","7/14/1989","4",NA,"Dallas Cowboys / 6th / 186th pick / 2012","$1,000,000"
"26",38,"Jeff Heath",25,"S",14,0,210,"6-1","Saginaw Valley St.","5/14/1991","3",NA,"","$900,000"
"27",59,"Anthony Hitchens",24,"OLB",14,14,240,"6-0","Iowa","6/10/1992","2",NA,"Dallas Cowboys / 4th / 119th pick / 2014","$600,000"
"28",95,"David Irving",23,"DE",13,0,273,"6-7","Iowa St.","8/18/1993","1",NA,"","$525,000"
"29",31,"Byron Jones",24,"CB",14,14,196,"6-1","Connecticut","9/26/1992","1",NA,"Dallas Cowboys / 1st / 27th pick / 2015","$825,998"
"30",6,"Chris Jones",27,"P",14,0,205,"6-1","Carson-Newman","7/21/1989","5",NA,"","$1,200,000"
"31",91,"L.P. Ladouceur",35,"DE",14,0,257,"6-4","California","3/13/1981","11",NA,"","$1,050,000"
"32",90,"Demarcus Lawrence",24,"DE",9,3,251,"6-3","Boise St.","4/2/1992","2",NA,"Dallas Cowboys / 2nd / 34th pick / 2014","$703,992"
"33",65,"Ronald Leary",27,"G",12,11,324,"6-3","Memphis","4/29/1989","4",NA,"","$2,553,000"
"34",50,"Sean Lee",30,"LB",14,14,234,"6-2","Penn St.","7/22/1986","6",NA,"Dallas Cowboys / 2nd / 55th pick / 2010","$1,000,000"
"35",73,"Joe Looney",26,"G",14,2,309,"6-3","Wake Forest","8/31/1990","4",NA,"San Francisco 49ers / 4th / 117th pick / 2012","$775,000"
"36",70,"Zack Martin",26,"OT",14,14,308,"6-4","Notre Dame","11/20/1990","2",NA,"Dallas Cowboys / 1st / 16th pick / 2014","$1,235,255"
"37",16,"Vince Mayle",25,"WR",5,0,224,"6-2","Washington St.","6/12/1991","1",NA,"Cleveland Browns / 4th / 123rd pick / 2015","$450,000"
"38",93,"Benson Mayowa",25,"DE",11,4,236,"6-3","Idaho","8/3/1991","3",NA,"","$700,000"
"39",55,"Rolando McClain",27,"LB",NA,NA,254,"6-3","Alabama","7/14/1989","6",NA,"Oakland Raiders / 1st / 8th pick / 2010","$514,705"
"40",97,"Terrell McClain",28,"DL",14,14,300,"6-2","South Florida","7/20/1988","5",NA,"Carolina Panthers / 3rd / 65th pick / 2011","$1,000,000"
"41",20,"Darren McFadden",29,"RB",2,1,210,"6-2","Arkansas","8/27/1987","8",NA,"Oakland Raiders / 1st / 4th pick / 2008","$1,250,000"
"42",23,"Leon McFadden",26,"CB",7,0,193,"5-10","San Diego St.","10/26/1990","3",NA,"Cleveland Browns / 3rd / 68th pick / 2013","$675,000"
"43",17,"Kellen Moore",27,"QB",NA,NA,197,"6-0","Boise St.","7/12/1989","4",NA,"","$760,000"
"44",76,"Zach Moore",26,"DE",1,0,269,"6-5","Concordia-St.Paul (MN)","9/5/1990","2",NA,"New England Patriots / 6th / 198th pick / 2014",""
"45",46,"Alfred Morris",28,"RB",13,0,219,"5-9","Florida Atlantic","12/12/1988","4",NA,"Washington Redskins / 6th / 173rd pick / 2012","$800,000"
"46",53,"Mark Nzeocha",26,"OLB",3,0,239,"6-3","Wyoming","1/1/1990","1",NA,"Dallas Cowboys / 7th / 236th pick / 2015","$525,000"
"47",4,"Dak Prescott",23,"QB",14,14,226,"6-2","Mississippi St.","7/29/1993","Rook",NA,"Dallas Cowboys / 4th / 135th pick / 2016","$450,000"
"48",9,"Tony Romo",36,"QB",NA,NA,219,"6-2","East. Illinois","4/21/1980","12",NA,"","$8,500,000"
"49",3,"Mark Sanchez",30,"QB",1,0,225,"6-2","USC","11/11/1986","7",NA,"New York Jets / 1st / 5th pick / 2009","$2,000,000"
"50",32,"Orlando Scandrick",29,"DB",10,8,192,"5-10","Boise St.","2/10/1987","8",NA,"Dallas Cowboys / 5th / 143rd pick / 2008","$1,000,000"
"51",54,"Jaylon Smith",21,"OLB",NA,NA,223,"6-2","Notre Dame","6/14/1995","Rook",NA,"Dallas Cowboys / 2nd / 34th pick / 2016","$450,000"
"52",41,"Keith Smith",24,"LB",14,0,232,"6-0","San Jose St.","4/8/1992","2",NA,"","$600,000"
"53",77,"Tyron Smith",26,"OT",12,12,290,"6-5","USC","12/12/1990","5",NA,"Dallas Cowboys / 1st / 9th pick / 2011","$1,000,000"
"54",87,"Geoff Swaim",25,"TE",9,6,250,"6-4","Texas","3/19/1991","1",NA,"Dallas Cowboys / 7th / 246th pick / 2015","$525,000"
"55",79,"Charles Tapper",23,"DE",NA,NA,276,"6-3","Oklahoma","5/7/1993","Rook",NA,"Dallas Cowboys / 4th / 101st pick / 2016","$450,000"
"56",92,"Cedric Thornton",28,"DT",13,0,299,"6-6","Southern Arkansas","6/21/1988","5",NA,"","$1,000,000"
"57",13,"Lucky Whitehead",24,"WR",13,1,163,"5-10","Dean CC; Florida Atlantic","6/2/1992","1",NA,"","$525,000"
"58",51,"Kyle Wilber",27,"OLB",13,1,249,"6-4","Wake Forest","4/26/1989","4",NA,"Dallas Cowboys / 4th / 113th pick / 2012","$1,000,000"
"59",27,"J.J. Wilcox",25,"S",11,4,219,"6-0","Georgia Southern","2/14/1991","3",NA,"Dallas Cowboys / 3rd / 80th pick / 2013","$1,661,000"
"60",83,"Terrance Williams",27,"WR",14,13,208,"6-2","Baylor","9/8/1989","3",NA,"Dallas Cowboys / 3rd / 74th pick / 2013","$1,661,000"
"61",57,"Damien Wilson",23,"ILB",14,4,243,"6-0","Minnesota","5/28/1993","1",NA,"Dallas Cowboys / 4th / 127th pick / 2015","$525,000"
"62",82,"Jason Witten",34,"TE",14,14,257,"6-5","Tennessee","5/6/1982","13",NA,"Dallas Cowboys / 3rd / 69th pick / 2003","$1,000,000"
"63",NA,"Team Total",26.4,"",14,NA,243,"6-2.1","","","3.8",NA,"",""
