"","No.","Player","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr."
"1",74,"Jerry Baker",23,"",5,0,297,"6-2","Tulane","3/6/1960","Rook",0,""
"2",86,"Dean Barnett",26,"",8,0,225,"6-2","UNLV","6/6/1957","Rook",0,""
"3",54,"Keith Bishop",26,"LG",16,16,260,"6-3","Nebraska,Baylor","3/10/1957","3",7,"Denver Broncos / 6th / 157th pick / 1980"
"4",65,"Walt Bowyer",23,"de",14,3,254,"6-4","Arizona St.","9/8/1960","Rook",3,"Denver Broncos / 10th / 254th pick / 1983"
"5",89,"Clay Brown",25,"",3,0,223,"6-3","BYU","9/20/1958","1",0,"Denver Broncos / 2nd / 42nd pick / 1981"
"6",64,"Bill Bryan",28,"C",16,16,251,"6-2","Duke","6/21/1955","6",7,"Denver Broncos / 4th / 101st pick / 1977"
"7",58,"Steve Busick",25,"RILB",16,15,227,"6-4","USC","12/10/1958","2",7,"Denver Broncos / 7th / 181st pick / 1981"
"8",68,"Rubin Carter",31,"NT",16,15,256,"6-0","Miami (FL)","12/12/1952","8",8,"Denver Broncos / 5th / 121st pick / 1975"
"9",79,"Barney Chavous",32,"LDE",15,13,252,"6-3","South Carolina St.","3/22/1951","10",7,"Denver Broncos / 2nd / 36th pick / 1973"
"10",59,"Darren Comeaux",23,"",14,0,227,"6-1","Arizona St.","4/15/1960","1",1,""
"11",63,"Mark Cooper",23,"g",10,2,270,"6-5","Miami (FL)","2/14/1960","Rook",1,"Denver Broncos / 2nd / 31st pick / 1983"
"12",17,"Steve DeBerg",29,"qb",10,5,210,"6-3","San Jose St.","1/19/1954","5",5,"Dallas Cowboys / 10th / 275th pick / 1977"
"13",55,"Rick Dennison",25,"lb",16,1,220,"6-3","Colorado St.","6/22/1958","1",2,""
"14",21,"Myron Dupree",22,"",16,0,180,"5-11","North Carolina Central","10/15/1961","Rook",1,"Denver Broncos / 7th / 172nd pick / 1983"
"15",85,"Ron Egloff",28,"TE",16,10,230,"6-5","Wisconsin","10/3/1955","6",2,""
"16",7,"John Elway",23,"QB",11,10,215,"6-3","Stanford","6/28/1960","Rook",4,"Baltimore Colts / 1st / 1st pick / 1983"
"17",43,"Steve Foley",30,"FS",14,13,189,"6-2","Tulane","11/11/1953","7",6,"Denver Broncos / 8th / 199th pick / 1975"
"18",62,"Tom Glassic",29,"",12,0,254,"6-3","Virginia","4/17/1954","7",1,"Denver Broncos / 1st / 15th pick / 1976"
"19",53,"Randy Gradishar*",31,"LILB",16,16,233,"6-3","Ohio St.","3/3/1952","9",14,"Denver Broncos / 1st / 14th pick / 1974"
"20",31,"Mike Harden",24,"RCB",15,15,192,"6-1","Michigan","2/16/1959","3",7,"Denver Broncos / 5th / 131st pick / 1980"
"21",73,"Shawn Hollingsworth",22,"",5,0,260,"6-2","New Mexico,Angelo State (TX)","12/4/1961","Rook",0,""
"22",60,"Paul Howard",33,"RG",16,14,260,"6-3","BYU","9/12/1950","10",6,"Denver Broncos / 3rd / 54th pick / 1973"
"23",28,"Roger Jackson",24,"db",16,3,186,"6-0","Bethune-Cookman","2/28/1959","1",2,""
"24",57,"Tom Jackson",32,"ROLB",15,15,220,"5-11","Louisville","4/4/1951","10",8,"Denver Broncos / 4th / 88th pick / 1973"
"25",75,"Rulon Jones",25,"RDE",12,12,260,"6-6","Utah St.","3/25/1958","3",6,"Denver Broncos / 2nd / 42nd pick / 1980"
"26",3,"Rich Karlis",24,"K",16,0,180,"6-0","Cincinnati","5/23/1959","1",5,""
"27",8,"Gary Kubiak",22,"qb",4,1,192,"6-0","Texas A&M","8/15/1961","Rook",1,"Denver Broncos / 8th / 197th pick / 1983"
"28",76,"Ken Lanier",24,"RT",16,16,281,"6-3","Florida St.","7/8/1959","2",7,"Denver Broncos / 5th / 125th pick / 1981"
"29",72,"Don Latimer",28,"nt",12,3,259,"6-3","Miami (FL)","3/1/1955","5",2,"Denver Broncos / 1st / 27th pick / 1978"
"30",41,"Rob Lytle",29,"",4,0,198,"6-1","Michigan","11/12/1954","6",0,"Denver Broncos / 2nd / 45th pick / 1977"
"31",66,"Brison Manor",31,"de",16,4,247,"6-4","Arkansas","8/10/1952","6",3,"New York Jets / 15th / 380th pick / 1975"
"32",77,"Karl Mecklenburg",23,"",16,0,240,"6-3","Augustana (SD),Minnesota","9/1/1960","Rook",1,"Denver Broncos / 12th / 310th pick / 1983"
"33",29,"Wilbur Myers",22,"",16,0,195,"5-11","Delta St.","8/17/1961","Rook",1,""
"34",39,"Jesse Myles",23,"",16,0,210,"5-10","LSU","9/28/1960","Rook",1,""
