"","No.","Player.","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr."
"1",22,"C.J. Anderson*",23,"rb",15,7,224,"5-8","California","2/10/1991","1",10,""
"2",76,"Marvin Austin",25,"",15,0,310,"6-2","North Carolina","1/10/1989","3",1,"New York Giants / 2nd / 52nd pick / 2011"
"3",28,"Montee Ball",24,"rb",5,3,214,"5-11","Wisconsin","12/5/1990","1",2,"Denver Broncos / 2nd / 58th pick / 2013"
"4",57,"Lamin Barrow",24,"mlb",16,1,237,"6-1","LSU","11/29/1990","Rook",1,"Denver Broncos / 5th / 156th pick / 2014"
"5",1,"Connor Barth",28,"",5,0,193,"5-11","North Carolina","4/11/1986","6",2,""
"6",31,"Omar Bolden",26,"",15,0,198,"5-10","Arizona St.","12/20/1988","2",1,"Denver Broncos / 4th / 101st pick / 2012"
"7",46,"Aaron Brewer",24,"",16,0,225,"6-5","San Diego St.","7/5/1990","2",1,""
"8",30,"David Bruton",27,"s",14,1,210,"6-2","Notre Dame","7/23/1987","5",1,"Denver Broncos / 4th / 114th pick / 2009"
"9",19,"Isaiah Burse",23,"",12,0,187,"5-10","Fresno St.","12/8/1991","Rook",0,""
"10",20,"Josh Bush",25,"",2,0,208,"5-11","Wake Forest","3/5/1989","2",0,"New York Jets / 6th / 187th pick / 2012"
"11",12,"Andre Caldwell",29,"wr",16,2,207,"6-1","Florida","4/15/1985","6",0,"Cincinnati Bengals / 3rd / 97th pick / 2008"
"12",38,"Quinton Carter",26,"",11,0,211,"6-1","Oklahoma","7/20/1988","3",1,"Denver Broncos / 4th / 108th pick / 2011"
"13",32,"Tony Carter",28,"",8,0,177,"5-9","Florida St.","5/24/1986","5",1,""
"14",78,"Ryan Clady*",28,"LT",16,16,316,"6-6","Boise St.","9/6/1986","6",11,"Denver Broncos / 1st / 12th pick / 2008"
"15",75,"Chris Clark",29,"rt",13,7,315,"6-5","Southern Mississippi","10/1/1985","4",5,""
"16",4,"Britton Colquitt",29,"",16,0,205,"6-3","Tennessee","3/20/1985","4",2,""
"17",71,"Paul Cornick",25,"te",12,6,310,"6-6","North Dakota St.","3/15/1989","2",4,""
"18",51,"Todd Davis",22,"lb",6,2,230,"6-1","Sacramento St.","5/17/1992","Rook",1,""
"19",74,"Orlando Franklin",27,"LG",16,16,315,"6-6","Miami (FL)","12/16/1987","3",9,"Denver Broncos / 2nd / 46th pick / 2011"
"20",63,"Ben Garland",26,"",8,0,275,"6-5","Air Force","4/6/1988","3",1,""
"21",85,"Virgil Green",26,"TE",13,9,248,"6-3","Nevada","8/3/1988","3",1,"Denver Broncos / 7th / 204th pick / 2011"
"22",25,"Chris Harris*",25,"RCB",16,16,190,"5-10","Kansas","6/18/1989","3",11,""
"23",23,"Ronnie Hillman",23,"rb",8,4,200,"5-9","San Diego St.","9/14/1991","2",5,"Denver Broncos / 3rd / 67th pick / 2012"
"24",56,"Nate Irving",26,"MLB",8,8,242,"6-1","North Carolina St.","7/12/1988","3",4,"Denver Broncos / 3rd / 67th pick / 2011"
"25",97,"Malik Jackson",24,"dt",16,3,284,"6-4","Tennessee","1/11/1990","2",3,"Denver Broncos / 5th / 137th pick / 2012"
"26",53,"Steven Johnson",26,"mlb",14,7,237,"6-1","Kansas","3/28/1988","2",4,""
"27",86,"Dominique Jones",27,"",1,0,255,"6-3","Shepherd","8/15/1987","2",0,""
"28",98,"Terrance Knighton",28,"NT",16,16,295,"6-2","Temple","7/4/1986","5",7,"Jacksonville Jaguars / 3rd / 72nd pick / 2009"
"29",14,"Cody Latimer",22,"",8,0,215,"6-3","Indiana","10/10/1992","Rook",0,"Denver Broncos / 2nd / 56th pick / 2014"
"30",18,"Peyton Manning*",38,"QB",16,16,230,"6-5","Tennessee","3/24/1976","16",16,"Indianapolis Colts / 1st / 1st pick / 1998"
"31",54,"Brandon Marshall",25,"LB",14,13,242,"6-1","Nevada","9/10/1989","2",7,"Jacksonville Jaguars / 5th / 142nd pick / 2012"
"32",55,"Lerentee McCray",24,"",13,0,249,"6-3","Florida","8/26/1990","1",1,""
"33",8,"Brandon McManus",23,"",15,0,201,"6-3","Temple","7/25/1991","Rook",1,""
"34",58,"Von Miller*",25,"LB",16,16,237,"6-3","Texas A&M","3/26/1989","3",12,"Denver Broncos / 1st / 2nd pick / 2011"
"35",64,"Will Montgomery",31,"C",16,8,300,"6-3","Virginia Tech","2/13/1983","8",5,"Carolina Panthers / 7th / 234th pick / 2006"
"36",26,"Rahim Moore",24,"FS",16,16,195,"6-1","UCLA","2/11/1990","3",6,"Denver Broncos / 2nd / 45th pick / 2011"
"37",52,"Corey Nelson",22,"",16,0,231,"6-0","Oklahoma","4/22/1992","Rook",1,"Denver Broncos / 7th / 242nd pick / 2014"
"38",17,"Brock Osweiler",24,"",4,0,240,"6-7","Arizona St.","11/22/1990","2",0,"Denver Broncos / 2nd / 57th pick / 2012"
"39",66,"Manuel Ramirez",31,"RG",16,16,326,"6-3","Texas Tech","2/19/1983","7",9,"Detroit Lions / 4th / 117th pick / 2007"
"40",29,"Bradley Roby",22,"cb",16,2,194,"5-11","Ohio St.","5/1/1992","Rook",2,"Denver Broncos / 1st / 31st pick / 2014"
"41",10,"Emmanuel Sanders*",27,"WR",16,16,186,"5-11","SMU","3/17/1987","4",14,"Pittsburgh Steelers / 3rd / 82nd pick / 2010"
"42",93,"Quanterus Smith",25,"",15,0,250,"6-5","West. Kentucky","11/26/1989","1",1,"Denver Broncos / 5th / 146th pick / 2013"
"43",27,"Jeremy Stewart",25,"",6,0,230,"6-1","Stanford","2/19/1989","2",0,""
"44",21,"Aqib Talib*",28,"LCB",15,15,202,"6-2","Kansas","2/13/1986","6",9,"Tampa Bay Buccaneers / 1st / 20th pick / 2008"
"45",84,"Jacob Tamme",29,"",15,0,234,"6-4","Kentucky","3/15/1985","6",1,"Indianapolis Colts / 4th / 127th pick / 2008"
"46",88,"Demaryius Thomas*",27,"WR",16,16,229,"6-3","Georgia Tech","12/25/1987","4",16,"Denver Broncos / 1st / 22nd pick / 2010"
"47",80,"Julius Thomas*",26,"TE",13,10,251,"6-4","Portland St.","6/27/1988","3",5,"Denver Broncos / 4th / 129th pick / 2011"
"48",40,"Juwan Thompson",22,"",15,0,225,"5-11","Duke","5/13/1992","Rook",2,""
"49",59,"Danny Trevathan",24,"lb",3,1,237,"6-0","Kentucky","3/24/1990","2",1,"Denver Broncos / 6th / 188th pick / 2012"
"50",96,"Mitch Unrein",27,"",8,0,270,"6-4","Wyoming","3/25/1987","3",1,""
"51",65,"Louis Vasquez",27,"RT",16,16,330,"6-4","Texas Tech","4/11/1987","5",9,"San Diego Chargers / 3rd / 78th pick / 2009"
"52",43,"T.J. Ward*",28,"SS",15,15,199,"5-10","Oregon","12/12/1986","4",7,"Cleveland Browns / 2nd / 38th pick / 2010"
"53",94,"DeMarcus Ware*",32,"DE",16,15,247,"6-4","Troy","7/31/1982","9",10,"Dallas Cowboys / 1st / 11th pick / 2005"
"54",36,"Kayvon Webster",23,"",12,0,195,"5-11","South Florida","2/1/1991","1",1,"Denver Broncos / 3rd / 90th pick / 2013"
"55",83,"Wes Welker",33,"WR",14,8,190,"5-9","Texas Tech","5/1/1981","10",5,""
"56",92,"Sylvester Williams",26,"DT",16,13,313,"6-3","North Carolina","11/21/1988","1",6,"Denver Broncos / 1st / 28th pick / 2013"
"57",95,"Derek Wolfe",24,"DE",16,16,295,"6-5","Cincinnati","2/24/1990","2",7,"Denver Broncos / 2nd / 36th pick / 2012"
"58",NA,"Team Total",26,"",16,NA,239.9,"6-1.8","","","3.2",NA,""
