"","No.","Player.","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr.","Cap.Hit"
"1",22,"C.J. Anderson",25,"RB",7,7,224,"5-8","California","2/10/1991","3",NA,"","$6,000,000"
"2",50,"Zaire Anderson",24,"LB",14,0,220,"5-11","","8/18/1992","Rook",NA,"","$450,000"
"3",48,"Shaquil Barrett",24,"OLB",14,0,251,"6-1","Colorado St.","11/17/1992","2",NA,"","$525,000"
"4",35,"Kapri Bibbs",23,"RB",12,0,212,"5-9","Colorado St.","1/10/1993","2",NA,"","$525,000"
"5",20,"Devontae Booker",24,"RB",14,6,212,"5-11","Utah","5/27/1992","Rook",NA,"Denver Broncos / 4th / 136th pick / 2016","$545,848"
"6",67,"Sam Brenner",26,"C",NA,NA,301,"6-2","Utah","4/27/1990","3",NA,"","$600,000"
"7",15,"Marlon Brown",25,"WR",NA,NA,216,"6-5","Georgia","4/22/1991","3",NA,"","$675,000"
"8",93,"Jared Crick",27,"DT",14,13,279,"6-4","Nebraska","8/21/1989","4",NA,"Houston Texans / 4th / 126th pick / 2012","$1,750,000"
"9",4,"Austin Davis",27,"QB",NA,NA,221,"6-2","Southern Miss","6/2/1989","4",NA,"","$1,250,000"
"10",51,"Todd Davis",24,"LB",14,13,230,"6-1","Sacramento St.","5/17/1992","2",NA,"","$600,000"
"11",83,"A.J. Derby",25,"TE",6,3,255,"6-4","Arkansas","9/20/1991","Rook",NA,"New England Patriots / 6th / 202nd pick / 2015","$450,000"
"12",9,"Riley Dixon",23,"P",14,0,220,"6-4","Syracuse","8/24/1993","Rook",NA,"Denver Broncos / 7th / 228th pick / 2016","$470,002"
"13",68,"Vontarrius Dora",24,"LB",NA,NA,256,"6-4","","9/7/1992","Rook",NA,"",""
"14",37,"Lorenzo Doss",22,"CB",4,0,187,"5-11","Tulane","4/22/1994","1",NA,"Denver Broncos / 5th / 164th pick / 2015","$574,303"
"15",53,"James Ferentz",27,"C",5,0,285,"6-2","Iowa","6/5/1989","2",NA,"","$525,000"
"16",20,"Justin Forsett",31,"RB",2,1,190,"5-8","California","10/14/1985","8",NA,"Seattle Seahawks / 7th / 233rd pick / 2008","$208,352"
"17",16,"Bennie Fowler",25,"WR",11,0,217,"6-1","Michigan St.","6/10/1991","2",NA,"","$525,000"
