"","No.","Player","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr."
"1",43,"Gary Anderson",32,"rb",4,0,185,"6-0","Arkansas","4/18/1961","8",0,"San Diego Chargers / 1st / 20th pick / 1983"
"2",6,"Jim Arnold",32,"P",16,0,215,"6-2","Vanderbilt","1/31/1961","10",3,"Kansas City Chiefs / 5th / 119th pick / 1983"
"3",36,"Bennie Blades",27,"db",4,4,221,"6-0","Miami (FL)","9/3/1966","5",2,"Detroit Lions / 1st / 3rd pick / 1988"
"4",66,"Shawn Bouwens",25,"g",15,1,293,"6-5","Nebraska Wesleyan","5/25/1968","2",2,"New England Patriots / 9th / 226th pick / 1990"
"5",75,"Lomas Brown*",30,"LT",11,11,282,"6-4","Florida","3/30/1963","8",7,"Detroit Lions / 1st / 6th pick / 1985"
"6",87,"Jeff Campbell",25,"",10,0,167,"5-8","Colorado","3/26/1968","3",1,"Detroit Lions / 5th / 118th pick / 1990"
"7",50,"Toby Caston",28,"",9,0,235,"6-1","LSU","7/17/1965","6",1,"Houston Oilers / 6th / 159th pick / 1987"
"8",32,"Willie Clay",23,"db",16,1,193,"5-10","Georgia Tech","9/5/1970","1",3,"Detroit Lions / 8th / 221st pick / 1992"
"9",21,"Harry Colon",24,"FS",15,11,203,"6-0","Missouri","2/14/1969","2",6,"New England Patriots / 8th / 196th pick / 1991"
"10",74,"Mike Compton",23,"",8,0,310,"6-6","West Virginia","9/18/1970","Rook",1,"Detroit Lions / 3rd / 68th pick / 1993"
"11",76,"Scott Conover",25,"",1,0,276,"6-4","Purdue","9/27/1968","2",0,"Detroit Lions / 5th / 118th pick / 1991"
"12",39,"Ray Crockett",26,"LCB",16,16,185,"5-10","Baylor","1/5/1967","4",8,"Detroit Lions / 4th / 86th pick / 1989"
"13",97,"Darryl Ford",27,"",11,0,225,"6-1","New Mexico St.","6/22/1966","1",1,""
"14",79,"Bill Fralic",31,"RG",16,16,280,"6-5","Pittsburgh","10/31/1962","8",7,"Atlanta Falcons / 1st / 2nd pick / 1985"
"15",98,"Dennis Gibson",29,"RILB",15,15,240,"6-2","Iowa St.","2/8/1964","6",7,"Detroit Lions / 8th / 203rd pick / 1987"
"16",53,"Kevin Glover",30,"C",16,16,278,"6-2","Maryland","6/17/1963","8",7,"Detroit Lions / 2nd / 34th pick / 1985"
"17",23,"Mel Gray",32,"KR",11,0,167,"5-9","Purdue","3/16/1961","7",1,"New Orleans Saints / 2nd / 42nd pick / 1984 Supp"
"18",86,"Willie Green",27,"WR",16,6,185,"6-4","Mississippi","4/2/1966","2",5,"Detroit Lions / 8th / 194th pick / 1990"
