"","No.","Player.","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr."
"1",42,"Isa Abdul-Quddus",25,"ss",16,4,200,"6-1","Fordham","8/3/1989","3",2,""
"2",94,"Ezekiel Ansah",25,"DE",16,16,271,"6-5","BYU","5/29/1989","1",9,"Detroit Lions / 1st / 5th pick / 2013"
"3",35,"Joique Bell",28,"rb",15,6,220,"5-11","Wayne State (MI)","8/4/1986","4",8,""
"4",28,"Bill Bentley",25,"",1,0,176,"5-10","Dodge City CC; Louisiana-Lafayette","5/16/1989","2",0,"Detroit Lions / 3rd / 85th pick / 2012"
"5",84,"Ryan Broyles",26,"",5,0,192,"5-10","Oklahoma","4/9/1988","2",0,"Detroit Lions / 2nd / 54th pick / 2012"
"6",21,"Reggie Bush",29,"RB",11,9,200,"6-0","USC","3/2/1985","8",4,"New Orleans Saints / 1st / 2nd pick / 2006"
"7",57,"Josh Bynes",25,"",13,0,239,"6-1","Auburn","8/24/1989","3",2,""
"8",26,"Don Carey",27,"s",13,3,186,"5-11","Norfolk St.","2/14/1987","4",2,"Cleveland Browns / 6th / 177th pick / 2009"
"9",45,"Jed Collins",28,"fb",16,2,255,"6-1","Washington St.","3/3/1986","3",0,""
"10",24,"Jerome Couplin",23,"",8,0,215,"6-2","William & Mary","8/31/1991","Rook",0,""
"11",89,"Kellen Davis",29,"",6,0,259,"6-6","Michigan St.","10/11/1985","6",0,"Chicago Bears / 5th / 158th pick / 2008"
"12",85,"Eric Ebron",21,"te",13,7,250,"6-4","North Carolina","4/10/1993","Rook",2,"Detroit Lions / 1st / 10th pick / 2014"
"13",98,"Nick Fairley",26,"DT",8,8,291,"6-5","Auburn","1/23/1988","3",4,"Detroit Lions / 1st / 13th pick / 2011"
"14",80,"Joseph Fauria",24,"",7,0,259,"6-7","UCLA","1/16/1990","1",1,""
"15",96,"Andre Fluellen",29,"",8,0,285,"6-2","Florida St.","3/7/1985","6",1,"Detroit Lions / 3rd / 87th pick / 2008"
"16",3,"Nate Freese",24,"",3,0,192,"5-11","Boston Col.","8/18/1990","Rook",-1,"Detroit Lions / 7th / 229th pick / 2014"
"17",10,"Corey Fuller",24,"wr",16,2,204,"6-2","Virginia Tech","6/23/1990","1",2,"Detroit Lions / 6th / 171st pick / 2013"
"18",36,"Danny Gorrer",28,"",6,0,173,"6-0","Texas A&M","6/1/1986","5",0,""
"19",5,"Alex Henery",27,"",2,0,178,"6-1","Nebraska","8/18/1987","3",-1,"Philadelphia Eagles / 4th / 120th pick / 2011"
"20",78,"Corey Hilliard",29,"",1,0,315,"6-5","Oklahoma St.","4/26/1985","7",0,"New England Patriots / 6th / 209th pick / 2007"
"21",32,"James Ihedigbo",31,"SS",13,13,202,"6-1","Massachusetts","12/3/1983","6",6,""
"22",81,"Calvin Johnson*",29,"WR",13,13,239,"6-5","Georgia Tech","9/29/1985","7",9,"Detroit Lions / 1st / 2nd pick / 2007"
"23",93,"George Johnson",27,"",16,0,265,"6-4","Rutgers","12/11/1987","3",3,""
"24",91,"Jason Jones",28,"DE",16,16,272,"6-5","East. Michigan","5/23/1986","6",7,"Tennessee Titans / 2nd / 54th pick / 2008"
"25",43,"Nevin Lawson",23,"",2,0,190,"5-10","Utah St.","4/23/1991","Rook",0,"Detroit Lions / 4th / 133rd pick / 2014"
"26",54,"DeAndre Levy",27,"LB",16,16,230,"6-2","Wisconsin","3/26/1987","5",14,"Detroit Lions / 3rd / 76th pick / 2009"
"27",50,"Travis Lewis",26,"",2,0,246,"6-1","Oklahoma","1/15/1988","2",0,"Detroit Lions / 7th / 223rd pick / 2012"
"28",77,"Cornelius Lucas",23,"rt",15,3,328,"6-9","Kansas St.","7/18/1991","Rook",2,""
