"","No.","Player.","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr.","Cap.Hit"
"1",42,"Isa Abdul-Quddus",26,"ss",16,8,200,"6-1","Fordham","8/3/1989","4",3,"","$1,500,000"
"2",21,"Ameer Abdullah",22,"RB",16,9,198,"5-8","Nebraska","6/13/1993","Rook",5,"Detroit Lions / 2nd / 54th pick / 2015","$755,659"
"3",94,"Ezekiel Ansah*",26,"DE",16,16,271,"6-5","BYU","5/29/1989","2",12,"Detroit Lions / 1st / 5th pick / 2013","$5,071,232"
"4",35,"Joique Bell",29,"rb",13,5,220,"5-11","Wayne State (MI)","8/4/1986","5",4,"","$3,500,000"
"5",41,"Bill Bentley",26,"",2,0,176,"5-10","Dodge City CC; Louisiana-Lafayette","5/16/1989","3",0,"Detroit Lions / 3rd / 85th pick / 2012",""
"6",65,"Taylor Boggs",28,"",2,0,285,"6-3","Humboldt St.","2/20/1987","4",0,"","$585,000"
"7",46,"Michael Burton",23,"fb",16,7,235,"5-11","Rutgers","2/1/1992","Rook",0,"Detroit Lions / 5th / 168th pick / 2015","$481,089"
"8",29,"Crezdon Butler",28,"",8,0,183,"6-0","Clemson","5/26/1987","5",0,"Pittsburgh Steelers / 5th / 164th pick / 2010",""
"9",57,"Josh Bynes",26,"LB",16,11,239,"6-1","Auburn","8/24/1989","4",5,"","$785,000"
"10",26,"Don Carey",28,"",16,0,186,"5-11","Norfolk St.","2/14/1987","5",1,"Cleveland Browns / 6th / 177th pick / 2009","$995,000"
"11",95,"Brandon Copeland",24,"",16,0,260,"6-3","Penn","7/2/1991","2",1,"","$460,000"
"12",99,"Jermelle Cudjo",29,"",7,0,293,"6-2","Central Oklahoma","9/28/1986","5",1,"","$660,000"
"13",28,"Quandre Diggs",24,"cb",16,4,196,"5-9","Texas","11/7/1991","Rook",2,"Detroit Lions / 6th / 200th pick / 2015","$463,838"
"14",85,"Eric Ebron",22,"TE",14,8,250,"6-4","North Carolina","4/10/1993","1",4,"Detroit Lions / 1st / 10th pick / 2014","$2,783,898"
"15",96,"Andre Fluellen",30,"dt",4,1,285,"6-2","Florida St.","3/7/1985","7",1,"Detroit Lions / 3rd / 87th pick / 2008",""
"16",10,"Corey Fuller",25,"",12,0,204,"6-2","Virginia Tech","6/23/1990","2",1,"Detroit Lions / 6th / 171st pick / 2013","$510,000"
"17",58,"Phillip Hunt",29,"",2,0,248,"6-0","Houston","1/10/1986","4",0,"","$585,000"
"18",61,"Kerry Hyder",24,"",1,0,280,"6-2","Texas Tech","5/2/1991","1",0,"",""
"19",32,"James Ihedigbo",32,"SS",15,8,202,"6-1","Massachusetts","12/3/1983","7",3,"","$2,000,000"
"20",65,"Gabe Ikard",25,"",1,0,304,"6-4","Oklahoma","9/26/1990","1",0,"",""
"21",81,"Calvin Johnson*",30,"WR",16,16,239,"6-5","Georgia Tech","9/29/1985","8",10,"Detroit Lions / 1st / 2nd pick / 2007","$20,558,000"
"22",43,"Isaiah Johnson",23,"",6,0,213,"6-2","Georgia Tech","5/16/1992","Rook",0,"",""
"23",91,"Jason Jones",29,"DE",15,15,272,"6-5","East. Michigan","5/23/1986","7",6,"Tennessee Titans / 2nd / 54th pick / 2008","$3,983,333"
"24",13,"T.J. Jones",23,"",10,0,188,"6-0","Notre Dame","7/19/1992","1",1,"Detroit Lions / 6th / 189th pick / 2014","$536,550"
"25",67,"Ishmaa'ily Kitchen",27,"",1,0,334,"6-1","Kent St.","6/24/1988","3",0,"",""
"26",24,"Nevin Lawson",24,"CB",14,9,190,"5-10","Utah St.","4/23/1991","1",3,"Detroit Lions / 4th / 133rd pick / 2014","$510,146"
"27",54,"DeAndre Levy",28,"lb",1,1,230,"6-2","Wisconsin","3/26/1987","6",0,"Detroit Lions / 3rd / 76th pick / 2009","$4,400,000"
"28",50,"Travis Lewis",27,"lb",15,4,246,"6-1","Oklahoma","1/15/1988","3",2,"Detroit Lions / 7th / 223rd pick / 2012","$674,793"
"29",77,"Cornelius Lucas",24,"rt",15,3,328,"6-9","Kansas St.","7/18/1991","1",3,"","$516,666"
"30",6,"Sam Martin",25,"",16,0,211,"6-1","Appalachian St.","2/27/1990","2",3,"Detroit Lions / 5th / 165th pick / 2013","$625,075"
"31",31,"Rashean Mathis",35,"cb",7,7,200,"6-1","Bethune-Cookman","8/27/1980","12",2,"Jacksonville Jaguars / 2nd / 39th pick / 2003","$1,625,000"
"32",16,"Lance Moore",32,"WR",14,8,177,"5-9","Toledo","8/31/1983","9",3,"","$665,000"
"33",48,"Don Muhlbach",34,"",16,0,262,"6-5","Texas A&M","8/17/1981","11",1,"","$665,000"
