"","No.","Player","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr."
"1",59,"John Anderson",26,"LOLB",9,9,226,"6-3","Michigan","2/14/1956","4",10,"Green Bay Packers / 1st / 26th pick / 1978"
"2",73,"Byron Braggs",23,"",9,0,290,"6-4","Alabama","10/10/1959","1",1,"Green Bay Packers / 5th / 117th pick / 1981"
"3",93,"Robert Brown",22,"",8,0,268,"6-2","Chowan,Virginia Tech","5/21/1960","Rook",2,"Green Bay Packers / 4th / 98th pick / 1982"
"4",77,"Mike Butler",28,"LDE",9,9,265,"6-5","Kansas","4/4/1954","5",8,"Green Bay Packers / 1st / 9th pick / 1977"
"5",19,"Rich Campbell",24,"",1,0,224,"6-4","California","12/21/1958","1",0,"Green Bay Packers / 1st / 6th pick / 1981"
"6",34,"Allan Clark",25,"",5,0,186,"5-10","Northern Arizona","6/8/1957","3",0,"New England Patriots / 10th / 271st pick / 1979"
"7",82,"Paul Coffman*",26,"TE",9,9,222,"6-3","Kansas St.","3/29/1956","4",5,""
"8",52,"George Cumby",26,"RILB",9,9,220,"6-0","Oklahoma","7/5/1956","2",8,"Green Bay Packers / 1st / 26th pick / 1980"
"9",12,"Lynn Dickey",33,"QB",9,9,214,"6-3","Kansas St.","10/19/1949","11",12,"Houston Oilers / 3rd / 56th pick / 1971"
"10",53,"Mike Douglass",27,"ROLB",9,9,220,"6-0","Arizona St.,San Diego St.","3/15/1955","4",9,"Green Bay Packers / 5th / 116th pick / 1978"
"11",31,"Gerry Ellis",25,"FB",9,8,221,"5-11","Missouri","11/12/1957","2",6,"Los Angeles Rams / 7th / 192nd pick / 1980"
"12",85,"Phil Epps",24,"PR",9,1,165,"5-10","TCU","11/11/1958","Rook",4,"Green Bay Packers / 12th / 321st pick / 1982"
"13",57,"Derrel Gofourth",27,"LG",9,7,260,"6-3","Oklahoma St.","3/20/1955","5",6,"Green Bay Packers / 7th / 172nd pick / 1977"
"14",24,"Johnnie Gray",29,"SS",9,9,185,"5-11","Cal State-Fullerton","12/18/1953","7",8,""
"15",65,"Ron Hallstrom",23,"",6,0,300,"6-6","Iowa Central,Iowa","6/11/1959","Rook",1,"Green Bay Packers / 1st / 22nd pick / 1982"
"16",69,"Leotis Harris",27,"RG",9,8,267,"6-1","Arkansas","6/28/1955","4",7,"Green Bay Packers / 6th / 144th pick / 1978"
"17",23,"Maurice Harvey",26,"FS",9,9,190,"5-10","Ball St.","1/14/1956","4",11,"Oakland Raiders / 4th / 86th pick / 1978"
"18",38,"Estus Hood",27,"db",9,2,183,"5-11","Illinois St.","11/14/1955","4",3,"Green Bay Packers / 3rd / 62nd pick / 1978"
"19",25,"Harlan Huckleby",25,"",9,0,199,"6-1","Michigan","12/30/1957","2",0,"New Orleans Saints / 5th / 120th pick / 1979"
"20",74,"Tim Huffman",23,"g",9,3,277,"6-5","Notre Dame","8/31/1959","1",4,"Green Bay Packers / 9th / 227th pick / 1981"
"21",40,"Eddie Lee Ivery",25,"RB",9,9,210,"6-0","Georgia Tech","7/30/1957","3",10,"Green Bay Packers / 1st / 15th pick / 1979"
"22",83,"John Jefferson*",26,"WR",8,8,198,"6-1","Arizona St.","2/3/1956","4",9,"San Diego Chargers / 1st / 14th pick / 1978"
"23",33,"Jim Jensen",29,"",8,0,230,"6-3","Iowa","11/28/1953","6",1,"Dallas Cowboys / 2nd / 40th pick / 1976"
"24",90,"Ezra Johnson",27,"RDE",9,9,250,"6-4","Morris Brown","10/2/1955","5",8,"Green Bay Packers / 1st / 28th pick / 1977"
"25",21,"Mike Jolly",24,"",7,0,188,"6-3","Michigan","3/19/1958","2",1,"New Orleans Saints / 4th / 96th pick / 1980"
"26",63,"Terry Jones",26,"NT",9,9,259,"6-2","Alabama","11/8/1956","4",8,"Green Bay Packers / 11th / 284th pick / 1978"
"27",68,"Greg Koch",27,"RT",9,9,270,"6-4","Arkansas","6/14/1955","5",8,"Green Bay Packers / 2nd / 39th pick / 1977"
"28",60,"Jim Laslavic",31,"",8,0,237,"6-2","Penn St.","10/24/1951","9",1,"Detroit Lions / 3rd / 71st pick / 1973"
"29",22,"Mark Lee",24,"LCB",9,7,187,"5-11","Washington","3/20/1958","2",7,"Green Bay Packers / 2nd / 34th pick / 1980"
"30",56,"Cliff Lewis",23,"",9,0,226,"6-1","Southern Miss","11/9/1959","1",1,"Green Bay Packers / 12th / 311th pick / 1981"
"31",81,"Gary Lewis",24,"",9,0,234,"6-5","Texas-Arlington","12/30/1958","1",0,"Green Bay Packers / 2nd / 35th pick / 1981"
"32",80,"James Lofton*",26,"WR",9,9,192,"6-3","Stanford","7/5/1956","4",14,"Green Bay Packers / 1st / 6th pick / 1978"
"33",54,"Larry McCarren*",31,"C",9,9,246,"6-3","Illinois","11/9/1951","9",10,"Green Bay Packers / 12th / 308th pick / 1973"
"34",29,"Mike McCoy",29,"RCB",9,9,183,"5-11","Colorado","8/16/1953","6",8,"Green Bay Packers / 3rd / 72nd pick / 1976"
"35",39,"Mike Meade",22,"rb",2,1,228,"5-11","Penn St.","2/12/1960","Rook",1,"Green Bay Packers / 5th / 126th pick / 1982"
"36",78,"Casey Merrill",25,"",9,0,254,"6-4","California-Davis","7/16/1957","3",2,"Cincinnati Bengals / 5th / 113th pick / 1979"
"37",62,"Mark Merrill",27,"",4,0,237,"6-4","Minnesota","5/5/1955","4",1,"New York Jets / 2nd / 31st pick / 1978"
"38",37,"Mark Murphy",24,"",9,0,200,"6-2","West Liberty St.","4/22/1958","2",1,""
"39",51,"Guy Prather",24,"",9,0,230,"6-2","Grambling St.","3/28/1958","1",2,""
"40",35,"Del Rodgers",22,"KR",9,0,210,"5-10","Utah","6/22/1960","Rook",3,"Green Bay Packers / 3rd / 71st pick / 1982"
"41",58,"Larry Rubens",23,"",9,0,253,"6-1","Montana St.","1/25/1959","Rook",1,""
"42",55,"Randy Scott",23,"lb",9,4,223,"6-1","Alabama","1/31/1959","1",4,""
"43",16,"Ray Stachowicz",23,"P",9,0,185,"5-11","Michigan St.","3/6/1959","1",2,"Green Bay Packers / 3rd / 62nd pick / 1981"
"44",10,"Jan Stenerud",40,"K",9,0,187,"6-2","Montana St.","11/26/1942","15",3,""
"45",76,"Tim Stokes",32,"t",8,1,252,"6-5","Oregon","3/16/1950","8",2,"Los Angeles Rams / 3rd / 60th pick / 1973"
"46",67,"Karl Swanke",25,"LT",8,8,257,"6-6","Boston Col.","12/29/1957","2",7,"Green Bay Packers / 6th / 143rd pick / 1980"
"47",87,"John Thompson",25,"",9,0,228,"6-3","Weber St.,Utah St.","1/18/1957","3",0,"Green Bay Packers / 9th / 235th pick / 1979"
"48",75,"Richard Turner",23,"",9,0,260,"6-2","Oklahoma","2/14/1959","1",1,"Green Bay Packers / 4th / 105th pick / 1981"
"49",30,"Bill Whitaker",23,"",9,0,182,"6-0","Missouri","11/18/1959","1",1,"Green Bay Packers / 7th / 172nd pick / 1981"
"50",17,"David Whitehurst",27,"",3,0,204,"6-2","Furman","4/27/1955","5",1,"Green Bay Packers / 8th / 206th pick / 1977"
"51",50,"Rich Wingo",26,"LILB",5,5,230,"6-1","Alabama","7/16/1956","3",5,"Green Bay Packers / 7th / 184th pick / 1979"
"52",NA,"Team Total",25.9,"",9,NA,227.6,"6-1.9","","","3.4",NA,""
