"","No.","Player.","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr."
"1",31,"Chris Akins",25,"",11,0,200,"5-11","Arkansas,Ark-Pine Bluff","11/29/1976","2",1,"Green Bay Packers / 7th / 212th pick / 1999"
"2",9,"Josh Bidwell",25,"",16,0,220,"6-3","Oregon","3/13/1976","1",2,"Green Bay Packers / 4th / 133rd pick / 1999"
"3",28,"Matt Bowen",25,"",5,0,207,"6-1","Iowa","11/12/1976","1",0,"St. Louis Rams / 6th / 198th pick / 2000"
"4",85,"Corey Bradford",26,"wr",16,6,201,"6-1","Jackson St.","12/8/1975","3",6,"Green Bay Packers / 5th / 150th pick / 1998"
"5",93,"Gilbert Brown",30,"NT",11,11,340,"6-2","Kansas","2/22/1971","8",6,"Minnesota Vikings / 3rd / 79th pick / 1993"
"6",36,"LeRoy Butler",33,"SS",9,9,197,"6-0","Florida St.","7/19/1968","11",5,"Green Bay Packers / 2nd / 48th pick / 1990"
"7",76,"Chad Clifton",25,"LT",14,13,330,"6-5","Tennessee","6/26/1976","1",7,"Green Bay Packers / 2nd / 44th pick / 2000"
"8",87,"Bobby Collins",25,"",4,0,246,"6-4","North Alabama","8/20/1976","2",0,"Buffalo Bills / 4th / 122nd pick / 1999"
"9",60,"Rob Davis",33,"",16,0,284,"6-3","Shippensburg","12/10/1968","5",1,""
"10",81,"Tyrone Davis",29,"te",4,2,240,"6-4","Virginia","6/30/1972","6",0,"New York Jets / 4th / 107th pick / 1995"
"11",59,"Na'il Diggs",23,"LB",16,16,238,"6-4","Ohio St.","7/8/1978","1",9,"Green Bay Packers / 4th / 98th pick / 2000"
"12",72,"Earl Dotson",31,"",12,0,315,"6-4","Texas A&M-Kingsville","12/17/1970","8",1,"Green Bay Packers / 3rd / 81st pick / 1993"
"13",71,"Santana Dotson",32,"DT",16,13,278,"6-5","Baylor","12/19/1969","9",7,"Tampa Bay Buccaneers / 5th / 132nd pick / 1992"
"14",80,"Donald Driver",26,"wr",13,2,188,"6-0","Alcorn St.","2/2/1975","2",2,"Green Bay Packers / 7th / 213th pick / 1999"
"15",24,"Antuan Edwards",24,"",3,0,212,"6-1","Clemson","5/26/1977","2",1,"Green Bay Packers / 1st / 25th pick / 1999"
"16",4,"Brett Favre*",32,"QB",16,16,225,"6-2","Southern Miss","10/10/1969","10",15,"Atlanta Falcons / 2nd / 33rd pick / 1991"
"17",89,"Robert Ferguson",22,"",1,0,209,"6-1","Texas A&M","12/17/1979","Rook",0,"Green Bay Packers / 2nd / 41st pick / 2001"
"18",58,"Mike Flanagan",28,"C",16,16,297,"6-5","UCLA","11/10/1973","3",9,"Green Bay Packers / 3rd / 90th pick / 1996"
"19",75,"Jim Flanigan",30,"nt",16,8,290,"6-2","Notre Dame","8/27/1971","7",6,"Chicago Bears / 3rd / 74th pick / 1994"
"20",88,"Bubba Franks*",23,"TE",16,14,263,"6-6","Miami (FL)","1/6/1978","1",3,"Green Bay Packers / 1st / 14th pick / 2000"
"21",86,"Antonio Freeman",29,"WR",16,16,198,"6-1","Virginia Tech","5/27/1972","6",9,"Green Bay Packers / 3rd / 90th pick / 1995"
"22",94,"Kabeer Gbaja-Biamila",24,"",16,0,255,"6-4","San Diego St.","9/24/1977","1",3,"Green Bay Packers / 5th / 149th pick / 2000"
"23",57,"Chris Gizzi",26,"lb",12,1,235,"6-0","Air Force","3/8/1975","1",2,""
"24",29,"Herbert Goodman",24,"",7,0,203,"5-11","Graceland College (IA)","8/31/1977","1",0,""
"25",30,"Ahman Green*",24,"RB",16,16,217,"6-0","Nebraska","2/16/1977","3",17,"Seattle Seahawks / 3rd / 76th pick / 1998"
"26",55,"Bernardo Harris",30,"MLB",16,16,247,"6-2","North Carolina","10/15/1971","6",10,""
"27",33,"William Henderson",30,"FB",16,8,249,"6-1","North Carolina","2/19/1971","6",2,"Green Bay Packers / 3rd / 66th pick / 1995"
"28",90,"Vonnie Holliday",26,"DE",16,16,290,"6-5","North Carolina","12/11/1975","3",11,"Green Bay Packers / 1st / 19th pick / 1998"
"29",56,"Rob Holmberg",30,"lb",4,2,230,"6-3","Navy,Penn St.","5/6/1971","7",1,"Los Angeles Raiders / 7th / 217th pick / 1994"
"30",97,"Cletidus Hunt",25,"de",12,4,305,"6-4","Kentucky St.","1/2/1976","2",3,"Green Bay Packers / 3rd / 94th pick / 1999"
"31",23,"Billy Jenkins",27,"",6,0,205,"5-10","Howard","7/8/1974","4",0,""
