"","No.","Player.","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr.","Cap.Hit"
"1",84,"Jared Abbrederis",25,"",9,0,195,"6-1","Wisconsin","12/17/1990","1",1,"Green Bay Packers / 5th / 176th pick / 2014","$435,000"
"2",17,"Davante Adams",23,"WR",13,12,212,"6-1","Fresno St.","12/24/1992","1",4,"Green Bay Packers / 2nd / 53rd pick / 2014","$893,955"
"3",86,"Kennard Backman",22,"",7,0,258,"6-3","Ala-Birmingham","2/26/1993","Rook",0,"Green Bay Packers / 6th / 213th pick / 2015","$457,621"
"4",69,"David Bakhtiari",24,"LT",14,14,299,"6-4","Colorado","9/30/1991","2",7,"Green Bay Packers / 4th / 109th pick / 2013","$698,850"
"5",32,"Chris Banjo",25,"s",16,1,204,"5-10","SMU","2/26/1990","2",1,"","$585,000"
"6",67,"Don Barclay",26,"rt",16,5,305,"6-4","West Virginia","4/18/1989","3",3,"","$1,542,000"
"7",58,"Sam Barrington",25,"lb",1,1,246,"6-1","South Florida","10/5/1990","2",0,"Green Bay Packers / 7th / 232nd pick / 2013","$374,191"
"8",93,"Josh Boyd",26,"",2,0,310,"6-3","Mississippi St.","8/3/1989","2",0,"Green Bay Packers / 5th / 167th pick / 2013","$621,140"
"9",75,"Bryan Bulaga",26,"RT",12,12,315,"6-5","Iowa","3/21/1989","5",6,"Green Bay Packers / 1st / 23rd pick / 2010","$3,568,750"
"10",42,"Morgan Burnett",26,"SS",11,11,210,"6-1","Georgia Tech","1/13/1989","5",4,"Green Bay Packers / 3rd / 71st pick / 2010","$5,131,250"
"11",21,"Ha Ha Clinton-Dix",23,"FS",16,16,208,"6-1","Alabama","12/21/1992","1",7,"Green Bay Packers / 1st / 21st pick / 2014","$1,895,114"
"12",18,"Randall Cobb",25,"WR",16,15,191,"5-10","Kentucky","8/22/1990","4",8,"Green Bay Packers / 2nd / 64th pick / 2011","$5,350,000"
"13",38,"John Crockett",23,"",2,0,215,"6-0","North Dakota St.","2/16/1992","Rook",0,"","$435,000"
"14",2,"Mason Crosby",31,"",16,0,212,"6-1","Colorado","9/3/1984","8",4,"Green Bay Packers / 6th / 193rd pick / 2007","$3,550,000"
"15",76,"Mike Daniels",26,"DT",16,16,291,"6-0","Iowa","5/5/1989","3",9,"Green Bay Packers / 4th / 132nd pick / 2012","$1,617,146"
"16",91,"Jayrone Elliott",24,"",14,0,240,"6-3","Toledo","11/11/1991","1",2,"","$511,666"
"17",99,"Bruce Gaston",24,"",2,0,308,"6-2","Purdue","11/29/1991","1",0,"","$510,000"
"18",61,"Brett Goode",31,"",14,0,244,"6-1","Arkansas","11/2/1984","7",1,"","$976,250"
"19",39,"Demetri Goodson",26,"",14,0,194,"5-11","Baylor","6/11/1989","1",1,"Green Bay Packers / 6th / 197th pick / 2014","$535,788"
"20",98,"Letroy Guion",28,"de",13,4,295,"6-4","Florida St.","6/21/1987","7",3,"Minnesota Vikings / 5th / 152nd pick / 2008","$2,485,294"
"21",36,"Ladarius Gunter",23,"",7,0,200,"6-1","Miami (FL)","5/13/1992","Rook",0,"","$436,666"
"22",46,"Alonzo Harris",23,"",6,0,237,"6-1","La-Lafayette","11/9/1992","Rook",0,"","$436,166"
"23",29,"Casey Hayward",26,"cb",16,11,188,"5-11","Vanderbilt","9/9/1989","3",4,"Green Bay Packers / 2nd / 62nd pick / 2012","$1,053,154"
"24",33,"Micah Hyde",25,"ss",15,7,197,"6-0","Iowa","12/31/1990","2",4,"Green Bay Packers / 5th / 159th pick / 2013","$629,527"
"25",83,"Jeff Janis",24,"",16,0,219,"6-3","Saginaw Valley St.","6/24/1991","1",1,"Green Bay Packers / 7th / 236th pick / 2014","$522,848"
"26",95,"Datone Jones",25,"",15,0,283,"6-4","UCLA","7/24/1990","2",2,"Green Bay Packers / 1st / 26th pick / 2013","$2,039,436"
"27",89,"James Jones",31,"WR",16,15,208,"6-1","San Jose St.","3/31/1984","8",8,"Green Bay Packers / 3rd / 78th pick / 2007","$585,000"
"28",30,"John Kuhn*",33,"fb",16,6,255,"6-0","Shippensburg","9/9/1982","9",1,"","$635,000"
"29",27,"Eddie Lacy",25,"RB",15,12,231,"5-11","Alabama","6/2/1990","2",7,"Green Bay Packers / 2nd / 61st pick / 2013","$925,203"
"30",70,"T.J. Lang",28,"RG",15,15,305,"6-4","East. Michigan","9/20/1987","6",7,"Green Bay Packers / 4th / 109th pick / 2009","$5,800,000"
"31",63,"Corey Linsley",24,"C",13,13,296,"6-3","Ohio St.","7/27/1991","1",6,"Green Bay Packers / 5th / 161st pick / 2014","$556,250"
"32",59,"Rick Lovato",23,"",2,0,233,"6-2","Old Dominion","9/9/1992","Rook",0,"","$435,000"
"33",8,"Tim Masthay",28,"",16,0,198,"6-2","Kentucky","3/16/1987","5",2,"","$1,340,000"
"34",52,"Clay Matthews*",29,"MLB",16,16,255,"6-3","USC","5/14/1986","6",12,"Green Bay Packers / 1st / 26th pick / 2009","$12,700,000"
"35",88,"Ty Montgomery",22,"wr",6,3,216,"6-0","Stanford","1/22/1993","Rook",1,"Green Bay Packers / 3rd / 94th pick / 2015","$586,636"
"36",55,"Andy Mulumba",25,"",6,0,260,"6-3","East. Michigan","1/31/1990","2",0,"","$586,667"
"37",96,"Mike Neal",28,"ROLB",16,15,262,"6-3","Purdue","6/26/1987","5",8,"Green Bay Packers / 2nd / 56th pick / 2010","$4,250,000"
"38",51,"Nate Palmer",26,"LB",16,10,248,"6-2","Illinois St.","9/23/1989","2",6,"Green Bay Packers / 6th / 193rd pick / 2013","$609,724"
"39",64,"Mike Pennel",24,"de",16,5,363,"6-5","CSU-Pueblo","5/9/1991","1",4,"","$511,166"
"40",56,"Julius Peppers*",35,"LOLB",16,16,283,"6-6","North Carolina","1/18/1980","13",11,"Carolina Panthers / 1st / 2nd pick / 2002","$12,000,000"
"41",80,"Justin Perillo",24,"",9,0,250,"6-4","Maine","1/5/1991","1",1,"","$510,000"
"42",53,"Nick Perry",25,"lolb",14,1,271,"6-3","USC","4/12/1990","3",2,"Green Bay Packers / 1st / 28th pick / 2012","$2,386,125"
"43",81,"Andrew Quarless",27,"te",5,1,248,"6-4","Penn St.","10/6/1988","5",0,"Green Bay Packers / 5th / 154th pick / 2010","$1,750,000"
"44",90,"B.J. Raji",29,"NT",15,15,334,"6-2","Boston Col.","7/11/1986","6",7,"Green Bay Packers / 1st / 9th pick / 2009","$1,750,000"
"45",23,"Damarious Randall",23,"lcb",15,9,196,"5-11","Arizona St.","8/29/1992","Rook",5,"Green Bay Packers / 1st / 30th pick / 2015","$1,439,224"
"46",28,"Sean Richardson",25,"s",3,1,213,"6-3","Vanderbilt","1/21/1990","3",0,"","$2,550,000"
"47",22,"Aaron Ripkowski",23,"",15,0,255,"6-1","Oklahoma","10/2/1992","Rook",0,"Green Bay Packers / 6th / 206th pick / 2015","$461,599"
"48",12,"Aaron Rodgers*",32,"QB",16,16,223,"6-2","California","12/2/1983","10",14,"Green Bay Packers / 1st / 24th pick / 2005","$18,250,000"
"49",82,"Richard Rodgers",23,"TE",16,12,257,"6-4","California","1/22/1992","1",5,"Green Bay Packers / 3rd / 98th pick / 2014","$649,004"
"50",24,"Quinten Rollins",23,"lcb",14,4,193,"5-11","Miami (OH)","7/15/1992","Rook",3,"Green Bay Packers / 2nd / 62nd pick / 2015","$680,466"
"51",47,"Jake Ryan",23,"lb",14,5,238,"6-3","Michigan","2/27/1992","Rook",4,"Green Bay Packers / 4th / 129th pick / 2015","$549,169"
"52",37,"Sam Shields",28,"RCB",12,12,184,"5-11","Miami (FL)","12/8/1987","5",5,"","$9,062,500"
"53",71,"Josh Sitton*",29,"LG",16,16,320,"6-4","Central Florida","6/16/1986","7",11,"Green Bay Packers / 4th / 135th pick / 2008","$7,000,000"
"54",44,"James Starks",29,"rb",16,4,203,"6-1","Buffalo","2/25/1986","5",8,"Green Bay Packers / 6th / 193rd pick / 2010","$1,837,500"
"55",65,"Lane Taylor",26,"rg",4,2,324,"6-3","Oklahoma St.","11/22/1989","2",1,"","$587,334"
"56",48,"Joe Thomas",24,"",14,0,227,"6-1","South Carolina St.","5/6/1991","1",2,"","$525,000"
"57",16,"Scott Tolzien",28,"",3,0,205,"6-3","Wisconsin","9/4/1987","4",0,"","$1,200,000"
"58",73,"J.C. Tretter",24,"c",16,3,307,"6-4","Cornell","2/12/1991","2",2,"Green Bay Packers / 4th / 122nd pick / 2013","$688,977"
"59",79,"Josh Walker",24,"",13,0,328,"6-4","Middle Tenn. St.","6/2/1991","1",1,"","$435,000"
"60",NA,"Team Total",25.8,"",16,NA,248.6,"6-1.9","","","3.1",NA,"",""
