"","No.","Player.","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr."
"1",52,"Xavier Adibi",25,"",16,0,220,"6-2","Virginia Tech","10/18/1984","1",1,"Houston Texans / 4th / 118th pick / 2008"
"2",89,"David Anderson",26,"WR",16,8,195,"5-10","Colorado St.","7/28/1983","3",3,"Houston Texans / 7th / 251st pick / 2006"
"3",34,"Dominique Barber",23,"fs",13,6,211,"6-0","Minnesota","8/2/1986","1",3,"Houston Texans / 6th / 173rd pick / 2008"
"4",98,"Connor Barwin",23,"",16,0,253,"6-3","Cincinnati","10/15/1986","Rook",2,"Houston Texans / 2nd / 46th pick / 2009"
"5",32,"Fred Bennett",26,"lcb",10,3,196,"6-1","South Carolina","12/31/1983","2",2,"Houston Texans / 4th / 123rd pick / 2007"
"6",57,"Kevin Bentley",30,"",16,0,245,"6-1","Northwestern","12/29/1979","7",1,"Cleveland Browns / 4th / 101st pick / 2002"
"7",NA,"Mike Brisiel",26,"rg",5,5,310,"6-5","Colorado St.","3/14/1983","2",3,""
"8",22,"Chris Brown",28,"rb",14,4,219,"6-3","Colorado","4/17/1981","6",2,"Tennessee Titans / 3rd / 93rd pick / 2003"
"9",76,"Duane Brown",24,"LT",16,16,318,"6-4","Virginia Tech","8/30/1985","1",9,"Houston Texans / 1st / 26th pick / 2008"
"10",3,"Kris Brown",33,"",16,0,206,"5-11","Nebraska","12/23/1976","10",0,"Pittsburgh Steelers / 7th / 228th pick / 1999"
"11",93,"Tim Bulman",27,"de",15,1,294,"6-3","Boston Col.","10/31/1982","4",2,""
"12",40,"John Busing",26,"fs",16,4,221,"6-2","Miami (OH)","9/1/1983","3",2,""
"13",NA,"Rashad Butler",26,"",16,0,286,"6-5","Miami (FL)","2/10/1983","2",1,"Carolina Panthers / 3rd / 89th pick / 2006"
"14",NA,"Antoine Caldwell",23,"rg",11,3,307,"6-3","Alabama","4/19/1986","Rook",2,"Houston Texans / 3rd / 77th pick / 2009"
"15",53,"Khary Campbell",30,"",1,0,230,"6-3","Bowling Green","4/4/1979","7",0,""
"16",86,"James Casey",25,"",15,0,235,"6-3","Rice","9/22/1984","Rook",1,"Houston Texans / 5th / 152nd pick / 2009"
"17",95,"Shaun Cody",26,"NT",14,13,292,"6-4","USC","1/22/1983","4",5,"Detroit Lions / 2nd / 37th pick / 2005"
"18",56,"Brian Cushing*",22,"LB",16,16,243,"6-3","USC","1/24/1987","Rook",11,"Houston Texans / 1st / 15th pick / 2009"
"19",81,"Owen Daniels",27,"TE",8,8,245,"6-3","Wisconsin","11/9/1982","3",5,"Houston Texans / 4th / 98th pick / 2006"
"20",11,"Andre' Davis",30,"wr",14,1,195,"6-1","Virginia Tech","6/12/1979","7",1,"Cleveland Browns / 2nd / 47th pick / 2002"
"21",54,"Zach Diles",24,"LB",16,12,240,"6-0","Kansas St.","6/11/1985","2",6,"Houston Texans / 7th / 218th pick / 2007"
"22",85,"Joel Dreessen",27,"TE",16,11,260,"6-4","Colorado St.","7/26/1982","4",3,"New York Jets / 6th / 198th pick / 2005"
"23",25,"Nick Ferguson",35,"fs",10,1,201,"5-11","Morris Brown,Georgia Tech","11/27/1974","9",1,""
