"","No.","Player.","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr.","Cap.Hit"
"1",78,"Oday Aboushi",25,"OT",3,3,308,"6-5","Virginia","6/5/1991","3",NA,"New York Jets / 5th / 141st pick / 2013","$675,000"
"2",79,"Jeff Allen",26,"T",12,12,306,"6-4","Illinois","1/8/1990","4",NA,"Kansas City Chiefs / 2nd / 44th pick / 2012","$6,250,000"
"3",89,"Stephen Anderson",23,"TE",11,0,230,"6-2","","1/30/1993","Rook",NA,"","$450,000"
"4",39,"Lonnie Ballentine",23,"FS",2,0,219,"6-3","Memphis","4/23/1993","2",NA,"Houston Texans / 7th / 256th pick / 2014","$359,474"
"5",68,"Tony Bergstrom",30,"OT",13,0,315,"6-5","Utah","8/8/1986","4",NA,"Oakland Raiders / 3rd / 95th pick / 2012","$2,500,000"
"6",28,"Alfred Blue",25,"RB",12,0,223,"6-2","LSU","4/27/1991","2",NA,"Houston Texans / 6th / 181st pick / 2014","$629,483"
"7",21,"A.J. Bouye",25,"CB",13,9,186,"6-0","Central Florida","8/16/1991","3",NA,"","$1,671,000"
"8",76,"Duane Brown",31,"G",10,10,318,"6-4","Virginia Tech","8/30/1985","8",NA,"Houston Texans / 1st / 26th pick / 2008","$9,500,000"
"9",53,"Max Bullough",24,"ILB",14,2,249,"6-4","Michigan St.","2/11/1992","2",NA,"","$600,000"
"10",74,"Chris Clark",31,"T",14,12,315,"6-5","Southern Mississippi","10/1/1985","6",NA,"","$2,750,000"
"11",90,"Jadeveon Clowney",23,"DE",13,13,266,"6-5","South Carolina","2/14/1993","2",NA,"Houston Texans / 1st / 1st pick / 2014","$6,074,454"
"12",95,"Christian Covington",23,"DT",14,5,295,"6-3","Rice","10/16/1993","1",NA,"Houston Texans / 6th / 216th pick / 2015","$547,622"
"13",56,"Brian Cushing",29,"LB",12,12,243,"6-3","USC","1/24/1987","7",NA,"Houston Texans / 1st / 15th pick / 2009","$5,000,000"
"14",27,"Quintin Demps",31,"DB",11,11,203,"6-0","Texas-El Paso","6/29/1985","8",NA,"Philadelphia Eagles / 4th / 117th pick / 2008","$1,470,000"
"15",50,"Akeem Dent",29,"LB",14,2,242,"6-1","Georgia","9/27/1987","5",NA,"Atlanta Falcons / 3rd / 91st pick / 2011","$2,625,000"
"16",36,"K.J. Dillon",23,"S",5,0,210,"6-0","West Virginia","5/11/1993","Rook",NA,"Houston Texans / 5th / 159th pick / 2016","$508,734"
