"","No.","Player","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr."
"1",22,"Tavian Banks",25,"rb",8,1,203,"5-9","Iowa","2/17/1974","1",2,"Jacksonville Jaguars / 4th / 101st pick / 1998"
"2",4,"Bryan Barker",35,"",16,0,202,"6-1","Santa Clara","6/28/1964","9",2,""
"3",84,"Reggie Barlow",26,"wr",14,2,190,"6-0","Alabama St.","1/22/1973","3",3,"Jacksonville Jaguars / 4th / 110th pick / 1996"
"4",21,"Aaron Beasley",26,"RCB",16,16,205,"6-0","West Virginia","7/7/1973","3",11,"Jacksonville Jaguars / 3rd / 63rd pick / 1996"
"5",71,"Tony Boselli*+",27,"LT",16,16,324,"6-7","USC","4/17/1972","4",15,"Jacksonville Jaguars / 1st / 2nd pick / 1995"
"6",52,"Brant Boyer",28,"",16,0,240,"6-1","Arizona","6/27/1971","5",0,"Miami Dolphins / 6th / 177th pick / 1994"
"7",90,"Tony Brackens*",25,"DE",16,15,267,"6-4","Texas","12/26/1974","3",19,"Jacksonville Jaguars / 2nd / 33rd pick / 1996"
"8",80,"Kyle Brady",27,"TE",13,12,278,"6-6","Penn St.","1/14/1972","4",3,"New York Jets / 1st / 9th pick / 1995"
"9",8,"Mark Brunell*",29,"QB",15,15,217,"6-1","Washington","9/17/1970","5",12,"Green Bay Packers / 5th / 118th pick / 1993"
"10",25,"Fernando Bryant",22,"LCB",16,16,174,"5-10","Alabama","3/26/1977","Rook",9,"Jacksonville Jaguars / 1st / 26th pick / 1999"
"11",23,"Corey Chamblin",22,"",11,0,189,"5-10","Tennessee Tech","5/29/1977","Rook",0,""
"12",62,"Ben Coleman",28,"LG",16,12,330,"6-5","Wake Forest","5/18/1971","6",6,"Phoenix Cardinals / 2nd / 32nd pick / 1993"
"13",29,"Jason Craft",23,"",16,0,187,"5-10","Colorado St.","2/13/1976","Rook",0,"Jacksonville Jaguars / 5th / 160th pick / 1999"
"14",75,"Eric Curry",29,"",5,0,270,"6-5","Alabama","2/3/1970","6",0,"Tampa Bay Buccaneers / 1st / 6th pick / 1993"
"15",20,"Donovin Darius",24,"SS",16,16,225,"6-1","Syracuse","8/12/1975","1",9,"Jacksonville Jaguars / 1st / 25th pick / 1998"
"16",11,"Jay Fiedler",28,"qb",7,1,225,"6-2","Dartmouth","12/29/1971","4",2,""
"17",85,"Rich Griffith",30,"",16,0,262,"6-5","Arizona","7/31/1969","6",0,"New England Patriots / 5th / 138th pick / 1993"
"18",51,"Kevin Hardy*+",26,"LB",16,16,259,"6-4","Illinois","7/24/1973","3",19,"Jacksonville Jaguars / 1st / 2nd pick / 1996"
"19",1,"Mike Hollis",27,"",16,0,179,"5-7","Idaho","5/22/1972","4",4,""
"20",24,"Chris Howard",24,"",12,0,223,"5-10","Michigan","5/5/1975","1",0,"Denver Broncos / 5th / 153rd pick / 1998"
"21",67,"Steve Ingram",28,"",6,0,324,"6-4","Maryland","5/8/1971","4",0,"Tampa Bay Buccaneers / 7th / 215th pick / 1995"
"22",83,"Lenzie Jackson",22,"",4,0,184,"6-0","Arizona St.","6/17/1977","Rook",0,""
"23",88,"Damon Jones",25,"te",15,8,270,"6-5","Michigan,Southern Illinois","9/18/1974","2",2,"Jacksonville Jaguars / 5th / 147th pick / 1997"
"24",37,"Carnell Lake*",32,"FS",16,16,210,"6-1","UCLA","7/15/1967","10",14,"Pittsburgh Steelers / 2nd / 34th pick / 1989"
"25",93,"Kevin Landolt",24,"",1,0,298,"6-4","West Virginia","10/25/1975","Rook",0,"Jacksonville Jaguars / 4th / 121st pick / 1999"
"26",61,"Emarlos Leroy",24,"",13,0,304,"6-1","Georgia","7/31/1975","Rook",0,"Jacksonville Jaguars / 6th / 182nd pick / 1999"
"27",2,"Steve Lindsey",25,"",16,0,185,"6-1","Mississippi","11/25/1974","Rook",0,""
"28",32,"Mike Logan",25,"",2,0,212,"6-0","West Virginia","9/15/1974","2",0,"Jacksonville Jaguars / 2nd / 50th pick / 1997"
"29",34,"Stacey Mack",24,"",12,0,241,"6-1","Temple","6/26/1975","Rook",0,""
"30",56,"Lonnie Marts",31,"MLB",16,16,246,"6-2","Tulane","11/10/1968","8",10,""
"31",87,"Keenan McCardell",29,"WR",16,15,191,"6-1","UNLV","1/6/1970","7",9,"Washington Redskins / 12th / 326th pick / 1991"
"32",38,"Blaine McElmurry",26,"",16,0,188,"6-0","Montana","10/23/1973","2",0,""
"33",55,"Tom McManus",29,"mlb",2,2,252,"6-2","Boston Col.","7/30/1970","4",0,""
"34",65,"Quentin Neujahr",28,"",16,0,297,"6-4","Kansas St.","1/30/1971","3",0,""
"35",95,"Bryce Paup",31,"LB",15,14,247,"6-5","Northern Iowa","2/29/1968","9",7,"Green Bay Packers / 6th / 159th pick / 1990"
"36",91,"Seth Payne",24,"RDT",16,16,303,"6-4","Cornell","2/12/1975","2",8,"Jacksonville Jaguars / 4th / 114th pick / 1997"
"37",92,"James Roberson",28,"",2,0,275,"6-3","Florida St.","5/3/1971","3",0,""
"38",58,"Bryan Schwartz",28,"",8,0,253,"6-4","Augustana (SD)","12/5/1971","4",0,"Jacksonville Jaguars / 2nd / 64th pick / 1995"
"39",72,"Leon Searcy*",30,"RT",16,16,313,"6-4","Miami (FL)","12/21/1969","7",13,"Pittsburgh Steelers / 1st / 11th pick / 1992"
"40",31,"Daimon Shelton",27,"FB",16,9,262,"6-0","Sacramento St.","9/15/1972","2",1,"Jacksonville Jaguars / 6th / 184th pick / 1997"
"41",99,"Joel Smeenge",31,"de",15,7,262,"6-6","West. Michigan","4/1/1968","9",6,"New Orleans Saints / 3rd / 71st pick / 1990"
"42",82,"Jimmy Smith*",30,"WR",16,16,213,"6-1","Jackson St.","2/9/1969","7",16,"Dallas Cowboys / 2nd / 36th pick / 1992"
"43",94,"Larry Smith",25,"",15,0,310,"6-5","Florida St.","12/4/1974","Rook",0,"Jacksonville Jaguars / 2nd / 56th pick / 1999"
"44",33,"James Stewart",28,"rb",14,7,224,"6-1","Tennessee","12/27/1971","4",7,"Jacksonville Jaguars / 1st / 19th pick / 1995"
"45",26,"Rayna Stewart",26,"",14,0,198,"5-10","Northern Arizona","6/18/1973","3",0,"Houston Oilers / 5th / 143rd pick / 1996"
"46",50,"Erik Storz",24,"",7,0,234,"6-2","Boston Col.","6/24/1975","1",0,""
"47",28,"Fred Taylor",23,"RB",10,9,234,"6-1","Florida","1/27/1976","1",6,"Jacksonville Jaguars / 1st / 9th pick / 1998"
"48",57,"Corey Terry",23,"",8,0,246,"6-3","Tennessee","3/6/1976","Rook",0,"Indianapolis Colts / 7th / 250th pick / 1999"
"49",41,"Dave Thomas",31,"",15,0,213,"6-3","Tennessee","8/25/1968","6",0,"Dallas Cowboys / 8th / 203rd pick / 1993"
"50",76,"Rich Tylski",28,"rg",10,8,305,"6-4","Utah St.","2/27/1971","3",4,""
"51",98,"Regan Upshaw",24,"",6,0,265,"6-4","California","8/12/1975","3",0,"Tampa Bay Buccaneers / 1st / 12th pick / 1996"
"52",66,"John Wade",24,"C",16,16,299,"6-5","Marshall","1/25/1975","1",8,"Jacksonville Jaguars / 5th / 148th pick / 1998"
"53",96,"Gary Walker",26,"LDT",16,16,324,"6-3","Auburn","2/28/1973","4",10,"Houston Oilers / 5th / 159th pick / 1995"
"54",86,"Alvis Whitted",25,"fb",14,1,185,"6-0","North Carolina St.","9/4/1974","1",1,"Jacksonville Jaguars / 7th / 192nd pick / 1998"
"55",77,"Zach Wiegert",27,"RG",16,12,309,"6-5","Nebraska","8/16/1972","4",6,"St. Louis Rams / 2nd / 38th pick / 1995"
"56",97,"Renaldo Wynn",25,"DE",12,10,292,"6-3","Notre Dame","9/3/1974","2",6,"Jacksonville Jaguars / 1st / 21st pick / 1997"
"57",NA,"Team Total",26.6,"",16,NA,246.7,"6-2.1","","","3.3",NA,""
