"","No.","Player.","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr."
"1",40,"Rich Alexis",25,"",1,0,220,"6-0","Washington","3/6/1981","1",0,""
"2",69,"Khalif Barnes",24,"LT",15,15,305,"6-6","Washington","4/21/1982","1",9,"Jacksonville Jaguars / 2nd / 52nd pick / 2005"
"3",80,"Kyle Brady",34,"TE",16,14,278,"6-6","Penn St.","1/14/1972","11",0,"New York Jets / 1st / 9th pick / 1995"
"4",25,"Ahmad Carroll",23,"",1,0,190,"5-11","Arkansas","8/4/1983","2",0,"Green Bay Packers / 1st / 25th pick / 2004"
"5",76,"Richard Collier",25,"",4,0,358,"6-7","Valdosta St.","10/23/1981","Rook",0,""
"6",58,"Jorge Cordova",25,"",13,0,241,"6-1","Nevada","9/25/1981","Rook",1,"Jacksonville Jaguars / 3rd / 86th pick / 2004"
"7",21,"Terry Cousin",31,"cb",10,4,181,"5-9","South Carolina","4/11/1975","9",2,""
"8",20,"Donovin Darius",31,"SS",10,10,225,"6-1","Syracuse","8/12/1975","8",4,"Jacksonville Jaguars / 1st / 25th pick / 1998"
"9",42,"Jamaal Fudge",23,"",6,0,196,"5-9","Clemson","5/17/1983","Rook",0,""
"10",9,"David Garrard",28,"QB",11,10,244,"6-1","East Carolina","2/14/1978","4",9,"Jacksonville Jaguars / 4th / 108th pick / 2002"
"11",50,"Tony Gilbert",27,"",16,0,239,"6-1","Georgia","10/16/1979","3",2,"Arizona Cardinals / 6th / 210th pick / 2003"
"12",37,"Deon Grant",27,"FS",16,16,207,"6-2","Tennessee","3/14/1979","5",7,"Carolina Panthers / 2nd / 57th pick / 2000"
"13",5,"Quinn Gray",27,"",2,0,246,"6-3","Florida A&M","5/21/1979","1",1,""
"14",55,"Nick Greisen",27,"LB",16,10,245,"6-1","Wisconsin","8/10/1979","4",6,"New York Giants / 5th / 152nd pick / 2002"
"15",85,"Cortez Hankton",25,"wr",12,1,200,"6-0","Texas Southern","1/20/1981","3",1,""
"16",2,"Chris Hanson",30,"",16,0,223,"6-2","Marshall","10/25/1976","7",1,""
"17",57,"Brent Hawkins",23,"",6,0,241,"6-2","Purdue,Illinois St.","9/1/1983","Rook",1,"Jacksonville Jaguars / 5th / 160th pick / 2006"
"18",97,"Reggie Hayward",27,"de",1,1,270,"6-5","Iowa St.","3/14/1979","5",0,"Denver Broncos / 3rd / 87th pick / 2001"
"19",98,"John Henderson*",27,"RDT",16,16,328,"6-7","Tennessee","1/9/1979","4",15,"Jacksonville Jaguars / 1st / 9th pick / 2002"
"20",70,"Wayne Hunter",25,"",1,0,303,"6-5","Hawaii","7/2/1981","2",0,"Seattle Seahawks / 3rd / 73rd pick / 2003"
"21",51,"Clint Ingram",23,"LB",14,11,240,"6-1","Oklahoma","3/21/1983","Rook",7,"Jacksonville Jaguars / 3rd / 80th pick / 2006"
"22",59,"Brian Iwuh",22,"",12,0,225,"5-11","Colorado","3/8/1984","Rook",1,""
"23",18,"Matt Jones",23,"wr",14,4,242,"6-6","Arkansas","4/22/1983","1",7,"Jacksonville Jaguars / 1st / 21st pick / 2005"
"24",32,"Maurice Jones-Drew",21,"rb",16,1,205,"5-8","UCLA","3/23/1985","Rook",13,"Jacksonville Jaguars / 2nd / 60th pick / 2006"
"25",7,"Byron Leftwich",26,"qb",6,6,245,"6-5","Marshall","1/14/1980","3",5,"Jacksonville Jaguars / 1st / 7th pick / 2003"
"26",89,"Marcedes Lewis",22,"te",15,3,255,"6-6","UCLA","5/19/1984","Rook",1,"Jacksonville Jaguars / 1st / 28th pick / 2006"
"27",67,"Vince Manuwai",26,"LG",16,16,312,"6-2","Hawaii","7/12/1980","3",10,"Jacksonville Jaguars / 3rd / 72nd pick / 2003"
"28",27,"Rashean Mathis*+",26,"LCB",16,16,200,"6-1","Bethune-Cookman","8/27/1980","3",18,"Jacksonville Jaguars / 2nd / 39th pick / 2003"
"29",93,"Bobby McCray",25,"DE",15,12,261,"6-6","Florida","8/8/1981","2",8,"Jacksonville Jaguars / 7th / 249th pick / 2004"
"30",96,"Tony McDaniel",21,"",11,0,295,"6-7","Tennessee","1/20/1985","Rook",1,""
"31",73,"Stockar McDougle",29,"",11,0,335,"6-6","Oklahoma","1/11/1977","6",1,"Detroit Lions / 1st / 20th pick / 2000"
"32",63,"Brad Meester",29,"C",16,16,300,"6-3","Northern Iowa","3/23/1977","6",10,"Jacksonville Jaguars / 2nd / 60th pick / 2000"
"33",92,"Rob Meier",29,"de",16,8,293,"6-5","Washington St.","8/29/1977","6",6,"Jacksonville Jaguars / 7th / 241st pick / 2000"
"34",65,"Chris Naeole",32,"RG",16,16,317,"6-3","Colorado","12/25/1974","9",10,"New Orleans Saints / 1st / 10th pick / 1997"
"35",62,"Dennis Norman",26,"lt",16,1,312,"6-5","Princeton","1/26/1980","3",2,"Seattle Seahawks / 7th / 222nd pick / 2001"
"36",84,"Chad Owens",24,"",4,0,183,"5-7","Hawaii","4/3/1982","1",0,"Jacksonville Jaguars / 6th / 185th pick / 2005"
"37",24,"Montell Owens",22,"",14,0,219,"5-10","Maine","5/4/1984","Rook",0,""
"38",34,"Alvin Pearman",24,"",13,0,208,"5-9","Virginia","8/10/1982","1",1,"Jacksonville Jaguars / 4th / 127th pick / 2005"
"39",54,"Mike Peterson",30,"mlb",5,5,230,"6-1","Florida","6/17/1976","7",3,"Indianapolis Colts / 2nd / 36th pick / 1999"
"40",56,"Kenneth Pettway",24,"",7,0,238,"6-4","Southern Arkansas,Grambling St.","11/13/1982","Rook",1,"Houston Texans / 7th / 227th pick / 2005"
"41",26,"David Richardson",25,"",4,0,202,"6-0","Cal Poly-San Luis Obispo","9/9/1981","2",0,""
"42",10,"Josh Scobee",24,"",16,0,191,"6-1","Louisiana Tech","6/23/1982","2",4,"Jacksonville Jaguars / 5th / 137th pick / 2004"
