"","No.","Player.","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr.","Cap.Hit"
"1",9,"Brandon Allen",24,"QB",NA,NA,221,"6-2","Arkansas","9/5/1992","Rook",NA,"Jacksonville Jaguars / 6th / 201st pick / 2016","$481,068"
"2",93,"Tyson Alualu",29,"DT",12,8,295,"6-3","California","5/12/1987","6",NA,"Jacksonville Jaguars / 1st / 10th pick / 2010","$3,000,000"
"3",21,"Prince Amukamara",27,"CB",12,10,201,"6-0","Nebraska","6/6/1989","5",NA,"New York Giants / 1st / 19th pick / 2011","$5,593,750"
"4",68,"Kelvin Beachum",27,"T",13,13,303,"6-2","SMU","6/8/1989","4",NA,"Pittsburgh Steelers / 7th / 248th pick / 2012","$5,375,000"
"5",17,"Arrelious Benn",28,"WR",14,0,225,"6-2","Illinois","9/8/1988","6",NA,"Tampa Bay Buccaneers / 2nd / 39th pick / 2010","$600,000"
"6",96,"Michael Bennett",23,"DT",NA,NA,288,"6-2","Ohio St.","2/24/1993","1",NA,"Jacksonville Jaguars / 6th / 180th pick / 2015","$559,674"
"7",5,"Blake Bortles",24,"QB",14,14,232,"6-5","Central Florida","4/28/1992","2",NA,"Jacksonville Jaguars / 1st / 3rd pick / 2014","$5,633,130"
"8",70,"Luke Bowanko",25,"C",NA,NA,293,"6-5","Virginia","6/13/1991","2",NA,"Jacksonville Jaguars / 6th / 205th pick / 2014","$623,513"
"9",60,"A.J. Cann",25,"OG",14,14,311,"6-3","South Carolina","10/3/1991","1",NA,"Jacksonville Jaguars / 3rd / 67th pick / 2015","$785,399"
"10",22,"Aaron Colvin",25,"CB",10,4,177,"5-11","Oklahoma","10/2/1991","2",NA,"Jacksonville Jaguars / 4th / 114th pick / 2014","$572,111"
"11",37,"Jonathan Cyprien",26,"SS",14,14,217,"6-0","Florida International","7/29/1990","3",NA,"Jacksonville Jaguars / 2nd / 33rd pick / 2013","$1,740,170"
"12",92,"Sheldon Day",22,"DT",14,0,286,"6-1","Notre Dame","7/1/1994","Rook",NA,"Jacksonville Jaguars / 4th / 103rd pick / 2016","$602,102"
"13",48,"Alex Ellis",23,"TE",4,3,253,"6-4","","2/10/1993","Rook",NA,"","$158,820"
"14",56,"Dante Fowler",22,"OLB",14,1,261,"6-3","Florida","8/3/1994","Rook",NA,"Jacksonville Jaguars / 1st / 3rd pick / 2015","$5,338,694"
"15",39,"Tashaun Gipson",26,"DB",14,14,206,"5-11","Wyoming","8/7/1990","4",NA,"","$4,206,250"
"16",30,"Corey Grant",25,"RB",9,0,205,"5-11","Auburn","12/19/1991","1",NA,"","$526,666"
"17",13,"Rashad Greene",24,"WR",8,0,180,"6-0","Florida St.","9/23/1992","1",NA,"Jacksonville Jaguars / 5th / 139th pick / 2015","$585,953"
"18",7,"Chad Henne",31,"QB",1,0,228,"6-3","Michigan","7/2/1985","8",NA,"Miami Dolphins / 2nd / 57th pick / 2008","$4,750,000"
"19",34,"Bronson Hill",23,"RB",1,0,220,"5-10","","1/2/1993","Rook",NA,"","$105,880"
"20",79,"Jordan Hill",25,"DT",4,0,303,"6-1","Penn St.","2/8/1991","3",NA,"Seattle Seahawks / 3rd / 87th pick / 2013","$675,000"
"21",31,"Davon House",27,"DB",14,4,188,"6-0","New Mexico St.","7/10/1989","5",NA,"Green Bay Packers / 4th / 131st pick / 2011","$6,000,000"
"22",88,"Allen Hurns",25,"WR",11,11,195,"6-3","Miami (FL)","11/12/1991","2",NA,"","$9,001,668"
"23",33,"Chris Ivory",28,"RB",10,1,222,"6-0","Washington St.,Tiffin","3/22/1988","6",NA,"","$3,468,750"
"24",44,"Myles Jack",21,"OLB",14,8,245,"6-1","UCLA","9/3/1995","Rook",NA,"Jacksonville Jaguars / 2nd / 36th pick / 2016","$151,716"
"25",90,"Malik Jackson",26,"DT",14,14,284,"6-4","Tennessee","1/11/1990","4",NA,"Denver Broncos / 5th / 137th pick / 2012","$10,000,000"
"26",76,"Luke Joeckel",25,"OT",4,4,306,"6-6","Texas A&M","11/6/1991","3",NA,"Jacksonville Jaguars / 1st / 2nd pick / 2013","$6,745,963"
"27",36,"Josh Johnson",27,"DB",6,0,200,"5-10","","9/10/1989","Rook",NA,"","$450,000"
"28",95,"Abry Jones",25,"DT",13,7,313,"6-3","Georgia","9/8/1991","3",NA,"","$2,553,000"
"29",83,"Ben Koyack",23,"TE",12,5,249,"6-5","Notre Dame","4/9/1993","Rook",NA,"Jacksonville Jaguars / 7th / 229th pick / 2015","$450,000"
"30",11,"Marqise Lee",25,"WR",14,4,192,"6-0","USC","11/25/1991","2",NA,"Jacksonville Jaguars / 2nd / 39th pick / 2014","$1,411,097"
"31",89,"Marcedes Lewis",32,"TE",10,10,255,"6-6","UCLA","5/19/1984","10",NA,"Jacksonville Jaguars / 1st / 28th pick / 2006","$4,000,000"
"32",65,"Brandon Linder",24,"OG",12,12,311,"6-6","Miami (FL)","1/25/1992","2",NA,"Jacksonville Jaguars / 3rd / 93rd pick / 2014","$745,400"
"33",99,"Sen'Derrick Marks",29,"DT",14,1,300,"6-1","Auburn","2/23/1987","7",NA,"Tennessee Titans / 2nd / 62nd pick / 2009","$4,675,000"
