"","No.","Player","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr."
"1",11,"Tony Adams",26,"",14,0,198,"6-0","Texas,Utah St.","3/19/1950","1",2,"San Diego Chargers / 14th / 343rd pick / 1973"
"2",53,"Billy Andrews",31,"LLB",14,14,220,"6-0","SE Louisiana","6/14/1945","9",5,"Cleveland Browns / 13th / 333rd pick / 1967"
"3",56,"Charlie Ane",24,"c",14,1,233,"6-1","Michigan St.","8/12/1952","1",2,""
"4",26,"Gary Barbaro",22,"FS",14,14,203,"6-4","Nicholls St.","2/11/1954","Rook",5,"Kansas City Chiefs / 3rd / 74th pick / 1976"
"5",83,"Larry Brunson",27,"PR",14,14,180,"5-11","Mesa,Colorado","8/11/1949","2",7,"Denver Broncos / 11th / 263rd pick / 1972"
"6",71,"Ed Budde",36,"",11,0,265,"6-5","Michigan St.","11/2/1940","13",4,"Philadelphia Eagles / 1st / 4th pick / 1963, Kansas City Chiefs / 1st / 8th pick / 1963"
"7",37,"Tim Collier",22,"db",13,2,172,"6-0","Texas A&M-Commerce","5/31/1954","Rook",2,"Kansas City Chiefs / 9th / 249th pick / 1976"
"8",65,"Tom Condon",24,"RG",14,13,255,"6-3","Boston Col.","10/26/1952","2",7,"Kansas City Chiefs / 10th / 250th pick / 1974"
"9",80,"Reggie Craig",23,"",1,0,187,"6-1","Arkansas","6/10/1953","1",0,""
"10",57,"Jimbo Elrod",22,"lb",6,3,220,"6-0","Oklahoma","5/25/1954","Rook",1,"Kansas City Chiefs / 5th / 144th pick / 1976"
"11",74,"Larry Estes",30,"de",14,3,255,"6-6","Alcorn St.","12/9/1946","6",1,"New Orleans Saints / 8th / 192nd pick / 1970"
"12",77,"Charlie Getty",24,"LG",14,14,265,"6-4","Penn St.","7/24/1952","2",8,"Kansas City Chiefs / 2nd / 41st pick / 1974"
"13",46,"Tim Gray",24,"SS",12,11,200,"6-1","Texas A&M","11/11/1952","1",4,"St. Louis Cardinals / 1st / 21st pick / 1975"
"14",27,"Woody Green",25,"RB",6,6,205,"6-0","Arizona St.","6/20/1951","2",4,"Kansas City Chiefs / 1st / 16th pick / 1974"
"15",22,"Glynn Harrison",22,"",8,0,191,"5-11","Georgia","5/25/1954","Rook",0,"San Diego Chargers / 9th / 251st pick / 1976"
"16",60,"Matt Herkenhoff",25,"LT",14,12,267,"6-4","Minnesota","4/2/1951","Rook",7,"Kansas City Chiefs / 4th / 94th pick / 1974"
"17",31,"Jeff Kinney",27,"",1,0,215,"6-2","Nebraska","11/1/1949","4",0,"Kansas City Chiefs / 1st / 23rd pick / 1972"
"18",42,"MacArthur Lane",34,"FB",14,14,220,"6-1","Utah St.","3/16/1942","8",12,"St. Louis Cardinals / 1st / 13th pick / 1968"
"19",63,"Willie Lanier",31,"MLB",14,11,245,"6-1","Morgan St.","8/21/1945","9",5,"Kansas City Chiefs / 2nd / 50th pick / 1967"
"20",78,"Willie Lee",26,"dt",14,3,249,"6-5","Bethune-Cookman","7/13/1950","Rook",2,"Kansas City Chiefs / 5th / 137th pick / 1976"
"21",10,"Mike Livingston",31,"QB",14,14,212,"6-4","SMU","11/14/1945","8",12,"Kansas City Chiefs / 2nd / 48th pick / 1968"
"22",87,"John Lohmeyer",25,"LDT",13,10,229,"6-4","Emporia St.","1/15/1951","3",4,"Kansas City Chiefs / 4th / 89th pick / 1973"
"23",51,"Jim Lynch",31,"RLB",14,14,235,"6-1","Notre Dame","8/28/1945","9",5,"Kansas City Chiefs / 2nd / 47th pick / 1967"
"24",75,"Bob Maddox",27,"RDT",8,7,237,"6-5","Frostburg St.","5/2/1949","2",2,"Cincinnati Bengals / 7th / 171st pick / 1973"
"25",89,"Henry Marshall",22,"WR",14,14,214,"6-2","Missouri","8/9/1954","Rook",6,"Kansas City Chiefs / 3rd / 79th pick / 1976"
"26",84,"Billy Masters",32,"TE",10,9,240,"6-5","LSU","3/15/1944","9",3,"Kansas City Chiefs / 3rd / 77th pick / 1967"
"27",45,"Pat McNeil",22,"",12,0,208,"5-9","Baylor","2/28/1954","Rook",1,"Kansas City Chiefs / 17th / 472nd pick / 1976"
"28",70,"Jim Nicholson",27,"RT",14,14,269,"6-6","Michigan St.","2/28/1949","2",8,"Los Angeles Rams / 9th / 219th pick / 1973"
"29",7,"Mike Nott",24,"",1,0,203,"6-3","Santa Clara","5/19/1952","Rook",0,""
"30",52,"Orrin Olsen",23,"",14,0,245,"6-1","BYU","7/7/1953","Rook",4,"Kansas City Chiefs / 8th / 222nd pick / 1976"
"31",64,"Whitney Paul",23,"LDE",14,8,220,"6-3","Colorado","10/8/1953","Rook",3,"Kansas City Chiefs / 10th / 277th pick / 1976"
"32",85,"Barry Pearson",26,"",8,0,185,"5-11","Northwestern","2/4/1950","4",0,""
"33",14,"Ed Podolak",29,"rb",10,4,204,"6-1","Iowa","9/1/1947","7",5,"Kansas City Chiefs / 2nd / 48th pick / 1969"
"34",21,"Tommy Reamon",24,"rb",11,4,192,"5-10","Missouri","3/12/1952","Rook",4,"Pittsburgh Steelers / 9th / 223rd pick / 1974"
"35",15,"Kerry Reardon",27,"LCB",14,14,180,"5-11","Iowa","5/6/1949","5",5,"Kansas City Chiefs / 6th / 146th pick / 1971"
"36",55,"Dave Rozumek",22,"",8,0,215,"6-1","New Hampshire","4/25/1954","Rook",2,"Kansas City Chiefs / 15th / 415th pick / 1976"
"37",58,"Jack Rudnay*",29,"C",14,13,240,"6-3","Northwestern","11/20/1947","6",9,"Kansas City Chiefs / 4th / 101st pick / 1969"
"38",72,"Keith Simons",22,"rdt",6,6,254,"6-3","Minnesota","4/26/1954","Rook",2,"Kansas City Chiefs / 3rd / 63rd pick / 1976"
"39",3,"Jan Stenerud",34,"K",14,0,187,"6-2","Montana St.","11/26/1942","9",2,""
"40",48,"Steve Taylor",23,"",14,1,204,"6-3","Kansas","12/27/1953","Rook",2,"Kansas City Chiefs / 6th / 166th pick / 1976"
"41",18,"Emmitt Thomas",33,"RCB",14,14,192,"6-2","Bishop","6/3/1943","10",5,""
"42",76,"Rod Walters",22,"",14,3,258,"6-3","Iowa","2/27/1954","Rook",4,"Kansas City Chiefs / 1st / 14th pick / 1976"
"43",54,"Clyde Werner",29,"",14,0,225,"6-4","Washington","12/10/1947","6",2,"Kansas City Chiefs / 2nd / 52nd pick / 1970"
"44",88,"Walter White",25,"te",14,5,216,"6-3","Maryland","7/19/1951","1",9,"Pittsburgh Steelers / 3rd / 78th pick / 1975"
"45",80,"Lawrence Williams",23,"KR",12,0,173,"5-10","Texas Tech","9/3/1953","Rook",0,"New England Patriots / 7th / 172nd pick / 1975"
"46",44,"Jerrel Wilson",35,"P",14,0,222,"6-2","Southern Miss","10/4/1941","13",3,"Kansas City Chiefs / 11th / 88th pick / 1963, Los Angeles Rams / 17th / 225th pick / 1963"
"47",73,"Jim Wolf",24,"ldt",14,7,240,"6-2","Prairie View","3/4/1952","2",3,"Pittsburgh Steelers / 6th / 149th pick / 1974"
"48",99,"Wilbur Young",27,"RDE",14,12,285,"6-6","William Penn","4/20/1949","5",4,"Kansas City Chiefs / 2nd / 39th pick / 1971"
"49",NA,"Team Total",26.4,"",14,NA,221.4,"6-2.0","","","3.4",NA,""
