"","No.","Player.","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr."
"1",39,"Husain Abdullah",28,"ss",16,2,204,"6-0","Washington St.","7/27/1985","5",2,""
"2",76,"Branden Albert*",29,"LT",12,12,315,"6-7","Virginia","11/4/1984","5",7,"Kansas City Chiefs / 1st / 15th pick / 2008"
"3",71,"Jeff Allen",23,"LG",15,14,306,"6-4","Illinois","1/8/1990","1",6,"Kansas City Chiefs / 2nd / 44th pick / 2012"
"4",73,"Jon Asamoah",25,"RG",14,9,304,"6-4","Illinois","7/21/1988","3",4,"Kansas City Chiefs / 3rd / 68th pick / 2010"
"5",17,"Donnie Avery",29,"WR",16,14,186,"5-11","Houston","6/12/1984","5",6,"St. Louis Rams / 2nd / 33rd pick / 2008"
"6",97,"Allen Bailey",24,"de",15,3,278,"6-3","Miami (FL)","3/25/1989","2",3,"Kansas City Chiefs / 3rd / 86th pick / 2011"
"7",29,"Eric Berry*+",25,"SS",15,15,211,"6-0","Tennessee","12/29/1988","3",11,"Kansas City Chiefs / 1st / 5th pick / 2010"
"8",82,"Dwayne Bowe",29,"WR",15,15,221,"6-2","LSU","9/21/1984","6",6,"Kansas City Chiefs / 1st / 23rd pick / 2007"
"9",46,"Kevin Brock",27,"",4,0,315,"6-5","Rutgers","4/9/1986","2",0,""
"10",77,"Mike Catapano",23,"",15,0,270,"6-4","Princeton","8/17/1990","Rook",1,"Kansas City Chiefs / 7th / 207th pick / 2013"
"11",25,"Jamaal Charles*+",27,"RB",15,15,199,"5-11","Texas","12/27/1986","5",16,"Kansas City Chiefs / 3rd / 73rd pick / 2008"
"12",2,"Dustin Colquitt",31,"",16,0,211,"6-2","Tennessee","5/6/1982","8",2,"Kansas City Chiefs / 3rd / 99th pick / 2005"
"13",26,"Sanders Commings",23,"",2,0,216,"6-0","Georgia","3/8/1990","Rook",0,"Kansas City Chiefs / 5th / 134th pick / 2013"
"14",31,"Marcus Cooper",23,"cb",16,6,192,"6-2","Rutgers","2/1/1990","Rook",3,"San Francisco 49ers / 7th / 252nd pick / 2013"
"15",10,"Chase Daniel",27,"qb",5,1,218,"6-0","Missouri","10/7/1986","4",1,""
"16",34,"Knile Davis",22,"rb",16,1,227,"6-0","Arkansas","10/5/1991","Rook",3,"Kansas City Chiefs / 3rd / 96th pick / 2013"
"17",35,"Quintin Demps",28,"s",16,6,203,"6-0","Texas-El Paso","6/29/1985","5",4,"Philadelphia Eagles / 4th / 117th pick / 2008"
"18",70,"Mike DeVito",29,"DE",14,13,298,"6-3","Maine","6/10/1984","6",6,""
