"","No.","Player.","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr.","Cap.Hit"
"1",39,"Husain Abdullah",30,"fs",11,3,204,"6-0","Washington St.","7/27/1985","7",1,"","$1,145,000"
"2",57,"D.J. Alexander",24,"",16,0,233,"6-2","Oregon St.","9/30/1991","Rook",1,"Kansas City Chiefs / 5th / 172nd pick / 2015","$476,563"
"3",71,"Jeff Allen",25,"lg",12,8,306,"6-4","Illinois","1/8/1990","3",5,"Kansas City Chiefs / 2nd / 44th pick / 2012","$1,477,580"
"4",81,"Jason Avant",32,"wr",16,1,210,"6-0","Michigan","4/20/1983","9",1,"Philadelphia Eagles / 4th / 109th pick / 2006","$665,000"
"5",97,"Allen Bailey",26,"DE",12,12,278,"6-3","Miami (FL)","3/25/1989","4",6,"Kansas City Chiefs / 3rd / 86th pick / 2011","$3,231,250"
"6",29,"Eric Berry*+",27,"FS",16,15,211,"6-0","Tennessee","12/29/1988","5",11,"Kansas City Chiefs / 1st / 5th pick / 2010","$8,357,700"
"7",27,"Tyvon Branch",29,"ss",16,1,197,"5-11","Connecticut","12/11/1986","7",2,"Oakland Raiders / 4th / 100th pick / 2008","$1,287,500"
"8",25,"Jamaal Charles",29,"rb",5,5,199,"5-11","Texas","12/27/1986","7",4,"Kansas City Chiefs / 3rd / 73rd pick / 2008","$7,970,835"
"9",2,"Dustin Colquitt",33,"",16,0,211,"6-2","Tennessee","5/6/1982","10",2,"Kansas City Chiefs / 3rd / 99th pick / 2005","$3,800,000"
"10",17,"Chris Conley",23,"wr",16,5,207,"6-2","Georgia","10/25/1992","Rook",2,"Kansas City Chiefs / 3rd / 76th pick / 2015","$613,108"
"11",31,"Marcus Cooper",25,"rcb",9,1,192,"6-2","Rutgers","2/1/1990","2",1,"San Francisco 49ers / 7th / 252nd pick / 2013","$585,000"
"12",10,"Chase Daniel",29,"",2,0,218,"6-0","Missouri","10/7/1986","6",0,"","$4,800,000"
"13",34,"Knile Davis",24,"",14,0,227,"6-0","Arkansas","10/5/1991","2",1,"Kansas City Chiefs / 3rd / 96th pick / 2013","$736,504"
"14",70,"Mike DeVito",31,"de",13,5,298,"6-3","Maine","6/10/1984","8",3,"","$2,620,000"
"15",76,"Laurent Duvernay-Tardif",24,"RG",16,13,321,"6-5","McGill","2/11/1991","1",7,"Kansas City Chiefs / 6th / 200th pick / 2014","$543,075"
"16",72,"Eric Fisher",24,"LT",16,14,306,"6-7","Central Michigan","1/5/1991","2",8,"Kansas City Chiefs / 1st / 1st pick / 2013","$6,051,954"
"17",30,"Jamell Fleming",26,"",16,0,206,"5-11","Oklahoma","5/5/1989","3",1,"Arizona Cardinals / 3rd / 80th pick / 2012","$660,000"
"18",55,"Dee Ford",24,"lolb",14,5,252,"6-2","Auburn","3/19/1991","1",3,"Kansas City Chiefs / 1st / 23rd pick / 2014","$1,854,250"
"19",73,"Zach Fulton",24,"rg",16,6,316,"6-5","Tennessee","9/23/1991","1",4,"Kansas City Chiefs / 6th / 193rd pick / 2014","$544,055"
"20",23,"Phillip Gaines",24,"cb",3,3,193,"6-0","Rice","4/4/1991","1",1,"Kansas City Chiefs / 3rd / 87th pick / 2014","$655,278"
"21",66,"Ben Grubbs",31,"lg",7,7,311,"6-3","Auburn","3/10/1984","8",4,"Baltimore Ravens / 1st / 29th pick / 2007","$2,400,000"
"22",26,"Saalim Hakim",25,"",2,0,188,"5-11","Palomar J.C.","2/1/1990","3",0,"",""
"23",91,"Tamba Hali*",32,"ROLB",15,14,265,"6-2","Penn St.","11/3/1983","9",9,"Kansas City Chiefs / 1st / 20th pick / 2006","$4,964,706"
"24",85,"Frankie Hammond",25,"",10,0,184,"6-1","Florida","2/17/1990","2",0,"","$510,000"
"25",84,"Demetrius Harris",24,"TE",16,9,230,"6-7","Wisc-Milwaukee","7/29/1991","2",1,"","$510,000"
"26",50,"Justin Houston*",26,"LOLB",11,11,260,"6-3","Georgia","1/12/1989","4",9,"Kansas City Chiefs / 3rd / 70th pick / 2011","$5,100,000"
"27",96,"Jaye Howard",27,"DE",16,14,301,"6-3","Florida","12/20/1988","3",8,"Seattle Seahawks / 4th / 114th pick / 2012","$660,000"
"28",56,"Derrick Johnson*",33,"LILB",16,16,242,"6-3","Texas","11/22/1982","10",14,"Kansas City Chiefs / 1st / 15th pick / 2005","$5,250,000"
"29",87,"Travis Kelce*",26,"TE",16,16,255,"6-5","Cincinnati","10/5/1989","2",9,"Kansas City Chiefs / 3rd / 63rd pick / 2013","$853,826"
"30",93,"David King",26,"",1,0,281,"6-4","Oklahoma","12/27/1989","2",0,"Philadelphia Eagles / 7th / 239th pick / 2013",""
"31",19,"Jeremy Maclin",27,"WR",15,15,200,"6-0","Missouri","5/11/1988","6",11,"Philadelphia Eagles / 1st / 19th pick / 2009","$3,400,000"
"32",90,"Josh Mauga",28,"RILB",14,14,250,"6-1","Nevada","6/20/1987","5",7,"","$1,750,000"
"33",61,"Mitch Morse",23,"C",15,15,305,"6-5","Missouri","4/21/1992","Rook",8,"Kansas City Chiefs / 2nd / 49th pick / 2015","$849,649"
"34",54,"Dezman Moses",26,"",13,0,249,"6-2","Tulane","1/4/1989","3",1,"","$585,000"
"35",77,"Daniel Munyer",23,"",1,0,295,"6-2","Colorado","3/4/1992","Rook",0,"",""
"36",20,"Steven Nelson",22,"",12,0,199,"5-10","Oregon St.","1/22/1993","Rook",1,"Kansas City Chiefs / 3rd / 98th pick / 2015","$580,488"
"37",99,"Rakeem Nunez-Roches",22,"",7,0,305,"6-2","Southern Miss","7/3/1993","Rook",1,"Kansas City Chiefs / 6th / 217th pick / 2015","$457,621"
"38",80,"James O'Shaughnessy",23,"te",7,3,245,"6-4","Illinois St.","1/14/1992","Rook",1,"Kansas City Chiefs / 5th / 173rd pick / 2015","$476,563"
"39",82,"Brian Parker",23,"",9,0,260,"6-4","Albany","5/30/1992","Rook",0,"","$435,000"
"40",38,"Ron Parker",28,"SS",16,16,206,"6-0","Newberry","8/17/1987","4",6,"","$2,000,000"
"41",22,"Marcus Peters*",22,"LCB",16,16,198,"6-0","Washington","1/9/1993","Rook",11,"Kansas City Chiefs / 1st / 18th pick / 2015","$1,742,574"
"42",92,"Dontari Poe",25,"NT",15,13,346,"6-3","Memphis","8/18/1990","3",7,"Kansas City Chiefs / 1st / 11th pick / 2012","$3,601,822"
"43",60,"Jarrod Pughsley",25,"",2,0,313,"6-5","Akron","12/18/1990","1",0,"",""
"44",75,"Jah Reid",27,"RT",10,10,327,"6-7","Central Florida","7/21/1988","4",5,"Baltimore Ravens / 3rd / 85th pick / 2011","$585,000"
"45",5,"Cairo Santos",24,"",16,0,160,"5-8","Tulane","11/12/1991","1",3,"","$510,666"
"46",42,"Anthony Sherman",27,"fb",16,2,244,"5-11","Connecticut","12/11/1988","4",0,"Arizona Cardinals / 5th / 136th pick / 2011","$1,500,000"
"47",11,"Alex Smith",31,"QB",16,16,212,"6-4","Utah","5/7/1984","10",16,"San Francisco 49ers / 1st / 1st pick / 2005","$15,600,000"
"48",21,"Sean Smith",28,"RCB",13,13,215,"6-2","Utah","7/14/1987","6",5,"Miami Dolphins / 2nd / 61st pick / 2009","$7,000,000"
"49",49,"Daniel Sorensen",25,"",16,0,208,"6-2","BYU","3/5/1990","1",1,"","$510,000"
"50",79,"Donald Stephenson",27,"lt",16,7,312,"6-6","Oklahoma","9/30/1988","3",5,"Kansas City Chiefs / 3rd / 74th pick / 2012","$844,375"
"51",13,"De'Anthony Thomas",22,"wr",10,1,174,"5-9","Oregon","1/5/1993","1",2,"Kansas City Chiefs / 4th / 124th pick / 2014","$623,027"
"52",32,"Spencer Ware",24,"rb",11,2,229,"5-10","LSU","11/23/1991","2",3,"Seattle Seahawks / 6th / 194th pick / 2013",""
"53",35,"Charcandrick West",24,"RB",15,9,205,"5-10","Abilene Christian","6/2/1991","1",7,"","$510,000"
"54",98,"Nicholas Williams",25,"",14,0,309,"6-5","Samford","2/21/1990","1",1,"Pittsburgh Steelers / 7th / 223rd pick / 2013","$510,000"
"55",12,"Albert Wilson",23,"WR",14,12,200,"5-9","Georgia St.","7/12/1992","1",5,"","$513,333"
"56",53,"Ramik Wilson",23,"lb",11,2,237,"6-2","Georgia","8/19/1992","Rook",2,"Kansas City Chiefs / 4th / 118th pick / 2015","$560,000"
"57",41,"James Winchester",26,"",16,0,240,"6-3","Oklahoma","8/6/1989","Rook",1,"","$435,000"
"58",51,"Frank Zombo",28,"rolb",16,2,254,"6-3","Central Michigan","3/5/1987","5",2,"","$820,000"
"59",NA,"Team Total",26,"",16,NA,244.8,"6-1.9","","","3.2",NA,"",""
