"","No.","Player","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr."
"1",33,"Karim Abdul-Jabbar",25,"rb",3,3,194,"5-10","UCLA","6/28/1974","3",1,"Miami Dolphins / 3rd / 80th pick / 1996"
"2",93,"Trace Armstrong",34,"de",16,2,275,"6-4","Arizona St.,Florida","10/5/1965","10",0,"Chicago Bears / 1st / 12th pick / 1989"
"3",20,"John Avery",23,"",1,0,188,"5-9","Mississippi","1/11/1976","1",0,"Miami Dolphins / 1st / 29th pick / 1998"
"4",48,"Kantroy Barber",26,"",2,0,243,"6-0","Colorado,West Virginia","10/4/1973","Rook",0,"New England Patriots / 4th / 124th pick / 1996"
"5",6,"Brent Bartholomew",23,"",2,0,220,"6-2","Ohio St.","10/22/1976","Rook",0,"Miami Dolphins / 6th / 192nd pick / 1999"
"6",60,"John Bock",28,"",7,0,290,"6-3","Louisville,Indiana St.","2/11/1971","4",0,""
"7",95,"Tim Bowens",26,"LDT",16,15,325,"6-4","Mississippi","2/7/1973","5",8,"Miami Dolphins / 1st / 20th pick / 1994"
"8",57,"O.J. Brigance",30,"",16,0,236,"6-0","Rice","9/29/1969","3",0,""
"9",91,"Lorenzo Bromell",24,"rdt",15,1,260,"6-6","Clemson","9/23/1975","1",0,"Miami Dolphins / 4th / 102nd pick / 1998"
"10",76,"James Brown",29,"RT",15,14,330,"6-6","Virginia St.","1/30/1970","6",8,"Dallas Cowboys / 3rd / 82nd pick / 1992"
"11",27,"Terrell Buckley",28,"LCB",16,11,180,"5-10","Florida St.","6/7/1971","7",5,"Green Bay Packers / 1st / 5th pick / 1992"
"12",34,"Cecil Collins",23,"rb",8,6,207,"5-10","LSU,McNeese St.","11/19/1976","Rook",3,"Miami Dolphins / 5th / 134th pick / 1999"
"13",21,"Autry Denson",23,"rb",6,1,193,"5-10","Notre Dame","12/8/1976","Rook",1,"Tampa Bay Buccaneers / 7th / 233rd pick / 1999"
"14",63,"Mark Dixon",29,"LG",13,13,295,"6-4","Virginia","11/26/1970","1",7,""
"15",65,"Kevin Donnalley",31,"RG",16,9,310,"6-5","Davidson,North Carolina","6/10/1968","8",6,"Houston Oilers / 3rd / 79th pick / 1991"
"16",84,"Troy Drayton",29,"TE",14,13,260,"6-3","Penn St.","6/29/1970","6",3,"Los Angeles Rams / 2nd / 39th pick / 1993"
"17",86,"Oronde Gadsden",28,"wr",16,7,215,"6-2","Winston-Salem St.","8/20/1971","1",7,""
"18",92,"Daryl Gardener",26,"RDT",16,15,295,"6-6","Baylor","2/25/1973","3",9,"Miami Dolphins / 1st / 20th pick / 1996"
"19",66,"Kevin Gogan",35,"rg",16,10,317,"6-7","Washington","11/2/1964","12",6,"Dallas Cowboys / 8th / 206th pick / 1987"
"20",83,"Hunter Goodwin",27,"wr",15,5,268,"6-5","Texas A&M-Kingsville,Texas A&M","10/10/1972","3",0,"Minnesota Vikings / 4th / 97th pick / 1996"
"21",87,"Yatil Green",26,"wr",8,1,205,"6-2","Miami (FL)","11/25/1973","Rook",2,"Miami Dolphins / 1st / 15th pick / 1997"
"22",51,"Anthony Harris",26,"",4,0,231,"6-1","Auburn","1/25/1973","3",0,""
"23",28,"Ray Hill",24,"",16,0,182,"6-0","Michigan St.","8/7/1975","1",0,""
"24",50,"Dwight Hollier",30,"",15,0,246,"6-2","North Carolina","4/21/1969","7",0,"Miami Dolphins / 4th / 97th pick / 1992"
"25",11,"Damon Huard",26,"qb",16,5,215,"6-3","Washington","7/9/1973","1",5,""
"26",4,"Tom Hutton",27,"",14,0,193,"6-1","Tennessee","7/8/1972","4",2,""
"27",53,"Larry Izzo",25,"",16,0,228,"5-10","Rice","9/26/1974","3",0,""
"28",38,"Calvin Jackson",27,"SS",16,10,185,"5-9","Auburn","10/28/1972","5",4,""
"29",88,"Nate Jacquet",24,"",13,0,185,"6-0","San Diego St.","9/2/1975","2",0,"Indianapolis Colts / 5th / 150th pick / 1997"
"30",25,"Greg Jeffries",28,"",16,0,195,"5-9","Virginia","10/16/1971","6",0,"Detroit Lions / 6th / 147th pick / 1993"
"31",32,"J.J. Johnson",25,"rb",13,4,230,"6-1","Mississippi St.","4/20/1974","Rook",5,"Miami Dolphins / 2nd / 39th pick / 1999"
"32",52,"Robert Jones",30,"LB",16,15,244,"6-3","East Carolina","9/27/1969","7",9,"Dallas Cowboys / 1st / 24th pick / 1992"
"33",44,"Rob Konrad",23,"FB",15,9,255,"6-3","Syracuse","11/12/1976","Rook",2,"Miami Dolphins / 2nd / 43rd pick / 1999"
"34",29,"Sam Madison*+",25,"RCB",16,16,185,"5-11","Louisville","4/23/1974","2",18,"Miami Dolphins / 2nd / 44th pick / 1997"
"35",10,"Olindo Mare*+",26,"",16,0,190,"5-10","MacMurray,Syracuse","6/6/1973","2",6,""
"36",13,"Dan Marino",38,"QB",11,11,224,"6-4","Pittsburgh","9/15/1961","16",7,"Miami Dolphins / 1st / 27th pick / 1983"
"37",31,"Brock Marion",29,"FS",16,16,200,"5-11","Nevada","6/11/1970","6",7,"Dallas Cowboys / 7th / 196th pick / 1993"
"38",80,"Tony Martin",34,"WR",16,13,181,"6-0","Bishop,Mesa","9/5/1965","9",9,"New York Jets / 5th / 126th pick / 1989"
"39",81,"O.J. McDuffie",30,"WR",12,10,194,"5-10","Penn St.","12/2/1969","6",5,"Miami Dolphins / 1st / 25th pick / 1993"
"40",82,"Kevin McKenzie",24,"",1,0,187,"5-9","Washington St.","9/20/1975","Rook",0,""
"41",79,"Kenny Mixon",24,"de",11,2,271,"6-4","LSU","5/31/1975","1",0,"Miami Dolphins / 2nd / 49th pick / 1998"
"42",96,"Rich Owens",27,"DE",16,14,285,"6-6","Lehigh","5/22/1972","4",10,"Washington Redskins / 5th / 152nd pick / 1995"
"43",89,"Ed Perry",25,"te",16,1,265,"6-4","James Madison","9/1/1974","2",0,"Miami Dolphins / 6th / 177th pick / 1997"
"44",82,"Roell Preston",27,"",1,0,187,"5-10","Mississippi","6/23/1972","4",0,"Atlanta Falcons / 5th / 145th pick / 1995"
"45",36,"Stanley Pritchett",26,"fb",14,7,250,"6-2","South Carolina","12/22/1973","3",4,"Miami Dolphins / 4th / 118th pick / 1996"
"46",59,"Derrick Rodgers",28,"LB",16,15,230,"6-0","Arizona St.","10/14/1971","2",9,"Miami Dolphins / 3rd / 92nd pick / 1997"
"47",61,"Tim Ruddy",27,"C",16,16,295,"6-3","Notre Dame","4/27/1972","5",9,"Miami Dolphins / 2nd / 65th pick / 1994"
"48",82,"Larry Shannon",24,"",2,0,215,"6-4","East Carolina","2/2/1975","Rook",0,"Miami Dolphins / 3rd / 82nd pick / 1998"
"49",68,"Mike Sheldon",26,"",9,0,305,"6-4","Grand Valley St.","6/8/1973","2",0,""
"50",98,"Antoine Simpson",23,"",4,0,310,"6-2","Houston","12/7/1976","Rook",0,""
"51",74,"Brent Smith",26,"lt",13,4,305,"6-5","Mississippi St.","11/21/1973","1",0,"Miami Dolphins / 3rd / 96th pick / 1997"
"52",23,"Patrick Surtain",23,"lcb",16,6,192,"5-11","Southern Miss","6/19/1976","1",3,"Miami Dolphins / 2nd / 44th pick / 1998"
"53",99,"Jason Taylor",25,"DE",15,15,255,"6-6","Akron","9/1/1974","2",10,"Miami Dolphins / 3rd / 73rd pick / 1997"
"54",54,"Zach Thomas*+",26,"MLB",16,16,230,"5-11","Texas Tech","9/1/1973","3",19,"Miami Dolphins / 5th / 154th pick / 1996"
"55",78,"Richmond Webb",32,"LT",15,14,325,"6-6","Texas A&M","1/11/1967","9",8,"Miami Dolphins / 1st / 9th pick / 1990"
"56",24,"Jerry Wilson",26,"db",16,1,190,"5-11","Southern","7/17/1973","3",0,"Tampa Bay Buccaneers / 4th / 105th pick / 1995"
"57",22,"Shawn Wooden",26,"ss",15,6,205,"5-11","Notre Dame","10/23/1973","3",3,"Miami Dolphins / 6th / 189th pick / 1996"
"58",14,"Scott Zolak",32,"",1,0,230,"6-5","Maryland","12/13/1967","7",0,"New England Patriots / 4th / 84th pick / 1991"
"59",NA,"Team Total",27,"",16,NA,237.9,"6-1.6","","","3.6",NA,""
