"","No.","Player.","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr."
"1",29,"Jonathon Amaya",24,"",12,0,203,"6-1","Nevada","11/25/1988","2",1,""
"2",87,"Anthony Armstrong",29,"",5,0,175,"5-11","West Texas A&M","3/29/1983","2",0,""
"3",90,"Ryan Baker",28,"",1,0,295,"6-5","Purdue","11/25/1984","3",0,""
"4",15,"Davone Bess",27,"WR",13,13,190,"5-10","Hawaii","9/13/1985","4",6,""
"5",19,"Armon Binns",23,"",3,0,211,"6-2","Cincinnati","9/8/1989","1",1,""
"6",56,"Kevin Burnett",30,"LB",16,16,237,"6-3","Tennessee","12/24/1982","7",8,"Dallas Cowboys / 2nd / 42nd pick / 2005"
"7",22,"Reggie Bush",27,"RB",16,16,200,"6-0","USC","3/2/1985","6",8,"New Orleans Saints / 1st / 2nd pick / 2006"
"8",5,"Dan Carpenter",27,"",14,0,216,"6-2","Montana","11/25/1985","4",3,""
"9",28,"Nolan Carroll",25,"CB",14,10,202,"6-1","Maryland","1/18/1987","2",4,"Miami Dolphins / 5th / 145th pick / 2010"
"10",42,"Charles Clay",23,"FB",14,9,245,"6-3","Tulsa","2/13/1989","1",2,"Miami Dolphins / 6th / 174th pick / 2011"
"11",30,"Chris Clemons",27,"S",16,16,210,"6-1","Clemson","9/15/1985","3",7,"Miami Dolphins / 5th / 165th pick / 2009"
"12",32,"Michael Coe",29,"",1,0,190,"6-1","Alabama St.","12/17/1983","5",0,"Indianapolis Colts / 5th / 173rd pick / 2007"
"13",36,"Tyrone Culver",29,"",4,0,195,"6-0","Fresno St.","7/6/1983","6",0,"Green Bay Packers / 6th / 185th pick / 2006"
"14",58,"Karlos Dansby",31,"LB",16,16,243,"6-4","Auburn","11/3/1981","8",9,"Arizona Cardinals / 2nd / 33rd pick / 2004"
"15",92,"John Denney*",34,"",16,0,275,"6-5","BYU","12/13/1978","7",3,""
"16",84,"Michael Egnew",23,"",2,0,252,"6-5","Missouri","11/1/1989","Rook",0,"Miami Dolphins / 3rd / 78th pick / 2012"
"17",80,"Anthony Fasano",28,"TE",16,16,255,"6-4","Notre Dame","4/20/1984","6",3,"Dallas Cowboys / 2nd / 53rd pick / 2006"
"18",2,"Brandon Fields",28,"",16,0,230,"6-5","Michigan St.","5/21/1984","5",4,"Miami Dolphins / 7th / 225th pick / 2007"
"19",90,"Andre Fluellen",27,"",2,0,285,"6-2","Florida St.","3/7/1985","4",0,"Detroit Lions / 3rd / 87th pick / 2008"
"20",59,"Jonathan Freeny",23,"",16,0,242,"6-2","Rutgers","6/15/1989","1",1,""
"21",10,"Jabar Gaffney",32,"",3,0,205,"6-1","Florida","12/1/1980","10",1,"Houston Texans / 2nd / 33rd pick / 2002"
"22",75,"Nate Garner",27,"rt",16,4,319,"6-7","Arkansas","1/18/1985","4",3,"New York Jets / 7th / 211th pick / 2008"
"23",82,"Brian Hartline",26,"WR",16,15,180,"6-2","Ohio St.","11/22/1986","3",8,"Miami Dolphins / 4th / 108th pick / 2009"
"24",68,"Richie Incognito*",29,"LG",16,16,305,"6-3","Nebraska,Oregon","7/5/1983","6",9,"St. Louis Rams / 3rd / 81st pick / 2005"
"25",74,"John Jerry",26,"RG",16,16,349,"6-5","Mississippi","6/14/1986","2",7,"Miami Dolphins / 3rd / 73rd pick / 2010"
"26",20,"Reshad Jones",24,"S",16,16,215,"6-2","Georgia","2/25/1988","2",8,"Miami Dolphins / 5th / 163rd pick / 2010"
"27",57,"Josh Kaddu",22,"",4,0,239,"6-3","Oregon","3/12/1990","Rook",0,"Miami Dolphins / 5th / 155th pick / 2012"
"28",10,"Nate Kaeding",30,"",2,0,187,"6-0","Iowa","3/26/1982","8",-1,"San Diego Chargers / 3rd / 65th pick / 2004"
"29",41,"Jorvorskie Lane",25,"fb",16,5,277,"5-11","Texas A&M","2/4/1987","Rook",1,""
"30",77,"Jake Long",27,"LT",12,12,315,"6-7","Michigan","5/9/1985","4",5,"Miami Dolphins / 1st / 1st pick / 2008"
