"","No.","Player.","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr.","Cap.Hit"
"1",24,"Isa Abdul-Quddus",27,"S",14,14,200,"6-1","Fordham","8/3/1989","5",NA,"","$2,583,333"
"2",35,"Walt Aikens",25,"CB",13,0,205,"6-1","Liberty","6/19/1991","2",NA,"Miami Dolphins / 4th / 125th pick / 2014","$703,977"
"3",23,"Jay Ajayi",23,"RB",13,10,216,"6-0","Boise St.","6/15/1993","1",NA,"Miami Dolphins / 5th / 149th pick / 2015","$580,203"
"4",76,"Branden Albert",32,"G",10,10,315,"6-7","Virginia","11/4/1984","8",NA,"Kansas City Chiefs / 1st / 15th pick / 2008","$10,150,000"
"5",47,"Kiko Alonso",26,"ILB",13,13,238,"6-3","Oregon","8/14/1990","3",NA,"Buffalo Bills / 2nd / 46th pick / 2013","$991,418"
"6",50,"Andre Branch",27,"DE",14,9,260,"6-4","Clemson","7/14/1989","4",NA,"Jacksonville Jaguars / 2nd / 38th pick / 2012","$2,703,125"
"7",64,"Jake Brendel",24,"C",2,0,303,"6-4","","9/10/1992","Rook",NA,"","$450,000"
"8",74,"Jermon Bushrod",32,"T",14,14,315,"6-4","Towson","8/19/1984","9",NA,"New Orleans Saints / 4th / 125th pick / 2007","$1,437,500"
"9",56,"Donald Butler",28,"LB",12,4,244,"6-1","Washington","10/17/1988","5",NA,"San Diego Chargers / 3rd / 79th pick / 2010","$760,000"
"10",84,"Jordan Cameron",28,"TE",3,3,244,"6-5","USC","8/7/1988","5",NA,"Cleveland Browns / 4th / 102nd pick / 2011","$8,000,000"
"11",88,"Leonte Carroo",22,"WR",14,2,217,"6-0","Rutgers","1/24/1994","Rook",NA,"Miami Dolphins / 3rd / 86th pick / 2016","$625,097"
"12",4,"Matt Darr",24,"P",14,0,220,"6-1","Tennnessee","7/2/1992","1",NA,"","$525,333"
"13",92,"John Denney",38,"DE",14,0,275,"6-5","BYU","12/13/1978","11",NA,"","$1,095,000"
"14",32,"Kenyan Drake",22,"RB",14,1,210,"6-1","Alabama","1/26/1994","Rook",NA,"Miami Dolphins / 3rd / 73rd pick / 2016","$655,315"
"15",83,"Thomas Duarte",21,"WR",1,0,225,"6-2","UCLA","3/30/1995","Rook",NA,"Miami Dolphins / 7th / 231st pick / 2016","$450,000"
"16",33,"Ifo Ekpre-Olomu",23,"CB",NA,NA,195,"5-9","Oregon","7/10/1993","Rook",NA,"Cleveland Browns / 7th / 241st pick / 2015","$333,000"
"17",78,"Terrence Fede",25,"DE",6,0,267,"6-4","Marist","11/19/1991","2",NA,"Miami Dolphins / 7th / 234th pick / 2014","$613,988"
"18",3,"Andrew Franks",23,"K",14,0,205,"6-1","Rensselaer Polytechnic Institute","1/11/1993","1",NA,"","$525,000"
"19",19,"Jakeem Grant",24,"WR",14,0,165,"5-6","Texas Tech","10/30/1992","Rook",NA,"Miami Dolphins / 6th / 186th pick / 2016","$485,095"
"20",48,"MarQueis Gray",27,"TE",14,6,250,"6-4","Minnesota","11/7/1989","3",NA,"","$675,000"
"21",46,"Neville Hewitt",23,"LB",14,4,235,"6-2","Georgia Military College; Marshall","4/6/1993","1",NA,"","$525,333"
"22",25,"Xavien Howard",23,"CB",5,4,201,"6-0","Baylor","7/4/1993","Rook",NA,"Miami Dolphins / 2nd / 38th pick / 2016","$1,114,189"
"23",45,"Mike Hull",22,"LB",14,1,232,"6-0","","5/25/1994","1",NA,"","$525,000"
"24",70,"Ja'Wuan James",24,"OT",14,14,311,"6-6","Tennessee","6/3/1992","2",NA,"Miami Dolphins / 1st / 19th pick / 2014","$2,298,654"
"25",53,"Jelani Jenkins",24,"OLB",9,7,243,"6-0","Florida","3/13/1992","3",NA,"Miami Dolphins / 4th / 104th pick / 2013","$1,789,172"
"26",85,"Dominique Jones",29,"TE",9,2,255,"6-3","Shepherd","8/15/1987","4",NA,"","$516,178"
"27",98,"Jason Jones",30,"DT",12,5,272,"6-5","East. Michigan","5/23/1986","8",NA,"Tennessee Titans / 2nd / 54th pick / 2008","$1,502,188"
"28",20,"Reshad Jones",28,"DB",6,6,215,"6-2","Georgia","2/25/1988","6",NA,"Miami Dolphins / 5th / 163rd pick / 2010","$8,202,942"
"29",95,"Dion Jordan",26,"DE",NA,NA,248,"6-6","Oregon","3/5/1990","3",NA,"Miami Dolphins / 1st / 3rd pick / 2013","$5,359,132"
"30",14,"Jarvis Landry",24,"WR",14,14,205,"6-0","LSU","11/28/1992","2",NA,"Miami Dolphins / 2nd / 63rd pick / 2014","$947,703"
"31",36,"Tony Lippett",24,"WR",14,11,192,"6-3","Michigan St.","7/2/1992","1",NA,"Miami Dolphins / 5th / 156th pick / 2015","$578,691"
"32",21,"Jordan Lucas",23,"SS",7,0,202,"6-0","Penn St.","8/2/1993","Rook",NA,"Miami Dolphins / 6th / 204th pick / 2016","$479,990"
"33",41,"Byron Maxwell",28,"DB",13,13,202,"6-0","Clemson","2/23/1988","5",NA,"Seattle Seahawks / 6th / 173rd pick / 2011","$8,500,000"
"34",28,"Bobby McCain",23,"CB",14,7,192,"5-10","Memphis","8/18/1993","1",NA,"Miami Dolphins / 5th / 145th pick / 2015","$582,072"
"35",55,"Koa Misi",29,"LB",3,2,244,"6-3","Utah","1/17/1987","6",NA,"Miami Dolphins / 2nd / 40th pick / 2010","$3,120,500"
"36",90,"Earl Mitchell",29,"DT",7,3,289,"6-1","Arizona","9/25/1987","6",NA,"Houston Texans / 3rd / 81st pick / 2010","$3,500,000"
"37",8,"Matt Moore",32,"QB",3,1,192,"6-3","Oregon St.","8/9/1984","9",NA,"","$1,400,000"
"38",11,"DeVante Parker",23,"WR",13,7,209,"6-3","Louisville","1/20/1993","1",NA,"Miami Dolphins / 1st / 14th pick / 2015","$2,471,942"
"39",42,"Spencer Paysinger",28,"LB",13,2,236,"6-2","Oregon","6/28/1988","5",NA,"","$680,000"
"40",97,"Jordan Phillips",24,"DT",14,11,334,"6-6","Oklahoma","9/21/1992","1",NA,"Miami Dolphins / 2nd / 52nd pick / 2015","$991,570"
"41",40,"Lafayette Pitts",24,"CB",6,0,196,"5-11","","9/24/1992","Rook",NA,"","$450,000"
"42",51,"Mike Pouncey",27,"OL",5,5,311,"6-5","Florida","7/24/1989","5",NA,"Miami Dolphins / 1st / 15th pick / 2011","$10,025,000"
"43",30,"Bacarri Rambo",26,"FS",7,4,211,"6-1","Georgia","6/27/1990","3",NA,"Washington Redskins / 6th / 191st pick / 2013","$675,000"
"44",57,"Trevor Reilly",28,"OLB",NA,NA,245,"6-5","Utah","1/17/1988","2",NA,"New York Jets / 7th / 233rd pick / 2014",""
"45",87,"Rashawn Scott",24,"WR",NA,NA,204,"6-2","","1/29/1992","Rook",NA,"","$132,350"
"46",80,"Dion Sims",25,"TE",12,9,262,"6-5","Michigan St.","2/18/1991","3",NA,"Miami Dolphins / 4th / 106th pick / 2013","$1,787,888"
"47",65,"Anthony Steen",26,"OG",13,7,314,"6-3","Alabama","5/9/1990","2",NA,"","$525,000"
"48",10,"Kenny Stills",24,"WR",14,14,194,"6-1","Oklahoma","4/22/1992","3",NA,"New Orleans Saints / 5th / 144th pick / 2013","$1,671,000"
"49",93,"Ndamukong Suh",29,"DT",14,14,307,"6-4","Nebraska","1/6/1987","6",NA,"Detroit Lions / 1st / 2nd pick / 2010","$12,600,000"
"50",17,"Ryan Tannehill",28,"QB",13,13,220,"6-4","Texas A&M","7/27/1988","4",NA,"Miami Dolphins / 1st / 8th pick / 2012","$11,640,000"
"51",31,"Michael Thomas",27,"S",14,6,196,"5-11","Stanford","3/17/1989","3",NA,"","$675,000"
"52",67,"Laremy Tunsil",22,"OT",12,12,310,"6-5","Mississippi","8/2/1994","Rook",NA,"Miami Dolphins / 1st / 13th pick / 2016","$2,265,027"
"53",60,"Kraig Urbik",31,"G",14,4,323,"6-5","Wisconsin","9/23/1985","7",NA,"Pittsburgh Steelers / 3rd / 79th pick / 2009","$1,125,000"
"54",91,"Cameron Wake",34,"LB",14,9,236,"6-2","Penn St.","1/30/1982","7",NA,"","$8,525,000"
"55",26,"Damien Williams",24,"RB",13,0,211,"5-11","Oklahoma","4/3/1992","2",NA,"","$601,668"
"56",94,"Mario Williams",31,"DE",12,5,290,"6-6","North Carolina St.","1/31/1985","10",NA,"Houston Texans / 1st / 1st pick / 2006","$6,500,000"
"57",75,"Nicholas Williams",26,"DT",3,0,309,"6-5","Samford","2/21/1990","2",NA,"Pittsburgh Steelers / 7th / 223rd pick / 2013","$600,000"
"58",16,"T.J. Yates",29,"QB",NA,NA,210,"6-2","North Carolina","5/28/1987","5",NA,"Houston Texans / 5th / 152nd pick / 2011","$134,117"
"59",79,"Sam Young",29,"T",5,1,302,"6-8","Notre Dame","6/24/1987","6",NA,"Dallas Cowboys / 6th / 179th pick / 2010","$536,470"
"60",NA,"Team Total",26.3,"",14,NA,247.9,"6-2.4","","","3.4",NA,"",""
