"","No.","Player.","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr."
"1",39,"Husain Abdullah",23,"",16,0,204,"6-0","Washington St.","7/27/1985","Rook",1,""
"2",57,"Rufus Alexander",25,"",1,0,228,"6-1","Oklahoma","4/12/1983","Rook",0,"Minnesota Vikings / 6th / 176th pick / 2007"
"3",69,"Jared Allen*+",26,"DE",16,16,265,"6-6","Idaho St.","4/3/1982","4",17,"Kansas City Chiefs / 4th / 126th pick / 2004"
"4",84,"Aundrae Allison",22,"",15,0,198,"6-0","East Carolina","4/20/1986","1",1,"Minnesota Vikings / 5th / 146th pick / 2007"
"5",87,"Bernard Berrian",28,"WR",16,13,190,"6-1","Fresno St.","12/27/1980","4",10,"Chicago Bears / 3rd / 78th pick / 2004"
"6",78,"Matt Birk",32,"C",16,16,300,"6-4","Harvard","7/23/1976","10",7,"Minnesota Vikings / 6th / 173rd pick / 1998"
"7",54,"Vinny Ciurciu",28,"mlb",14,1,235,"6-0","Clemson,Boston Col.","5/2/1980","5",2,""
"8",62,"Ryan Cook",25,"RT",16,14,325,"6-6","New Mexico","5/8/1983","2",6,"Minnesota Vikings / 2nd / 51st pick / 2006"
"9",83,"Jeff Dugan",27,"te",9,2,261,"6-4","Maryland","4/8/1981","4",0,"Minnesota Vikings / 7th / 220th pick / 2004"
"10",91,"Ray Edwards",23,"DE",15,15,270,"6-5","Purdue","1/1/1985","2",8,"Minnesota Vikings / 4th / 127th pick / 2006"
"11",90,"Fred Evans",25,"nt",16,2,307,"6-5","Texas St.","11/6/1983","2",2,"Miami Dolphins / 7th / 212th pick / 2006"
"12",89,"Robert Ferguson",29,"",8,0,209,"6-1","Texas A&M","12/17/1979","7",0,"Green Bay Packers / 2nd / 41st pick / 2001"
"13",37,"Eric Frampton",24,"",16,0,204,"5-11","Washington St.","2/6/1984","1",1,"Oakland Raiders / 5th / 165th pick / 2007"
"14",12,"Gus Frerotte",37,"QB",11,11,237,"6-3","Tulsa","7/31/1971","14",6,"Washington Redskins / 7th / 197th pick / 1994"
"15",41,"Charles Gordon",24,"cb",9,2,180,"5-11","Kansas","7/18/1984","2",1,""
"16",52,"Chad Greenway",25,"LB",16,15,240,"6-2","Iowa","1/12/1983","1",8,"Minnesota Vikings / 1st / 17th pick / 2006"
"17",23,"Cedric Griffin",26,"RCB",16,15,190,"6-0","Texas","11/11/1982","2",6,"Minnesota Vikings / 2nd / 48th pick / 2006"
"18",73,"Otis Grigsby",28,"de",8,1,260,"6-3","Kentucky","11/19/1980","1",1,""
"19",98,"Letroy Guion",21,"",2,0,295,"6-4","Florida St.","6/21/1987","Rook",0,"Minnesota Vikings / 5th / 152nd pick / 2008"
"20",99,"Napoleon Harris",29,"mlb",10,5,255,"6-2","Northwestern","2/25/1979","6",4,"Oakland Raiders / 1st / 23rd pick / 2002"
"21",56,"E.J. Henderson",28,"",4,3,245,"6-1","Maryland","8/3/1980","5",2,"Minnesota Vikings / 2nd / 40th pick / 2003"
"22",50,"Erin Henderson",22,"",10,0,242,"6-3","Maryland","7/1/1986","Rook",0,""
"23",64,"Anthony Herrera",28,"RG",16,16,315,"6-2","Tennessee","6/14/1980","3",7,""
"24",58,"David Herron",24,"mlb",14,3,248,"6-1","Michigan St.","6/17/1984","1",2,""
"25",79,"Artis Hicks",30,"lt",12,6,320,"6-4","Memphis","11/28/1978","5",3,""
"26",43,"Maurice Hicks",30,"",11,0,200,"5-11","North Carolina A&T","7/22/1978","4",0,""
"27",76,"Steve Hutchinson*+",31,"LG",16,16,313,"6-5","Michigan","11/1/1977","7",13,"Seattle Seahawks / 1st / 17th pick / 2001"
"28",7,"Tarvaris Jackson",25,"qb",9,5,226,"6-2","Arkansas,Alabama St.","4/21/1983","2",4,"Minnesota Vikings / 2nd / 64th pick / 2006"
"29",72,"Marcus Johnson",27,"",7,0,321,"6-6","Mississippi","12/1/1981","3",1,"Minnesota Vikings / 2nd / 49th pick / 2005"
"30",25,"Tyrell Johnson",23,"fs",16,7,200,"5-11","Arkansas St.","5/19/1985","Rook",4,"Minnesota Vikings / 2nd / 43rd pick / 2008"
