"","No.","Player.","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr.","Cap.Hit"
"1",44,"Matt Asiata",28,"",16,0,229,"5-11","Utah","7/24/1987","3",2,"","$800,000"
"2",55,"Anthony Barr*",23,"LB",14,14,255,"6-5","UCLA","3/18/1992","1",9,"Minnesota Vikings / 1st / 9th pick / 2014","$2,896,250"
"3",61,"Joe Berger",33,"C",16,16,303,"6-5","Michigan Tech","5/25/1982","10",8,"Carolina Panthers / 6th / 207th pick / 2005","$1,120,000"
"4",36,"Robert Blanton",26,"ss",16,1,208,"6-1","Notre Dame","9/7/1989","3",1,"Minnesota Vikings / 5th / 139th pick / 2012","$1,594,763"
"5",5,"Teddy Bridgewater*",23,"QB",16,16,214,"6-2","Louisville","11/10/1992","1",13,"Minnesota Vikings / 1st / 32nd pick / 2014","$1,556,705"
"6",68,"T.J. Clemmings",24,"RT",16,16,307,"6-5","Pittsburgh","11/18/1991","Rook",8,"Minnesota Vikings / 4th / 110th pick / 2015","$566,238"
"7",57,"Audie Cole",26,"mlb",7,1,246,"6-4","North Carolina St.","6/1/1989","3",1,"Minnesota Vikings / 7th / 210th pick / 2012","$660,000"
"8",95,"Scott Crichton",24,"",13,1,273,"6-3","Oregon St.","10/30/1991","1",1,"Minnesota Vikings / 3rd / 72nd pick / 2014","$705,507"
"9",14,"Stefon Diggs",22,"WR",13,9,195,"6-0","Maryland","11/29/1993","Rook",8,"Minnesota Vikings / 5th / 146th pick / 2015","$491,928"
"10",72,"Kenrick Ellis",28,"",9,0,346,"6-5","Hampton","12/10/1987","4",1,"New York Jets / 3rd / 94th pick / 2011","$745,000"
"11",85,"Rhett Ellison",27,"TE",15,9,251,"6-5","USC","10/3/1988","3",1,"Minnesota Vikings / 4th / 128th pick / 2012","$1,617,146"
"12",32,"Antone Exum",24,"fs",12,2,213,"6-0","Virginia Tech","2/27/1991","1",2,"Minnesota Vikings / 6th / 182nd pick / 2014","$538,947"
"13",73,"Sharrif Floyd",24,"DT",13,12,297,"6-3","Florida","5/28/1991","2",6,"Minnesota Vikings / 1st / 23rd pick / 2013","$2,202,600"
"14",63,"Brandon Fusco",27,"LG",16,16,302,"6-4","Slippery Rock","7/26/1988","4",8,"Minnesota Vikings / 6th / 172nd pick / 2011","$3,485,000"
"15",52,"Chad Greenway",32,"LB",16,12,240,"6-2","Iowa","1/12/1983","8",7,"Minnesota Vikings / 1st / 17th pick / 2006","$5,575,000"
"16",97,"Everson Griffen*",28,"DE",15,15,280,"6-3","USC","12/22/1987","5",11,"Minnesota Vikings / 4th / 100th pick / 2010","$8,200,000"
"17",41,"Anthony Harris",23,"ss",4,2,192,"6-1","","6/4/1992","Rook",1,"","$435,000"
"18",79,"Mike Harris",27,"RG",16,16,310,"6-5","UCLA","12/5/1988","3",8,"","$1,542,000"
"19",13,"Shaun Hill",35,"",3,0,210,"6-5","Maryland","1/9/1980","10",0,"","$3,250,000"
"20",50,"Gerald Hodges",24,"mlb",4,3,243,"6-1","Penn St.","1/17/1991","2",2,"Minnesota Vikings / 4th / 120th pick / 2013","$690,027"
"21",99,"Danielle Hunter",21,"de",14,1,240,"6-6","LSU","10/29/1994","Rook",3,"Minnesota Vikings / 3rd / 88th pick / 2015","$591,805"
"22",12,"Charles Johnson",26,"wr",11,4,215,"6-2","Grand Valley St.","2/27/1989","2",1,"Green Bay Packers / 7th / 216th pick / 2013","$510,000"
"23",92,"Tom Johnson",31,"DT",16,8,288,"6-3","Southern Miss","8/30/1984","4",5,"","$2,300,000"
"24",98,"Linval Joseph",27,"NT",12,12,328,"6-4","East Carolina","10/10/1988","5",6,"New York Giants / 2nd / 46th pick / 2010","$4,600,000"
"25",75,"Matt Kalil",26,"LT",16,16,306,"6-6","USC","7/6/1989","3",9,"Minnesota Vikings / 1st / 4th pick / 2012","$6,290,644"
"26",54,"Eric Kendricks",23,"MLB",14,11,230,"6-0","UCLA","2/29/1992","Rook",6,"Minnesota Vikings / 2nd / 45th pick / 2015","$937,440"
"27",67,"Zac Kerin",24,"",6,0,310,"6-5","Toledo","8/13/1991","1",0,"","$435,000"
"28",48,"Zach Line",25,"fb",16,5,230,"6-1","SMU","4/26/1990","2",1,"","$585,000"
"29",18,"Jeff Locke",26,"",16,0,209,"6-0","UCLA","9/27/1989","2",1,"Minnesota Vikings / 5th / 155th pick / 2013","$631,048"
"30",47,"Kevin McDermott",25,"",16,0,234,"6-4","UCLA","1/12/1990","2",1,"","$585,000"
"31",31,"Jerick McKinnon",23,"",16,0,205,"5-9","Georgia Southern","5/3/1992","1",4,"Minnesota Vikings / 3rd / 96th pick / 2014","$648,750"
"32",91,"Zach Moore",25,"",1,0,269,"6-5","Concordia-St.Paul (MN)","9/5/1990","1",0,"New England Patriots / 6th / 198th pick / 2014","$510,000"
"33",24,"Captain Munnerlyn",27,"cb",16,5,182,"5-9","South Carolina","4/10/1988","6",4,"Carolina Panthers / 7th / 216th pick / 2009","$4,333,333"
"34",30,"Terence Newman",37,"LCB",16,16,188,"5-11","Kansas St.","9/4/1978","12",6,"Dallas Cowboys / 1st / 5th pick / 2003","$2,453,125"
"35",84,"Cordarrelle Patterson",24,"wr",16,1,216,"6-2","Tennessee","3/17/1991","2",2,"Minnesota Vikings / 1st / 29th pick / 2013","$1,969,377"
