"","No.","Player","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr."
"1",69,"Tom Ackerman",27,"lg",16,8,290,"6-3","East. Washington","9/6/1972","3",4,"New Orleans Saints / 5th / 145th pick / 1996"
"2",54,"Ink Aleaga",26,"lb",8,2,251,"6-1","Washington","4/27/1973","2",0,""
"3",43,"Ashley Ambrose",29,"LCB",16,16,190,"5-11","Miss. Valley St.","9/17/1970","7",7,"Indianapolis Colts / 2nd / 29th pick / 1992"
"4",6,"Tommy Barnhardt",36,"",16,0,228,"6-2","East Carolina,North Carolina","6/11/1963","12",1,"Tampa Bay Buccaneers / 9th / 223rd pick / 1986"
"5",89,"Brett Bech",28,"",8,0,184,"6-1","LSU","8/20/1971","2",0,""
"6",56,"Chris Bordano",25,"MLB",15,12,241,"6-1","SMU","12/30/1974","1",6,"New Orleans Saints / 6th / 161st pick / 1998"
"7",10,"Doug Brien",29,"",16,0,180,"6-0","California","11/24/1970","5",3,"San Francisco 49ers / 3rd / 85th pick / 1994"
"8",30,"Je'Rod Cherry",26,"",16,0,210,"6-1","California","5/30/1973","3",0,"New Orleans Saints / 2nd / 40th pick / 1996"
"9",51,"Phil Clarke",22,"mlb",8,3,241,"6-0","Pittsburgh","1/9/1977","Rook",0,""
"10",42,"Willie Clay",29,"FS",16,9,193,"5-10","Georgia Tech","9/5/1970","7",4,"Detroit Lions / 8th / 221st pick / 1992"
"11",85,"Cam Cleeland",24,"TE",11,8,272,"6-5","Washington","8/15/1975","1",2,"New Orleans Saints / 2nd / 40th pick / 1998"
"12",32,"Aaron Craver",31,"FB",13,10,218,"6-0","Fresno St.","12/18/1968","8",1,"Miami Dolphins / 3rd / 60th pick / 1991"
"13",28,"Troy Davis",24,"rb",16,2,191,"5-7","Iowa St.","9/14/1975","2",1,"New Orleans Saints / 3rd / 62nd pick / 1997"
"14",81,"Lawrence Dawsey",32,"",10,0,192,"6-0","Florida St.","11/16/1967","8",1,"Tampa Bay Buccaneers / 3rd / 66th pick / 1991"
"15",9,"Jake Delhomme",24,"qb",2,2,215,"6-2","La-Lafayette","1/10/1975","Rook",2,""
"16",22,"Tyronne Drakeford",28,"rcb",10,5,185,"5-11","Virginia Tech","6/21/1971","5",2,"San Francisco 49ers / 2nd / 62nd pick / 1994"
"17",55,"Mark Fields",27,"LB",14,14,244,"6-2","Washington St.","11/9/1972","4",8,"New Orleans Saints / 1st / 13th pick / 1995"
"18",62,"Jerry Fontenot",33,"C",16,16,300,"6-3","Texas A&M","11/21/1966","10",7,"Chicago Bears / 3rd / 65th pick / 1989"
"19",80,"P.J. Franklin",22,"",3,0,180,"5-10","Tulane","9/28/1977","Rook",0,""
"20",86,"Kendall Gammon",31,"",16,0,255,"6-4","Pittsburg St.","10/23/1968","7",0,"Pittsburgh Steelers / 11th / 291st pick / 1992"
"21",97,"La'Roi Glover",25,"RDT",16,16,285,"6-2","San Diego St.","7/4/1974","3",9,"Oakland Raiders / 5th / 166th pick / 1996"
"22",79,"Mike Halapin",26,"lg",9,3,294,"6-4","Pittsburgh","7/1/1973","3",0,""
"23",96,"Uhuru Hamiter",26,"",5,0,280,"6-4","Delaware St.","3/14/1973","Rook",0,""
"24",36,"Corey Harris",23,"",3,0,187,"5-10","The Citadel,North Alabama","11/28/1976","Rook",0,""
"25",88,"Andre Hastings",29,"wr",15,5,190,"6-1","Georgia","11/7/1970","6",4,"Pittsburgh Steelers / 3rd / 76th pick / 1993"
"26",23,"Chris Hewitt",25,"",12,0,210,"6-0","Cincinnati","7/22/1974","2",0,""
"27",12,"Billy Joe Hobert",28,"qb",9,7,230,"6-3","Washington","1/8/1971","4",2,"Los Angeles Raiders / 3rd / 58th pick / 1993"
"28",44,"Rob Kelly",25,"fs",16,7,199,"6-0","Ohio St.","6/21/1974","2",3,"New Orleans Saints / 2nd / 33rd pick / 1997"
"29",82,"Eddie Kennison",26,"WR",16,16,201,"6-1","LSU","1/20/1973","3",6,"St. Louis Rams / 1st / 18th pick / 1996"
"30",29,"Sammy Knight",24,"SS",16,16,215,"6-0","USC","9/10/1975","2",6,""
"31",21,"Earl Little",26,"",1,0,200,"6-1","Michigan,Miami (FL)","3/10/1973","1",0,""
"32",93,"Wayne Martin",34,"LDT",16,16,275,"6-5","Arkansas","10/26/1965","10",8,"New Orleans Saints / 1st / 19th pick / 1989"
"33",99,"Darren Mickell",29,"",1,0,285,"6-4","Florida","8/3/1970","7",0,"Kansas City Chiefs / 2nd / 2nd pick / 1992 Supp"
"34",59,"Keith Mitchell",25,"LB",16,16,236,"6-2","Texas A&M","7/24/1974","2",9,""
"35",50,"Kevin Mitchell",28,"mlb",16,1,258,"6-1","Syracuse","1/1/1971","5",0,"San Francisco 49ers / 2nd / 53rd pick / 1994"
"36",25,"Alex Molden",26,"",13,0,190,"5-10","Oregon","8/4/1973","3",0,"New Orleans Saints / 1st / 11th pick / 1996"
"37",65,"Chris Naeole",25,"RG",15,15,317,"6-3","Colorado","12/25/1974","2",7,"New Orleans Saints / 1st / 10th pick / 1997"
"38",64,"Robert Newkirk",22,"",5,0,290,"6-3","Michigan St.","3/6/1977","Rook",0,""
"39",33,"Wilmont Perry",24,"rb",7,3,230,"6-1","Livingstone","2/24/1975","1",1,"New Orleans Saints / 5th / 132nd pick / 1998"
"40",37,"Dino Philyaw",29,"",13,0,205,"5-10","Oregon","10/30/1970","4",0,"New England Patriots / 6th / 195th pick / 1995"
"41",83,"Keith Poole",25,"WR",15,15,188,"6-0","Arizona St.","6/18/1974","2",6,"New Orleans Saints / 4th / 116th pick / 1997"
"42",40,"Marvin Powell",23,"",9,0,235,"6-2","USC","6/6/1976","Rook",0,""
"43",77,"Willie Roaf*",29,"LT",16,16,320,"6-5","Louisiana Tech","4/18/1970","6",9,"New Orleans Saints / 1st / 8th pick / 1993"
"44",95,"Austin Robbins",28,"ldt",14,3,290,"6-6","North Carolina","3/1/1971","5",0,"Los Angeles Raiders / 4th / 120th pick / 1994"
"45",84,"Scott Slutzker",27,"te",11,2,250,"6-4","Iowa","12/20/1972","3",1,"Indianapolis Colts / 3rd / 82nd pick / 1996"
"46",91,"Brady Smith",26,"DE",16,16,274,"6-5","Colorado St.","6/5/1973","3",8,"New Orleans Saints / 3rd / 70th pick / 1996"
"47",26,"Lamar Smith",29,"rb",13,2,230,"5-11","Houston","11/29/1970","5",2,"Seattle Seahawks / 3rd / 73rd pick / 1994"
"48",52,"Vinson Smith",34,"",12,0,243,"6-2","East Carolina","7/3/1965","11",0,""
