"","No.","Player.","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr."
"1",24,"Chris Barclay",24,"",1,0,180,"5-10","Wake Forest","10/15/1983","Rook",0,""
"2",20,"Jay Bellamy",35,"",3,0,200,"5-11","Rutgers","7/8/1972","13",0,""
"3",69,"McKinley Boykin",24,"",3,0,290,"6-1","Mississippi","3/24/1983","Rook",0,""
"4",35,"Jamaal Branch",26,"",4,0,225,"6-0","Colgate","1/30/1981","1",0,""
"5",9,"Drew Brees",28,"QB",16,16,209,"6-0","Purdue","1/15/1979","6",14,"San Diego Chargers / 2nd / 32nd pick / 2001"
"6",70,"Jammal Brown",26,"LT",15,15,313,"6-6","Oklahoma","3/30/1981","2",9,"New Orleans Saints / 1st / 13th pick / 2005"
"7",29,"Josh Bullocks",24,"FS",14,14,207,"6-0","Nebraska","2/28/1983","2",5,"New Orleans Saints / 2nd / 40th pick / 2005"
"8",25,"Reggie Bush",22,"RB",12,10,200,"6-0","USC","3/2/1985","1",8,"New Orleans Saints / 1st / 2nd pick / 2006"
"9",74,"Jermon Bushrod",23,"",1,0,315,"6-4","Towson","8/19/1984","Rook",0,"New Orleans Saints / 4th / 125th pick / 2007"
"10",71,"Kendrick Clancy",29,"nt",14,2,305,"6-1","Mississippi","9/17/1978","7",2,"Pittsburgh Steelers / 3rd / 72nd pick / 2000"
"11",12,"Marques Colston",24,"WR",16,14,225,"6-4","Hofstra","6/5/1983","1",11,"New Orleans Saints / 7th / 252nd pick / 2006"
"12",97,"Josh Cooper",27,"de",13,2,261,"6-3","Mississippi","12/5/1980","3",2,""
"13",18,"Terrance Copper",25,"wr",15,1,204,"6-0","East Carolina","3/12/1982","3",1,""
"14",21,"Jason Craft",31,"rcb",16,4,187,"5-10","Colorado St.","2/13/1976","8",2,"Jacksonville Jaguars / 5th / 160th pick / 1999"
"15",42,"Jason David",25,"RCB",13,12,165,"5-8","Washington St.","6/12/1982","3",5,"Indianapolis Colts / 4th / 125th pick / 2004"
"16",73,"Jahri Evans",24,"RG",16,16,316,"6-4","Bloomsburg","8/22/1983","1",9,"New Orleans Saints / 4th / 108th pick / 2006"
"17",54,"Troy Evans",30,"",16,0,238,"6-1","Cincinnati","12/3/1977","5",1,""
"18",52,"Jeff Faine",26,"C",14,14,303,"6-3","Notre Dame","4/6/1981","4",8,"Cleveland Browns / 1st / 21st pick / 2003"
"19",56,"Alfred Fincher",24,"",7,0,241,"6-1","Connecticut","8/15/1983","2",0,"New Orleans Saints / 3rd / 82nd pick / 2005"
"20",55,"Scott Fujita",28,"LB",15,15,247,"6-5","California","4/28/1979","5",7,"Kansas City Chiefs / 5th / 143rd pick / 2002"
"21",85,"Ronnie Ghent",27,"",8,0,253,"6-2","Louisville","1/5/1980","Rook",0,""
"22",76,"Jonathan Goodwin",29,"c",13,2,318,"6-3","Ohio,Michigan","12/2/1978","5",2,"New York Jets / 5th / 154th pick / 2002"
"23",1,"Martin Gramatica",32,"",3,0,170,"5-8","Kansas St.","11/27/1975","8",1,"Tampa Bay Buccaneers / 3rd / 80th pick / 1999"
"24",94,"Charles Grant",29,"DE",14,14,282,"6-3","Georgia","9/3/1978","5",6,"New Orleans Saints / 1st / 25th pick / 2002"
"25",41,"Roman Harper",25,"SS",16,16,195,"6-0","Alabama","12/11/1982","1",6,"New Orleans Saints / 2nd / 43rd pick / 2006"
"26",19,"Devery Henderson",25,"WR",16,9,200,"5-11","LSU","3/26/1982","3",4,"New Orleans Saints / 2nd / 50th pick / 2004"
"27",47,"Kevin Houser",30,"",16,0,250,"6-2","Ohio St.","8/23/1977","7",1,"New Orleans Saints / 7th / 228th pick / 2000"
"28",82,"Eric Johnson",28,"TE",14,12,256,"6-3","Yale","9/15/1979","6",3,"San Francisco 49ers / 7th / 224th pick / 2001"
"29",43,"Kevin Kaesviharn",31,"fs",16,3,194,"6-1","Augustana (SD)","8/29/1976","6",2,""
"30",44,"Mike Karney",26,"FB",16,9,254,"5-11","Arizona St.","7/6/1981","3",1,"New Orleans Saints / 5th / 156th pick / 2004"
"31",96,"Antwan Lake",28,"dt",15,7,308,"6-4","West Virginia","7/10/1979","5",3,""
"32",2,"Olindo Mare",34,"",13,0,190,"5-10","MacMurray,Syracuse","6/6/1973","10",1,""
"33",10,"Jamie Martin",37,"",3,0,205,"6-2","Weber St.","2/8/1970","11",0,""
"34",26,"Deuce McAllister",29,"rb",3,3,232,"6-1","Mississippi","12/27/1978","6",1,"New Orleans Saints / 1st / 23rd pick / 2001"
"35",59,"Matt McCoy",25,"",4,0,234,"6-0","San Diego St.","10/14/1982","2",0,"Philadelphia Eagles / 2nd / 63rd pick / 2005"
"36",34,"Mike McKenzie",31,"LCB",15,15,194,"6-0","Memphis","4/26/1976","8",6,"Green Bay Packers / 3rd / 87th pick / 1999"
"37",83,"Billy Miller",30,"te",16,6,245,"6-3","USC","4/24/1977","8",3,"Denver Broncos / 7th / 218th pick / 1999"
"38",50,"Marvin Mitchell",23,"",10,0,249,"6-3","Tennessee","10/21/1984","Rook",1,"New Orleans Saints / 7th / 220th pick / 2007"
"39",16,"Lance Moore",24,"wr",16,4,177,"5-9","Toledo","8/31/1983","1",3,""
"40",67,"Jamar Nesbit",31,"LG",16,16,329,"6-4","South Carolina","12/17/1976","8",9,""
"41",86,"John Owens",27,"",8,0,266,"6-3","Notre Dame","1/10/1980","5",0,"Detroit Lions / 5th / 138th pick / 2002"
"42",81,"David Patten",33,"wr",16,5,190,"5-10","West. Carolina","8/19/1974","10",7,""
"43",39,"Chris Reis",24,"",14,0,215,"6-1","Georgia Tech","9/19/1983","Rook",1,""
"44",93,"Josh Savage",27,"",1,0,276,"6-4","Utah","9/28/1980","3",0,""
"45",58,"Scott Shanle",28,"LB",14,14,240,"6-2","Nebraska","11/23/1979","4",5,"St. Louis Rams / 7th / 251st pick / 2003"
"46",51,"Brian Simmons",32,"lb",16,3,244,"6-3","North Carolina","6/21/1975","9",2,"Cincinnati Bengals / 1st / 17th pick / 1998"
"47",53,"Mark Simoneau",30,"MLB",16,16,245,"6-0","Kansas St.","1/16/1977","7",6,"Atlanta Falcons / 3rd / 67th pick / 2000"
