"","No.","Player.","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr.","Cap.Hit"
"1",66,"Jack Allen",24,"OL",NA,NA,296,"6-2","","9/24/1992","Rook",NA,"","$105,880"
"2",50,"Stephone Anthony",24,"ILB",10,3,245,"6-2","Clemson","7/28/1992","1",NA,"New Orleans Saints / 1st / 31st pick / 2015","$786,442"
"3",72,"Terron Armstead",25,"OT",7,7,306,"6-5","Ark-Pine Bluff","7/23/1991","3",NA,"New Orleans Saints / 3rd / 75th pick / 2013","$680,000"
"4",37,"Chris Banjo",26,"S",5,0,204,"5-10","SMU","2/26/1990","3",NA,"","$675,000"
"5",97,"Sam Barrington",26,"ILB",3,0,246,"6-1","South Florida","10/5/1990","3",NA,"Green Bay Packers / 7th / 232nd pick / 2013","$600,000"
"6",48,"Vonn Bell",22,"SS",14,11,199,"5-11","Ohio St.","12/12/1994","Rook",NA,"New Orleans Saints / 2nd / 61st pick / 2016","$450,000"
"7",40,"Delvin Breaux",27,"CB",6,6,196,"6-1","LSU","10/25/1989","1",NA,"","$525,000"
"8",9,"Drew Brees",37,"QB",14,14,209,"6-0","Purdue","1/15/1979","15",NA,"San Diego Chargers / 2nd / 32nd pick / 2001","$1,000,000"
"9",31,"Jairus Byrd",30,"DB",14,14,205,"6-0","Oregon","10/7/1986","7",NA,"Buffalo Bills / 2nd / 42nd pick / 2009","$7,400,000"
"10",38,"Travaris Cadet",27,"RB",13,1,210,"6-1","Appalachian St.","2/1/1989","4",NA,"","$760,000"
"11",16,"Brandon Coleman",24,"WR",14,4,225,"6-6","Rutgers","6/22/1992","2",NA,"","$525,000"
"12",10,"Brandin Cooks",23,"WR",14,10,189,"5-10","Oregon St.","9/25/1993","2",NA,"New Orleans Saints / 1st / 20th pick / 2014","$1,182,132"
"13",46,"Ken Crawley",23,"DB",14,5,180,"6-1","","4/8/1993","Rook",NA,"","$450,000"
"14",95,"Tyeler Davison",24,"DT",13,13,315,"6-2","Fresno St.","9/23/1992","1",NA,"New Orleans Saints / 5th / 154th pick / 2015","$525,000"
"15",47,"Justin Drescher",28,"C",14,0,230,"6-1","Colorado","1/1/1988","6",NA,"","$760,000"
"16",91,"Kasim Edebali",27,"OLB",14,1,253,"6-2","Boston Col.","8/17/1989","2",NA,"","$600,000"
"17",59,"Dannell Ellerbe",31,"LB",7,6,236,"6-1","Georgia","11/29/1985","7",NA,"","$1,700,000"
"18",73,"Jahri Evans",33,"T",14,14,316,"6-4","Bloomsburg","8/22/1983","10",NA,"New Orleans Saints / 4th / 108th pick / 2006","$1,000,000"
"19",90,"Nick Fairley",28,"DT",14,14,291,"6-5","Auburn","1/23/1988","5",NA,"Detroit Lions / 1st / 13th pick / 2011","$765,000"
"20",42,"Travis Feeney",NA,"OLB",NA,NA,225,"6-4","Washington","0/0/0","Rook",NA,"Pittsburgh Steelers / 6th / 220th pick / 2016","$105,880"
"21",82,"Coby Fleener",28,"TE",14,7,250,"6-6","Stanford","9/20/1988","4",NA,"Indianapolis Colts / 2nd / 34th pick / 2012","$800,000"
"22",11,"Corey Fuller",26,"WR",NA,NA,204,"6-2","Virginia Tech","6/23/1990","3",NA,"Detroit Lions / 6th / 171st pick / 2013",""
"23",58,"Obum Gwacham",25,"DE",1,0,231,"6-5","Oregon St.","3/20/1991","1",NA,"Seattle Seahawks / 6th / 209th pick / 2015","$525,000"
"24",41,"Roman Harper",34,"DB",14,2,195,"6-0","Alabama","12/11/1982","10",NA,"New Orleans Saints / 2nd / 43rd pick / 2006","$985,000"
"25",49,"De'Vante Harris",23,"DB",8,1,190,"5-11","","6/3/1993","Rook",NA,"","$450,000"
"26",30,"Erik Harris",26,"DB",4,0,225,"6-3","","4/2/1990","Rook",NA,"","$450,000"
"27",34,"Tim Hightower",30,"RB",14,1,226,"6-0","Richmond","5/23/1986","8",NA,"Arizona Cardinals / 5th / 149th pick / 2008","$760,000"
"28",89,"Josh Hill",26,"TE",9,8,229,"6-5","Idaho St.","5/21/1990","3",NA,"","$750,000"
"29",76,"Tony Hills",32,"T",11,0,305,"6-5","Texas","11/4/1984","8",NA,"Pittsburgh Steelers / 4th / 130th pick / 2008","$670,588"
"30",84,"Michael Hoomanawanui",28,"TE",NA,NA,271,"6-3","Illinois","7/4/1988","6",NA,"St. Louis Rams / 5th / 132nd pick / 2010","$850,000"
"31",22,"Mark Ingram",27,"RB",14,12,215,"5-10","Alabama","12/21/1989","5",NA,"New Orleans Saints / 1st / 28th pick / 2011","$765,000"
"32",94,"Cameron Jordan",27,"DE",14,14,287,"6-4","California","7/10/1989","5",NA,"New Orleans Saints / 1st / 24th pick / 2011","$765,000"
"33",65,"Senio Kelemete",26,"T",13,7,307,"6-3","Washington","5/10/1990","4",NA,"Arizona Cardinals / 5th / 151st pick / 2012","$977,500"
"34",49,"Shiloh Keo",29,"DB",5,0,223,"5-11","Idaho","12/17/1987","5",NA,"Houston Texans / 5th / 144th pick / 2011","$760,000"
"35",44,"Hau'oli Kikaha",24,"OLB",NA,NA,253,"6-2","Washington","7/24/1992","1",NA,"New Orleans Saints / 2nd / 44th pick / 2015","$674,378"
"36",99,"Paul Kruger",30,"DE",13,11,285,"6-4","Utah","2/15/1986","7",NA,"Baltimore Ravens / 2nd / 57th pick / 2009","$900,000"
"37",29,"John Kuhn",34,"FB",14,2,255,"6-0","Shippensburg","9/9/1982","10",NA,"","$985,000"
"38",19,"Jake Lampman",23,"WR",6,0,205,"6-0","","6/11/1993","Rook",NA,"","$450,000"
"39",36,"Daniel Lasco",24,"RB",7,0,205,"6-0","California","10/9/1992","Rook",NA,"New Orleans Saints / 7th / 237th pick / 2016","$450,000"
"40",68,"Tim Lelito",27,"G",14,7,315,"6-4","Grand Valley St.","7/21/1989","3",NA,"","$1,671,000"
"41",87,"Tommylee Lewis",24,"WR",10,1,168,"5-7","","10/24/1992","Rook",NA,"","$450,000"
"42",NA,"Mitchell Loewen",NA,"DE",NA,NA,275,"6-5","","","Rook",NA,"","$408,706"
"43",3,"Wil Lutz",22,"K",14,0,184,"5-11","","7/7/1994","Rook",NA,"","$450,000"
"44",56,"Michael Mauti",26,"OLB",8,0,243,"6-2","Penn St.","1/19/1990","3",NA,"Minnesota Vikings / 7th / 213th pick / 2013","$675,000"
"45",7,"Luke McCown",35,"QB",NA,NA,208,"6-3","Louisiana Tech","7/12/1981","12",NA,"Cleveland Browns / 4th / 106th pick / 2004","$1,000,000"
"46",37,"Sterling Moore",26,"CB",11,10,190,"5-10","SMU","2/3/1990","5",NA,"","$760,000"
