"","No.","Player","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr."
"1",78,"Bruce Armstrong*",31,"LT",16,16,295,"6-4","Louisville","9/7/1965","9",14,"New England Patriots / 1st / 23rd pick / 1987"
"2",98,"Troy Barnett",25,"",1,0,293,"6-5","North Carolina","5/24/1971","2",0,""
"3",86,"Mike Bartrum",26,"",16,0,245,"6-4","Marshall","6/23/1970","3",0,""
"4",11,"Drew Bledsoe*",24,"QB",16,16,238,"6-5","Washington St.","2/14/1972","3",16,"New England Patriots / 1st / 1st pick / 1993"
"5",82,"Vincent Brisby",25,"",3,0,190,"6-3","La-Monroe","1/25/1971","3",0,"New England Patriots / 2nd / 56th pick / 1993"
"6",30,"Corwin Brown",26,"",14,0,200,"6-1","Michigan","4/25/1970","3",1,"New England Patriots / 4th / 110th pick / 1993"
"7",93,"Monty Brown",26,"llb",11,7,238,"6-0","Ferris St.","4/13/1970","3",3,""
"8",80,"Troy Brown",25,"",16,0,196,"5-10","Marshall","7/2/1971","3",2,"New England Patriots / 8th / 198th pick / 1993"
"9",54,"Tedy Bruschi",23,"",16,0,247,"6-1","Arizona","6/9/1973","Rook",2,"New England Patriots / 3rd / 86th pick / 1996"
"10",85,"John Burke",25,"te",11,2,248,"6-3","Virginia Tech","9/7/1971","2",0,"New England Patriots / 4th / 121st pick / 1994"
"11",41,"Keith Byars",33,"te",10,6,245,"6-1","Ohio St.","10/14/1963","10",3,"Philadelphia Eagles / 1st / 10th pick / 1986"
"12",32,"Willie Clay",26,"FS",16,16,193,"5-10","Georgia Tech","9/5/1970","4",7,"Detroit Lions / 8th / 221st pick / 1992"
"13",87,"Ben Coates*",27,"TE",16,15,245,"6-5","Livingstone","8/16/1969","5",7,"New England Patriots / 5th / 124th pick / 1991"
"14",59,"Todd Collins",26,"LLB",16,9,248,"6-2","Georgia,Tennessee,Carson-Newman","5/27/1970","4",5,"New England Patriots / 3rd / 64th pick / 1992"
"15",92,"Ferric Collons",27,"lde",15,5,290,"6-7","California","12/4/1969","1",3,""
"16",66,"Jeff Dellenbach",33,"",2,0,290,"6-6","Wisconsin","2/14/1963","11",0,"Miami Dolphins / 4th / 111th pick / 1985"
"17",90,"Chad Eaton",24,"",4,0,303,"6-5","Washington St.","4/6/1972","Rook",0,"Arizona Cardinals / 7th / 241st pick / 1995"
"18",33,"Sam Gash",27,"FB",14,9,242,"6-0","Penn St.","3/7/1969","4",3,"New England Patriots / 8th / 205th pick / 1992"
"19",67,"Mike Gisler",27,"",14,0,295,"6-4","Houston","8/26/1969","3",1,"New Orleans Saints / 11th / 303rd pick / 1992"
"20",88,"Terry Glenn",22,"WR",15,15,195,"5-11","Ohio St.","7/23/1974","Rook",13,"New England Patriots / 1st / 7th pick / 1996"
"21",81,"Hason Graham",25,"",9,0,176,"5-10","Georgia","3/21/1971","1",1,""
"22",35,"Marrio Grier",25,"",16,0,229,"5-10","Clemson,Tenn-Chattanooga","12/5/1971","Rook",1,"New England Patriots / 6th / 195th pick / 1996"
"23",26,"Jerome Henderson",27,"",7,0,193,"5-10","Clemson","8/8/1969","5",1,"New England Patriots / 2nd / 41st pick / 1991"
"24",31,"Jimmy Hitchcock",26,"rcb",13,5,190,"5-10","North Carolina","11/9/1970","1",3,"New England Patriots / 3rd / 88th pick / 1995"
"25",84,"Shawn Jefferson",27,"WR",15,15,185,"5-11","Central Florida","2/22/1969","5",9,"Houston Oilers / 9th / 240th pick / 1991"
"26",83,"Dietrich Jells",24,"wr",7,1,186,"5-10","Pittsburgh","4/11/1972","Rook",0,"Kansas City Chiefs / 6th / 176th pick / 1996"
"27",52,"Ted Johnson",24,"MLB",16,16,253,"6-4","Colorado","12/4/1972","1",9,"New England Patriots / 2nd / 57th pick / 1995"
"28",96,"Mike Jones",27,"LDE",16,12,290,"6-4","North Carolina St.","8/25/1969","5",9,"Phoenix Cardinals / 2nd / 32nd pick / 1991"
"29",61,"Bob Kratch",30,"g",8,4,288,"6-3","Iowa","1/6/1966","7",3,"New York Giants / 3rd / 64th pick / 1989"
"30",68,"Max Lane",25,"RT",16,16,315,"6-6","Navy","2/22/1971","2",9,"New England Patriots / 6th / 168th pick / 1994"
"31",24,"Ty Law",22,"LCB",13,12,200,"5-11","Michigan","2/10/1974","1",6,"New England Patriots / 1st / 23rd pick / 1995"
"32",43,"Vernon Lewis",26,"",7,0,192,"5-10","Pittsburgh","10/27/1970","3",0,""
"33",15,"Ray Lucas",24,"",2,0,214,"6-3","Rutgers","8/6/1972","Rook",0,""
"34",28,"Curtis Martin*",23,"RB",16,15,210,"5-11","Pittsburgh","5/1/1973","1",13,"New England Patriots / 3rd / 74th pick / 1995"
"35",55,"Willie McGinest*",25,"RDE",16,16,270,"6-5","USC","12/11/1971","2",13,"New England Patriots / 1st / 4th pick / 1994"
"36",27,"Michael McGruder",32,"",14,0,185,"5-11","Kent St.","5/6/1964","7",1,""
"37",22,"Dave Meggett*",30,"KR",16,1,190,"5-7","Morgan St.,Towson","4/30/1966","7",5,"New York Giants / 5th / 132nd pick / 1989"
"38",36,"Lawyer Milloy",23,"SS",16,10,210,"6-0","Washington","11/14/1973","Rook",5,"New England Patriots / 2nd / 36th pick / 1996"
"39",58,"Marty Moore",25,"",16,0,244,"6-1","Kentucky","3/19/1971","2",1,"New England Patriots / 7th / 222nd pick / 1994"
"40",83,"Will Moore",26,"wr",2,1,184,"6-1","Texas Southern","2/21/1970","1",0,""
