"","No.","Player.","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr."
"1",48,"Danny Aiken",24,"",16,0,250,"6-4","Virginia","8/28/1988","1",1,""
"2",16,"Kamar Aiken",23,"",1,0,213,"6-2","Central Florida","5/30/1989","1",0,""
"3",24,"Kyle Arrington",26,"RCB",16,12,196,"5-10","Hofstra","8/12/1986","3",4,""
"4",92,"Jake Bequette",23,"",3,0,274,"6-5","Arkansas","2/21/1989","Rook",0,"New England Patriots / 3rd / 90th pick / 2012"
"5",38,"Brandon Bolden",22,"",10,0,220,"5-11","Mississippi","1/26/1990","Rook",2,""
"6",97,"Ron Brace",26,"",10,0,329,"6-3","Boston Col.","12/18/1986","3",0,"New England Patriots / 2nd / 40th pick / 2009"
"7",12,"Tom Brady*",35,"QB",16,16,225,"6-4","Michigan","8/3/1977","12",18,"New England Patriots / 6th / 199th pick / 2000"
"8",84,"Deion Branch",33,"wr",10,4,193,"5-9","Louisville","7/18/1979","10",2,"New England Patriots / 2nd / 65th pick / 2002"
"9",61,"Marcus Cannon",24,"rt",16,1,363,"6-5","TCU","5/6/1988","1",2,"New England Patriots / 5th / 138th pick / 2011"
"10",59,"Bobby Carpenter",29,"",4,0,255,"6-3","Ohio St.","8/1/1983","6",0,"Dallas Cowboys / 1st / 18th pick / 2006"
"11",25,"Patrick Chung",25,"S",12,8,207,"5-11","Oregon","8/19/1987","3",3,"New England Patriots / 2nd / 34th pick / 2009"
"12",23,"Marquice Cole",29,"db",14,1,184,"5-11","Northwestern","11/13/1983","3",1,""
"13",63,"Dan Connolly",30,"RG",14,14,311,"6-4","SE Missouri St.","9/2/1982","7",9,""
"14",96,"Jermaine Cunningham",24,"de",12,3,248,"6-2","Florida","8/24/1988","2",3,"New England Patriots / 2nd / 53rd pick / 2010"
"15",71,"Brandon Deaderick",25,"dt",14,5,297,"6-4","Alabama","8/19/1987","2",3,"New England Patriots / 7th / 247th pick / 2010"
"16",37,"Alfonzo Dennard",23,"rcb",10,7,204,"5-10","Nebraska","9/9/1989","Rook",3,"New England Patriots / 7th / 224th pick / 2012"
"17",46,"James Develin",24,"",1,0,251,"6-3","Brown","7/23/1988","1",0,""
"18",21,"Ras-I Dowling",24,"",7,0,198,"6-1","Virginia","5/9/1988","1",0,"New England Patriots / 2nd / 33rd pick / 2011"
"19",43,"Nate Ebner",24,"",15,0,220,"0-0","Ohio St.","12/14/1988","Rook",1,"New England Patriots / 6th / 197th pick / 2012"
"20",11,"Julian Edelman",26,"wr",9,3,198,"6-0","Kent St.","5/22/1986","3",4,"New England Patriots / 7th / 232nd pick / 2009"
"21",86,"Daniel Fells",29,"te",13,4,252,"6-4","California-Davis","9/23/1983","4",1,""
"22",98,"Marcus Forston",23,"",1,0,305,"6-3","Miami (FL)","9/28/1989","Rook",0,""
"23",94,"Justin Francis",23,"",10,0,270,"6-2","Rutgers","2/8/1989","Rook",0,""
"24",3,"Stephen Gostkowski",28,"",16,0,200,"6-2","Memphis","1/28/1984","6",3,"New England Patriots / 4th / 118th pick / 2006"
"25",28,"Steve Gregory",29,"S",12,12,185,"5-11","Syracuse","1/8/1983","6",5,""
"26",87,"Rob Gronkowski*",23,"TE",11,11,265,"6-6","Arizona","5/14/1989","2",8,"New England Patriots / 2nd / 42nd pick / 2010"
"27",81,"Aaron Hernandez",23,"TE",10,10,250,"6-2","Florida","11/6/1989","2",5,"New England Patriots / 4th / 113th pick / 2010"
"28",54,"Dont'a Hightower",22,"LB",14,13,266,"6-2","Alabama","3/12/1990","Rook",7,"New England Patriots / 1st / 25th pick / 2012"
"29",38,"Lex Hilliard",28,"",2,0,233,"5-11","Montana","7/30/1984","4",0,"Miami Dolphins / 6th / 204th pick / 2008"
"30",47,"Michael Hoomanawanui",24,"te",14,6,271,"6-3","Illinois","7/4/1988","2",1,"St. Louis Rams / 5th / 132nd pick / 2010"
"31",95,"Chandler Jones",22,"DE",14,13,247,"6-5","Syracuse","2/27/1990","Rook",6,"New England Patriots / 1st / 21st pick / 2012"
"32",90,"Niko Koutouvides",31,"",14,0,238,"6-2","Purdue","3/25/1981","8",1,"Seattle Seahawks / 4th / 116th pick / 2004"
"33",85,"Brandon Lloyd",31,"WR",16,15,192,"6-0","Illinois","7/5/1981","9",10,"San Francisco 49ers / 4th / 124th pick / 2003"
"34",74,"Kyle Love",26,"DT",16,11,301,"6-1","Mississippi St.","11/18/1986","2",5,""
"35",15,"Ryan Mallett",24,"",4,0,240,"6-6","Arkansas","6/5/1988","1",0,"New England Patriots / 3rd / 74th pick / 2011"
"36",70,"Logan Mankins*",30,"LG",10,10,307,"6-4","Fresno St.","3/10/1982","7",11,"New England Patriots / 1st / 32nd pick / 2005"
"37",26,"Derrick Martin",27,"",5,0,180,"5-10","Wyoming","5/16/1985","6",0,"Baltimore Ravens / 6th / 208th pick / 2006"
"38",51,"Jerod Mayo*",26,"LB",16,16,230,"6-2","Tennessee","2/23/1986","4",10,"New England Patriots / 1st / 10th pick / 2008"
"39",93,"Terrell McClain",24,"",1,0,300,"6-2","South Florida","7/20/1988","1",0,"Carolina Panthers / 3rd / 65th pick / 2011"
"40",32,"Devin McCourty",25,"S",16,16,186,"5-10","Rutgers","8/13/1987","2",7,"New England Patriots / 1st / 27th pick / 2010"
"41",65,"Nick McDonald",25,"rg",12,1,316,"6-4","Grand Valley St.","6/27/1987","1",2,""
"42",14,"Zoltan Mesko",26,"",16,0,234,"6-4","Michigan","3/16/1986","2",1,"New England Patriots / 5th / 150th pick / 2010"
"43",29,"Sterling Moore",22,"",8,0,190,"5-10","SMU","2/3/1990","1",1,""
"44",50,"Rob Ninkovich",28,"DE",16,16,251,"6-3","Purdue","2/1/1984","6",9,"New Orleans Saints / 5th / 135th pick / 2006"
"45",67,"Mitch Petrus",25,"",2,0,311,"6-3","Arkansas","5/11/1987","2",0,"New York Giants / 5th / 147th pick / 2010"
"46",22,"Stevan Ridley",23,"RB",16,12,230,"5-11","LSU","1/27/1989","1",11,"New England Patriots / 3rd / 73rd pick / 2011"
"47",59,"Mike Rivera",26,"lb",10,1,255,"6-3","Kansas","1/10/1986","1",1,""
"48",17,"Greg Salas",24,"",1,0,206,"6-1","Hawaii","8/25/1988","1",0,"St. Louis Rams / 4th / 112th pick / 2011"
"49",99,"Trevor Scott",28,"de",14,2,256,"6-5","Buffalo","8/30/1984","4",2,"Oakland Raiders / 6th / 169th pick / 2008"
"50",80,"Visanthe Shiancoe",32,"",4,0,250,"6-4","Morgan St.","6/18/1980","9",0,"New York Giants / 3rd / 91st pick / 2003"
"51",18,"Matt Slater*",27,"",16,0,198,"6-0","UCLA","9/9/1985","4",0,"New England Patriots / 5th / 153rd pick / 2008"
"52",77,"Nate Solder",24,"LT",16,16,314,"6-8","Colorado","4/12/1988","1",11,"New England Patriots / 1st / 17th pick / 2011"
"53",55,"Brandon Spikes",25,"LB",15,14,250,"6-3","Florida","9/3/1987","2",6,"New England Patriots / 2nd / 62nd pick / 2010"
"54",19,"Donte' Stallworth",32,"",1,0,197,"6-0","Tennessee","11/10/1980","10",1,"New Orleans Saints / 1st / 13th pick / 2002"
"55",31,"Aqib Talib",26,"lcb",6,5,202,"6-2","Kansas","2/13/1986","4",2,"Tampa Bay Buccaneers / 1st / 20th pick / 2008"
"56",53,"Jeff Tarpinian",25,"",3,0,238,"6-3","Iowa","10/16/1987","1",0,""
"57",64,"Donald Thomas",27,"lg",16,7,295,"6-3","Connecticut","9/25/1985","4",6,"Miami Dolphins / 6th / 195th pick / 2008"
"58",34,"Shane Vereen",23,"rb",13,1,200,"5-10","California","3/2/1989","1",4,"New England Patriots / 2nd / 56th pick / 2011"
