"","No.","Player.","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr.","Cap.Hit"
"1",6,"Ryan Allen",26,"P",14,0,215,"6-2","Louisiana Tech","2/28/1990","3",NA,"","$1,000,000"
"2",80,"Danny Amendola",31,"WR",12,4,183,"5-11","Texas Tech","11/2/1985","7",NA,"","$1,250,000"
"3",60,"David Andrews",24,"C",14,14,294,"6-3","Georgia","7/10/1992","1",NA,"","$525,000"
"4",88,"Martellus Bennett",29,"TE",14,10,248,"6-7","Texas A&M","3/10/1987","8",NA,"Dallas Cowboys / 2nd / 61st pick / 2008","$5,085,000"
"5",29,"LeGarrette Blount",30,"RB",14,8,245,"6-1","Oregon","12/5/1986","6",NA,"","$760,000"
"6",38,"Brandon Bolden",26,"RB",12,0,220,"5-11","Mississippi","1/26/1990","4",NA,"","$760,000"
"7",12,"Tom Brady",39,"QB",10,10,225,"6-4","Michigan","8/3/1977","16",NA,"New England Patriots / 6th / 199th pick / 2000","$764,705"
"8",97,"Alan Branch",32,"DT",14,13,324,"6-6","Michigan","12/29/1984","9",NA,"Arizona Cardinals / 2nd / 33rd pick / 2007","$1,200,000"
"9",7,"Jacoby Brissett",24,"QB",3,2,231,"6-4","Florida,North Carolina St.","12/11/1992","Rook",NA,"New England Patriots / 3rd / 91st pick / 2016","$450,000"
"10",90,"Malcom Brown",22,"DT",14,13,319,"6-2","Texas","2/2/1994","1",NA,"New England Patriots / 1st / 32nd pick / 2015","$781,056"
"11",21,"Malcolm Butler",26,"CB",14,14,190,"5-11","West Alabama","3/2/1990","2",NA,"","$600,000"
"12",61,"Marcus Cannon",28,"OL",13,13,363,"6-5","TCU","5/6/1988","5",NA,"New England Patriots / 5th / 138th pick / 2011","$3,400,000"
"13",49,"Joe Cardona",24,"LS",14,0,241,"6-2","Navy","4/16/1992","1",NA,"New England Patriots / 5th / 166th pick / 2015","$525,000"
"14",23,"Patrick Chung",29,"DB",14,14,207,"5-11","Oregon","8/19/1987","7",NA,"New England Patriots / 2nd / 34th pick / 2009","$1,400,000"
"15",22,"Justin Coleman",23,"CB",9,1,184,"5-11","Tennessee","3/27/1993","1",NA,"","$525,000"
"16",46,"James Develin",28,"RB",14,3,251,"6-3","Brown","7/23/1988","5",NA,"","$675,000"
"17",43,"Nate Ebner",28,"DB",14,0,220,"0-0","Ohio St.","12/14/1988","4",NA,"New England Patriots / 6th / 197th pick / 2012","$825,000"
"18",11,"Julian Edelman",30,"WR",14,12,198,"6-0","Kent St.","5/22/1986","7",NA,"New England Patriots / 7th / 232nd pick / 2009","$2,500,000"
"19",71,"Cameron Fleming",24,"OT",14,5,323,"6-5","Stanford","9/3/1992","2",NA,"New England Patriots / 4th / 140th pick / 2014","$600,000"
"20",98,"Trey Flowers",23,"DE",14,6,268,"6-2","Arkansas","8/16/1993","1",NA,"New England Patriots / 4th / 101st pick / 2015","$525,000"
"21",14,"Michael Floyd",27,"WR",NA,NA,220,"6-3","Notre Dame","11/27/1989","4",NA,"Arizona Cardinals / 1st / 13th pick / 2012","$7,320,000"
"22",27,"D.J. Foster",23,"RB",3,0,195,"6-0","","11/22/1993","Rook",NA,"","$450,000"
"23",55,"Jonathan Freeny",27,"DE",5,4,242,"6-2","Rutgers","6/15/1989","5",NA,"","$740,000"
"24",10,"Jimmy Garoppolo",25,"QB",4,2,226,"6-2","East. Illinois","11/2/1991","2",NA,"New England Patriots / 2nd / 62nd pick / 2014","$686,718"
"25",3,"Stephen Gostkowski",32,"K",14,0,200,"6-2","Memphis","1/28/1984","10",NA,"New England Patriots / 4th / 118th pick / 2006","$2,300,000"
"26",92,"Geneo Grissom",24,"OLB",9,0,264,"6-3","Oklahoma","6/4/1992","1",NA,"New England Patriots / 3rd / 97th pick / 2015","$525,000"
"27",87,"Rob Gronkowski",27,"TE",8,6,265,"6-6","Arizona","5/14/1989","6",NA,"New England Patriots / 2nd / 42nd pick / 2010","$2,250,000"
