"","No.","Player","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr."
"1",77,"Troy Archer",21,"",14,7,250,"6-4","Colorado","1/16/1955","Rook",4,"New York Giants / 1st / 13th pick / 1976"
"2",25,"Gordon Bell",23,"",14,0,180,"5-9","Michigan","12/25/1953","Rook",3,"New York Giants / 4th / 104th pick / 1976"
"3",37,"Bobby Brooks",25,"",4,4,195,"6-1","Bishop","2/24/1951","2",3,"New York Giants / 11th / 263rd pick / 1974"
"4",21,"Bill Bryant",25,"LCB",14,11,195,"5-11","Grambling St.","1/15/1951","Rook",3,"Cincinnati Bengals / 6th / 153rd pick / 1974"
"5",88,"Danny Buggs",23,"",5,0,188,"6-2","West Virginia","4/22/1953","1",0,"New York Giants / 3rd / 62nd pick / 1975"
"6",53,"Harry Carson",23,"MLB",12,8,237,"6-2","South Carolina St.","11/26/1953","Rook",4,"New York Giants / 4th / 105th pick / 1976"
"7",61,"Karl Chandler",24,"C",12,11,250,"6-5","Princeton","2/15/1952","2",4,""
"8",26,"Rondy Colbert",22,"db",14,2,185,"5-9","Lamar","1/7/1954","1",3,"New York Giants / 17th / 417th pick / 1975"
"9",57,"Brad Cousino",23,"",6,0,218,"6-0","Miami (OH)","4/5/1953","1",3,""
"10",33,"Steve Crosby",26,"",2,0,205,"5-11","Kansas St.,Fort Hays St.","7/3/1950","2",0,"New York Giants / 17th / 419th pick / 1974"
"11",39,"Larry Csonka",30,"FB",12,12,237,"6-3","Syracuse","12/25/1946","8",4,"Miami Dolphins / 1st / 8th pick / 1968"
"12",18,"Joe Danelo",23,"K",14,0,166,"5-9","Washington St.","9/2/1953","1",1,"Miami Dolphins / 10th / 257th pick / 1975"
"13",66,"Rick Dvorak",24,"",14,0,240,"6-4","Wichita St.","4/21/1952","2",3,"New York Giants / 3rd / 55th pick / 1974"
"14",65,"Bill Ellenbogen",26,"g",11,2,258,"6-5","Buffalo,Virginia Tech","12/8/1950","Rook",1,""
"15",71,"Dave Gallagher",24,"LDT",14,10,256,"6-4","Michigan","1/2/1952","2",7,"Chicago Bears / 1st / 20th pick / 1974"
"16",76,"Mike Gibbons",25,"t",11,2,262,"6-4","SW Oklahoma St.","1/23/1951","Rook",2,""
