"","No.","Player.","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr."
"1",20,"Prince Amukamara",25,"RCB",8,8,201,"6-0","Nebraska","6/6/1989","3",3,"New York Giants / 1st / 19th pick / 2011"
"2",47,"Justin Anderson",23,"",2,0,232,"6-2","LA-Layfayette","1/16/1991","Rook",0,""
"3",91,"Robert Ayers",29,"de",12,1,273,"6-3","Tennessee","9/6/1985","5",2,"Denver Broncos / 1st / 18th pick / 2009"
"4",52,"Jon Beason",29,"mlb",4,4,237,"6-0","Miami (FL)","1/14/1985","7",2,"Carolina Panthers / 1st / 25th pick / 2007"
"5",65,"Will Beatty",29,"LT",16,16,291,"6-6","Connecticut","3/2/1985","5",8,"New York Giants / 2nd / 60th pick / 2009"
"6",13,"Odell Beckham*",22,"WR",12,11,198,"5-11","LSU","11/5/1992","Rook",11,"New York Giants / 1st / 12th pick / 2014"
"7",34,"Nat Berhe",23,"",16,0,193,"5-11","San Diego St.","7/6/1991","Rook",1,"New York Giants / 5th / 152nd pick / 2014"
"8",31,"Zackary Bowman",30,"rcb",16,5,197,"6-1","Nebraska","11/18/1984","6",3,"Chicago Bears / 5th / 142nd pick / 2008"
"9",73,"James Brewer",27,"",2,0,323,"6-6","Indiana","12/23/1987","3",0,"New York Giants / 4th / 117th pick / 2011"
"10",96,"Jay Bromley",22,"",8,0,306,"6-3","Syracuse","5/28/1992","Rook",1,"New York Giants / 3rd / 74th pick / 2014"
"11",71,"Charles Brown",27,"rcb",2,0,284,"6-5","USC","4/10/1987","4",0,"New Orleans Saints / 2nd / 64th pick / 2010"
"12",39,"Chykie Brown",28,"",8,4,185,"6-0","Texas","12/26/1986","3",2,"Baltimore Ravens / 5th / 164th pick / 2011"
"13",3,"Josh Brown",35,"",16,0,202,"6-0","Nebraska","4/29/1979","11",4,"Seattle Seahawks / 7th / 222nd pick / 2003"
"14",27,"Stevie Brown",27,"fs",16,8,213,"6-0","Michigan","7/17/1987","4",3,"Oakland Raiders / 7th / 251st pick / 2010"
"15",29,"Michael Cox",26,"",4,0,NA,"","Massachusetts","11/14/1988","1",0,"New York Giants / 7th / 253rd pick / 2013"
"16",80,"Victor Cruz",28,"wr",6,6,204,"6-0","Massachusetts","11/11/1986","4",3,""
"17",43,"Orleans Darkwa",22,"",7,0,210,"6-0","Tulane","2/28/1992","Rook",0,""
"18",46,"James Davidson",24,"",2,0,242,"6-3","Texas-El Paso","11/1/1990","Rook",0,""
"19",35,"Quintin Demps",29,"FS",16,9,203,"6-0","Texas-El Paso","6/29/1985","6",4,"Philadelphia Eagles / 4th / 117th pick / 2008"
"20",51,"Zak DeOssie",30,"",16,0,245,"6-4","Brown","5/24/1984","7",1,"New York Giants / 4th / 116th pick / 2007"
"21",84,"Larry Donnell",26,"TE",16,12,269,"6-5","Grambling St.","11/1/1988","2",5,""
"22",85,"Daniel Fells",31,"TE",16,9,252,"6-4","California-Davis","9/23/1983","6",2,""
"23",48,"Chandler Fenner",24,"",11,0,189,"6-1","Holy Cross","7/6/1990","2",1,""
"24",97,"Dan Fox",23,"",2,0,233,"6-3","Notre Dame","3/17/1991","Rook",0,""
"25",95,"Johnathan Hankins",22,"RDT",16,16,320,"6-3","Ohio St.","3/30/1992","1",7,"New York Giants / 2nd / 49th pick / 2013"
"26",18,"Marcus Harris",25,"db",5,1,185,"6-1","","3/1/1989","3",1,""
"27",37,"Mike Harris",25,"",5,1,188,"5-10","Florida St.","1/5/1989","2",1,"Jacksonville Jaguars / 6th / 176th pick / 2012"
"28",71,"Paul Hazel",24,"",4,0,227,"6-5","West. Michigan","5/9/1990","1",0,""
"29",58,"Mark Herzlich",27,"LB",15,8,250,"6-4","Boston Col.","9/1/1987","3",4,""
"30",33,"Peyton Hillis",28,"",9,0,240,"6-1","Arkansas","1/21/1986","6",1,"Denver Broncos / 7th / 227th pick / 2008"
"31",28,"Jayron Hosley",24,"cb",6,2,178,"5-10","Virginia Tech","9/18/1990","2",1,"New York Giants / 3rd / 94th pick / 2012"
"32",45,"Henry Hynoski",26,"fb",16,4,260,"6-2","Pittsburgh","12/30/1988","3",0,""
"33",99,"Cullen Jenkins",33,"ldt",12,11,292,"6-3","Central Michigan","1/20/1981","10",5,""
"34",23,"Rashad Jennings",29,"RB",11,9,234,"6-1","Liberty","3/26/1985","5",6,"Jacksonville Jaguars / 7th / 250th pick / 2009"
"35",12,"Jerrel Jernigan",25,"wr",2,1,181,"5-9","Troy","6/14/1989","3",0,"New York Giants / 3rd / 83rd pick / 2011"
