"","No.","Player.","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr.","Cap.Hit"
"1",57,"Danny Aiken",27,"",3,0,250,"6-4","Virginia","8/28/1988","4",0,"",""
"2",20,"Prince Amukamara",26,"RCB",11,10,201,"6-0","Nebraska","6/6/1989","4",4,"New York Giants / 1st / 19th pick / 2011","$6,898,000"
"3",91,"Robert Ayers",30,"DE",12,11,273,"6-3","Tennessee","9/6/1985","6",5,"Denver Broncos / 1st / 18th pick / 2009","$2,437,500"
"4",71,"Brad Bars",23,"",2,0,251,"6-3","Penn St.","4/24/1992","Rook",0,"",""
"5",52,"Jon Beason",30,"mlb",5,4,237,"6-0","Miami (FL)","1/14/1985","8",1,"Carolina Panthers / 1st / 25th pick / 2007","$4,154,166"
"6",13,"Odell Beckham*",23,"WR",15,15,198,"5-11","LSU","11/5/1992","1",13,"New York Giants / 1st / 12th pick / 2014","$2,365,045"
"7",53,"Jasper Brinkley",30,"mlb",15,9,275,"6-2","South Carolina","7/12/1985","6",4,"Minnesota Vikings / 5th / 150th pick / 2009",""
"8",96,"Jay Bromley",23,"rdt",16,4,306,"6-3","Syracuse","5/28/1992","1",2,"New York Giants / 3rd / 74th pick / 2014","$705,969"
"9",3,"Josh Brown*",36,"",16,0,202,"6-0","Nebraska","4/29/1979","12",5,"Seattle Seahawks / 7th / 222nd pick / 2003","$1,350,000"
"10",54,"Jonathan Casillas",28,"lb",15,7,225,"6-0","Wisconsin","6/3/1987","6",4,"","$1,666,666"
"11",98,"Barry Cofield",31,"",3,0,305,"6-3","Northwestern","3/19/1984","9",0,"New York Giants / 4th / 124th pick / 2006",""
"12",21,"Landon Collins",21,"FS",16,16,222,"6-0","Alabama","1/10/1994","Rook",5,"New York Giants / 2nd / 33rd pick / 2015","$1,112,828"
"13",86,"Jerome Cunningham",24,"te",9,3,250,"6-3","Southern Connecticut","5/25/1991","1",1,"","$435,000"
"14",43,"Craig Dahl",30,"ss",15,4,207,"6-1","North Dakota St.","6/17/1985","8",2,"",""
"15",26,"Orleans Darkwa",23,"",16,0,210,"6-0","Tulane","2/28/1992","1",1,"","$510,000"
"16",18,"Geremy Davis",23,"",10,0,219,"6-2","Connecticut","1/10/1992","Rook",0,"New York Giants / 6th / 186th pick / 2015","$466,770"
"17",51,"Zak DeOssie",31,"",12,0,245,"6-4","Brown","5/24/1984","8",1,"New York Giants / 4th / 116th pick / 2007","$1,200,000"
"18",84,"Larry Donnell",27,"TE",8,8,269,"6-5","Grambling St.","11/1/1988","3",2,"","$585,000"
"19",83,"Ben Edwards",23,"",2,0,195,"5-11","Richmond","4/11/1992","Rook",0,"",""
"20",85,"Daniel Fells",32,"te",2,1,252,"6-4","California-Davis","9/23/1983","7",1,"","$665,000"
"21",76,"Ereck Flowers",21,"LT",15,15,324,"6-5","Miami (FL)","4/25/1994","Rook",9,"New York Giants / 1st / 9th pick / 2015","$2,616,676"
"22",60,"Adam Gettis",27,"",1,0,293,"6-2","Iowa","12/9/1988","3",0,"Washington Redskins / 5th / 141st pick / 2012",""
"23",95,"Johnathan Hankins",23,"RDT",9,9,320,"6-3","Ohio St.","3/30/1992","2",3,"New York Giants / 2nd / 49th pick / 2013","$1,099,278"
"24",17,"Dwayne Harris",28,"wr",15,6,200,"5-10","East Carolina","9/16/1987","4",6,"Dallas Cowboys / 6th / 176th pick / 2011","$1,800,000"
"25",68,"Bobby Hart",21,"rt",9,1,336,"6-5","Florida St.","8/21/1994","Rook",1,"New York Giants / 7th / 226th pick / 2015","$452,897"
"26",94,"Mark Herzlich",28,"lb",16,4,250,"6-4","Boston Col.","9/1/1987","4",2,"","$1,200,000"
