"","No.","Player","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr."
"1",20,"Richie Anderson",27,"fb",8,1,230,"6-2","Penn St.","9/13/1971","5",0,"New York Jets / 6th / 144th pick / 1993"
"2",84,"Fred Baxter",27,"te",14,2,268,"6-3","Auburn","6/14/1971","5",1,"New York Jets / 5th / 115th pick / 1993"
"3",97,"Dorian Boose",24,"",12,0,292,"6-5","Washington St.","1/29/1974","Rook",1,"New York Jets / 2nd / 56th pick / 1998"
"4",88,"Kyle Brady",26,"TE",16,15,278,"6-6","Penn St.","1/14/1972","3",3,"New York Jets / 1st / 9th pick / 1995"
"5",44,"Corwin Brown",28,"db",16,1,200,"6-1","Michigan","4/25/1970","5",2,"New England Patriots / 4th / 110th pick / 1993"
"6",62,"Todd Burger",28,"LG",16,16,303,"6-3","Penn St.","3/20/1970","4",9,""
"7",41,"Keith Byars",35,"FB",13,8,245,"6-1","Ohio St.","10/14/1963","12",3,"Philadelphia Eagles / 1st / 10th pick / 1986"
"8",53,"Chad Cascadden",26,"lb",13,4,235,"6-1","Wisconsin","5/14/1972","3",4,""
"9",80,"Wayne Chrebet",25,"WR",16,15,188,"5-10","Hofstra","8/14/1973","3",12,""
"10",42,"Marcus Coleman",24,"",14,0,210,"6-2","Texas Tech","5/24/1974","2",1,"New York Jets / 5th / 133rd pick / 1996"
"11",51,"Bryan Cox",30,"RLB",16,10,250,"6-4","West. Illinois","2/17/1968","7",6,"Miami Dolphins / 5th / 113th pick / 1991"
"12",76,"Jumbo Elliott",33,"LT",16,16,308,"6-7","Michigan","4/1/1965","10",9,"New York Giants / 2nd / 36th pick / 1988"
"13",69,"Jason Fabini",24,"RT",16,16,304,"6-7","Cincinnati","8/25/1974","Rook",9,"New York Jets / 4th / 111th pick / 1998"
"14",58,"James Farrior",23,"lb",12,2,242,"6-2","Virginia","1/6/1975","1",2,"New York Jets / 1st / 8th pick / 1997"
