"","No.","Player.","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr."
"1",29,"Donnie Abraham",31,"LCB",16,16,190,"5-10","East Tennessee St.","10/8/1973","8",10,"Tampa Bay Buccaneers / 3rd / 71st pick / 1996"
"2",94,"John Abraham*",26,"de",12,12,256,"6-4","South Carolina","5/6/1978","4",11,"New York Jets / 1st / 13th pick / 2000"
"3",35,"B.J. Askew",24,"",16,0,233,"6-3","Michigan","8/19/1980","1",0,"New York Jets / 3rd / 85th pick / 2003"
"4",86,"Chris Baker",25,"",16,0,258,"6-3","Michigan St.","11/18/1979","2",2,"New York Jets / 3rd / 88th pick / 2002"
"5",36,"David Barrett",27,"RCB",16,16,208,"5-10","Arkansas","12/22/1977","4",8,"Arizona Cardinals / 4th / 102nd pick / 2000"
"6",50,"Eric Barton",27,"LB",16,15,245,"6-2","Maryland","9/29/1977","5",10,"Oakland Raiders / 5th / 146th pick / 1999"
"7",88,"Anthony Becht",27,"TE",16,16,272,"6-5","West Virginia","8/8/1977","4",1,"New York Jets / 1st / 27th pick / 2000"
"8",5,"Brooks Bollinger",25,"",1,0,205,"6-1","Wisconsin","11/15/1979","Rook",0,"New York Jets / 6th / 200th pick / 2003"
"9",6,"Doug Brien",34,"",16,0,180,"6-0","California","11/24/1970","10",3,"San Francisco 49ers / 3rd / 85th pick / 1994"
"10",55,"Mark Brown",24,"lb",12,6,238,"6-0","Auburn","5/19/1980","1",3,""
"11",39,"Roderick Bryant",23,"",13,0,185,"6-1","Idaho","2/17/1981","Rook",1,""
"12",27,"Terrell Buckley",33,"",16,0,180,"5-10","Florida St.","6/7/1971","12",2,"Green Bay Packers / 1st / 5th pick / 1992"
"13",84,"Jonathan Carter",25,"wr",13,1,180,"6-0","Troy","3/20/1979","3",2,"New York Giants / 5th / 162nd pick / 2001"
"14",17,"Quincy Carter",27,"qb",7,3,213,"6-2","Georgia","10/13/1977","3",2,"Dallas Cowboys / 2nd / 53rd pick / 2001"
"15",45,"Oliver Celestin",23,"",8,0,207,"6-0","Texas Southern","2/25/1981","Rook",1,""
"16",80,"Wayne Chrebet",31,"fl",16,1,188,"5-10","Hofstra","8/14/1973","9",4,""
"17",26,"Erik Coleman",22,"FS",16,16,200,"5-10","Washington St.","5/6/1982","Rook",9,"New York Jets / 5th / 143rd pick / 2004"
"18",89,"Jerricho Cotchery",22,"",12,0,200,"6-1","North Carolina St.","6/16/1982","Rook",2,"New York Jets / 4th / 108th pick / 2004"
"19",56,"Sam Cowart",29,"mlb",9,2,245,"6-2","Florida St.","2/26/1975","6",2,"Buffalo Bills / 2nd / 39th pick / 1998"
"20",85,"James Dearth",28,"",16,0,270,"6-4","Tulsa,Tarleton St.","1/22/1976","5",0,"Cleveland Browns / 6th / 191st pick / 1999"
"21",92,"Shaun Ellis",27,"DE",15,15,285,"6-5","Tennessee","6/24/1977","4",10,"New York Jets / 1st / 12th pick / 2000"
"22",91,"Josh Evans",32,"",1,0,280,"6-3","Ala-Birmingham","9/6/1972","9",0,""
"23",69,"Jason Fabini",30,"LT",16,16,304,"6-7","Cincinnati","8/25/1974","6",8,"New York Jets / 4th / 111th pick / 1998"
"24",72,"Jason Ferguson",30,"NT",16,14,305,"6-3","Georgia","11/28/1974","7",8,"New York Jets / 7th / 229th pick / 1997"
"25",58,"Jason Glenn",25,"",10,0,231,"6-0","Texas A&M","8/20/1979","3",2,"Detroit Lions / 6th / 173rd pick / 2001"
"26",78,"Jonathan Goodwin",26,"rg",15,3,318,"6-3","Ohio,Michigan","12/2/1978","2",2,"New York Jets / 5th / 154th pick / 2002"
"27",4,"Toby Gowin",29,"",16,0,167,"5-10","North Texas","3/30/1975","7",1,""
"28",98,"Alan Harper",25,"",11,0,285,"6-1","Fresno St.","9/6/1979","Rook",1,"New York Jets / 4th / 121st pick / 2002"
"29",54,"Victor Hobson",24,"LB",12,10,252,"6-0","Michigan","2/3/1980","1",6,"New York Jets / 2nd / 53rd pick / 2003"
"30",97,"Trevor Johnson",23,"",16,0,255,"6-4","Nebraska","2/26/1981","Rook",0,"New York Jets / 7th / 234th pick / 2004"
"31",79,"Adrian Jones",23,"",12,0,296,"6-4","Kansas","6/10/1981","Rook",1,"New York Jets / 4th / 132nd pick / 2004"
"32",34,"LaMont Jordan",26,"",16,0,230,"5-10","Maryland","11/11/1978","3",4,"New York Jets / 2nd / 49th pick / 2001"
"33",66,"Pete Kendall",31,"LG",15,15,279,"6-5","Boston Col.","7/9/1973","8",7,"Seattle Seahawks / 1st / 21st pick / 1996"
"34",28,"Curtis Martin*+",31,"RB",16,16,210,"5-11","Pittsburgh","5/1/1973","9",14,"New England Patriots / 3rd / 74th pick / 1995"
"35",68,"Kevin Mawae*",33,"C",16,16,289,"6-4","LSU","1/23/1971","10",12,"Seattle Seahawks / 2nd / 36th pick / 1994"
"36",81,"Justin McCareins",26,"SE",16,16,215,"6-2","Northern Illinois","12/1/1978","3",8,"Tennessee Titans / 4th / 124th pick / 2001"
"37",57,"Darrell McClover",23,"",16,0,219,"6-2","Miami (FL)","8/25/1981","Rook",1,"New York Jets / 7th / 213th pick / 2004"
"38",38,"Jon McGraw",25,"cb",12,1,206,"6-3","Kansas St.","4/2/1979","2",2,"New York Jets / 2nd / 57th pick / 2002"
"39",67,"Kareem McKenzie",25,"RT",16,16,327,"6-6","Penn St.","5/24/1979","3",8,"New York Jets / 3rd / 79th pick / 2001"
"40",65,"Brandon Moore",24,"RG",13,13,295,"6-3","Illinois","6/3/1980","1",6,""
"41",83,"Santana Moss",25,"wr",15,14,185,"5-10","Miami (FL)","6/1/1979","3",8,"New York Jets / 1st / 16th pick / 2001"
"42",20,"Derek Pagel",25,"",5,0,206,"6-1","Iowa","10/24/1979","1",0,"New York Jets / 5th / 140th pick / 2003"
"43",10,"Chad Pennington",28,"QB",13,13,225,"6-3","Marshall","6/26/1976","4",10,"New York Jets / 1st / 18th pick / 2000"
"44",93,"James Reed",27,"",16,0,286,"6-0","Iowa St.","2/3/1977","3",2,"New York Jets / 7th / 206th pick / 2001"
"45",63,"Dewayne Robertson",23,"DT",16,16,317,"6-1","Kentucky","10/16/1981","1",9,"New York Jets / 1st / 4th pick / 2003"
"46",74,"Brent Smith",31,"lg",4,1,305,"6-5","Mississippi St.","11/21/1973","6",1,"Miami Dolphins / 3rd / 96th pick / 1997"
"47",33,"Jerald Sowell",30,"FB",16,16,237,"6-0","Tulane","1/21/1974","7",4,"Green Bay Packers / 7th / 231st pick / 1997"
"48",96,"Daleroy Stewart",26,"",1,0,327,"6-4","Southern Miss","11/1/1978","1",0,"Dallas Cowboys / 6th / 171st pick / 2001"
"49",21,"Derrick Strait",24,"cb",5,1,189,"5-11","Oklahoma","8/27/1980","Rook",1,"New York Jets / 3rd / 76th pick / 2004"
"50",99,"Bryan Thomas",25,"de",14,6,266,"6-4","Ala-Birmingham","6/7/1979","2",5,"New York Jets / 1st / 22nd pick / 2002"
"51",25,"Reggie Tongue",31,"SS",16,16,204,"6-0","Oregon St.","4/11/1973","8",8,"Kansas City Chiefs / 2nd / 58th pick / 1996"
"52",51,"Jonathan Vilma",22,"MLB",16,14,230,"6-1","Miami (FL)","4/16/1982","Rook",10,"New York Jets / 1st / 12th pick / 2004"
"53",42,"Rashad Washington",24,"",6,0,217,"6-3","Kansas St.","3/15/1980","Rook",0,"New York Jets / 7th / 236th pick / 2004"
"54",52,"Kenyatta Wright",26,"",16,0,240,"6-0","Oklahoma St.","2/19/1978","4",2,""
"55",64,"Dave Yovanovits",23,"",4,0,294,"6-3","Temple","3/6/1981","Rook",0,"New York Jets / 7th / 237th pick / 2003"
"56",NA,"Team Total",26.6,"",16,NA,242.3,"6-1.6","","","3.5",NA,""
