"","No.","Player.","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr.","Cap.Hit"
"1",39,"Antonio Allen",28,"SS",12,0,210,"6-1","South Carolina","9/23/1988","4",NA,"New York Jets / 7th / 242nd pick / 2012","$675,000"
"2",83,"Robby Anderson",23,"WR",14,8,190,"6-3","","5/9/1993","Rook",NA,"","$450,000"
"3",56,"Freddie Bishop",26,"DE",2,1,265,"6-3","","2/25/1990","Rook",NA,"","$105,880"
"4",82,"Brandon Bostick",27,"TE",14,5,245,"6-3","Newberry","5/3/1989","4",NA,"","$600,000"
"5",84,"Braedon Bowman",22,"TE",3,0,245,"6-4","","1/30/1994","Rook",NA,"","$450,000"
"6",94,"Brandin Bryant",23,"DL",NA,NA,289,"6-2","","9/16/1993","Rook",NA,"",""
"7",38,"Juston Burris",23,"CB",14,1,212,"6-0","North Carolina St.","8/4/1993","Rook",NA,"New York Jets / 4th / 118th pick / 2016","$450,000"
"8",77,"James Carpenter",27,"OL",14,14,313,"6-4","Alabama","3/22/1989","5",NA,"Seattle Seahawks / 1st / 25th pick / 2011","$760,000"
"9",54,"Bruce Carter",28,"LB",10,1,235,"6-3","North Carolina","2/19/1988","5",NA,"Dallas Cowboys / 2nd / 40th pick / 2011","$760,000"
"10",53,"Mike Catapano",26,"DE",11,3,270,"6-4","Princeton","8/17/1990","3",NA,"Kansas City Chiefs / 7th / 207th pick / 2013","$600,000"
"11",78,"Ryan Clady",30,"T",9,8,316,"6-6","Boise St.","9/6/1986","8",NA,"Denver Broncos / 1st / 12th pick / 2008","$3,500,000"
"12",47,"Kellen Davis",31,"TE",8,7,259,"6-6","Michigan St.","10/11/1985","8",NA,"Chicago Bears / 5th / 158th pick / 2008","$885,000"
"13",87,"Eric Decker",29,"WR",3,3,206,"6-3","Minnesota","3/15/1987","6",NA,"Denver Broncos / 3rd / 87th pick / 2010","$6,500,000"
"14",70,"Dakota Dozier",25,"OT",11,0,313,"6-4","Furman","4/30/1991","2",NA,"New York Jets / 4th / 137th pick / 2014","$600,000"
"15",4,"Lac Edwards",24,"P",14,0,209,"6-4","Sam Houston St.","4/27/1992","Rook",NA,"New York Jets / 7th / 235th pick / 2016","$450,000"
"16",81,"Quincy Enunwa",24,"WR",14,11,225,"6-2","Nebraska","5/31/1992","2",NA,"New York Jets / 6th / 209th pick / 2014","$525,000"
"17",14,"Ryan Fitzpatrick",34,"QB",12,10,221,"6-2","Harvard","11/24/1982","11",NA,"St. Louis Rams / 7th / 250th pick / 2005","$2,000,000"
"18",2,"Nick Folk",32,"K",14,0,211,"6-2","Arizona","11/5/1984","9",NA,"Dallas Cowboys / 6th / 178th pick / 2007","$2,750,000"
"19",22,"Matt Forte",31,"RB",14,13,221,"6-1","Tulane","12/10/1985","8",NA,"Chicago Bears / 2nd / 44th pick / 2008","$1,000,000"
"20",68,"Breno Giacomini",31,"G",5,5,304,"6-7","Louisville","9/27/1985","8",NA,"Green Bay Packers / 5th / 150th pick / 2008","$5,000,000"
"21",21,"Marcus Gilchrist",28,"DB",13,13,193,"5-10","Clemson","12/8/1988","5",NA,"San Diego Chargers / 2nd / 50th pick / 2011","$5,000,000"
"22",5,"Christian Hackenberg",21,"QB",NA,NA,223,"6-4","Penn St.","2/14/1995","Rook",NA,"New York Jets / 2nd / 51st pick / 2016","$450,000"
"23",52,"David Harris",32,"LB",13,13,243,"6-2","Michigan","1/21/1984","9",NA,"New York Jets / 2nd / 47th pick / 2007","$7,500,000"
"24",69,"Donald Hawkins",24,"G",NA,NA,310,"6-5","Texas","4/22/1992","2",NA,"",""
"25",58,"Erin Henderson",30,"LB",5,4,242,"6-3","Maryland","7/1/1986","8",NA,"","$885,000"
"26",71,"Ben Ijalana",27,"OL",14,11,319,"6-3","Villanova","8/6/1989","5",NA,"Indianapolis Colts / 2nd / 49th pick / 2011","$760,000"
"27",48,"Jordan Jenkins",22,"OLB",12,9,257,"6-3","Georgia","7/1/1994","Rook",NA,"New York Jets / 3rd / 83rd pick / 2016","$450,000"
"28",75,"Anthony Johnson",23,"DT",5,0,308,"6-3","LSU","1/24/1993","2",NA,"","$525,000"
"29",49,"Randell Johnson",25,"OLB",NA,NA,242,"6-3","Florida Atlantic","3/23/1991","2",NA,"Buffalo Bills / 7th / 221st pick / 2014",""
"30",76,"Wesley Johnson",25,"OT",13,6,297,"6-5","Vanderbilt","1/9/1991","2",NA,"Pittsburgh Steelers / 5th / 173rd pick / 2014","$600,000"
"31",50,"Darron Lee",22,"OLB",11,7,232,"6-1","Ohio St.","10/18/1994","Rook",NA,"New York Jets / 1st / 20th pick / 2016","$450,000"
"32",74,"Nick Mangold",32,"C",8,8,295,"6-3","Ohio St.","1/13/1984","10",NA,"New York Jets / 1st / 29th pick / 2006","$5,600,000"
"33",15,"Brandon Marshall",32,"WR",14,14,229,"6-4","Central Florida","3/23/1984","10",NA,"Denver Broncos / 4th / 119th pick / 2006","$9,500,000"
"34",89,"Jalin Marshall",21,"WR",9,1,200,"5-10","Ohio St.","7/21/1995","Rook",NA,"","$450,000"
"35",30,"Nick Marshall",24,"CB",7,0,205,"6-2","Auburn","6/30/1992","1",NA,"","$525,000"
"36",95,"Josh Martin",25,"LB",13,0,245,"6-3","Columbia","11/7/1991","3",NA,"","$675,000"
"37",42,"Ronald Martin",NA,"S",1,0,220,"6-2","","0/0/0","1",NA,"","$92,646"
"38",55,"Lorenzo Mauldin",24,"OLB",11,3,256,"6-4","Louisville","10/1/1992","1",NA,"New York Jets / 3rd / 82nd pick / 2015","$543,000"
"39",23,"Dexter McDougle",25,"CB",4,0,196,"5-10","Maryland","4/8/1991","2",NA,"New York Jets / 3rd / 80th pick / 2014","$525,000"
"40",99,"Steve McLendon",30,"DT",11,10,280,"6-4","Troy","1/3/1986","6",NA,"","$1,750,000"
"41",36,"Doug Middleton",23,"S",2,0,210,"6-0","","9/25/1993","Rook",NA,"","$105,880"
"42",45,"Rontez Miles",28,"FS",14,2,203,"6-0","California (PA)","11/25/1988","3",NA,"","$525,000"
"43",33,"Romar Morris",24,"RB",NA,NA,190,"5-10","","10/21/1992","Rook",NA,"","$450,000"
"44",65,"Julien Obioha",22,"DE",NA,NA,280,"6-4","","7/7/1994","Rook",NA,"","$450,000"
"45",17,"Charone Peake",24,"WR",13,1,208,"6-2","Clemson","10/16/1992","Rook",NA,"New York Jets / 7th / 241st pick / 2016","$450,000"
"46",9,"Bryce Petty",25,"QB",5,3,230,"6-3","Baylor","5/31/1991","Rook",NA,"New York Jets / 4th / 103rd pick / 2015","$525,000"
"47",29,"Bilal Powell",28,"RB",14,2,204,"5-11","Louisville","10/27/1988","5",NA,"New York Jets / 4th / 126th pick / 2011","$850,000"
"48",25,"Calvin Pryor",24,"FS",13,13,207,"5-11","Louisville","7/2/1992","2",NA,"New York Jets / 1st / 18th pick / 2014","$1,198,478"
"49",46,"Tanner Purdum",32,"C",14,0,217,"6-3","Baker","8/15/1984","6",NA,"","$800,000"
"50",79,"Brent Qvale",25,"T",10,4,315,"6-7","Nebraska","3/11/1991","2",NA,"","$525,000"
"51",24,"Darrelle Revis",31,"DB",13,13,205,"6-0","Pittsburgh","7/14/1985","9",NA,"New York Jets / 1st / 14th pick / 2007","$17,000,000"
"52",91,"Sheldon Richardson",26,"DT",13,12,294,"6-3","Missouri","11/29/1990","3",NA,"New York Jets / 1st / 13th pick / 2013","$1,671,530"
"53",27,"Darryl Roberts",26,"CB",10,2,182,"6-0","Marshall","11/26/1990","Rook",NA,"New England Patriots / 7th / 247th pick / 2015","$450,000"
"54",31,"Khiry Robinson",27,"RB",NA,NA,220,"6-0","West Texas A&M","12/28/1989","3",NA,"","$158,823"
