"","No.","Player","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr."
"1",56,"Robert Abraham",27,"",2,0,228,"6-1","North Carolina St.","7/13/1960","5",0,"Houston Oilers / 3rd / 77th pick / 1982"
"2",20,"Earl Allen",26,"",1,0,193,"5-11","Michigan,Houston","10/24/1961","Rook",0,""
"3",29,"Patrick Allen",26,"RCB",11,11,180,"5-10","Utah St.","8/26/1961","3",5,"Houston Oilers / 4th / 100th pick / 1984"
"4",75,"Jesse Baker",30,"de",9,2,269,"6-5","Jacksonville St.","7/10/1957","8",2,"Houston Oilers / 2nd / 50th pick / 1979"
"5",21,"Craig Birdsong",23,"",3,0,217,"6-2","North Texas","8/16/1964","Rook",0,""
"6",25,"Keith Bostic*",26,"SS",12,12,216,"6-1","Michigan","1/17/1961","4",11,"Houston Oilers / 2nd / 42nd pick / 1983"
"7",77,"Scott Boucher",29,"",2,0,260,"6-3","La-Monroe","9/15/1958","Rook",0,""
"8",92,"Tom Briehl",25,"lb",3,3,247,"6-3","Stanford","9/8/1962","2",1,"Houston Oilers / 4th / 87th pick / 1985"
"9",27,"Sonny Brown",24,"",2,0,200,"6-2","Oklahoma","11/12/1963","Rook",0,""
"10",24,"Steve Brown",27,"LCB",10,10,189,"5-11","Oregon","3/20/1960","4",4,"Houston Oilers / 3rd / 83rd pick / 1983"
"11",23,"Domingo Bryant",24,"db",13,3,178,"6-4","Texas A&M","12/8/1963","Rook",3,"Pittsburgh Steelers / 6th / 148th pick / 1986"
"12",71,"Richard Byrd",25,"RDE",12,11,264,"6-3","Southern Miss","3/20/1962","2",5,"Houston Oilers / 2nd / 36th pick / 1985"
"13",90,"Toby Caston",22,"",6,0,235,"6-1","LSU","7/17/1965","Rook",0,"Houston Oilers / 6th / 159th pick / 1987"
"14",79,"Ray Childress",25,"LDE",13,13,272,"6-6","Texas A&M","10/20/1962","2",7,"Houston Oilers / 1st / 3rd pick / 1985"
"15",24,"Charles Clinton",25,"",2,0,170,"5-8","San Jose St.","1/29/1962","Rook",0,""
"16",35,"Eric Cobble",23,"",3,0,205,"5-10","Texas St.","4/11/1964","Rook",0,""
"17",98,"Rayford Cooks",25,"de",10,1,245,"6-3","North Texas","8/25/1962","Rook",1,""
"18",85,"Chris Darrington",23,"",3,0,180,"5-10","Weber St.","7/13/1964","Rook",0,""
"19",88,"Mitch Daum",24,"",2,0,250,"6-5","Wyoming","11/13/1963","Rook",0,""
"20",77,"Bruce Davis",31,"LT",7,7,287,"6-6","UCLA","6/21/1956","8",4,"Oakland Raiders / 11th / 294th pick / 1979"
"21",73,"John Davis",22,"",6,0,310,"6-4","Georgia Tech","8/22/1965","Rook",1,"Houston Oilers / 11th / 287th pick / 1987"
"22",9,"John Diettrich",24,"",2,0,190,"6-2","Ball St.","5/9/1963","Rook",2,""
"23",64,"Joe Dixon",23,"",2,0,275,"6-3","Tulsa","1/8/1964","Rook",0,""
"24",31,"Jeff Donaldson",25,"FS",12,12,192,"6-0","Colorado","4/19/1962","3",6,"Houston Oilers / 9th / 226th pick / 1984"
"25",82,"Willie Drewrey",24,"",12,0,184,"5-7","West Virginia","4/28/1963","2",1,"Houston Oilers / 11th / 281st pick / 1985"
"26",80,"Curtis Duncan",22,"KR",10,0,184,"5-11","Northwestern","1/26/1965","Rook",2,"Houston Oilers / 10th / 258th pick / 1987"
"27",21,"Bo Eason",26,"",3,0,200,"6-2","California-Davis","3/10/1961","3",0,"Houston Oilers / 2nd / 54th pick / 1984"
"28",87,"Scott Eccles",24,"",1,0,240,"6-5","East. New Mexico","6/28/1963","Rook",0,"Los Angeles Raiders / 9th / 238th pick / 1987"
"29",51,"Eric Fairs",23,"",12,0,240,"6-3","Memphis","2/17/1964","1",1,""
"30",59,"Scott Fox",24,"",2,0,222,"6-2","Austin Peay St.","12/28/1963","Rook",0,""
"31",62,"Jerrell Franklin",28,"g",3,3,287,"6-3","Kansas St.,Southern","5/4/1959","Rook",2,""
"32",95,"William Fuller",25,"de",12,1,271,"6-3","North Carolina","3/8/1962","1",2,"Los Angeles Rams / 1st / 21st pick / 1984 Supp"
"33",88,"Mark Gehring",23,"te",6,3,235,"6-4","East. Washington","4/16/1964","Rook",1,""
"34",81,"Ernest Givins",23,"WR",12,12,178,"5-9","NE Oklahoma A&M,Louisville","9/3/1964","1",9,"Houston Oilers / 2nd / 34th pick / 1986"
"35",68,"Mike Golic",25,"",2,0,274,"6-5","Notre Dame","12/12/1962","1",0,"Houston Oilers / 10th / 255th pick / 1985"
"36",8,"Jeff Gossett",30,"",4,0,200,"6-2","East. Illinois","1/25/1957","6",1,""
"37",59,"John Grimsley",25,"LILB",12,12,235,"6-2","Kentucky","2/25/1962","3",6,"Houston Oilers / 6th / 141st pick / 1984"
"38",80,"Leonard Harris",27,"wr",3,3,162,"5-8","Austin,Texas Tech","11/27/1960","1",2,""
"39",32,"Alonzo Highsmith",22,"rb",8,3,234,"6-1","Miami (FL)","2/26/1965","Rook",1,"Houston Oilers / 1st / 3rd pick / 1987"
"40",85,"Drew Hill",31,"WR",12,12,170,"5-9","Georgia Tech","10/5/1956","8",9,"Los Angeles Rams / 12th / 328th pick / 1979"
"41",72,"Kent Hill",30,"rg",12,6,260,"6-5","Georgia Tech","3/7/1957","8",4,"Los Angeles Rams / 1st / 26th pick / 1979"
"42",30,"Herman Hunter",26,"",3,0,197,"6-1","Tennessee St.","2/14/1961","2",1,"Philadelphia Eagles / 11th / 289th pick / 1985"
"43",39,"Andrew Jackson",23,"rb",7,3,190,"5-10","USC,Iowa St.","5/6/1964","Rook",2,""
"44",89,"Arrike James",23,"",3,0,238,"6-4","Delta St.","12/31/1964","Rook",0,""
"45",53,"Thad Jefferson",23,"lb",3,3,225,"5-11","Hawaii","3/11/1964","Rook",1,""
"46",84,"Haywood Jeffires",23,"wr",9,1,201,"6-2","North Carolina St.","12/12/1964","Rook",1,"Houston Oilers / 1st / 20th pick / 1987"
"47",57,"Byron Johnson",25,"db",3,3,220,"6-1","Baylor","10/21/1962","Rook",1,""
"48",22,"Kenny Johnson",29,"PR",12,3,176,"5-10","Mississippi St.","1/7/1958","7",0,"Atlanta Falcons / 5th / 137th pick / 1980"
"49",11,"Lee Johnson",26,"P",9,0,200,"6-2","BYU","11/27/1961","2",1,"Houston Oilers / 5th / 138th pick / 1985"
"50",23,"Richard Johnson",24,"db",5,1,195,"6-1","Wisconsin","9/16/1963","2",1,"Houston Oilers / 1st / 11th pick / 1985"
"51",57,"Walter Johnson",24,"",10,0,241,"6-0","Louisiana Tech","11/13/1963","Rook",1,"Houston Oilers / 2nd / 46th pick / 1987"
"52",25,"Larry Joyner",23,"",1,0,207,"6-0","Minnesota","1/22/1964","Rook",0,""
"53",1,"Kurt Kafentzis",25,"",2,0,190,"6-2","Hawaii","12/31/1962","Rook",0,""
"54",60,"Doug Kellermeyer",26,"",3,0,275,"6-3","BYU","6/1/1961","Rook",0,""
"55",58,"Mike Kelley",25,"",1,0,273,"6-5","Notre Dame","2/27/1962","2",0,"Houston Oilers / 3rd / 82nd pick / 1985"
"56",50,"Billy Kidd",28,"c",7,3,270,"6-4","Houston","11/28/1959","Rook",2,""
"57",94,"Eric Larkin",25,"de",1,1,265,"6-4","Miami (FL)","5/14/1962","Rook",0,""
"58",28,"Allen Lyday",27,"",7,0,190,"5-10","Texas Southern,Nebraska","9/16/1960","3",0,""
"59",93,"Robert Lyles",26,"LOLB",12,12,226,"6-1","TCU","3/21/1961","3",8,"Houston Oilers / 5th / 114th pick / 1984"
"60",94,"Charles Martin",28,"nt",12,3,280,"6-4","West Alabama","8/31/1959","3",3,""
"61",74,"Bruce Matthews",26,"RG",8,6,305,"6-5","USC","8/8/1961","4",3,"Houston Oilers / 1st / 9th pick / 1983"
"62",81,"Keith McDonald",24,"",3,0,170,"5-9","San Jose St.","11/7/1963","Rook",1,""
"63",26,"Audray McMillian",25,"db",12,2,190,"5-11","Houston","8/13/1962","2",1,"New England Patriots / 3rd / 84th pick / 1985"
"64",91,"Johnny Meads",26,"ROLB",12,12,231,"6-2","Nicholls St.","6/25/1961","3",6,"Houston Oilers / 3rd / 58th pick / 1984"
"65",66,"Clay Miller",24,"t",3,2,275,"6-4","Michigan","8/27/1963","Rook",1,"Tampa Bay Buccaneers / 12th / 306th pick / 1986"
"66",1,"Warren Moon",31,"QB",12,12,218,"6-3","Washington","11/18/1956","3",10,""
"67",32,"Ricky Moore",24,"rb",3,3,234,"5-11","Alabama","4/7/1963","1",0,"San Francisco 49ers / 3rd / 75th pick / 1985"
"68",63,"Mike Munchak*+",27,"LG",12,12,281,"6-3","Penn St.","3/5/1960","5",12,"Houston Oilers / 1st / 8th pick / 1982"
"69",75,"Kenny Neil",28,"",1,0,244,"6-4","Iowa St.","1/8/1959","6",0,"New York Jets / 7th / 169th pick / 1981"
"70",26,"Tony Newsom",22,"db",5,3,175,"5-8","S.F. Austin","7/20/1965","Rook",2,""
"71",67,"Bob Otto",25,"",3,0,251,"6-6","Idaho St.","12/16/1962","1",0,"Seattle Seahawks / 9th / 248th pick / 1985"
"72",89,"Jeff Parks",23,"",7,0,238,"6-4","Auburn","9/14/1964","1",0,"Houston Oilers / 5th / 114th pick / 1986"
"73",14,"Brent Pease",23,"qb",7,3,201,"6-2","Montana","10/8/1964","Rook",3,"Minnesota Vikings / 11th / 295th pick / 1987"
"74",52,"Jay Pennison",26,"C",12,12,276,"6-1","Nicholls St.","9/9/1961","1",6,""
"75",69,"Brett Petersmark",23,"",3,0,280,"6-3","East. Michigan","3/5/1964","Rook",0,""
"76",77,"Barry Pettyjohn",23,"",2,0,285,"6-5","Pittsburgh","3/29/1964","Rook",0,""
"77",20,"Allen Pinkett",23,"",8,0,190,"5-9","Notre Dame","1/25/1964","1",1,"Houston Oilers / 3rd / 61st pick / 1986"
"78",30,"Mike Rozier*",26,"RB",11,11,209,"5-10","Nebraska","3/1/1961","2",9,"Houston Oilers / 1st / 2nd pick / 1984 Supp"
"79",51,"Eugene Seale",23,"lb",9,4,250,"5-10","Lamar","6/3/1964","Rook",3,""
"80",27,"Donovan Small",23,"",1,0,190,"5-11","Minnesota","7/10/1964","Rook",0,""
"81",54,"Al Smith",23,"RILB",12,11,244,"6-1","Cal Poly-Pomona,Utah St.","11/26/1964","Rook",5,"Houston Oilers / 6th / 147th pick / 1987"
"82",99,"Doug Smith",27,"NT",15,13,294,"6-4","Auburn","6/13/1960","2",6,"Houston Oilers / 2nd / 29th pick / 1984"
