"","No.","Player.","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr."
"1",56,"Colin Allred",27,"",5,0,238,"6-1","Baylor","4/15/1983","3",0,""
"2",54,"Eugene Amano",28,"C",13,13,315,"6-4","SE Missouri St.","3/1/1982","6",7,"Tennessee Titans / 7th / 239th pick / 2004"
"3",58,"Ken Amato",33,"",16,0,245,"6-2","Montana St.","5/18/1977","7",1,""
"4",93,"Jason Babin*",30,"DE",16,16,265,"6-4","West. Michigan","5/24/1980","6",10,"Houston Texans / 1st / 27th pick / 2004"
"5",57,"Patrick Bailey",25,"",16,0,235,"6-4","Duke","11/19/1985","2",1,""
"6",98,"Dave Ball",29,"DE",11,11,275,"6-6","UCLA","1/4/1981","6",5,"San Diego Chargers / 5th / 133rd pick / 2004"
"7",2,"Rob Bironas",32,"",16,0,205,"6-0","Georgia Southern,Auburn","1/29/1978","5",5,""
"8",18,"Kenny Britt",22,"wr",12,7,215,"6-3","Rutgers","9/19/1988","1",8,"Tennessee Titans / 1st / 30th pick / 2009"
"9",97,"Tony Brown",30,"DT",11,11,283,"6-2","Memphis","9/29/1980","6",4,""
"10",5,"Kerry Collins",38,"qb",10,7,248,"6-5","Penn St.","12/30/1972","15",6,"Carolina Panthers / 1st / 5th pick / 1995"
"11",89,"Jared Cook",23,"te",16,1,235,"6-4","South Carolina","4/7/1987","1",4,"Tennessee Titans / 3rd / 89th pick / 2009"
"12",53,"Rennie Curran",22,"",9,0,225,"5-11","Georgia","11/10/1988","Rook",1,"Tennessee Titans / 3rd / 97th pick / 2010"
"13",99,"Marques Douglas",33,"dt",6,2,286,"6-2","Howard","3/15/1977","10",1,""
"14",NA,"Ryan Durand",25,"",1,0,303,"6-5","Syracuse","11/17/1985","1",0,"Tennessee Titans / 7th / 239th pick / 2009"
"15",31,"Cortland Finnegan",26,"CB",16,16,177,"5-9","Samford","2/2/1984","4",6,"Tennessee Titans / 7th / 215th pick / 2006"
"16",78,"Jacob Ford",27,"de",14,5,249,"6-4","Central Arkansas","7/20/1983","2",3,"Tennessee Titans / 6th / 204th pick / 2007"
"17",22,"Vincent Fuller",28,"db",12,3,189,"6-1","Virginia Tech","8/3/1982","5",2,"Tennessee Titans / 4th / 108th pick / 2005"
"18",12,"Justin Gage",29,"wr",11,4,208,"6-4","Missouri","1/24/1981","7",3,"Chicago Bears / 5th / 143rd pick / 2003"
"19",97,"Amon Gordon",29,"",3,0,305,"6-2","Stanford","10/13/1981","6",0,"Cleveland Browns / 5th / 161st pick / 2004"
"20",33,"Michael Griffin*",25,"FS",16,16,202,"6-0","Texas","1/4/1985","3",10,"Tennessee Titans / 1st / 19th pick / 2007"
"21",45,"Ahmard Hall",31,"fb",16,4,235,"5-11","Texas","11/13/1979","4",1,""
"22",NA,"Leroy Harris",26,"LG",15,15,298,"6-2","North Carolina St.","6/6/1984","3",8,"Tennessee Titans / 4th / 115th pick / 2007"
"23",87,"Lavelle Hawkins",24,"",6,0,187,"5-11","California","7/12/1986","2",1,"Tennessee Titans / 4th / 126th pick / 2008"
"24",75,"Jovan Haye",28,"dt",14,1,284,"6-2","Vanderbilt","6/21/1982","5",2,"Carolina Panthers / 6th / 189th pick / 2005"
"25",95,"William Hayes",25,"",14,0,258,"6-2","Winston-Salem St.","5/2/1985","2",2,"Tennessee Titans / 4th / 103rd pick / 2008"
"26",24,"Chris Hope",30,"SS",16,16,206,"5-11","Florida St.","9/29/1980","8",6,"Pittsburgh Steelers / 3rd / 94th pick / 2002"
"27",38,"Pete Ittersagen",25,"",3,0,191,"5-10","Wheaton","9/28/1985","Rook",0,""
