"","No.","Player.","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr.","Cap.Hit"
"1",26,"Antonio Andrews",24,"RB",14,10,225,"5-10","West. Kentucky","10/15/1991","1",4,"","$510,000"
"2",31,"Josh Aubrey",24,"",1,0,200,"5-10","S.F. Austin","4/9/1991","2",0,"","$112,200"
"3",51,"David Bass",25,"lb",16,7,262,"6-4","Missouri Western St.","9/11/1990","2",4,"Oakland Raiders / 7th / 233rd pick / 2013","$585,000"
"4",76,"Byron Bell",26,"RT",16,16,340,"6-5","New Mexico","1/17/1989","4",7,"","$1,475,000"
"5",95,"Angelo Blackson",23,"",16,0,318,"6-4","Auburn","11/14/1992","Rook",1,"Tennessee Titans / 4th / 100th pick / 2015","$577,903"
"6",48,"Beau Brinkley",25,"",16,0,237,"6-4","Missouri","1/25/1990","3",1,"","$828,000"
"7",55,"Zach Brown",26,"lb",16,5,244,"6-1","North Carolina","10/23/1989","3",4,"Tennessee Titans / 2nd / 52nd pick / 2012","$1,227,640"
"8",99,"Jurrell Casey*",26,"DT",16,16,305,"6-1","USC","12/5/1989","4",9,"Tennessee Titans / 3rd / 77th pick / 2011","$6,720,000"
"9",44,"David Cobb",22,"rb",7,1,229,"5-11","Minnesota","6/3/1993","Rook",1,"Tennessee Titans / 5th / 138th pick / 2015","$496,417"
"10",85,"Chase Coffman",29,"",1,0,250,"6-5","Missouri","11/10/1986","6",0,"Cincinnati Bengals / 3rd / 98th pick / 2009","$585,000"
"11",29,"Perrish Cox",28,"CB",13,13,189,"5-11","Oklahoma St.","1/10/1987","5",5,"Denver Broncos / 5th / 137th pick / 2010","$3,333,333"
"12",40,"Yannick Cudjoe-Virgil",NA,"",2,0,250,"6-2","","","Rook",0,"",""
"13",83,"Harry Douglas",31,"WR",14,12,170,"5-11","Louisville","9/16/1984","7",3,"Atlanta Falcons / 3rd / 84th pick / 2008","$2,283,333"
"14",80,"Anthony Fasano",31,"TE",16,11,255,"6-4","Notre Dame","4/20/1984","9",2,"Dallas Cowboys / 2nd / 53rd pick / 2006","$2,031,250"
"15",45,"Jalston Fowler",25,"",16,0,264,"5-11","Alabama","7/26/1990","Rook",0,"Tennessee Titans / 4th / 108th pick / 2015","$569,429"
"16",69,"Andy Gallik",24,"C",11,8,299,"6-2","Boston Col.","9/24/1991","Rook",3,"Tennessee Titans / 6th / 208th pick / 2015","$460,368"
"17",17,"Dorial Green-Beckham",22,"wr",16,5,225,"6-5","Oklahoma,Missouri","4/12/1993","Rook",4,"Tennessee Titans / 2nd / 40th pick / 2015","$1,018,836"
"18",33,"Michael Griffin",30,"FS",15,14,202,"6-0","Texas","1/4/1985","8",5,"Tennessee Titans / 1st / 19th pick / 2007","$8,100,000"
"19",94,"Sammie Lee Hill",29,"nt",10,5,331,"6-4","Stillman","11/8/1986","6",2,"Detroit Lions / 4th / 115th pick / 2009","$4,666,668"
"20",28,"Marqueston Huff",23,"",16,0,196,"5-11","Wyoming","4/6/1992","1",1,"Tennessee Titans / 4th / 122nd pick / 2014","$616,301"
"21",15,"Justin Hunter",24,"wr",9,5,196,"6-4","Tennessee","5/20/1991","2",2,"Tennessee Titans / 2nd / 34th pick / 2013","$1,479,313"
"22",52,"Steven Johnson",27,"",16,0,237,"6-1","Kansas","3/28/1988","3",1,"","$685,000"
"23",90,"DaQuan Jones",24,"DE",16,16,322,"6-4","Penn St.","12/17/1991","1",6,"Tennessee Titans / 4th / 112th pick / 2014","$623,850"
"24",6,"Brett Kern",29,"",16,0,201,"6-3","Toledo","2/17/1986","7",3,"","$2,000,000"
"25",97,"Karl Klug",27,"",16,0,275,"6-3","Iowa","3/31/1988","4",2,"Tennessee Titans / 5th / 142nd pick / 2011","$1,500,000"
"26",77,"Taylor Lewan",24,"LT",15,15,309,"6-7","Michigan","7/21/1991","1",7,"Tennessee Titans / 1st / 11th pick / 2014","$2,610,228"
"27",78,"Joe Looney",25,"c",8,6,309,"6-3","Wake Forest","8/31/1990","3",2,"San Francisco 49ers / 4th / 117th pick / 2012",""
"28",8,"Marcus Mariota",22,"QB",12,12,215,"6-4","Oregon","10/30/1993","Rook",9,"Tennessee Titans / 1st / 2nd pick / 2015","$4,402,541"
"29",93,"Mike Martin",25,"",5,0,307,"6-1","Michigan","9/1/1990","3",0,"Tennessee Titans / 3rd / 82nd pick / 2012","$821,890"
"30",16,"Tre McBride",23,"",7,0,210,"6-0","William & Mary","12/1/1992","Rook",0,"Tennessee Titans / 7th / 245th pick / 2015","$102,200"
"31",22,"Dexter McCluster",27,"rb",11,2,165,"5-9","Mississippi","8/25/1988","5",3,"Kansas City Chiefs / 2nd / 36th pick / 2010","$3,350,000"
"32",30,"Jason McCourty",28,"cb",4,4,183,"6-0","Rutgers","8/13/1987","6",1,"Tennessee Titans / 6th / 203rd pick / 2009","$8,600,000"
